ID;EconomicActivityNCEA2008;Periods;TotalNumberOfEnterprises_1;k_1PersonEmployed_2;k_2PersonsEmployed_3;k_3To5PersonsEmployed_4;k_5To10PersonsEmployed_5;k_10To20PersonsEmployed_6;k_20To50PersonsEmployed_7;k_50To100PersonsEmployed_8;k_100PersonsEmployedOrMore_9;PrivateLegalForms_10;PublicLegalForms_11
63;0127 Growing of beverage crops;2009;0;0;0;0;0;0;0;0;0;0;0
64;0127 Growing of beverage crops;2010;0;0;0;0;0;0;0;0;0;0;0
65;0128 Growing of spices, aromatic crops;2006;0;0;0;0;0;0;0;0;0;0;0
66;0128 Growing of spices, aromatic crops;2007;0;0;0;0;0;0;0;0;0;0;0
67;0128 Growing of spices, aromatic crops;2008;0;0;0;0;0;0;0;0;0;0;0
68;0128 Growing of spices, aromatic crops;2009;0;0;0;0;0;0;0;0;0;0;0
69;0128 Growing of spices, aromatic crops;2010;0;0;0;0;0;0;0;0;0;0;0
70;0129 Growing of other perennial crops;2006;0;0;0;0;0;0;0;0;0;0;0
71;0129 Growing of other perennial crops;2007;0;0;0;0;0;0;0;0;0;0;0
72;0129 Growing of other perennial crops;2008;0;0;0;0;0;0;0;0;0;0;0
73;0129 Growing of other perennial crops;2009;0;0;0;0;0;0;0;0;0;0;0
74;0129 Growing of other perennial crops;2010;0;0;0;0;0;0;0;0;0;0;0
75;013 Growing of ornamental plants;2006;2980;1420;745;485;270;50;10;0;0;2630;350
76;013 Growing of ornamental plants;2007;2965;1295;785;435;305;100;35;5;5;2605;355
77;013 Growing of ornamental plants;2008;2900;1190;775;445;325;110;35;10;5;2535;360
78;013 Growing of ornamental plants;2009;2815;1115;760;485;310;105;30;5;0;2460;355
79;013 Growing of ornamental plants;2010;2765;1065;695;515;345;100;30;10;5;2400;365
80;0130 Growing of ornamental plants;2006;2980;1420;745;485;270;50;10;0;0;2630;350
81;0130 Growing of ornamental plants;2007;2965;1295;785;435;305;100;35;5;5;2605;355
82;0130 Growing of ornamental plants;2008;2900;1190;775;445;325;110;35;10;5;2535;360
83;0130 Growing of ornamental plants;2009;2815;1115;760;485;310;105;30;5;0;2460;355
84;0130 Growing of ornamental plants;2010;2765;1065;695;515;345;100;30;10;5;2400;365
85;014 Animal production;2006;49235;31980;13240;3730;240;35;10;0;0;47900;1330
86;014 Animal production;2007;47705;26190;16445;4610;375;70;15;0;0;46450;1260
87;014 Animal production;2008;46710;24695;16595;4820;515;65;20;0;0;45385;1325
88;014 Animal production;2009;46075;24150;16305;4980;550;80;20;0;0;44675;1405
89;014 Animal production;2010;45115;23625;15880;4945;580;65;15;0;0;43650;1465
90;0141 Raising of dairy cattle;2006;26505;14885;8965;2565;85;5;0;0;0;26230;275
91;0141 Raising of dairy cattle;2007;24525;10250;10960;3145;150;20;0;0;0;24295;230
92;0141 Raising of dairy cattle;2008;24410;10045;10895;3245;195;15;5;0;0;24150;260
93;0141 Raising of dairy cattle;2009;23980;9645;10725;3380;205;20;0;0;0;23690;285
94;0141 Raising of dairy cattle;2010;23440;9455;10435;3335;195;15;0;0;0;23150;290
95;0142 Raising of other cattle;2006;11070;9205;1545;280;25;5;0;0;0;10830;235
96;0142 Raising of other cattle;2007;10960;8250;2255;400;40;10;5;0;0;10745;215
97;0142 Raising of other cattle;2008;10990;8105;2405;420;50;10;5;0;0;10750;235
98;0142 Raising of other cattle;2009;10745;7955;2315;410;55;5;5;0;0;10510;235
99;0142 Raising of other cattle;2010;10340;7630;2230;410;60;10;5;0;0;10095;250
100;0143 Farming of horses and donkeys;2006;4925;4295;425;155;45;10;0;0;0;4765;160
101;0143 Farming of horses and donkeys;2007;5725;4795;600;240;65;20;0;0;0;5530;195
102;0143 Farming of horses and donkeys;2008;5065;3910;690;325;125;15;5;0;0;4790;275
103;0143 Farming of horses and donkeys;2009;5335;4025;755;370;155;20;5;0;0;5030;305
104;0143 Farming of horses and donkeys;2010;5520;4115;830;370;175;20;5;0;0;5185;335
105;0145 Raising of sheep and goats;2006;655;450;160;40;0;0;0;0;0;635;20
106;0145 Raising of sheep and goats;2007;565;305;210;50;0;0;0;0;0;545;20
107;0145 Raising of sheep and goats;2008;475;225;180;60;5;5;0;0;0;455;20
108;0145 Raising of sheep and goats;2009;475;230;175;60;5;0;0;0;0;455;20
109;0145 Raising of sheep and goats;2010;480;225;180;65;5;0;0;0;0;450;25
110;0146 Raising of swine;2006;4365;2335;1475;485;60;10;0;0;0;3915;450
111;0146 Raising of swine;2007;4225;1960;1625;535;85;15;5;0;0;3815;410
112;0146 Raising of swine;2008;4260;1875;1675;575;115;15;5;0;0;3860;400
113;0146 Raising of swine;2009;4130;1800;1645;555;105;15;5;0;0;3715;415
114;0146 Raising of swine;2010;3950;1730;1520;565;115;15;5;0;0;3535;415
115;0147 Raising of poultry;2006;1410;670;565;155;15;5;5;0;0;1280;130
116;0147 Raising of poultry;2007;1420;540;670;180;25;5;5;0;0;1300;120
117;0147 Raising of poultry;2008;1440;510;715;185;25;5;5;0;0;1310;130
118;0147 Raising of poultry;2009;1350;470;650;195;20;10;5;0;0;1215;140
119;0147 Raising of poultry;2010;1330;450;650;190;30;5;5;0;0;1185;150
120;0149 Raising of other animals;2006;305;135;105;55;10;0;0;0;0;245;60
121;0149 Raising of other animals;2007;285;90;125;55;10;5;0;0;0;220;65
122;0149 Raising of other animals;2008;75;25;35;5;0;0;0;0;0;70;0
123;0149 Raising of other animals;2009;65;20;35;10;0;0;0;0;0;60;5
124;0149 Raising of other animals;2010;55;15;30;5;5;0;0;0;0;55;0
125;015 Mixed farming;2006;4030;2875;880;240;25;5;0;0;0;3900;130
126;015 Mixed farming;2007;3835;2480;1025;265;45;10;5;0;0;3725;110
127;015 Mixed farming;2008;3815;2310;1125;315;45;15;0;0;0;3625;190
128;015 Mixed farming;2009;3715;2245;1075;315;65;10;0;0;0;3510;205
129;015 Mixed farming;2010;3425;2110;920;315;70;10;0;0;0;3230;200
130;0150 Mixed farming;2006;4030;2875;880;240;25;5;0;0;0;3900;130
131;0150 Mixed farming;2007;3835;2480;1025;265;45;10;5;0;0;3725;110
132;0150 Mixed farming;2008;3815;2310;1125;315;45;15;0;0;0;3625;190
133;0150 Mixed farming;2009;3715;2245;1075;315;65;10;0;0;0;3510;205
134;0150 Mixed farming;2010;3425;2110;920;315;70;10;0;0;0;3230;200
135;016 Support activities for agriculture;2006;7745;4330;1665;635;610;340;140;20;10;6810;935
136;016 Support activities for agriculture;2007;8045;4855;1185;750;680;390;150;20;15;7060;980
137;016 Support activities for agriculture;2008;8750;5720;1175;690;635;360;145;15;5;7720;1025
138;016 Support activities for agriculture;2009;9840;6675;1270;685;645;390;150;25;5;8735;1105
139;016 Support activities for agriculture;2010;10185;7030;1300;675;620;385;145;25;5;9050;1135
140;0161 Services for crop production;2006;6610;3490;1450;605;575;330;130;20;10;5750;860
141;0161 Services for crop production;2007;6820;3915;1020;690;645;380;135;20;10;5920;900
142;0161 Services for crop production;2008;7370;4610;1020;635;605;350;135;15;5;6440;930
143;0161 Services for crop production;2009;8270;5400;1100;635;600;375;130;25;5;7270;995
144;0161 Services for crop production;2010;8505;5650;1130;625;580;370;125;25;5;7475;1030
145;0162 Services for animal production;2006;1140;840;215;30;30;10;10;0;0;1060;75
146;0162 Services for animal production;2007;1220;940;165;60;35;10;15;0;0;1140;85
147;0162 Services for animal production;2008;1375;1110;155;55;35;10;15;0;0;1280;95
148;0162 Services for animal production;2009;1570;1275;170;55;40;15;15;0;0;1465;105
149;0162 Services for animal production;2010;1680;1380;175;50;40;15;15;0;0;1575;105
150;0163 Post-harvest crop activities;2006;0;0;0;0;0;0;0;0;0;0;0
151;0163 Post-harvest crop activities;2007;0;0;0;0;0;0;0;0;0;0;0
152;0163 Post-harvest crop activities;2008;0;0;0;0;0;0;0;0;0;0;0
153;0163 Post-harvest crop activities;2009;0;0;0;0;0;0;0;0;0;0;0
154;0163 Post-harvest crop activities;2010;0;0;0;0;0;0;0;0;0;0;0
155;0164 Seed processing for propagation;2006;0;0;0;0;0;0;0;0;0;0;0
156;0164 Seed processing for propagation;2007;0;0;0;0;0;0;0;0;0;0;0
157;0164 Seed processing for propagation;2008;0;0;0;0;0;0;0;0;0;0;0
158;0164 Seed processing for propagation;2009;0;0;0;0;0;0;0;0;0;0;0
159;0164 Seed processing for propagation;2010;0;0;0;0;0;0;0;0;0;0;0
160;017 Hunting;2006;25;15;5;0;0;0;0;0;0;20;5
161;017 Hunting;2007;20;20;0;0;0;0;0;0;0;20;5
162;017 Hunting;2008;20;20;0;0;0;0;0;0;0;20;5
163;017 Hunting;2009;25;20;0;0;0;0;0;0;0;20;0
164;017 Hunting;2010;25;20;0;0;0;0;0;0;0;25;5
165;0170 Hunting;2006;25;15;5;0;0;0;0;0;0;20;5
166;0170 Hunting;2007;20;20;0;0;0;0;0;0;0;20;5
167;0170 Hunting;2008;20;20;0;0;0;0;0;0;0;20;5
168;0170 Hunting;2009;25;20;0;0;0;0;0;0;0;20;0
169;0170 Hunting;2010;25;20;0;0;0;0;0;0;0;25;5
170;02 Forestry and logging;2006;425;235;110;35;25;15;5;0;0;360;65
171;02 Forestry and logging;2007;415;260;80;35;25;15;5;0;0;345;70
172;02 Forestry and logging;2008;445;295;70;35;20;15;5;0;0;375;70
173;02 Forestry and logging;2009;465;315;75;30;20;15;5;0;0;385;80
174;02 Forestry and logging;2010;485;330;75;30;20;15;5;0;0;405;80
175;021 Silviculture;2006;250;130;65;20;15;10;5;0;0;210;40
176;021 Silviculture;2007;245;145;45;20;20;10;5;0;0;195;50
177;021 Silviculture;2008;260;165;35;20;15;15;5;0;0;210;50
178;021 Silviculture;2009;280;190;40;20;15;10;5;0;0;220;55
179;021 Silviculture;2010;300;205;40;20;15;10;5;0;0;245;55
180;0210 Silviculture;2006;250;130;65;20;15;10;5;0;0;210;40
181;0210 Silviculture;2007;245;145;45;20;20;10;5;0;0;195;50
182;0210 Silviculture;2008;260;165;35;20;15;15;5;0;0;210;50
183;0210 Silviculture;2009;280;190;40;20;15;10;5;0;0;220;55
184;0210 Silviculture;2010;300;205;40;20;15;10;5;0;0;245;55
185;022 Logging;2006;115;60;35;5;10;5;0;0;0;95;20
186;022 Logging;2007;110;70;25;10;5;5;0;0;0;95;20
187;022 Logging;2008;120;75;25;5;5;0;0;0;0;100;20
188;022 Logging;2009;120;80;30;5;5;5;0;0;0;105;20
189;022 Logging;2010;120;80;25;5;5;5;0;0;0;100;20
190;0220 Logging;2006;115;60;35;5;10;5;0;0;0;95;20
191;0220 Logging;2007;110;70;25;10;5;5;0;0;0;95;20
192;0220 Logging;2008;120;75;25;5;5;0;0;0;0;100;20
193;0220 Logging;2009;120;80;30;5;5;5;0;0;0;105;20
194;0220 Logging;2010;120;80;25;5;5;5;0;0;0;100;20
195;024 Support activities to forestry;2006;65;45;10;10;0;0;0;0;0;60;5
196;024 Support activities to forestry;2007;65;45;10;5;0;0;0;0;0;60;5
197;024 Support activities to forestry;2008;65;50;5;10;0;0;0;0;0;60;5
198;024 Support activities to forestry;2009;65;50;10;5;0;0;0;0;0;60;5
199;024 Support activities to forestry;2010;65;45;10;5;0;0;0;0;0;60;5
200;0240 Support activities to forestry;2006;65;45;10;10;0;0;0;0;0;60;5
201;0240 Support activities to forestry;2007;65;45;10;5;0;0;0;0;0;60;5
202;0240 Support activities to forestry;2008;65;50;5;10;0;0;0;0;0;60;5
203;0240 Support activities to forestry;2009;65;50;10;5;0;0;0;0;0;60;5
204;0240 Support activities to forestry;2010;65;45;10;5;0;0;0;0;0;60;5
205;03 Fishing and aquaculture;2006;755;265;360;75;30;10;5;5;5;500;260
206;03 Fishing and aquaculture;2007;720;265;235;140;50;10;10;0;0;440;275
207;03 Fishing and aquaculture;2008;715;290;220;135;45;20;10;0;5;430;285
208;03 Fishing and aquaculture;2009;730;315;210;130;50;10;10;0;0;445;285
209;03 Fishing and aquaculture;2010;815;400;225;125;50;10;5;0;0;520;295
210;031 Fishing;2006;565;195;300;40;10;5;5;0;5;395;170
211;031 Fishing;2007;530;195;190;95;30;10;10;0;0;355;180
212;031 Fishing;2008;535;215;180;90;30;10;5;0;0;345;190
213;031 Fishing;2009;540;240;165;85;30;5;10;0;0;360;180
214;031 Fishing;2010;625;320;180;85;30;5;5;0;0;435;190
215;0311 Marine fishing;2006;400;120;225;25;10;5;5;0;5;235;160
216;0311 Marine fishing;2007;380;125;135;80;25;5;10;0;0;210;170
217;0311 Marine fishing;2008;390;140;125;70;30;10;5;0;0;210;180
218;0311 Marine fishing;2009;395;160;115;75;25;5;10;0;0;225;170
219;0311 Marine fishing;2010;470;230;130;70;30;5;5;0;0;295;175
220;0312 Freshwater fishing;2006;165;75;75;15;0;0;0;0;0;160;5
221;0312 Freshwater fishing;2007;150;75;55;15;0;0;0;0;0;140;10
222;0312 Freshwater fishing;2008;145;75;55;15;0;0;0;0;0;135;10
223;0312 Freshwater fishing;2009;145;80;50;15;5;0;0;0;0;135;10
224;0312 Freshwater fishing;2010;155;90;45;15;5;0;0;0;0;145;15
225;032 Aquaculture;2006;190;70;60;35;15;5;0;0;0;100;90
226;032 Aquaculture;2007;190;65;45;45;25;5;0;0;0;90;100
227;032 Aquaculture;2008;180;80;35;45;10;10;0;0;0;85;95
228;032 Aquaculture;2009;190;75;45;45;15;5;0;0;0;85;105
229;032 Aquaculture;2010;190;80;50;40;15;5;0;0;0;80;105
230;0321 Marine aquaculture;2006;105;30;35;30;10;0;0;0;0;50;55
231;0321 Marine aquaculture;2007;105;30;25;30;15;0;0;0;0;45;60
232;0321 Marine aquaculture;2008;100;35;15;35;10;5;0;0;0;40;60
233;0321 Marine aquaculture;2009;110;40;25;30;10;5;0;0;0;45;65
234;0321 Marine aquaculture;2010;105;40;25;25;10;5;0;0;0;40;65
235;0322 Freshwater aquaculture;2006;85;40;25;10;5;5;0;0;0;50;35
236;0322 Freshwater aquaculture;2007;80;35;20;15;5;0;0;0;0;45;35
237;0322 Freshwater aquaculture;2008;80;40;20;10;5;5;0;0;0;45;35
238;0322 Freshwater aquaculture;2009;80;35;20;15;10;5;0;0;0;40;40
239;0322 Freshwater aquaculture;2010;80;40;20;15;10;0;0;0;0;40;40
240;B Mining and quarrying;2006;330;125;65;20;30;35;25;10;15;105;225
241;B Mining and quarrying;2007;330;135;35;35;35;35;25;15;15;80;250
242;B Mining and quarrying;2008;315;135;40;40;25;25;25;10;15;85;230
243;B Mining and quarrying;2009;320;140;30;30;30;30;25;10;20;85;235
244;B Mining and quarrying;2010;330;150;35;30;30;30;25;10;20;85;245
245;06 Extraction of crude petroleum and gas;2006;35;20;5;0;0;0;0;0;5;10;25
246;06 Extraction of crude petroleum and gas;2007;50;30;5;0;0;0;0;0;5;10;40
247;06 Extraction of crude petroleum and gas;2008;45;25;5;5;5;0;0;0;5;10;35
248;06 Extraction of crude petroleum and gas;2009;45;20;5;0;5;5;0;0;5;10;35
249;06 Extraction of crude petroleum and gas;2010;50;30;5;0;0;5;5;0;5;10;40
250;061 Extraction of crude petroleum;2006;15;10;5;0;0;0;0;0;0;5;10
251;061 Extraction of crude petroleum;2007;25;15;5;0;0;0;0;0;0;0;20
252;061 Extraction of crude petroleum;2008;20;10;0;5;0;0;0;0;0;0;20
253;061 Extraction of crude petroleum;2009;20;15;0;0;5;0;0;0;0;5;20
254;061 Extraction of crude petroleum;2010;30;20;0;0;0;0;0;0;0;5;25
255;0610 Extraction of crude petroleum;2006;15;10;5;0;0;0;0;0;0;5;10
256;0610 Extraction of crude petroleum;2007;25;15;5;0;0;0;0;0;0;0;20
257;0610 Extraction of crude petroleum;2008;20;10;0;5;0;0;0;0;0;0;20
258;0610 Extraction of crude petroleum;2009;20;15;0;0;5;0;0;0;0;5;20
259;0610 Extraction of crude petroleum;2010;30;20;0;0;0;0;0;0;0;5;25
260;062 Extraction of natural gas;2006;20;10;5;0;0;0;0;0;5;5;15
261;062 Extraction of natural gas;2007;25;15;5;0;0;0;0;0;5;10;20
262;062 Extraction of natural gas;2008;25;10;5;0;0;0;0;0;5;10;15
263;062 Extraction of natural gas;2009;20;10;5;0;0;0;0;0;5;5;15
264;062 Extraction of natural gas;2010;20;10;0;0;0;0;0;0;5;5;15
265;0620 Extraction of natural gas;2006;20;10;5;0;0;0;0;0;5;5;15
266;0620 Extraction of natural gas;2007;25;15;5;0;0;0;0;0;5;10;20
267;0620 Extraction of natural gas;2008;25;10;5;0;0;0;0;0;5;10;15
268;0620 Extraction of natural gas;2009;20;10;5;0;0;0;0;0;5;5;15
269;0620 Extraction of natural gas;2010;20;10;0;0;0;0;0;0;5;5;15
270;08 Mining and quarrying (no oil and gas);2006;195;55;50;20;25;25;15;5;5;60;135
271;08 Mining and quarrying (no oil and gas);2007;170;50;20;20;25;25;15;5;5;40;130
272;08 Mining and quarrying (no oil and gas);2008;170;55;25;25;20;20;20;5;0;45;125
273;08 Mining and quarrying (no oil and gas);2009;170;55;20;25;20;20;15;5;5;45;125
274;08 Mining and quarrying (no oil and gas);2010;180;65;25;25;20;20;15;5;5;45;130
275;081 Mining of stone, sand and clay;2006;160;45;45;20;20;20;15;5;0;50;110
276;081 Mining of stone, sand and clay;2007;135;40;20;20;20;20;15;0;0;30;105
277;081 Mining of stone, sand and clay;2008;130;40;20;20;20;15;15;5;0;35;100
278;081 Mining of stone, sand and clay;2009;140;50;20;20;20;15;10;5;0;40;100
279;081 Mining of stone, sand and clay;2010;145;55;20;20;20;15;10;5;0;40;105
280;0812 Mining of sand, gravel and clay;2006;160;45;45;20;20;20;15;5;0;50;110
281;0812 Mining of sand, gravel and clay;2007;135;40;20;20;20;20;15;0;0;30;105
282;0812 Mining of sand, gravel and clay;2008;130;40;20;20;20;15;15;5;0;35;100
283;0812 Mining of sand, gravel and clay;2009;140;50;20;20;20;15;10;5;0;40;100
284;0812 Mining of sand, gravel and clay;2010;145;55;20;20;20;15;10;5;0;40;105
285;089 Other mining and quarrying;2006;40;10;5;0;5;5;5;5;5;15;25
286;089 Other mining and quarrying;2007;35;15;5;0;5;5;0;5;5;10;25
287;089 Other mining and quarrying;2008;35;15;5;5;0;5;5;0;0;10;25
288;089 Other mining and quarrying;2009;30;10;5;5;0;5;5;0;5;10;25
289;089 Other mining and quarrying;2010;35;10;5;5;0;5;5;0;5;10;25
290;0892 Extraction of peat;2006;10;5;5;0;5;0;0;0;0;5;5
291;0892 Extraction of peat;2007;10;5;0;0;5;0;0;0;0;5;5
292;0892 Extraction of peat;2008;10;5;0;0;0;0;0;0;0;5;5
293;0892 Extraction of peat;2009;5;0;0;0;0;0;0;0;0;5;0
294;0892 Extraction of peat;2010;5;0;0;0;0;0;0;0;0;5;0
295;0893 Extraction of salt;2006;0;0;0;0;0;0;0;0;0;0;0
296;0893 Extraction of salt;2007;0;0;0;0;0;0;0;0;0;0;0
297;0893 Extraction of salt;2008;0;0;0;0;0;0;0;0;0;0;0
298;0893 Extraction of salt;2009;0;0;0;0;0;0;0;0;0;0;0
299;0893 Extraction of salt;2010;0;0;0;0;0;0;0;0;0;0;0
300;0899 Other mining and quarrying n.e.c.;2006;30;5;5;0;5;5;0;5;5;10;20
301;0899 Other mining and quarrying n.e.c.;2007;30;10;0;0;0;5;0;5;5;10;20
302;0899 Other mining and quarrying n.e.c.;2008;30;10;0;5;0;5;5;0;0;5;20
303;0899 Other mining and quarrying n.e.c.;2009;30;10;0;0;0;5;5;0;5;5;25
304;0899 Other mining and quarrying n.e.c.;2010;30;10;0;0;0;5;5;0;5;5;25
305;09 Mining support activities;2006;95;50;10;0;5;5;10;5;5;35;60
306;09 Mining support activities;2007;110;60;5;10;10;5;10;5;5;30;80
307;09 Mining support activities;2008;105;60;10;10;5;5;5;5;10;30;70
308;09 Mining support activities;2009;105;60;5;5;5;10;5;5;10;30;75
309;09 Mining support activities;2010;100;55;5;5;5;10;5;5;10;30;75
310;091 Services for mining of oil and gas;2006;95;50;10;0;5;5;10;5;5;35;60
311;091 Services for mining of oil and gas;2007;110;60;5;10;10;5;10;5;5;30;80
312;091 Services for mining of oil and gas;2008;105;60;10;10;5;5;5;5;10;30;70
313;091 Services for mining of oil and gas;2009;105;60;5;5;5;10;5;5;10;30;75
314;091 Services for mining of oil and gas;2010;100;55;5;5;5;10;5;5;10;30;75
315;0910 Services for mining of oil and gas;2006;95;50;10;0;5;5;10;5;5;35;60
316;0910 Services for mining of oil and gas;2007;110;60;5;10;10;5;10;5;5;30;80
317;0910 Services for mining of oil and gas;2008;105;60;10;10;5;5;5;5;10;30;70
318;0910 Services for mining of oil and gas;2009;105;60;5;5;5;10;5;5;10;30;75
319;0910 Services for mining of oil and gas;2010;100;55;5;5;5;10;5;5;10;30;75
320;099 Services for other mining;2006;0;0;0;0;0;0;0;0;0;0;0
321;099 Services for other mining;2007;0;0;0;0;0;0;0;0;0;0;0
322;099 Services for other mining;2008;0;0;0;0;0;0;0;0;0;0;0
323;099 Services for other mining;2009;0;0;0;0;0;0;0;0;0;0;0
324;099 Services for other mining;2010;0;0;0;0;0;0;0;0;0;0;0
325;0990 Services for other mining;2006;0;0;0;0;0;0;0;0;0;0;0
326;0990 Services for other mining;2007;0;0;0;0;0;0;0;0;0;0;0
327;0990 Services for other mining;2008;0;0;0;0;0;0;0;0;0;0;0
328;0990 Services for other mining;2009;0;0;0;0;0;0;0;0;0;0;0
329;0990 Services for other mining;2010;0;0;0;0;0;0;0;0;0;0;0
330;C Manufacturing;2006;41200;14540;7255;4410;5030;3920;3495;1230;1325;23180;18025
331;C Manufacturing;2007;42365;16035;5715;4725;5505;4180;3620;1235;1345;24125;18235
332;C Manufacturing;2008;43520;18135;5745;4645;5280;3970;3330;1180;1235;24775;18750
333;C Manufacturing;2009;45670;19830;6035;4540;5100;4055;3455;1300;1355;26580;19090
