ID;Populatie;Geslacht;Persoonskenmerken;Vervoerwijzen;RegioS;Perioden;VerplaatsingenPerPersoonPerDag_1;AfstandPerPersoonPerDag_2;ReisduurPerPersoonPerDag_3
0;6000050;1100;4000000;100000;Nederland;2010;2.77;30.31;62.54
1;6000050;1100;4000000;100000;Nederland;2011;2.67;30.69;61.33
2;6000050;1100;4000000;100000;Nederland;2012;2.68;29.39;60.45
3;6000050;1100;4000000;100000;Nederland;2013;2.68;30.49;61.18
4;6000050;1100;4000000;100000;Nederland;2014;2.69;30.74;62.74
5;6000050;1100;4000000;100000;Noord-Nederland (LD);2010;2.71;34.45;62.85
6;6000050;1100;4000000;100000;Noord-Nederland (LD);2011;2.6;33.49;59.55
7;6000050;1100;4000000;100000;Noord-Nederland (LD);2012;2.64;32.14;59.9
8;6000050;1100;4000000;100000;Noord-Nederland (LD);2013;2.65;33.56;58.85
9;6000050;1100;4000000;100000;Noord-Nederland (LD);2014;2.62;33.85;62.79
10;6000050;1100;4000000;100000;Oost-Nederland (LD);2010;2.86;32.78;63.54
11;6000050;1100;4000000;100000;Oost-Nederland (LD);2011;2.72;31.96;59.75
12;6000050;1100;4000000;100000;Oost-Nederland (LD);2012;2.7;29.82;58.35
13;6000050;1100;4000000;100000;Oost-Nederland (LD);2013;2.72;30.96;59.31
14;6000050;1100;4000000;100000;Oost-Nederland (LD);2014;2.7;32.62;61.66
15;6000050;1100;4000000;100000;West-Nederland (LD);2010;2.73;28.6;63.04
16;6000050;1100;4000000;100000;West-Nederland (LD);2011;2.64;29.4;63.52
17;6000050;1100;4000000;100000;West-Nederland (LD);2012;2.68;28.93;62.5
18;6000050;1100;4000000;100000;West-Nederland (LD);2013;2.65;29.28;62.95
19;6000050;1100;4000000;100000;West-Nederland (LD);2014;2.68;29.64;64.68
20;6000050;1100;4000000;100000;Zuid-Nederland (LD);2010;2.79;29.62;60.29
21;6000050;1100;4000000;100000;Zuid-Nederland (LD);2011;2.7;30.92;58.93
22;6000050;1100;4000000;100000;Zuid-Nederland (LD);2012;2.69;28.65;58.29
23;6000050;1100;4000000;100000;Zuid-Nederland (LD);2013;2.73;31.25;60.25
24;6000050;1100;4000000;100000;Zuid-Nederland (LD);2014;2.75;29.82;59.5
25;6000050;1100;4000000;100000;Groningen (PV);2010;2.75;35.75;65.47
