ID;Watergebruikers;Perioden;GebruikVanLeidingwater_1;TotaalGebruikVanGrondwater_2;GebruikVanGrondwaterVoorKoeling_3;OverigeGebruikVanGrondWater_4;GebruikVanOppervlakteWater_5
0;Totaal watergebruikers;2003;1132.1;1162.8;103.3;1059.5;13973.5
1;Totaal watergebruikers;2004;1099.0;1050.5;115.1;935.4;14908.2
2;Totaal watergebruikers;2005;1086.0;1013.4;99.5;913.9;13950.3
3;Totaal watergebruikers;2006;1098.0;1059.4;99.9;959.5;13532.4
4;Totaal watergebruikers;2007;1088.1;1001.1;91.6;909.5;13569.2
5;Totaal watergebruikers;2008;1093.1;986.8;89.3;897.4;13301.3
6;Totaal watergebruikers;2009;1092.8;1025.5;88.8;936.8;14216.5
7;Totaal watergebruikers;2010;1089.6;1006.2;65.4;940.8;14076.4
8;Totaal watergebruikers;2011;1080.3;991.9;63.7;928.2;15300.2
9;Particuliere huishoudens;2003;815.4;;;;
10;Particuliere huishoudens;2004;796.2;;;;
11;Particuliere huishoudens;2005;790.5;;;;
12;Particuliere huishoudens;2006;800.7;;;;
13;Particuliere huishoudens;2007;789.4;;;;
14;Particuliere huishoudens;2008;788.4;;;;
15;Particuliere huishoudens;2009;788.1;;;;
16;Particuliere huishoudens;2010;786.2;;;;
17;Particuliere huishoudens;2011;783.0;;;;
18;A-U Alle economische activiteiten;2003;316.8;;;;
19;A-U Alle economische activiteiten;2004;302.8;;;;
20;A-U Alle economische activiteiten;2005;295.5;;;;
21;A-U Alle economische activiteiten;2006;297.3;;;;
22;A-U Alle economische activiteiten;2007;298.8;;;;
23;A-U Alle economische activiteiten;2008;304.8;;;;
24;A-U Alle economische activiteiten;2009;304.6;;;;
25;A-U Alle economische activiteiten;2010;303.4;;;;
26;A-U Alle economische activiteiten;2011;297.3;;;;
27;A Landbouw, bosbouw en visserij;2003;57.6;145.5;0.0;145.5;53.5
28;A Landbouw, bosbouw en visserij;2004;49.9;61.4;0.0;61.4;26.1
29;A Landbouw, bosbouw en visserij;2005;47.6;62.3;0.0;62.3;12.5
30;A Landbouw, bosbouw en visserij;2006;46.5;97.6;0.0;97.6;24.2
31;A Landbouw, bosbouw en visserij;2007;46.0;54.0;0.0;54.0;17.9
32;A Landbouw, bosbouw en visserij;2008;44.3;50.6;0.0;50.6;21.1
33;A Landbouw, bosbouw en visserij;2009;47.2;80.4;0.0;80.4;12.5
34;A Landbouw, bosbouw en visserij;2010;43.8;95.7;0.0;95.7;26.3
35;A Landbouw, bosbouw en visserij;2011;42.7;88.5;0.0;88.5;30.9
36;B-E Nijverheid (geen bouw) en energie;2003;173.4;1017.4;103.3;914.1;13920.0
37;B-E Nijverheid (geen bouw) en energie;2004;167.4;989.1;115.1;874.0;14882.1
38;B-E Nijverheid (geen bouw) en energie;2005;162.0;951.1;99.5;851.6;13937.8
39;B-E Nijverheid (geen bouw) en energie;2006;163.5;961.8;99.9;861.9;13508.2
40;B-E Nijverheid (geen bouw) en energie;2007;163.4;947.1;91.6;855.5;13551.3
41;B-E Nijverheid (geen bouw) en energie;2008;167.7;936.2;89.3;846.8;13280.2
42;B-E Nijverheid (geen bouw) en energie;2009;164.2;945.1;88.8;856.4;14204.1
43;B-E Nijverheid (geen bouw) en energie;2010;165.4;910.5;65.4;845.1;14050.1
44;B-E Nijverheid (geen bouw) en energie;2011;159.6;903.3;63.7;839.7;15269.3
45;B Delfstoffenwinning;2003;3.5;0.1;0.1;0.0;1.2
46;B Delfstoffenwinning;2004;3.1;0.1;0.0;0.0;1.0
47;B Delfstoffenwinning;2005;2.9;0.1;0.0;0.0;1.0
48;B Delfstoffenwinning;2006;2.9;0.1;0.0;0.0;1.0
49;B Delfstoffenwinning;2007;2.8;0.1;0.0;0.0;0.9
50;B Delfstoffenwinning;2008;3.0;0.1;0.0;0.0;0.9
51;B Delfstoffenwinning;2009;2.6;0.1;0.0;0.0;0.8
52;B Delfstoffenwinning;2010;2.4;0.1;0.0;0.0;0.8
53;B Delfstoffenwinning;2011;2.3;0.1;0.0;0.0;0.8
54;C Industrie;2003;162.7;213.6;103.2;110.4;3702.4
55;C Industrie;2004;159.1;215.9;115.0;100.8;3640.4
56;C Industrie;2005;154.4;182.7;99.4;83.3;3175.1
57;C Industrie;2006;155.1;181.3;99.9;81.4;3216.4
58;C Industrie;2007;155.2;176.5;91.5;85.0;3198.7
59;C Industrie;2008;157.6;170.8;89.3;81.6;3314.1
60;C Industrie;2009;148.4;178.8;87.6;91.3;3647.5
61;C Industrie;2010;147.0;142.2;65.2;77.0;3349.5
62;C Industrie;2011;142.6;141.2;63.5;77.8;3391.0
63;10-12 Voedings-, genotmiddelenindustrie;2003;46.3;77.9;27.9;50.0;143.9
64;10-12 Voedings-, genotmiddelenindustrie;2004;44.3;64.7;25.2;39.5;158.7
65;10-12 Voedings-, genotmiddelenindustrie;2005;43.5;60.3;22.7;37.6;136.7
66;10-12 Voedings-, genotmiddelenindustrie;2006;46.2;62.0;23.7;38.4;140.4
67;10-12 Voedings-, genotmiddelenindustrie;2007;45.2;58.9;23.4;35.6;142.8
68;10-12 Voedings-, genotmiddelenindustrie;2008;48.4;60.7;23.8;36.9;157.2
69;10-12 Voedings-, genotmiddelenindustrie;2009;46.4;68.7;23.6;45.2;149.3
70;10-12 Voedings-, genotmiddelenindustrie;2010;40.9;68.3;25.0;43.3;160.0
71;10-12 Voedings-, genotmiddelenindustrie;2011;38.2;66.6;24.2;42.4;165.9
72;13-15 Textiel-, kleding-, lederindustrie;2003;2.4;5.9;0.5;5.4;4.2
73;13-15 Textiel-, kleding-, lederindustrie;2004;2.0;5.3;0.5;4.8;5.1
74;13-15 Textiel-, kleding-, lederindustrie;2005;1.7;5.3;0.5;4.8;5.9
75;13-15 Textiel-, kleding-, lederindustrie;2006;1.8;4.0;0.5;3.6;4.2
76;13-15 Textiel-, kleding-, lederindustrie;2007;2.0;4.3;0.5;3.7;5.4
77;13-15 Textiel-, kleding-, lederindustrie;2008;2.0;3.8;0.5;3.3;6.1
78;13-15 Textiel-, kleding-, lederindustrie;2009;1.4;2.0;0.3;1.8;1.5
79;13-15 Textiel-, kleding-, lederindustrie;2010;1.4;2.2;0.4;1.8;1.6
80;13-15 Textiel-, kleding-, lederindustrie;2011;1.4;2.3;0.4;1.9;4.4
81;16-18 Hout-, papier-, grafische industr.;2003;3.2;36.1;0.3;35.8;98.5
82;16-18 Hout-, papier-, grafische industr.;2004;2.7;33.6;0.2;33.4;110.0
