ID;Plaatsnamen;Gemeentecode_1;Naam_2;Code_3;Naam_4;Code_5;NaamAfkorting_6;PTTwoonplaatsnaam_7;Gemeentenaam_8
0;Aa, De;749;Bergeyk                    ;116;Kempenland                                        ;30;NB. ;nee;nee
1;Aadorp;186;Vriezenveen                ;24;Overige gemeenten in Twente                       ;23;O.  ;ja ;nee
2;Aagtdorp;444;Schoorl                    ;55;Noord-Kennemerland                                ;27;NH. ;nee;nee
3;Aagtekerke;686;Mariekerke                 ;96;Overige gemeenten Walcheren                       ;29;Z.  ;ja ;nee
4;Aalbeek;951;Nuth                       ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5;Aalburg;738;Aalburg                    ;105;Land van Altena                                   ;30;NB. ;nee;ja 
6;Aalden;138;Zweeloo                    ;17;Drentse zandgronden                               ;22;D.  ;ja ;nee
7;Aalderinkshoek;141;Almelo                     ;24;Overige gemeenten in Twente                       ;23;O.  ;nee;nee
8;Aaldonk;907;Gennep                     ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
9;Aalsmeer;358;Aalsmeer                   ;62;Noordhollandse Meerlanden                         ;27;NH. ;ja ;ja 
10;Aalsmeerderbrug;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden                         ;27;NH. ;ja ;nee
11;Aalst;866;Waalre                     ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
12;Aalst;261;Lienden                    ;37;Oostelijke Betuwe                                 ;25;Gld.;nee;nee
13;Aalst;212;Brakel                     ;42;Bommelerwaard                                     ;25;Gld.;ja ;nee
14;Aalst, Ter;826;Oosterhout                 ;104;Gebied om Breda                                   ;30;NB. ;nee;nee
15;473;56;Zuidhorn                   ;1;Groninger Hoogeland en noordelijk Westerkwartier  ;20;Gr. ;nee;nee
16;Aalten;197;Aalten                     ;30;Overige gemeenten oostelijke Achterhoek           ;25;Gld.;ja ;ja 
17;501;58;Dongeradeel                ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
18;Aam;231;Elst                       ;37;Oostelijke Betuwe                                 ;25;Gld.;nee;nee
19;Aanschot;848;Son en Breugel             ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
20;Aanwas;829;Ossendrecht                ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;nee;nee
21;Aar, Ter;480;Ter Aar                    ;72;Noordelijke veenstreek in Zuid-Holland            ;28;ZH. ;ja ;ja 
22;Aard, Ter;133;Vries                      ;17;Drentse zandgronden                               ;22;D.  ;ja ;nee
