ID;Bronnen;Perioden;CO2_1;NMVOS_2;CH4_3;SO2_4;N2O_5;CO_6;NOx_7;NH3_8;PM10_9;PM25_10
19;Stationaire bronnen, totaal;2017;141400;212.8;713.6;26.3;28.94;180.3;102.4;128.5;23.87;12.66
20;Stationaire bronnen, totaal;2018;137200;207.3;689.8;24.4;28.23;181.0;100.1;126.3;23.76;12.62
21;Stationaire bronnen, totaal;2019;133800;204.0;685.4;22.1;27.83;180.5;96.0;121.0;23.07;12.22
22;Stationaire bronnen, totaal;2020;125400;240.2;675.1;19.0;27.37;164.3;90.5;120.3;21.83;11.32
23;Stationaire bronnen, totaal;2021;131200;248.1;665.8;20.2;26.22;166.8;91.2;118.8;20.48;10.84
24;Energiesector;1990;52900;33.6;80.0;112.8;0.42;11.4;103.9;0.0;7.95;6.05
25;Energiesector;1995;61400;28.3;80.2;78.4;0.46;11.1;83.3;0.0;5.35;4.18
26;Energiesector;2000;63300;28.9;41.2;48.3;0.42;18.0;64.9;0.0;3.65;2.57
27;Energiesector;2001;67600;20.4;40.9;50.6;0.46;15.9;62.8;0.0;3.3;2.51
28;Energiesector;2002;68100;18.7;39.4;44.4;0.48;19.8;62.9;0.0;2.94;2.06
29;Energiesector;2003;69000;17.5;38.8;43.7;0.48;19.8;63.9;0.1;3.29;2.36
30;Energiesector;2004;70900;15.6;37.3;43.1;0.49;13.0;56.6;0.1;2.41;1.69
31;Energiesector;2005;69600;20.1;40.1;42.1;0.54;13.7;55.3;0.2;2.15;1.65
32;Energiesector;2006;64400;17.8;36.3;42.2;0.5;11.9;52.1;0.0;2.08;1.87
33;Energiesector;2007;66100;16.9;38.7;38.7;0.52;8.8;43.4;0.0;1.76;1.26
34;Energiesector;2008;66100;16.4;40.3;32.1;0.49;10.6;38.2;0.1;1.67;1.22
35;Energiesector;2009;65600;14.5;35.4;24.2;0.5;9.8;32.3;0.0;0.87;0.58
36;Energiesector;2010;68300;15.2;38.5;19.4;0.51;10.6;32.7;0.0;0.55;0.42
37;Energiesector;2011;64000;16.0;38.9;19.2;0.48;11.1;29.1;0.0;0.43;0.3
38;Energiesector;2012;60700;15.4;36.3;22.1;0.51;11.0;28.3;0.0;0.32;0.18
39;Energiesector;2013;59700;15.5;32.8;19.5;0.49;9.7;29.5;0.0;0.46;0.3
40;Energiesector;2014;63100;14.0;31.7;18.3;0.52;8.6;26.8;0.0;0.53;0.41
41;Energiesector;2015;67600;13.1;30.9;19.7;0.62;9.4;27.6;0.0;0.63;0.49
42;Energiesector;2016;65900;11.6;29.2;17.1;0.58;8.4;23.4;0.0;0.47;0.37
43;Energiesector;2017;61700;10.8;25.6;15.3;0.52;5.4;21.5;0.0;0.45;0.32
44;Energiesector;2018;58000;8.5;23.1;13.6;0.47;6.1;20.7;0.0;0.37;0.3
45;Energiesector;2019;57200;7.5;23.1;11.3;0.48;5.9;19.4;0.1;0.33;0.27
46;Energiesector;2020;50200;6.9;22.5;8.8;0.44;5.9;17.0;0.1;0.27;0.22
47;Energiesector;2021;52400;5.9;20.6;10.4;0.58;6.6;17.7;0.0;0.29;0.24
48;06 Winning van aardolie en aardgas;1990;2300;15.9;77.4;1.5;0.0;1.4;7.9;0.0;0.02;0.02
49;06 Winning van aardolie en aardgas;1995;2000;13.7;76.8;0.8;0.0;2.4;7.0;0.0;0.0;0.0
50;06 Winning van aardolie en aardgas;2000;2000;10.8;37.3;0.3;0.0;1.1;5.8;0.0;0.0;0.0
51;06 Winning van aardolie en aardgas;2001;2000;9.8;36.8;0.4;0.0;1.6;6.6;0.0;0.0;0.0
52;06 Winning van aardolie en aardgas;2002;2100;8.9;35.1;0.4;0.0;1.0;6.3;0.0;0.0;0.0
53;06 Winning van aardolie en aardgas;2003;2000;7.6;34.6;0.2;0.0;1.3;5.8;0.0;0.0;0.0
54;06 Winning van aardolie en aardgas;2004;2100;6.3;32.7;0.2;0.0;1.7;5.1;0.0;0.0;0.0
55;06 Winning van aardolie en aardgas;2005;2200;6.4;35.2;0.2;0.0;1.6;5.2;0.0;0.0;0.0
56;06 Winning van aardolie en aardgas;2006;2100;6.2;31.7;0.2;0.0;1.4;5.2;0.0;0.0;0.0
57;06 Winning van aardolie en aardgas;2007;1900;7.5;34.3;0.2;0.03;0.8;4.9;0.0;0.0;0.0
58;06 Winning van aardolie en aardgas;2008;1900;7.4;36.0;0.2;0.03;0.9;4.8;0.0;0.01;0.01
59;06 Winning van aardolie en aardgas;2009;2000;6.5;30.2;0.2;0.02;0.6;2.8;0.0;0.0;0.0
60;06 Winning van aardolie en aardgas;2010;2100;6.6;33.3;0.3;0.03;0.0;4.4;0.0;0.0;0.0
61;06 Winning van aardolie en aardgas;2011;2000;8.6;33.5;0.4;0.03;0.0;4.5;0.0;0.0;0.0
62;06 Winning van aardolie en aardgas;2012;2100;7.2;31.7;0.3;0.03;0.0;4.9;0.0;0.0;0.0
63;06 Winning van aardolie en aardgas;2013;2200;6.6;28.9;0.4;0.03;0.0;5.2;0.0;0.0;0.0
64;06 Winning van aardolie en aardgas;2014;2200;6.0;28.0;0.3;0.03;0.0;5.7;0.0;0.0;0.0
65;06 Winning van aardolie en aardgas;2015;1900;6.2;26.7;0.2;0.03;0.0;5.5;0.0;0.0;0.0
66;06 Winning van aardolie en aardgas;2016;1700;5.3;24.8;0.1;0.03;0.0;4.0;0.0;0.0;0.0
67;06 Winning van aardolie en aardgas;2017;1800;4.7;21.4;0.1;0.04;0.0;3.7;0.0;0.0;0.0
68;06 Winning van aardolie en aardgas;2018;1700;2.9;18.7;0.0;0.03;0.0;3.4;0.0;0.0;0.0
69;06 Winning van aardolie en aardgas;2019;1500;2.5;18.0;0.1;0.09;0.0;2.4;0.0;0.0;0.0
70;06 Winning van aardolie en aardgas;2020;1500;2.5;16.7;0.1;0.06;0.0;2.4;0.0;0.0;0.0
71;06 Winning van aardolie en aardgas;2021;1400;1.9;15.3;0.1;0.05;0.0;2.4;0.0;0.0;0.0
72;192 Aardolie-industrie;1990;11000;17.1;1.1;67.2;0.05;4.9;18.9;0.0;6.47;4.93
73;192 Aardolie-industrie;1995;11600;14.0;1.0;61.2;0.05;2.2;17.1;0.0;4.79;3.85
74;192 Aardolie-industrie;2000;12400;16.6;0.9;33.2;0.04;2.8;10.4;0.0;3.34;2.34
75;192 Aardolie-industrie;2001;12700;10.3;0.9;34.8;0.04;2.1;10.2;0.0;2.94;2.24
76;192 Aardolie-industrie;2002;11700;9.4;0.9;30.4;0.03;4.5;9.9;0.0;2.42;1.7
77;192 Aardolie-industrie;2003;12300;9.5;0.9;29.5;0.04;4.0;9.8;0.0;2.83;2.06
78;192 Aardolie-industrie;2004;12200;8.9;0.9;32.3;0.04;3.6;9.4;0.0;1.99;1.4
79;192 Aardolie-industrie;2005;12400;13.3;0.9;32.2;0.04;4.8;9.2;0.0;1.65;1.28
80;192 Aardolie-industrie;2006;11600;10.8;0.8;32.4;0.04;5.2;10.1;0.0;1.71;1.6
81;192 Aardolie-industrie;2007;11600;9.1;1.0;29.9;0.04;4.0;9.3;0.0;1.46;1.04
82;192 Aardolie-industrie;2008;11800;8.7;0.8;25.7;0.04;5.3;8.6;0.0;1.36;1.01
83;192 Aardolie-industrie;2009;10800;7.7;1.3;17.9;0.03;5.7;6.2;0.0;0.55;0.34
84;192 Aardolie-industrie;2010;10600;8.0;1.0;12.7;0.02;6.3;5.6;0.0;0.29;0.23
85;192 Aardolie-industrie;2011;10800;6.8;1.5;12.5;0.03;7.3;5.8;0.0;0.32;0.22
86;192 Aardolie-industrie;2012;10500;6.9;1.3;13.9;0.03;5.9;5.3;0.0;0.21;0.11
87;192 Aardolie-industrie;2013;10300;7.2;0.9;9.9;0.03;4.5;5.5;0.0;0.24;0.17
88;192 Aardolie-industrie;2014;10700;6.4;0.9;9.7;0.03;4.7;5.2;0.0;0.24;0.19
89;192 Aardolie-industrie;2015;11200;6.3;0.9;11.1;0.03;5.6;5.2;0.0;0.27;0.23
90;192 Aardolie-industrie;2016;10700;5.8;0.9;11.2;0.03;4.8;5.0;0.0;0.23;0.18
91;192 Aardolie-industrie;2017;10100;5.5;0.9;11.1;0.03;2.0;4.8;0.0;0.23;0.18
92;192 Aardolie-industrie;2018;10200;5.0;1.0;9.8;0.03;2.1;4.9;0.0;0.23;0.18
93;192 Aardolie-industrie;2019;11000;4.3;1.1;8.7;0.03;2.6;5.2;0.0;0.22;0.18
94;192 Aardolie-industrie;2020;10000;3.8;1.0;7.2;0.03;2.5;4.4;0.0;0.19;0.15
95;192 Aardolie-industrie;2021;10500;3.4;0.9;8.1;0.03;2.5;4.5;0.0;0.17;0.14
96;35 Energiebedrijven;1990;39500;0.5;1.5;44.1;0.38;5.1;77.2;0.0;1.46;1.09
97;35 Energiebedrijven;1995;47800;0.6;2.3;16.3;0.41;6.4;59.2;0.0;0.57;0.33
98;35 Energiebedrijven;2000;48900;1.5;3.0;14.8;0.38;14.1;48.8;0.0;0.31;0.23
99;35 Energiebedrijven;2001;52800;0.3;3.2;15.5;0.42;12.2;46.0;0.0;0.37;0.27
100;35 Energiebedrijven;2002;54300;0.4;3.4;13.6;0.44;14.2;46.7;0.0;0.52;0.36
101;35 Energiebedrijven;2003;54800;0.4;3.3;13.9;0.44;14.5;48.3;0.1;0.47;0.3
102;35 Energiebedrijven;2004;56600;0.3;3.7;10.6;0.45;7.6;42.1;0.1;0.42;0.29
103;35 Energiebedrijven;2005;55100;0.5;4.0;9.7;0.5;7.3;40.9;0.2;0.5;0.36
104;35 Energiebedrijven;2006;50700;0.8;3.8;9.6;0.46;5.3;36.8;0.0;0.36;0.27
105;35 Energiebedrijven;2007;52600;0.3;3.5;8.6;0.45;4.1;29.1;0.0;0.31;0.22
106;35 Energiebedrijven;2008;52300;0.3;3.6;6.1;0.43;4.4;24.8;0.1;0.3;0.19
107;35 Energiebedrijven;2009;52900;0.3;3.9;6.0;0.45;3.6;23.3;0.0;0.32;0.24
108;35 Energiebedrijven;2010;55600;0.6;4.2;6.4;0.46;4.3;22.7;0.0;0.26;0.19
109;35 Energiebedrijven;2011;51200;0.6;3.9;6.4;0.43;3.8;18.8;0.0;0.1;0.08
110;35 Energiebedrijven;2012;48100;1.2;3.3;7.9;0.46;5.1;18.1;0.0;0.1;0.07
111;35 Energiebedrijven;2013;47200;1.7;3.0;9.2;0.43;5.2;18.7;0.0;0.22;0.13
112;35 Energiebedrijven;2014;50300;1.6;2.8;8.4;0.46;3.9;15.9;0.0;0.29;0.21
113;35 Energiebedrijven;2015;54500;0.6;3.3;8.4;0.56;3.8;16.9;0.0;0.36;0.26
114;35 Energiebedrijven;2016;53500;0.6;3.5;5.8;0.52;3.6;14.4;0.0;0.24;0.2
115;35 Energiebedrijven;2017;49800;0.6;3.3;4.0;0.45;3.4;13.1;0.0;0.22;0.14
116;35 Energiebedrijven;2018;46100;0.6;3.3;3.8;0.41;3.9;12.4;0.0;0.14;0.11
117;35 Energiebedrijven;2019;44600;0.6;4.0;2.5;0.36;3.3;11.7;0.0;0.11;0.09
118;35 Energiebedrijven;2020;38700;0.6;4.7;1.5;0.36;3.4;10.2;0.0;0.07;0.06
119;35 Energiebedrijven;2021;40500;0.6;4.4;2.2;0.49;4.2;10.8;0.0;0.11;0.1
120;Nijverheid (geen energiesector);1990;40500;158.9;14.0;51.4;24.01;267.4;79.0;4.7;27.73;15.11
121;Nijverheid (geen energiesector);1995;35500;106.9;14.0;29.6;24.03;213.2;56.9;4.2;17.7;10.06
122;Nijverheid (geen energiesector);2000;33600;74.9;14.8;13.9;23.35;159.4;35.1;2.7;10.63;5.76
123;Nijverheid (geen energiesector);2001;33000;64.0;14.6;15.6;21.35;158.1;36.3;2.7;10.04;5.26
124;Nijverheid (geen energiesector);2002;33500;61.0;15.9;15.4;20.45;143.8;35.4;2.5;10.53;5.31
125;Nijverheid (geen energiesector);2003;34000;53.7;16.0;12.0;20.65;137.9;35.0;2.6;9.27;4.89
126;Nijverheid (geen energiesector);2004;34200;50.1;16.0;15.3;22.58;164.9;36.1;3.2;9.31;5.06
127;Nijverheid (geen energiesector);2005;33900;49.7;15.9;14.9;22.72;151.5;35.4;2.4;8.79;4.64
128;Nijverheid (geen energiesector);2006;33900;47.3;14.7;15.3;22.57;158.5;33.6;2.1;8.67;4.62
129;Nijverheid (geen energiesector);2007;34600;48.2;14.7;15.8;18.26;151.0;32.7;1.9;8.68;4.61
130;Nijverheid (geen energiesector);2008;34600;44.2;14.4;14.7;6.08;152.2;32.4;2.0;8.17;4.27
131;Nijverheid (geen energiesector);2009;31800;41.5;14.0;10.2;6.28;101.2;28.0;1.8;8.04;4.35
132;Nijverheid (geen energiesector);2010;34900;49.1;14.8;12.4;5.35;122.9;30.3;1.8;8.14;4.39
133;Nijverheid (geen energiesector);2011;34000;47.1;14.6;12.9;5.36;109.7;29.7;2.0;7.99;4.53
134;Nijverheid (geen energiesector);2012;33300;43.6;14.6;10.5;5.4;104.0;28.4;1.7;7.53;3.88
135;Nijverheid (geen energiesector);2013;32900;42.9;14.4;8.9;5.41;90.9;25.7;1.5;7.45;3.9
136;Nijverheid (geen energiesector);2014;32100;41.3;14.6;9.6;5.65;90.8;24.9;1.3;7.42;3.83
137;Nijverheid (geen energiesector);2015;32000;39.0;14.6;9.4;5.67;96.1;24.5;1.4;7.5;3.89
138;Nijverheid (geen energiesector);2016;33800;33.7;14.7;9.0;4.98;92.5;24.8;1.7;7.77;4.03
139;Nijverheid (geen energiesector);2017;35500;36.1;15.1;9.4;5.27;88.4;23.9;1.5;7.98;4.22
140;Nijverheid (geen energiesector);2018;35400;36.1;14.6;9.6;4.82;90.4;23.5;1.6;7.91;4.15
141;Nijverheid (geen energiesector);2019;34000;35.5;15.1;9.7;4.82;93.3;23.1;1.3;7.8;4.12
142;Nijverheid (geen energiesector);2020;34400;34.4;16.2;9.3;4.38;82.2;21.6;1.6;7.53;3.8
143;Nijverheid (geen energiesector);2021;34800;34.5;15.9;8.8;3.68;78.1;21.5;1.5;7.82;3.96
144;10-12 Voedings-, genotmiddelenindustrie;1990;4300;9.6;0.6;1.7;0.08;6.0;7.7;0.2;4.66;1.19
145;10-12 Voedings-, genotmiddelenindustrie;1995;4300;8.1;0.8;0.6;0.08;7.1;5.6;0.2;2.48;0.61
146;10-12 Voedings-, genotmiddelenindustrie;2000;4500;8.5;0.9;0.5;0.08;4.4;3.7;0.2;1.9;0.48
147;10-12 Voedings-, genotmiddelenindustrie;2001;4300;8.1;0.9;1.1;0.09;4.1;3.4;0.4;1.6;0.38
148;10-12 Voedings-, genotmiddelenindustrie;2002;4500;7.3;0.9;0.8;0.07;4.6;3.4;0.4;1.59;0.36
149;10-12 Voedings-, genotmiddelenindustrie;2003;4300;7.5;0.9;0.4;0.07;3.6;2.6;0.4;1.58;0.34
150;10-12 Voedings-, genotmiddelenindustrie;2004;4200;7.6;0.9;0.5;0.06;5.8;3.2;0.5;1.57;0.37
151;10-12 Voedings-, genotmiddelenindustrie;2005;4100;8.0;0.9;0.4;0.06;6.1;3.5;0.4;1.54;0.37
152;10-12 Voedings-, genotmiddelenindustrie;2006;3900;7.5;0.9;0.8;0.05;5.0;3.4;0.3;1.43;0.36
153;10-12 Voedings-, genotmiddelenindustrie;2007;4000;8.1;0.8;1.0;0.07;5.4;3.4;0.3;1.45;0.38
154;10-12 Voedings-, genotmiddelenindustrie;2008;3800;8.0;0.8;0.8;0.07;5.2;3.3;0.4;1.39;0.35
155;10-12 Voedings-, genotmiddelenindustrie;2009;3400;7.9;0.7;0.7;0.07;4.8;2.9;0.4;1.34;0.34
156;10-12 Voedings-, genotmiddelenindustrie;2010;3600;7.9;0.7;0.7;0.06;4.7;2.9;0.6;1.32;0.33
157;10-12 Voedings-, genotmiddelenindustrie;2011;3800;8.1;0.7;0.5;0.06;4.8;2.7;0.6;1.34;0.32
158;10-12 Voedings-, genotmiddelenindustrie;2012;3600;5.1;0.6;0.6;0.06;4.3;2.6;0.5;1.34;0.32
159;10-12 Voedings-, genotmiddelenindustrie;2013;3500;6.6;0.6;0.5;0.06;3.9;2.5;0.5;1.34;0.31
160;10-12 Voedings-, genotmiddelenindustrie;2014;3700;6.4;0.6;0.6;0.06;4.3;2.7;0.4;1.46;0.34
161;10-12 Voedings-, genotmiddelenindustrie;2015;3600;6.3;0.7;0.6;0.06;3.8;2.2;0.5;1.46;0.37
162;10-12 Voedings-, genotmiddelenindustrie;2016;3600;4.9;0.8;0.6;0.07;3.4;2.2;0.5;1.53;0.38
163;10-12 Voedings-, genotmiddelenindustrie;2017;3800;6.0;0.7;0.7;0.07;3.8;2.1;0.4;1.56;0.4
164;10-12 Voedings-, genotmiddelenindustrie;2018;3800;6.1;0.7;0.6;0.08;4.2;2.0;0.4;1.59;0.4
165;10-12 Voedings-, genotmiddelenindustrie;2019;3900;6.3;0.7;0.6;0.07;3.9;2.1;0.4;1.5;0.34
166;10-12 Voedings-, genotmiddelenindustrie;2020;3800;5.8;0.7;0.6;0.07;2.9;1.8;0.7;1.57;0.35
167;10-12 Voedings-, genotmiddelenindustrie;2021;3900;5.6;0.7;0.5;0.07;2.8;1.8;0.6;1.58;0.35
168;13-15 Textiel-, kleding-, lederindustrie;1990;300;2.5;0.0;0.8;0.0;0.2;0.6;0.0;0.27;0.12
169;13-15 Textiel-, kleding-, lederindustrie;1995;400;0.6;0.0;0.0;0.0;0.3;0.4;0.0;0.12;0.04
170;13-15 Textiel-, kleding-, lederindustrie;2000;400;0.5;0.0;0.0;0.0;0.3;0.2;0.0;0.12;0.04
171;13-15 Textiel-, kleding-, lederindustrie;2001;300;0.5;0.0;0.0;0.0;0.2;0.2;0.0;0.12;0.04
172;13-15 Textiel-, kleding-, lederindustrie;2002;300;0.6;0.0;0.0;0.0;0.2;0.2;0.0;0.11;0.04
173;13-15 Textiel-, kleding-, lederindustrie;2003;300;0.5;0.0;0.0;0.0;0.2;0.2;0.0;0.11;0.04
174;13-15 Textiel-, kleding-, lederindustrie;2004;200;0.5;0.0;0.0;0.0;0.2;0.2;0.0;0.1;0.04
175;13-15 Textiel-, kleding-, lederindustrie;2005;200;0.5;0.0;0.0;0.0;0.2;0.1;0.0;0.1;0.04
176;13-15 Textiel-, kleding-, lederindustrie;2006;200;0.6;0.0;0.0;0.0;0.1;0.1;0.0;0.09;0.03
177;13-15 Textiel-, kleding-, lederindustrie;2007;200;0.5;0.0;0.0;0.0;0.1;0.1;0.0;0.08;0.03
178;13-15 Textiel-, kleding-, lederindustrie;2008;200;0.5;0.0;0.0;0.0;0.1;0.1;0.0;0.08;0.03
179;13-15 Textiel-, kleding-, lederindustrie;2009;200;0.4;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.03
180;13-15 Textiel-, kleding-, lederindustrie;2010;200;0.4;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.02
181;13-15 Textiel-, kleding-, lederindustrie;2011;200;0.5;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.02
182;13-15 Textiel-, kleding-, lederindustrie;2012;200;0.5;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.02
183;13-15 Textiel-, kleding-, lederindustrie;2013;200;0.5;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.02
184;13-15 Textiel-, kleding-, lederindustrie;2014;100;0.4;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.02
185;13-15 Textiel-, kleding-, lederindustrie;2015;100;0.4;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.02
186;13-15 Textiel-, kleding-, lederindustrie;2016;100;0.4;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.02
187;13-15 Textiel-, kleding-, lederindustrie;2017;100;0.5;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.03
188;13-15 Textiel-, kleding-, lederindustrie;2018;100;0.5;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.03
189;13-15 Textiel-, kleding-, lederindustrie;2019;100;0.5;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.03
190;13-15 Textiel-, kleding-, lederindustrie;2020;100;0.4;0.0;0.0;0.0;0.1;0.1;0.0;0.06;0.02
191;13-15 Textiel-, kleding-, lederindustrie;2021;100;0.4;0.0;0.0;0.0;0.1;0.1;0.0;0.07;0.02
192;16 Houtindustrie;1990;100;5.1;0.0;0.0;0.0;0.0;0.1;0.0;0.47;0.18
193;16 Houtindustrie;1995;100;3.8;0.0;0.0;0.0;0.1;0.1;0.0;0.42;0.15
194;16 Houtindustrie;2000;200;2.9;0.0;0.0;0.0;0.2;0.1;0.0;0.41;0.14
195;16 Houtindustrie;2001;100;3.0;0.0;0.0;0.0;0.1;0.1;0.0;0.39;0.14
196;16 Houtindustrie;2002;100;2.6;0.0;0.0;0.0;0.0;0.0;0.0;0.36;0.13
197;16 Houtindustrie;2003;100;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.12
198;16 Houtindustrie;2004;100;1.3;0.0;0.0;0.0;0.8;0.2;0.0;0.34;0.13
199;16 Houtindustrie;2005;100;0.8;0.0;0.0;0.0;0.8;0.2;0.0;0.31;0.13
200;16 Houtindustrie;2006;100;0.8;0.0;0.0;0.0;0.8;0.2;0.0;0.29;0.12
201;16 Houtindustrie;2007;100;0.7;0.0;0.0;0.0;0.8;0.2;0.0;0.26;0.11
202;16 Houtindustrie;2008;100;0.6;0.0;0.0;0.0;0.8;0.2;0.0;0.24;0.1
203;16 Houtindustrie;2009;200;0.5;0.0;0.0;0.0;0.7;0.2;0.0;0.21;0.09
204;16 Houtindustrie;2010;100;0.5;0.0;0.0;0.0;0.7;0.2;0.0;0.19;0.08
205;16 Houtindustrie;2011;200;0.4;0.0;0.0;0.0;0.7;0.2;0.0;0.19;0.08
206;16 Houtindustrie;2012;100;0.4;0.0;0.0;0.0;0.7;0.2;0.0;0.18;0.08
207;16 Houtindustrie;2013;100;0.4;0.0;0.0;0.0;0.7;0.2;0.0;0.17;0.07
208;16 Houtindustrie;2014;200;0.3;0.0;0.0;0.0;0.8;0.2;0.0;0.18;0.08
209;16 Houtindustrie;2015;200;0.2;0.0;0.0;0.0;0.7;0.2;0.0;0.19;0.08
210;16 Houtindustrie;2016;200;0.2;0.0;0.0;0.0;0.8;0.2;0.0;0.19;0.08
211;16 Houtindustrie;2017;100;0.2;0.0;0.0;0.0;0.5;0.1;0.0;0.18;0.07
212;16 Houtindustrie;2018;100;0.2;0.0;0.0;0.0;0.4;0.1;0.0;0.18;0.07
213;16 Houtindustrie;2019;100;0.2;0.0;0.0;0.0;0.4;0.1;0.0;0.19;0.08
214;16 Houtindustrie;2020;100;0.2;0.0;0.0;0.0;0.4;0.1;0.0;0.19;0.08
215;16 Houtindustrie;2021;100;0.2;0.0;0.0;0.0;0.4;0.1;0.0;0.2;0.08
216;17-18 Papier- en grafische industrie;1990;1700;18.1;0.2;0.2;0.01;1.0;2.9;0.1;0.42;0.16
217;17-18 Papier- en grafische industrie;1995;1400;15.3;0.2;0.1;0.01;1.6;2.6;0.1;0.4;0.14
218;17-18 Papier- en grafische industrie;2000;1600;12.0;0.2;0.1;0.01;1.5;2.2;0.1;0.39;0.14
219;17-18 Papier- en grafische industrie;2001;1500;8.3;0.2;0.0;0.01;1.5;1.9;0.1;0.38;0.14
220;17-18 Papier- en grafische industrie;2002;1500;8.2;0.2;0.1;0.01;2.4;2.1;0.0;0.38;0.14
221;17-18 Papier- en grafische industrie;2003;1500;6.0;0.2;0.1;0.01;2.3;2.1;0.0;0.36;0.13
222;17-18 Papier- en grafische industrie;2004;1500;5.8;0.2;0.1;0.01;2.3;2.0;0.0;0.35;0.12
223;17-18 Papier- en grafische industrie;2005;1700;5.9;0.2;0.0;0.01;2.4;1.8;0.0;0.34;0.12
224;17-18 Papier- en grafische industrie;2006;1600;5.3;0.2;0.0;0.01;1.8;1.7;0.0;0.34;0.12
225;17-18 Papier- en grafische industrie;2007;1400;5.1;0.2;0.0;0.01;1.8;1.6;0.0;0.33;0.12
226;17-18 Papier- en grafische industrie;2008;1200;4.7;0.2;0.0;0.01;1.7;1.5;0.0;0.32;0.11
227;17-18 Papier- en grafische industrie;2009;1100;4.3;0.1;0.0;0.01;1.7;1.3;0.0;0.31;0.11
228;17-18 Papier- en grafische industrie;2010;1200;4.1;0.2;0.0;0.01;1.6;1.3;0.0;0.3;0.11
229;17-18 Papier- en grafische industrie;2011;1100;4.0;0.2;0.0;0.01;1.5;1.3;0.0;0.3;0.11
230;17-18 Papier- en grafische industrie;2012;1100;4.0;0.2;0.0;0.01;1.6;1.3;0.0;0.3;0.11
231;17-18 Papier- en grafische industrie;2013;1000;4.3;0.1;0.0;0.01;1.5;1.2;0.0;0.3;0.11
232;17-18 Papier- en grafische industrie;2014;1000;3.9;0.1;0.0;0.01;1.4;1.1;0.0;0.31;0.11
233;17-18 Papier- en grafische industrie;2015;1100;3.9;0.1;0.0;0.01;1.4;1.0;0.0;0.31;0.11
234;17-18 Papier- en grafische industrie;2016;1000;4.2;0.1;0.0;0.01;1.3;1.0;0.0;0.32;0.11
235;17-18 Papier- en grafische industrie;2017;1100;3.9;0.1;0.0;0.01;1.0;1.0;0.0;0.33;0.12
236;17-18 Papier- en grafische industrie;2018;1000;3.8;0.1;0.0;0.01;0.9;1.0;0.0;0.38;0.13
237;17-18 Papier- en grafische industrie;2019;1000;3.1;0.1;0.0;0.01;1.1;0.9;0.0;0.38;0.13
