ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
5869;2022 woensdag 26 januari;1.997;1.694;0.908
5870;2022 donderdag 27 januari;2.0;1.698;0.904
5871;2022 vrijdag 28 januari;2.003;1.705;0.917
5872;2022 zaterdag 29 januari;2.006;1.71;0.914
5873;2022 zondag 30 januari;2.007;1.712;0.918
5874;2022 maandag 31 januari;2.01;1.716;0.921
5875;2022 dinsdag 1 februari;2.015;1.717;0.922
5876;2022 woensdag 2 februari;2.014;1.715;0.912
5877;2022 donderdag 3 februari;2.015;1.714;0.912
5878;2022 vrijdag 4 februari;2.016;1.714;0.916
5879;2022 zaterdag 5 februari;2.021;1.72;0.916
5880;2022 zondag 6 februari;2.023;1.722;0.909
5881;2022 maandag 7 februari;2.028;1.729;0.914
5882;2022 dinsdag 8 februari;2.036;1.738;0.914
5883;2022 woensdag 9 februari;2.034;1.739;0.915
5884;2022 donderdag 10 februari;2.037;1.741;0.909
5885;2022 vrijdag 11 februari;2.04;1.742;0.922
5886;2022 zaterdag 12 februari;2.043;1.742;0.92
5887;2022 zondag 13 februari;2.043;1.742;0.909
5888;2022 maandag 14 februari;2.048;1.748;0.914
5889;2022 dinsdag 15 februari;2.055;1.75;0.913
5890;2022 woensdag 16 februari;2.056;1.75;0.913
5891;2022 donderdag 17 februari;2.057;1.751;0.918
5892;2022 vrijdag 18 februari;2.057;1.749;0.913
5893;2022 zaterdag 19 februari;2.053;1.741;0.919
5894;2022 zondag 20 februari;2.055;1.745;0.914
5895;2022 maandag 21 februari;2.055;1.746;0.916
5896;2022 dinsdag 22 februari;2.055;1.743;0.911
5897;2022 woensdag 23 februari;2.061;1.75;0.916
5898;2022 donderdag 24 februari;2.065;1.753;0.924
5899;2022 vrijdag 25 februari;2.088;1.776;0.93
5900;2022 zaterdag 26 februari;2.097;1.783;0.93
5901;2022 zondag 27 februari;2.096;1.784;0.939
5902;2022 maandag 28 februari;2.099;1.788;0.935
5903;2022 dinsdag 1 maart;2.109;1.798;0.938
5904;2022 woensdag 2 maart;2.123;1.819;0.953
5905;2022 donderdag 3 maart;2.15;1.854;0.972
5906;2022 vrijdag 4 maart;2.184;1.906;0.989
5907;2022 zaterdag 5 maart;2.22;1.947;1.014
5908;2022 zondag 6 maart;2.225;1.953;1.012
5909;2022 maandag 7 maart;2.236;1.972;1.021
5910;2022 dinsdag 8 maart;2.319;2.082;1.042
5911;2022 woensdag 9 maart;2.368;2.229;1.077
5912;2022 donderdag 10 maart;2.383;2.277;1.091
5913;2022 vrijdag 11 maart;2.362;2.253;1.097
5914;2022 zaterdag 12 maart;2.339;2.221;1.091
5915;2022 zondag 13 maart;2.338;2.218;1.098
5916;2022 maandag 14 maart;2.336;2.22;1.096
5917;2022 dinsdag 15 maart;2.325;2.198;1.104
5918;2022 woensdag 16 maart;2.311;2.179;1.109
5919;2022 donderdag 17 maart;2.306;2.17;1.111
5920;2022 vrijdag 18 maart;2.294;2.161;1.114
5921;2022 zaterdag 19 maart;2.284;2.146;1.114
5922;2022 zondag 20 maart;2.282;2.148;1.112
5923;2022 maandag 21 maart;2.288;2.152;1.114
5924;2022 dinsdag 22 maart;2.296;2.152;1.129
5925;2022 woensdag 23 maart;2.299;2.154;1.136
5926;2022 donderdag 24 maart;2.308;2.166;1.14
5927;2022 vrijdag 25 maart;2.32;2.18;1.148
5928;2022 zaterdag 26 maart;2.326;2.182;1.147
5929;2022 zondag 27 maart;2.326;2.183;1.144
5930;2022 maandag 28 maart;2.331;2.187;1.154
5931;2022 dinsdag 29 maart;2.333;2.186;1.164
5932;2022 woensdag 30 maart;2.331;2.179;1.171
5933;2022 donderdag 31 maart;2.331;2.179;1.174
5934;2022 vrijdag 1 april;2.119;2.041;1.126
5935;2022 zaterdag 2 april;2.11;2.031;1.119
5936;2022 zondag 3 april;2.11;2.033;1.124
5937;2022 maandag 4 april;2.112;2.036;1.121
5938;2022 dinsdag 5 april;2.109;2.033;1.125
5939;2022 woensdag 6 april;2.102;2.025;1.116
5940;2022 donderdag 7 april;2.102;2.024;1.12
5941;2022 vrijdag 8 april;2.093;2.016;1.12
5942;2022 zaterdag 9 april;2.084;2.001;1.12
5943;2022 zondag 10 april;2.084;2.001;1.114
5944;2022 maandag 11 april;2.085;2.003;1.119
5945;2022 dinsdag 12 april;2.078;1.989;1.111
5946;2022 woensdag 13 april;2.071;1.98;1.101
5947;2022 donderdag 14 april;2.07;1.978;1.115
5948;2022 vrijdag 15 april;2.071;1.98;1.099
5949;2022 zaterdag 16 april;2.07;1.981;1.108
5950;2022 zondag 17 april;2.072;1.982;1.099
5951;2022 maandag 18 april;2.073;1.985;1.103
5952;2022 dinsdag 19 april;2.074;1.985;1.1
5953;2022 woensdag 20 april;2.079;1.988;1.099
5954;2022 donderdag 21 april;2.084;1.992;1.105
5955;2022 vrijdag 22 april;2.083;1.995;1.102
5956;2022 zaterdag 23 april;2.083;1.993;1.098
5957;2022 zondag 24 april;2.084;1.994;1.104
5958;2022 maandag 25 april;2.088;1.997;1.094
5959;2022 dinsdag 26 april;2.085;1.994;1.097
5960;2022 woensdag 27 april;2.082;1.99;1.098
5961;2022 donderdag 28 april;2.087;1.997;1.103
5962;2022 vrijdag 29 april;2.095;2.003;1.099
5963;2022 zaterdag 30 april;2.107;2.015;1.1
5964;2022 zondag 1 mei;2.11;2.018;1.095
5965;2022 maandag 2 mei;2.112;2.022;1.105
5966;2022 dinsdag 3 mei;2.115;2.027;1.1
5967;2022 woensdag 4 mei;2.12;2.039;1.099
5968;2022 donderdag 5 mei;2.127;2.049;1.095
5969;2022 vrijdag 6 mei;2.142;2.051;1.103
5970;2022 zaterdag 7 mei;2.15;2.044;1.102
5971;2022 zondag 8 mei;2.15;2.045;1.099
5972;2022 maandag 9 mei;2.153;2.046;1.103
5973;2022 dinsdag 10 mei;2.158;2.04;1.094
5974;2022 woensdag 11 mei;2.154;2.024;1.091
5975;2022 donderdag 12 mei;2.154;2.017;1.086
5976;2022 vrijdag 13 mei;2.154;2.0;1.091
5977;2022 zaterdag 14 mei;2.173;1.987;1.078
5978;2022 zondag 15 mei;2.176;1.988;1.077
5979;2022 maandag 16 mei;2.179;1.988;1.085
5980;2022 dinsdag 17 mei;2.207;1.984;1.082
5981;2022 woensdag 18 mei;2.228;1.981;1.069
5982;2022 donderdag 19 mei;2.237;1.979;1.062
5983;2022 vrijdag 20 mei;2.231;1.968;1.057
5984;2022 zaterdag 21 mei;2.227;1.955;1.053
5985;2022 zondag 22 mei;2.226;1.955;1.057
5986;2022 maandag 23 mei;2.225;1.954;1.051
5987;2022 dinsdag 24 mei;2.219;1.944;1.051
5988;2022 woensdag 25 mei;2.214;1.939;1.051
5989;2022 donderdag 26 mei;2.22;1.942;1.039
5990;2022 vrijdag 27 mei;2.222;1.943;1.039
5991;2022 zaterdag 28 mei;2.244;1.955;1.04
5992;2022 zondag 29 mei;2.245;1.957;1.046
5993;2022 maandag 30 mei;2.25;1.962;1.036
5994;2022 dinsdag 31 mei;2.279;1.975;1.037
5995;2022 woensdag 1 juni;2.311;2.012;1.039
5996;2022 donderdag 2 juni;2.343;2.031;1.028
5997;2022 vrijdag 3 juni;2.359;2.043;1.028
5998;2022 zaterdag 4 juni;2.363;2.058;1.019
5999;2022 zondag 5 juni;2.365;2.061;1.022
6000;2022 maandag 6 juni;2.368;2.065;1.022
6001;2022 dinsdag 7 juni;2.371;2.069;1.023
6002;2022 woensdag 8 juni;2.372;2.104;1.03
6003;2022 donderdag 9 juni;2.37;2.123;1.026
6004;2022 vrijdag 10 juni;2.365;2.139;1.024
6005;2022 zaterdag 11 juni;2.366;2.16;1.02
6006;2022 zondag 12 juni;2.366;2.161;1.018
6007;2022 maandag 13 juni;2.369;2.168;1.015
6008;2022 dinsdag 14 juni;2.367;2.171;1.008
6009;2022 woensdag 15 juni;2.365;2.173;1.005
6010;2022 donderdag 16 juni;2.362;2.176;1.007
6011;2022 vrijdag 17 juni;2.357;2.18;1.004
6012;2022 zaterdag 18 juni;2.354;2.184;0.999
6013;2022 zondag 19 juni;2.353;2.182;0.996
6014;2022 maandag 20 juni;2.356;2.187;1.002
6015;2022 dinsdag 21 juni;2.353;2.19;0.996
6016;2022 woensdag 22 juni;2.35;2.191;0.997
6017;2022 donderdag 23 juni;2.346;2.187;0.995
6018;2022 vrijdag 24 juni;2.342;2.186;0.997
6019;2022 zaterdag 25 juni;2.335;2.182;0.988
6020;2022 zondag 26 juni;2.335;2.183;0.987
6021;2022 maandag 27 juni;2.336;2.185;0.989
6022;2022 dinsdag 28 juni;2.332;2.185;0.98
6023;2022 woensdag 29 juni;2.326;2.178;0.972
6024;2022 donderdag 30 juni;2.324;2.174;0.969
6025;2022 vrijdag 1 juli;2.318;2.17;0.946
6026;2022 zaterdag 2 juli;2.303;2.158;0.926
6027;2022 zondag 3 juli;2.302;2.157;0.93
6028;2022 maandag 4 juli;2.306;2.161;0.923
6029;2022 dinsdag 5 juli;2.302;2.158;0.921
6030;2022 woensdag 6 juli;2.292;2.151;0.919
6031;2022 donderdag 7 juli;2.282;2.145;0.913
6032;2022 vrijdag 8 juli;2.265;2.13;0.917
6033;2022 zaterdag 9 juli;2.251;2.111;0.913
6034;2022 zondag 10 juli;2.251;2.108;0.91
6035;2022 maandag 11 juli;2.251;2.112;0.909
6036;2022 dinsdag 12 juli;2.246;2.107;0.904
6037;2022 woensdag 13 juli;2.235;2.095;0.902
6038;2022 donderdag 14 juli;2.225;2.087;0.899
6039;2022 vrijdag 15 juli;2.204;2.067;0.9
6040;2022 zaterdag 16 juli;2.191;2.051;0.893
6041;2022 zondag 17 juli;2.191;2.05;0.904
6042;2022 maandag 18 juli;2.19;2.051;0.892
6043;2022 dinsdag 19 juli;2.181;2.045;0.896
6044;2022 woensdag 20 juli;2.174;2.036;0.89
6045;2022 donderdag 21 juli;2.169;2.025;0.886
6046;2022 vrijdag 22 juli;2.156;2.013;0.883
6047;2022 zaterdag 23 juli;2.145;1.997;0.875
6048;2022 zondag 24 juli;2.144;1.995;0.888
6049;2022 maandag 25 juli;2.143;1.996;0.885
6050;2022 dinsdag 26 juli;2.135;1.991;0.879
6051;2022 woensdag 27 juli;2.127;1.986;0.874
6052;2022 donderdag 28 juli;2.126;1.986;0.879
6053;2022 vrijdag 29 juli;2.129;1.993;0.878
6054;2022 zaterdag 30 juli;2.128;1.992;0.877
6055;2022 zondag 31 juli;2.127;1.992;0.877
6056;2022 maandag 1 augustus;2.131;1.997;0.875
6057;2022 dinsdag 2 augustus;2.126;1.994;0.867
6058;2022 woensdag 3 augustus;2.114;1.985;0.873
6059;2022 donderdag 4 augustus;2.112;1.984;0.867
6060;2022 vrijdag 5 augustus;2.103;1.982;0.867
6061;2022 zaterdag 6 augustus;2.085;1.962;0.855
6062;2022 zondag 7 augustus;2.087;1.966;0.857
6063;2022 maandag 8 augustus;2.085;1.966;0.862
6064;2022 dinsdag 9 augustus;2.072;1.952;0.865
6065;2022 woensdag 10 augustus;2.063;1.944;0.858
6066;2022 donderdag 11 augustus;2.06;1.939;0.846
6067;2022 vrijdag 12 augustus;2.057;1.94;0.853
6068;2022 zaterdag 13 augustus;2.058;1.937;0.836
6069;2022 zondag 14 augustus;2.06;1.938;0.845
6070;2022 maandag 15 augustus;2.061;1.942;0.841
6071;2022 dinsdag 16 augustus;2.059;1.94;0.842
6072;2022 woensdag 17 augustus;2.052;1.934;0.848
6073;2022 donderdag 18 augustus;2.045;1.934;0.84
6074;2022 vrijdag 19 augustus;2.041;1.935;0.839
6075;2022 zaterdag 20 augustus;2.037;1.933;0.848
6076;2022 zondag 21 augustus;2.038;1.936;0.838
6077;2022 maandag 22 augustus;2.038;1.94;0.837
6078;2022 dinsdag 23 augustus;2.042;1.949;0.839
6079;2022 woensdag 24 augustus;2.043;1.959;0.836
6080;2022 donderdag 25 augustus;2.05;1.981;0.843
6081;2022 vrijdag 26 augustus;2.049;2.025;0.844
6082;2022 zaterdag 27 augustus;2.047;2.048;0.844
6083;2022 zondag 28 augustus;2.046;2.053;0.837
6084;2022 maandag 29 augustus;2.048;2.061;0.838
6085;2022 dinsdag 30 augustus;2.047;2.072;0.843
6086;2022 woensdag 31 augustus;2.047;2.073;0.849
6087;2022 donderdag 1 september;2.041;2.071;0.841
6088;2022 vrijdag 2 september;2.024;2.058;0.843
6089;2022 zaterdag 3 september;2.013;2.046;0.852
6090;2022 zondag 4 september;2.012;2.045;0.845
6091;2022 maandag 5 september;2.011;2.047;0.846
6092;2022 dinsdag 6 september;2.009;2.05;0.843
6093;2022 woensdag 7 september;2.007;2.048;0.843
6094;2022 donderdag 8 september;2.007;2.048;0.842
6095;2022 vrijdag 9 september;1.996;2.042;0.841
6096;2022 zaterdag 10 september;1.986;2.033;0.846
6097;2022 zondag 11 september;1.985;2.032;0.834
6098;2022 maandag 12 september;1.988;2.037;0.841
6099;2022 dinsdag 13 september;1.982;2.032;0.84
6100;2022 woensdag 14 september;1.975;2.026;0.844
6101;2022 donderdag 15 september;1.971;2.018;0.845
6102;2022 vrijdag 16 september;1.964;2.002;0.842
6103;2022 zaterdag 17 september;1.948;1.983;0.837
6104;2022 zondag 18 september;1.948;1.983;0.84
6105;2022 maandag 19 september;1.945;1.979;0.838
6106;2022 dinsdag 20 september;1.935;1.961;0.841
6107;2022 woensdag 21 september;1.931;1.953;0.843
6108;2022 donderdag 22 september;1.935;1.952;0.842
6109;2022 vrijdag 23 september;1.937;1.952;0.84
6110;2022 zaterdag 24 september;1.927;1.941;0.845
6111;2022 zondag 25 september;1.926;1.94;0.835
6112;2022 maandag 26 september;1.928;1.943;0.842
6113;2022 dinsdag 27 september;1.921;1.936;0.839
6114;2022 woensdag 28 september;1.918;1.928;0.837
6115;2022 donderdag 29 september;1.922;1.931;0.842
6116;2022 vrijdag 30 september;1.932;1.945;0.835
6117;2022 zaterdag 1 oktober;1.931;1.941;0.844
6118;2022 zondag 2 oktober;1.931;1.94;0.84
6119;2022 maandag 3 oktober;1.938;1.949;0.839
6120;2022 dinsdag 4 oktober;1.941;1.951;0.837
6121;2022 woensdag 5 oktober;1.946;1.959;0.834
6122;2022 donderdag 6 oktober;1.95;1.98;0.836
6123;2022 vrijdag 7 oktober;1.954;1.995;0.835
6124;2022 zaterdag 8 oktober;1.966;2.03;0.838
6125;2022 zondag 9 oktober;1.966;2.03;0.842
6126;2022 maandag 10 oktober;1.972;2.042;0.84
6127;2022 dinsdag 11 oktober;1.983;2.079;0.835
6128;2022 woensdag 12 oktober;1.984;2.074;0.83
6129;2022 donderdag 13 oktober;1.999;2.08;0.835
6130;2022 vrijdag 14 oktober;2.018;2.104;0.837
6131;2022 zaterdag 15 oktober;2.027;2.113;0.835
6132;2022 zondag 16 oktober;2.029;2.115;0.831
6133;2022 maandag 17 oktober;2.032;2.118;0.834
6134;2022 dinsdag 18 oktober;2.034;2.123;0.831
6135;2022 woensdag 19 oktober;2.033;2.132;0.838
6136;2022 donderdag 20 oktober;2.03;2.138;0.831
6137;2022 vrijdag 21 oktober;2.025;2.14;0.833
6138;2022 zaterdag 22 oktober;2.022;2.135;0.83
6139;2022 zondag 23 oktober;2.021;2.136;0.831
6140;2022 maandag 24 oktober;2.024;2.14;0.836
6141;2022 dinsdag 25 oktober;2.021;2.134;0.835
6142;2022 woensdag 26 oktober;2.017;2.127;0.834
6143;2022 donderdag 27 oktober;2.017;2.127;0.83
6144;2022 vrijdag 28 oktober;2.013;2.126;0.827
6145;2022 zaterdag 29 oktober;2.009;2.125;0.831
6146;2022 zondag 30 oktober;2.009;2.126;0.826
6147;2022 maandag 31 oktober;2.012;2.131;0.828
6148;2022 dinsdag 1 november;2.012;2.131;0.83
6149;2022 woensdag 2 november;2.009;2.123;0.828
6150;2022 donderdag 3 november;2.012;2.111;0.827
6151;2022 vrijdag 4 november;2.012;2.084;0.824
6152;2022 zaterdag 5 november;2.022;2.07;0.834
6153;2022 zondag 6 november;2.025;2.069;0.829
6154;2022 maandag 7 november;2.029;2.072;0.823
6155;2022 dinsdag 8 november;2.025;2.054;0.827
6156;2022 woensdag 9 november;2.006;2.027;0.828
6157;2022 donderdag 10 november;1.987;1.995;0.828
6158;2022 vrijdag 11 november;1.961;1.958;0.828
6159;2022 zaterdag 12 november;1.944;1.936;0.83
6160;2022 zondag 13 november;1.943;1.934;0.825
6161;2022 maandag 14 november;1.944;1.937;0.826
6162;2022 dinsdag 15 november;1.929;1.915;0.824
6163;2022 woensdag 16 november;1.908;1.891;0.831
6164;2022 donderdag 17 november;1.894;1.879;0.826
6165;2022 vrijdag 18 november;1.872;1.865;0.821
6166;2022 zaterdag 19 november;1.851;1.843;0.828
6167;2022 zondag 20 november;1.849;1.841;0.82
6168;2022 maandag 21 november;1.85;1.844;0.827
6169;2022 dinsdag 22 november;1.833;1.832;0.826
6170;2022 woensdag 23 november;1.824;1.821;0.824
6171;2022 donderdag 24 november;1.821;1.815;0.821
6172;2022 vrijdag 25 november;1.812;1.801;0.817
6173;2022 zaterdag 26 november;1.805;1.789;0.825
6174;2022 zondag 27 november;1.807;1.791;0.817
6175;2022 maandag 28 november;1.808;1.793;0.816
6176;2022 dinsdag 29 november;1.792;1.777;0.813
6177;2022 woensdag 30 november;1.785;1.768;0.809
6178;2022 donderdag 1 december;1.792;1.774;0.809
6179;2022 vrijdag 2 december;1.799;1.783;0.818
6180;2022 zaterdag 3 december;1.796;1.78;0.816
6181;2022 zondag 4 december;1.796;1.779;0.814
6182;2022 maandag 5 december;1.799;1.784;0.81
6183;2022 dinsdag 6 december;1.798;1.783;0.813
6184;2022 woensdag 7 december;1.783;1.766;0.819
6185;2022 donderdag 8 december;1.77;1.749;0.811
6186;2022 vrijdag 9 december;1.747;1.725;0.814
6187;2022 zaterdag 10 december;1.729;1.709;0.805
6188;2022 zondag 11 december;1.73;1.71;0.81
6189;2022 maandag 12 december;1.73;1.713;0.803
6190;2022 dinsdag 13 december;1.719;1.704;0.796
6191;2022 woensdag 14 december;1.717;1.707;0.797
6192;2022 donderdag 15 december;1.73;1.726;0.796
6193;2022 vrijdag 16 december;1.74;1.745;0.792
6194;2022 zaterdag 17 december;1.739;1.745;0.783
6195;2022 zondag 18 december;1.738;1.747;0.803
6196;2022 maandag 19 december;1.742;1.751;0.789
6197;2022 dinsdag 20 december;1.741;1.75;0.79
6198;2022 woensdag 21 december;1.74;1.746;0.786
6199;2022 donderdag 22 december;1.743;1.747;0.792
6200;2022 vrijdag 23 december;1.748;1.75;0.783
6201;2022 zaterdag 24 december;1.754;1.751;0.781
6202;2022 zondag 25 december;1.757;1.753;0.788
6203;2022 maandag 26 december;1.757;1.754;0.774
6204;2022 dinsdag 27 december;1.76;1.757;0.786
6205;2022 woensdag 28 december;1.765;1.764;0.78
6206;2022 donderdag 29 december;1.78;1.774;0.78
6207;2022 vrijdag 30 december;1.785;1.776;0.777
6208;2022 zaterdag 31 december;1.792;1.779;0.775
6209;2023 zondag 1 januari;1.79;1.777;0.771
6210;2023 maandag 2 januari;1.795;1.781;0.764
6211;2023 dinsdag 3 januari;1.803;1.786;0.767
6212;2023 woensdag 4 januari;1.815;1.792;0.773
6213;2023 donderdag 5 januari;1.811;1.787;0.773
6214;2023 vrijdag 6 januari;1.81;1.778;0.764
6215;2023 zaterdag 7 januari;1.801;1.771;0.771
6216;2023 zondag 8 januari;1.802;1.77;0.77
6217;2023 maandag 9 januari;1.803;1.774;0.772
6218;2023 dinsdag 10 januari;1.801;1.77;0.764
6219;2023 woensdag 11 januari;1.796;1.765;0.77
6220;2023 donderdag 12 januari;1.8;1.764;0.761
6221;2023 vrijdag 13 januari;1.807;1.766;0.773
6222;2023 zaterdag 14 januari;1.81;1.762;0.773
6223;2023 zondag 15 januari;1.809;1.762;0.766
6224;2023 maandag 16 januari;1.813;1.768;0.777
6225;2023 dinsdag 17 januari;1.82;1.773;0.766
6226;2023 woensdag 18 januari;1.822;1.772;0.773
6227;2023 donderdag 19 januari;1.83;1.775;0.771
6228;2023 vrijdag 20 januari;1.832;1.776;0.769
6229;2023 zaterdag 21 januari;1.835;1.777;0.769
6230;2023 zondag 22 januari;1.837;1.781;0.767
6231;2023 maandag 23 januari;1.839;1.784;0.773
6232;2023 dinsdag 24 januari;1.847;1.798;0.775
6233;2023 woensdag 25 januari;1.855;1.812;0.779
6234;2023 donderdag 26 januari;1.86;1.816;0.783
6235;2023 vrijdag 27 januari;1.859;1.816;0.785
6236;2023 zaterdag 28 januari;1.86;1.814;0.784
6237;2023 zondag 29 januari;1.861;1.815;0.785
6238;2023 maandag 30 januari;1.864;1.819;0.788
6239;2023 dinsdag 31 januari;1.863;1.812;0.79
6240;2023 woensdag 1 februari;1.857;1.795;0.796
6241;2023 donderdag 2 februari;1.854;1.787;0.797
6242;2023 vrijdag 3 februari;1.847;1.769;0.808
6243;2023 zaterdag 4 februari;1.834;1.747;0.799
6244;2023 zondag 5 februari;1.836;1.748;0.802
6245;2023 maandag 6 februari;1.835;1.748;0.805
6246;2023 dinsdag 7 februari;1.82;1.725;0.813
6247;2023 woensdag 8 februari;1.814;1.71;0.808
6248;2023 donderdag 9 februari;1.814;1.704;0.811
6249;2023 vrijdag 10 februari;1.813;1.694;0.816
6250;2023 zaterdag 11 februari;1.814;1.681;0.825
6251;2023 zondag 12 februari;1.813;1.678;0.83
6252;2023 maandag 13 februari;1.817;1.683;0.826
6253;2023 dinsdag 14 februari;1.819;1.682;0.825
6254;2023 woensdag 15 februari;1.822;1.678;0.836
6255;2023 donderdag 16 februari;1.826;1.677;0.833
6256;2023 vrijdag 17 februari;1.827;1.672;0.836
6257;2023 zaterdag 18 februari;1.815;1.657;0.841
6258;2023 zondag 19 februari;1.816;1.658;0.844
6259;2023 maandag 20 februari;1.816;1.66;0.839
6260;2023 dinsdag 21 februari;1.815;1.652;0.844
6261;2023 woensdag 22 februari;1.81;1.646;0.844
6262;2023 donderdag 23 februari;1.808;1.645;0.845
6263;2023 vrijdag 24 februari;1.803;1.643;0.851
6264;2023 zaterdag 25 februari;1.798;1.637;0.858
6265;2023 zondag 26 februari;1.799;1.638;0.847
6266;2023 maandag 27 februari;1.802;1.64;0.858
6267;2023 dinsdag 28 februari;1.807;1.648;0.856
6268;2023 woensdag 1 maart;1.809;1.65;0.857
6269;2023 donderdag 2 maart;1.816;1.655;0.866
6270;2023 vrijdag 3 maart;1.825;1.664;0.866
6271;2023 zaterdag 4 maart;1.827;1.669;0.874
6272;2023 zondag 5 maart;1.826;1.667;0.858
6273;2023 maandag 6 maart;1.83;1.675;0.869
6274;2023 dinsdag 7 maart;1.833;1.672;0.868
6275;2023 woensdag 8 maart;1.835;1.67;0.872
6276;2023 donderdag 9 maart;1.839;1.669;0.87
6277;2023 vrijdag 10 maart;1.838;1.665;0.876
6278;2023 zaterdag 11 maart;1.828;1.649;0.871
6279;2023 zondag 12 maart;1.83;1.649;0.87
6280;2023 maandag 13 maart;1.831;1.652;0.864
6281;2023 dinsdag 14 maart;1.825;1.641;0.869
6282;2023 woensdag 15 maart;1.815;1.63;0.872
6283;2023 donderdag 16 maart;1.805;1.615;0.875
6284;2023 vrijdag 17 maart;1.786;1.599;0.871
6285;2023 zaterdag 18 maart;1.78;1.592;0.873
6286;2023 zondag 19 maart;1.777;1.586;0.867
6287;2023 maandag 20 maart;1.78;1.594;0.865
6288;2023 dinsdag 21 maart;1.778;1.598;0.867
6289;2023 woensdag 22 maart;1.781;1.603;0.87
6290;2023 donderdag 23 maart;1.784;1.61;0.866
6291;2023 vrijdag 24 maart;1.787;1.613;0.863
6292;2023 zaterdag 25 maart;1.796;1.607;0.86
6293;2023 zondag 26 maart;1.798;1.609;0.86
6294;2023 maandag 27 maart;1.8;1.613;0.859
6295;2023 dinsdag 28 maart;1.809;1.614;0.86
6296;2023 woensdag 29 maart;1.822;1.616;0.851
6297;2023 donderdag 30 maart;1.839;1.618;0.84
6298;2023 vrijdag 31 maart;1.84;1.614;0.846
6299;2023 zaterdag 1 april;1.837;1.605;0.834
6300;2023 zondag 2 april;1.838;1.605;0.841
6301;2023 maandag 3 april;1.842;1.611;0.838
6302;2023 dinsdag 4 april;1.862;1.622;0.831
6303;2023 woensdag 5 april;1.869;1.621;0.833
6304;2023 donderdag 6 april;1.872;1.624;0.827
6305;2023 vrijdag 7 april;1.877;1.621;0.832
6306;2023 zaterdag 8 april;1.876;1.619;0.829
6307;2023 zondag 9 april;1.879;1.619;0.831
6308;2023 maandag 10 april;1.881;1.62;0.828
6309;2023 dinsdag 11 april;1.88;1.621;0.825
6310;2023 woensdag 12 april;1.878;1.615;0.828
6311;2023 donderdag 13 april;1.88;1.609;0.82
6312;2023 vrijdag 14 april;1.879;1.605;0.824
6313;2023 zaterdag 15 april;1.875;1.597;0.821
6314;2023 zondag 16 april;1.875;1.596;0.821
6315;2023 maandag 17 april;1.878;1.601;0.817
6316;2023 dinsdag 18 april;1.874;1.596;0.818
6317;2023 woensdag 19 april;1.864;1.586;0.81
6318;2023 donderdag 20 april;1.855;1.577;0.811
6319;2023 vrijdag 21 april;1.844;1.566;0.801
6320;2023 zaterdag 22 april;1.832;1.554;0.804
6321;2023 zondag 23 april;1.834;1.554;0.811
6322;2023 maandag 24 april;1.834;1.556;0.8
6323;2023 dinsdag 25 april;1.831;1.552;0.798
6324;2023 woensdag 26 april;1.829;1.549;0.786
6325;2023 donderdag 27 april;1.825;1.538;0.786
6326;2023 vrijdag 28 april;1.823;1.536;0.782
6327;2023 zaterdag 29 april;1.818;1.522;0.775
6328;2023 zondag 30 april;1.819;1.521;0.783
6329;2023 maandag 1 mei;1.821;1.526;0.777
6330;2023 dinsdag 2 mei;1.819;1.521;0.773
6331;2023 woensdag 3 mei;1.816;1.514;0.77
6332;2023 donderdag 4 mei;1.804;1.503;0.768
6333;2023 vrijdag 5 mei;1.793;1.493;0.769
6334;2023 zaterdag 6 mei;1.789;1.487;0.767
6335;2023 zondag 7 mei;1.789;1.485;0.768
6336;2023 maandag 8 mei;1.791;1.491;0.766
6337;2023 dinsdag 9 mei;1.791;1.493;0.767
6338;2023 woensdag 10 mei;1.791;1.491;0.762
6339;2023 donderdag 11 mei;1.797;1.496;0.767
6340;2023 vrijdag 12 mei;1.798;1.498;0.768
6341;2023 zaterdag 13 mei;1.798;1.496;0.768
