ID;RegioS;Perioden;InGebruikGenomenWindmolens_1;UitGebruikGenomenWindmolens_2;OpgesteldeWindmolensEindeVanJaar_3;InGebruikGenomenRotoroppervlak_4;UitGebruikGenomenRotoroppervlak_5;OpgesteldRotoroppervlakEindeJaar_6;InGebruikGenomenVermogen_7;UitGebruikGenomenVermogen_8;OpgesteldVermogenEindeJaar_9;GenormaliseerdeProductie_10;NietGenormaliseerdeProductie_11;Productiefactor_12;ProductiePerRotoroppervlak_13;AantalVollasturen_14
0;Nederland;1990;70.0;;323.0;31.0;;103.0;15.0;;50.0;56.0;56.0;;;
1;Nederland;1991;143.0;37.0;429.0;71.0;14.0;161.0;41.0;8.0;83.0;88.0;88.0;;;
2;Nederland;1992;88.0;20.0;497.0;48.0;9.0;200.0;22.0;4.0;101.0;137.0;147.0;;;
3;Nederland;1993;145.0;9.0;633.0;68.0;1.0;268.0;30.0;0.0;131.0;173.0;174.0;;;
4;Nederland;1994;106.0;15.0;724.0;61.0;3.0;325.0;23.0;1.0;152.0;221.0;238.0;;;
5;Nederland;1995;336.0;52.0;1008.0;268.0;25.0;568.0;109.0;12.0;250.0;314.0;317.0;;;
6;Nederland;1996;131.0;24.0;1115.0;123.0;6.0;685.0;48.0;2.0;296.0;435.0;437.0;;;
7;Nederland;1997;89.0;56.0;1148.0;103.0;26.0;763.0;43.0;14.0;324.0;489.0;475.0;;;
8;Nederland;1998;62.0;17.0;1193.0;105.0;6.0;862.0;42.0;3.0;363.0;571.0;640.0;;;
9;Nederland;1999;70.0;10.0;1253.0;115.0;2.0;975.0;48.0;1.0;410.0;642.0;645.0;;;
10;Nederland;2000;47.0;9.0;1291.0;89.0;3.0;1062.0;38.0;1.0;447.0;744.0;829.0;;;
11;Nederland;2001;60.0;9.0;1342.0;121.0;4.0;1179.0;40.0;2.0;485.0;822.0;825.0;;;
12;Nederland;2002;153.0;32.0;1454.0;459.0;25.0;1608.0;201.0;12.0;672.0;1020.0;947.0;20.2;733.0;1773.0
13;Nederland;2003;200.0;56.0;1598.0;567.0;26.0;2148.0;243.0;10.0;905.0;1359.0;1320.0;18.7;685.0;1635.0
14;Nederland;2004;168.0;112.0;1654.0;461.0;76.0;2533.0;204.0;35.0;1075.0;1763.0;1871.0;21.6;802.0;1897.0
15;Nederland;2005;125.0;69.0;1710.0;378.0;42.0;2869.0;166.0;17.0;1224.0;2034.0;2067.0;20.4;763.0;1789.0
16;Nederland;2006;121.0;37.0;1794.0;492.0;27.0;3334.0;240.0;11.0;1453.0;2477.0;2666.0;22.4;845.0;1959.0
17;Nederland;2007;123.0;62.0;1855.0;494.0;55.0;3773.0;211.0;23.0;1641.0;2862.0;3108.0;23.4;892.0;2047.0
18;Nederland;2008;131.0;44.0;1942.0;604.0;39.0;4338.0;296.0;16.0;1921.0;3376.0;3664.0;23.7;912.0;2083.0
19;Nederland;2009;52.0;118.0;1876.0;224.0;87.0;4475.0;110.0;36.0;1994.0;3762.0;3846.0;21.9;853.0;1916.0
20;Nederland;2010;28.0;27.0;1877.0;58.0;31.0;4502.0;30.0;15.0;2009.0;3737.0;3315.0;19.0;740.0;1661.0
21;Nederland;2011;47.0;42.0;1882.0;224.0;66.0;4660.0;98.0;20.0;2088.0;3982.0;4298.0;24.0;939.0;2099.0
