ID;WijkenEnBuurten;TypeVerwarmingsinstallatie;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;Woningen_5
0;Nederland;Individuele cv;Nederland                               ;Land    ;NL00      ;;84.0
1;Nederland;Blokverwarming;Nederland                               ;Land    ;NL00      ;;6.0
2;Nederland;Stadsverwarming met hoog gasverbruik;Nederland                               ;Land    ;NL00      ;;0.0
3;Nederland;Stadsverwarming met laag gasverbruik;Nederland                               ;Land    ;NL00      ;;1.0
4;Nederland;Stadsverwarming zonder gasverbruik;Nederland                               ;Land    ;NL00      ;;5.0
5;Nederland;Elektrisch verwarmd met hoog gasverbruik;Nederland                               ;Land    ;NL00      ;;1.0
6;Nederland;Elektrisch verwarmd met laag gasverbruik;Nederland                               ;Land    ;NL00      ;;0.0
7;Nederland;Elektrisch verwarmd zonder gasverbruik;Nederland                               ;Land    ;NL00      ;;1.0
8;Nederland;Totaal zonder gasverbruik (ex. onbekend);Nederland                               ;Land    ;NL00      ;;6.0
9;Nederland;Type installaties onbekend;Nederland                               ;Land    ;NL00      ;;2.0
10;Aa en Hunze;Individuele cv;Aa en Hunze                             ;Gemeente;GM1680    ;;93.0
11;Aa en Hunze;Blokverwarming;Aa en Hunze                             ;Gemeente;GM1680    ;;2.0
12;Aa en Hunze;Stadsverwarming met hoog gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;0.0
13;Aa en Hunze;Stadsverwarming met laag gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;0.0
14;Aa en Hunze;Stadsverwarming zonder gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;0.0
15;Aa en Hunze;Elektrisch verwarmd met hoog gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;2.0
16;Aa en Hunze;Elektrisch verwarmd met laag gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;0.0
17;Aa en Hunze;Elektrisch verwarmd zonder gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;1.0
18;Aa en Hunze;Totaal zonder gasverbruik (ex. onbekend);Aa en Hunze                             ;Gemeente;GM1680    ;;1.0
19;Aa en Hunze;Type installaties onbekend;Aa en Hunze                             ;Gemeente;GM1680    ;;1.0
20;Wijk 00 Annen;Individuele cv;Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;93.0
21;Wijk 00 Annen;Blokverwarming;Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;4.0
22;Wijk 00 Annen;Stadsverwarming met hoog gasverbruik;Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;0.0
23;Wijk 00 Annen;Stadsverwarming met laag gasverbruik;Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;0.0
24;Wijk 00 Annen;Stadsverwarming zonder gasverbruik;Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;0.0
25;Wijk 00 Annen;Elektrisch verwarmd met hoog gasverbruik;Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;0.0
26;Wijk 00 Annen;Elektrisch verwarmd met laag gasverbruik;Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;0.0
27;Wijk 00 Annen;Elektrisch verwarmd zonder gasverbruik;Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;2.0
28;Wijk 00 Annen;Totaal zonder gasverbruik (ex. onbekend);Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;2.0
29;Wijk 00 Annen;Type installaties onbekend;Wijk 00 Annen                           ;Wijk    ;WK168000  ;1.0;1.0
30;Annen;Individuele cv;Annen                                   ;Buurt   ;BU16800000;1.0;93.0
31;Annen;Blokverwarming;Annen                                   ;Buurt   ;BU16800000;1.0;4.0
32;Annen;Stadsverwarming met hoog gasverbruik;Annen                                   ;Buurt   ;BU16800000;1.0;0.0
33;Annen;Stadsverwarming met laag gasverbruik;Annen                                   ;Buurt   ;BU16800000;1.0;0.0
34;Annen;Stadsverwarming zonder gasverbruik;Annen                                   ;Buurt   ;BU16800000;1.0;0.0
35;Annen;Elektrisch verwarmd met hoog gasverbruik;Annen                                   ;Buurt   ;BU16800000;1.0;1.0
36;Annen;Elektrisch verwarmd met laag gasverbruik;Annen                                   ;Buurt   ;BU16800000;1.0;0.0
37;Annen;Elektrisch verwarmd zonder gasverbruik;Annen                                   ;Buurt   ;BU16800000;1.0;2.0
38;Annen;Totaal zonder gasverbruik (ex. onbekend);Annen                                   ;Buurt   ;BU16800000;1.0;2.0
39;Annen;Type installaties onbekend;Annen                                   ;Buurt   ;BU16800000;1.0;1.0
40;Verspreide huizen Annen;Individuele cv;Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;98.0
41;Verspreide huizen Annen;Blokverwarming;Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;0.0
42;Verspreide huizen Annen;Stadsverwarming met hoog gasverbruik;Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;0.0
43;Verspreide huizen Annen;Stadsverwarming met laag gasverbruik;Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;0.0
44;Verspreide huizen Annen;Stadsverwarming zonder gasverbruik;Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;0.0
45;Verspreide huizen Annen;Elektrisch verwarmd met hoog gasverbruik;Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;0.0
46;Verspreide huizen Annen;Elektrisch verwarmd met laag gasverbruik;Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;0.0
47;Verspreide huizen Annen;Elektrisch verwarmd zonder gasverbruik;Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;0.0
48;Verspreide huizen Annen;Totaal zonder gasverbruik (ex. onbekend);Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;0.0
49;Verspreide huizen Annen;Type installaties onbekend;Verspreide huizen Annen                 ;Buurt   ;BU16800009;1.0;2.0
50;Wijk 01 Eext;Individuele cv;Wijk 01 Eext                            ;Wijk    ;WK168001  ;1.0;97.0
