ID;Geslacht;Leeftijd;Nationaliteit;RegioS;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2014;16829289.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2015;16900726.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2016;16979120.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2017;17081507.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2018;17181084.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2019;17282163.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2020;17407585.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2021;17475415.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2022;17590672.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2023;17811291.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2024;17942942.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2014;1718033.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2015;1718775.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2016;1718390.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2017;1722247.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2018;1722312.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2019;1723829.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2020;1729505.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2021;1733143.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2022;1741932.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2023;1757677.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2024;1767380.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2014;3559282.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2015;3569021.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2016;3583699.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2017;3603406.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2018;3623274.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2019;3644949.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2020;3671379.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2021;3691362.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2022;3717153.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2023;3762742.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2024;3788930.0
33;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2014;7952694.0
34;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2015;8006238.0
35;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2016;8062022.0
36;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2017;8125777.0
37;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2018;8190014.0
38;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2019;8252442.0
39;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2020;8326545.0
40;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2021;8361089.0
41;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2022;8420411.0
42;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2023;8536295.0
43;Totaal mannen en vrouwen;Totaal;Totaal;West-Nederland (LD);2024;8608638.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Zuid-Nederland (LD);2014;3599280.0
