ID;Bouwfasen;Gezichtspunten;Perioden;TotaleBouwkostenGebouwen_1;BouwkostenGebouwenNietNieuwbouw_2;BouwkostenGebouwenNieuwbouw_3;Wonen_4;Landbouw_5;IndustrieEnBouwnijverheid_6;HandelEnHoreca_7;VervoerEnCommunicatie_8;ZakelijkeDienstverlening_9;OpenbaarBestuur_10;Onderwijs_11;GezondheidsEnWelzijnszorg_12;OverigeDienstverlening_13
0;Ontvangen orders;0;1995 januari;912.0;175.0;737.0;514.0;23.0;42.0;34.0;22.0;34.0;14.0;22.0;10.0;21.0
1;Ontvangen orders;0;1995 februari;849.0;154.0;695.0;515.0;21.0;22.0;28.0;7.0;9.0;28.0;6.0;22.0;36.0
2;Ontvangen orders;0;1995 maart;1035.0;206.0;829.0;509.0;23.0;36.0;39.0;35.0;38.0;17.0;36.0;71.0;25.0
3;Ontvangen orders;0;1995 1e kwartaal;2796.0;536.0;2260.0;1537.0;68.0;100.0;102.0;64.0;81.0;58.0;64.0;103.0;83.0
4;Ontvangen orders;0;1995 april;888.0;182.0;706.0;420.0;21.0;32.0;27.0;35.0;52.0;24.0;61.0;18.0;15.0
5;Ontvangen orders;0;1995 mei;1088.0;201.0;887.0;609.0;28.0;45.0;49.0;29.0;36.0;9.0;10.0;38.0;33.0
6;Ontvangen orders;0;1995 juni;1158.0;217.0;941.0;586.0;29.0;54.0;62.0;25.0;78.0;34.0;8.0;32.0;33.0
7;Ontvangen orders;0;1995 2e kwartaal;3133.0;600.0;2533.0;1615.0;79.0;131.0;137.0;89.0;166.0;67.0;79.0;88.0;81.0
8;Ontvangen orders;0;1995 juli;991.0;212.0;779.0;460.0;22.0;68.0;41.0;32.0;27.0;16.0;34.0;20.0;60.0
9;Ontvangen orders;0;1995 augustus;1125.0;211.0;914.0;533.0;28.0;38.0;60.0;29.0;88.0;41.0;46.0;28.0;22.0
10;Ontvangen orders;0;1995 september;930.0;191.0;739.0;489.0;25.0;37.0;63.0;12.0;28.0;22.0;25.0;18.0;20.0
11;Ontvangen orders;0;1995 3e kwartaal;3047.0;614.0;2433.0;1482.0;75.0;142.0;165.0;74.0;142.0;79.0;105.0;66.0;102.0
12;Ontvangen orders;0;1995 oktober;944.0;169.0;775.0;537.0;15.0;40.0;55.0;31.0;28.0;15.0;7.0;26.0;22.0
13;Ontvangen orders;0;1995 november;1017.0;182.0;835.0;542.0;21.0;67.0;68.0;21.0;33.0;25.0;10.0;27.0;20.0
14;Ontvangen orders;0;1995 december;1184.0;173.0;1011.0;711.0;25.0;38.0;48.0;13.0;57.0;38.0;9.0;49.0;25.0
15;Ontvangen orders;0;1995 4e kwartaal;3145.0;525.0;2620.0;1791.0;61.0;146.0;171.0;64.0;118.0;78.0;25.0;102.0;66.0
16;Ontvangen orders;0;1995;12120.0;2275.0;9845.0;6426.0;282.0;519.0;574.0;292.0;507.0;282.0;273.0;359.0;332.0
17;Ontvangen orders;0;1996 januari;926.0;174.0;752.0;435.0;19.0;58.0;47.0;6.0;94.0;23.0;5.0;37.0;29.0
18;Ontvangen orders;0;1996 februari;1092.0;217.0;875.0;626.0;16.0;54.0;48.0;22.0;47.0;8.0;10.0;29.0;14.0
19;Ontvangen orders;0;1996 maart;1022.0;180.0;842.0;596.0;20.0;55.0;50.0;11.0;61.0;16.0;4.0;12.0;17.0
20;Ontvangen orders;0;1996 1e kwartaal;3040.0;571.0;2469.0;1657.0;55.0;167.0;144.0;39.0;202.0;47.0;20.0;78.0;59.0
21;Ontvangen orders;0;1996 april;936.0;183.0;753.0;476.0;25.0;49.0;49.0;13.0;36.0;5.0;4.0;55.0;40.0
22;Ontvangen orders;0;1996 mei;1144.0;251.0;893.0;532.0;29.0;50.0;88.0;33.0;79.0;9.0;38.0;20.0;14.0
23;Ontvangen orders;0;1996 juni;1272.0;196.0;1076.0;645.0;33.0;40.0;51.0;40.0;168.0;29.0;25.0;24.0;20.0
24;Ontvangen orders;0;1996 2e kwartaal;3352.0;630.0;2722.0;1653.0;88.0;139.0;189.0;87.0;283.0;44.0;68.0;100.0;74.0
25;Ontvangen orders;0;1996 juli;1075.0;216.0;859.0;516.0;28.0;59.0;90.0;25.0;39.0;28.0;16.0;29.0;28.0
26;Ontvangen orders;0;1996 augustus;1077.0;242.0;835.0;525.0;20.0;90.0;81.0;20.0;50.0;12.0;5.0;22.0;11.0
