ID;Periods;Indices_1;ChangesComparedTo1YearPreviously_2;Indices_3;ChangesComparedTo1YearPreviously_4;Indices_5;ChangesComparedTo1YearPreviously_6;Indices_7;ChangesComparedTo1YearPreviously_8;Indices_9;ChangesComparedTo1YearPreviously_10;Indices_11;ChangesComparedTo1YearPreviously_12;Indices_13;ChangesComparedTo1YearPreviously_14;Indices_15;ChangesComparedTo1YearPreviously_16
0;2000 January;97;;99;;99;;94;;98;;97;;98;;98;
1;2000 April;99;;100;;99;;100;;100;;98;;99;;99;
2;2000 July;100;;100;;100;;100;;100;;101;;101;;101;
3;2000 October;102;;101;;101;;102;;101;;103;;101;;101;
4;2001 January;102;4.8;102;3.3;102;2.9;100;6.1;104;6.2;101;4.6;105;6.3;102;3.8
5;2001 April;103;3.7;103;3.6;104;4.7;99;-0.2;107;6.7;101;3.0;105;5.8;103;3.5
6;2001 July;103;2.7;104;3.6;105;4.5;98;-2.1;107;6.6;102;1.4;105;4.8;104;2.9
7;2001 October;103;1.4;105;3.8;105;4.1;97;-4.3;107;5.4;102;-0.5;105;3.9;104;2.3
8;2002 January;104;1.8;106;4.3;107;5.5;97;-2.7;110;5.7;102;1.2;107;2.3;105;3.5
9;2002 April;105;2.1;107;4.0;109;4.5;100;0.4;112;5.5;104;2.4;107;2.3;106;3.2
10;2002 July;105;2.2;108;3.8;109;4.2;101;2.7;112;5.2;104;2.0;108;2.7;107;3.2
11;2002 October;106;3.3;108;2.9;109;4.0;106;9.0;113;5.7;105;3.2;108;2.4;107;3.3
12;2003 January;106;1.9;108;1.8;111;3.4;103;6.1;116;5.1;107;4.7;108;0.8;108;2.3
13;2003 April;106;0.7;108;0.5;111;2.2;104;3.8;116;2.8;107;2.9;107;0.0;108;1.9
14;2003 July;105;-0.1;108;0.4;111;1.7;100;-0.5;116;2.8;107;2.3;107;-1.1;109;1.5
15;2003 October;106;-0.5;108;0.5;111;1.7;103;-2.8;115;1.8;107;1.7;107;-1.1;109;1.5
16;2004 January;107;0.8;110;1.1;112;1.1;103;0.5;116;0.6;109;2.1;106;-1.3;110;2.6
17;2004 April;108;2.0;110;1.9;112;1.2;98;-5.6;117;0.8;113;5.3;108;0.7;116;7.4
18;2004 July;109;3.8;111;2.6;113;1.3;101;0.8;117;0.8;115;7.6;110;2.3;117;8.2
19;2004 October;110;4.4;111;2.8;113;1.7;103;-0.6;116;1.0;117;9.0;108;0.9;120;10.7
20;2005 January;110;3.2;115;4.7;111;-0.6;99;-4.3;117;0.8;117;7.2;107;0.5;120;8.5
21;2005 April;111;2.5;115;4.5;112;-0.6;100;2.4;119;1.9;118;4.9;107;-0.6;119;2.8
22;2005 July;112;2.5;116;4.5;112;-0.4;104;3.3;119;2.4;119;3.9;108;-1.9;117;-0.4
23;2005 October;115;3.9;117;5.0;113;-0.3;112;9.6;122;5.2;120;2.7;108;0.7;120;-0.6
24;2006 January;117;5.8;118;3.0;114;2.3;113;14.0;123;4.4;120;2.2;111;4.1;122;1.5
25;2006 April;120;9.0;119;3.7;114;2.1;120;19.8;124;4.0;122;3.6;112;4.4;124;4.4
26;2006 July;125;11.3;120;3.3;114;1.5;123;17.3;125;4.5;125;4.8;114;6.1;129;10.1
27;2006 October;125;8.7;120;2.7;114;1.0;120;7.1;125;2.2;126;4.8;115;6.4;130;8.7
28;2007 January;125;6.9;121;2.9;115;1.3;117;3.5;127;3.6;127;6.4;118;5.5;132;8.1
29;2007 April;128;6.1;123;2.9;116;1.9;119;-0.5;127;2.9;129;5.6;119;5.9;135;8.6
30;2007 July;130;4.2;123;3.0;117;2.7;126;3.0;128;2.3;131;4.5;118;3.8;136;5.4
31;2007 October;131;4.6;124;3.3;117;3.1;131;9.1;128;2.8;130;3.0;118;2.5;135;4.2
32;2008 January;133;7.1;126;4.0;120;3.6;142;20.9;133;4.5;132;3.8;122;3.7;136;3.5
33;2008 April;137;6.9;128;4.7;121;3.9;140;17.2;134;5.4;136;5.2;126;5.9;142;5.1
34;2008 July;143;10.3;132;7.1;122;4.4;157;23.9;135;5.7;141;7.8;133;12.2;150;10.8
35;2008 October;141;7.7;132;6.5;122;4.2;158;20.4;136;5.9;137;5.8;131;11.2;145;7.4
36;2009 January;132;-0.7;132;4.5;124;3.8;127;-10.2;139;4.6;132;0.0;131;7.3;144;5.4
37;2009 April;132;-3.7;131;1.6;124;2.9;125;-10.4;139;3.5;130;-4.6;127;1.3;142;-0.2
38;2009 July;134;-6.7;129;-2.0;125;2.0;134;-14.6;139;3.0;130;-7.5;124;-6.9;143;-5.0
39;2009 October;135;-4.3;128;-3.0;125;2.5;136;-13.8;139;2.6;131;-4.2;120;-8.4;142;-2.1
40;2010 January;136;2.9;128;-2.9;127;2.1;137;7.9;141;1.7;132;0.2;119;-9.0;143;-0.6
41;2010 April;139;5.7;129;-1.3;127;1.9;142;13.3;142;2.3;136;4.9;120;-5.4;146;2.7
42;2010 July;140;4.4;130;0.2;127;2.0;143;7.3;142;2.0;137;5.4;120;-2.6;146;2.5
43;2010 October;140;4.2;130;1.3;127;1.4;144;5.4;142;2.2;137;4.5;120;-0.2;147;3.5
