ID;Loonklassen;KenmerkenPersonen;CaribischNederland;Perioden;Banen_1;GemiddeldJaarloon_2
0;Alle loonklassen;10000;Caribisch Nederland;2011;8870.0;22330.0
1;Alle loonklassen;10000;Caribisch Nederland;2012;9160.0;23740.0
2;Alle loonklassen;10000;Caribisch Nederland;2013;9600.0;24160.0
3;Alle loonklassen;10000;Caribisch Nederland;2014;10120.0;25090.0
4;Alle loonklassen;10000;Caribisch Nederland;2015;10950.0;25470.0
5;Alle loonklassen;10000;Caribisch Nederland;2016;11620.0;25310.0
6;Alle loonklassen;10000;Caribisch Nederland;2017;11960.0;26110.0
7;Alle loonklassen;10000;Caribisch Nederland;2018;12580.0;25660.0
8;Alle loonklassen;10000;Caribisch Nederland;2019;13050.0;26550.0
9;Alle loonklassen;10000;Caribisch Nederland;2020;13200.0;26690.0
10;Alle loonklassen;10000;Caribisch Nederland;2021;13990.0;27040.0
11;Alle loonklassen;10000;Caribisch Nederland;2022;14550.0;28390.0
12;Alle loonklassen;10000;Bonaire;2011;7160.0;20850.0
13;Alle loonklassen;10000;Bonaire;2012;7450.0;22150.0
14;Alle loonklassen;10000;Bonaire;2013;7730.0;22600.0
15;Alle loonklassen;10000;Bonaire;2014;8140.0;23480.0
16;Alle loonklassen;10000;Bonaire;2015;8890.0;23640.0
17;Alle loonklassen;10000;Bonaire;2016;9510.0;23610.0
18;Alle loonklassen;10000;Bonaire;2017;9750.0;24250.0
19;Alle loonklassen;10000;Bonaire;2018;10270.0;24230.0
20;Alle loonklassen;10000;Bonaire;2019;10820.0;25030.0
21;Alle loonklassen;10000;Bonaire;2020;10890.0;25400.0
22;Alle loonklassen;10000;Bonaire;2021;11640.0;25640.0
23;Alle loonklassen;10000;Bonaire;2022;12170.0;27030.0
24;Alle loonklassen;10000;Sint-Eustatius;2011;1050.0;29600.0
25;Alle loonklassen;10000;Sint-Eustatius;2012;1050.0;32890.0
26;Alle loonklassen;10000;Sint-Eustatius;2013;1190.0;32760.0
27;Alle loonklassen;10000;Sint-Eustatius;2014;1250.0;34310.0
28;Alle loonklassen;10000;Sint-Eustatius;2015;1290.0;36270.0
29;Alle loonklassen;10000;Sint-Eustatius;2016;1280.0;35940.0
30;Alle loonklassen;10000;Sint-Eustatius;2017;1360.0;38070.0
31;Alle loonklassen;10000;Sint-Eustatius;2018;1430.0;33860.0
32;Alle loonklassen;10000;Sint-Eustatius;2019;1360.0;36320.0
33;Alle loonklassen;10000;Sint-Eustatius;2020;1430.0;33680.0
34;Alle loonklassen;10000;Sint-Eustatius;2021;1480.0;35010.0
35;Alle loonklassen;10000;Sint-Eustatius;2022;1500.0;35320.0
36;Alle loonklassen;10000;Saba;2011;650.0;26590.0
37;Alle loonklassen;10000;Saba;2012;660.0;27050.0
38;Alle loonklassen;10000;Saba;2013;680.0;26870.0
39;Alle loonklassen;10000;Saba;2014;730.0;27240.0
40;Alle loonklassen;10000;Saba;2015;770.0;28380.0
41;Alle loonklassen;10000;Saba;2016;820.0;28510.0
42;Alle loonklassen;10000;Saba;2017;850.0;28320.0
43;Alle loonklassen;10000;Saba;2018;880.0;29020.0
44;Alle loonklassen;10000;Saba;2019;870.0;30350.0
45;Alle loonklassen;10000;Saba;2020;890.0;31280.0
46;Alle loonklassen;10000;Saba;2021;870.0;32210.0
47;Alle loonklassen;10000;Saba;2022;880.0;35490.0
48;Alle loonklassen;10000;Niet in te delen;2011;20.0;31840.0
49;Alle loonklassen;10000;Niet in te delen;2012;10.0;34560.0
50;Alle loonklassen;10000;Niet in te delen;2013;;
51;Alle loonklassen;10000;Niet in te delen;2014;10.0;33100.0
52;Alle loonklassen;10000;Niet in te delen;2015;;
53;Alle loonklassen;10000;Niet in te delen;2016;;
54;Alle loonklassen;10000;Niet in te delen;2017;;
55;Alle loonklassen;10000;Niet in te delen;2018;;
56;Alle loonklassen;10000;Niet in te delen;2019;;
57;Alle loonklassen;10000;Niet in te delen;2020;;
58;Alle loonklassen;10000;Niet in te delen;2021;;
59;Alle loonklassen;10000;Niet in te delen;2022;;
60;Alle loonklassen;3000;Caribisch Nederland;2011;3710.0;25290.0
61;Alle loonklassen;3000;Caribisch Nederland;2012;3880.0;26260.0
62;Alle loonklassen;3000;Caribisch Nederland;2013;4030.0;26410.0
63;Alle loonklassen;3000;Caribisch Nederland;2014;4270.0;27350.0
64;Alle loonklassen;3000;Caribisch Nederland;2015;4850.0;27160.0
65;Alle loonklassen;3000;Caribisch Nederland;2016;5230.0;26830.0
66;Alle loonklassen;3000;Caribisch Nederland;2017;5430.0;27690.0
67;Alle loonklassen;3000;Caribisch Nederland;2018;5660.0;27130.0
68;Alle loonklassen;3000;Caribisch Nederland;2019;5830.0;28000.0
69;Alle loonklassen;3000;Caribisch Nederland;2020;6650.0;27760.0
70;Alle loonklassen;3000;Caribisch Nederland;2021;6930.0;27970.0
71;Alle loonklassen;3000;Caribisch Nederland;2022;7180.0;29220.0
72;Alle loonklassen;3000;Bonaire;2011;3030.0;23220.0
73;Alle loonklassen;3000;Bonaire;2012;3180.0;23910.0
74;Alle loonklassen;3000;Bonaire;2013;3310.0;24220.0
75;Alle loonklassen;3000;Bonaire;2014;3470.0;25040.0
