ID;Sectoren;Perioden;TotaalBelastingen_1;BTWBelastingOverToegevoegdeWaarde_2;LoonEnInkomstenbelasting_3;Vennootschapsbelasting_4;Accijnzen_5;VerbruiksbelOpMilieugrondslag_6;Milieuheffingen_7;Motorrijtuigenbelasting_8;BPMBelPersonenautoSEnMotorrijw_9;Overdrachtsbelasting_10;Onroerendezaakbelasting_11;Dividendbelasting_12;Vermogensheffingen_13;Assurantiebelasting_14;Kansspelbelasting_15;BankenbelastingInclResolutieheffing_16;Verhuurderheffing_17;Loonkostenheffing_18;OverigeBelastingen_19;TotaalBelastOpProductieEnInvoer_20;TotaalProductgebondenBelastingen_21;BTWBelastingOverToegevoegdeWaarde_22;TotaalAccijnzen_23;Benzineaccijns_24;AccijnsOpOverigeMineraleOlien_25;Tabakaccijns_26;Alcoholaccijns_27;Bieraccijns_28;WijnaccijnsEAMousserendeDranken_29;OverigeAccijnzen_30;VerbruiksbelOpAlcoholvrijeDranken_31;BelastingenOpMilieugrondslag_32;BPMBelOpPersonenautoSEnMotorrijw_33;Kansspelbelasting_34;Overdrachtsbelasting_35;Assurantiebelasting_36;Kapitaalbelasting_37;VoorraadheffingAardolieprodukten_38;TotaalNietProductgebondenBelastingen_39;Onroerendezaakbelasting_40;Motorrijtuigenbelasting_41;TotaalMilieuheffingen_42;Rioolrechten_43;HeffingenOpWaterverontreiniging_44;OmslagheffingWaterschappen_45;OverigeMilieuheffingen_46;BankenbelastingInclResolutieheffing_47;Verhuurderheffing_48;Loonkostenheffing_49;PBOHeffingen_50;InschrijfgeldenKamerVanKoophandel_51;Toeristenbelasting_52;NietProductgebondenOverig_53;TotaalBelastOpInkomenEnVermogen_54;TotaalBelastingenOpInkomen_55;Vennootschapsbelasting_56;Loonbelasting_57;Inkomstenbelasting_58;Dividendbelasting_59;Kansspelbelasting_60;TotaalBelastingenOpVermogen_61;Onroerendezaakbelasting_62;Vermogensbelasting_63;Motorrijtuigenbelasting_64;TotaalMilieuheffingen_65;Rioolrechten_66;HeffingenOpWaterverontreiniging_67;OmslagheffingWaterschappen_68;OverigeBelastingenInkomenEnVermogen_69;Vermogensheffingen_70
0;Overheid;1995;72605;19832.0;23079.0;9459.0;6477.0;858.0;1799.0;2224.0;1813.0;1254.0;1855.0;955.0;781.0;442.0;73.0;;;;1704;34345;31158.0;19832.0;6477.0;2708.0;1608.0;1327.0;408.0;278.0;109.0;39.0;181.0;858.0;1813.0;46.0;1254.0;442.0;182.0;73.0;3187;1317.0;541.0;822.0;146.0;314.0;315.0;47.0;;;0.0;325.0;123.0;53.0;6.0;37479.0;33520.0;9459.0;20140.0;2939.0;955.0;27.0;3959.0;538.0;671.0;1683.0;977.0;311.0;556.0;110.0;90.0;781.0
1;Overheid;1996;78336;21315.0;22512.0;12500.0;6363.0;1318.0;1827.0;2738.0;1892.0;1649.0;1953.0;1059.0;889.0;463.0;92.0;;;;1766;36828;33557.0;21315.0;6363.0;2744.0;1642.0;1418.0;376.0;249.0;-101.0;35.0;185.0;1318.0;1892.0;53.0;1649.0;463.0;252.0;67.0;3271;1372.0;589.0;760.0;95.0;318.0;322.0;25.0;;;0.0;352.0;124.0;57.0;17.0;40619.0;36110.0;12500.0;20007.0;2505.0;1059.0;39.0;4509.0;581.0;648.0;2149.0;1067.0;372.0;581.0;114.0;64.0;889.0
2;Overheid;1997;82349;22890.0;20897.0;14673.0;6923.0;1694.0;1953.0;2265.0;2061.0;1978.0;2078.0;1481.0;951.0;510.0;99.0;;;;1896;39922;36647.0;22890.0;6923.0;2902.0;1848.0;1346.0;400.0;275.0;114.0;38.0;191.0;1694.0;2061.0;56.0;1978.0;510.0;274.0;70.0;3275;1475.0;453.0;825.0;104.0;345.0;345.0;31.0;;;0.0;333.0;123.0;59.0;7.0;41476.0;37094.0;14673.0;18691.0;2206.0;1481.0;43.0;4382.0;603.0;764.0;1812.0;1128.0;418.0;582.0;128.0;75.0;951.0
3;Overheid;1998;86958;24486.0;21121.0;15300.0;7296.0;1714.0;2012.0;2500.0;2425.0;2245.0;2249.0;1936.0;1126.0;545.0;110.0;;;12.0;1881;42752;39326.0;24486.0;7296.0;3038.0;2018.0;1348.0;426.0;299.0;129.0;38.0;191.0;1714.0;2425.0;59.0;2245.0;545.0;291.0;74.0;3426;1598.0;487.0;814.0;113.0;319.0;354.0;28.0;;;12.0;316.0;124.0;68.0;7.0;43080.0;38408.0;15300.0;19845.0;1276.0;1936.0;51.0;4672.0;651.0;729.0;2013.0;1198.0;452.0;612.0;134.0;81.0;1126.0
4;Overheid;1999;94173;26934.0;21836.0;15651.0;7578.0;2294.0;2115.0;2674.0;2840.0;2727.0;2337.0;3022.0;1298.0;492.0;130.0;;;289.0;1956;47377;43529.0;26934.0;7578.0;3127.0;2041.0;1546.0;396.0;297.0;138.0;33.0;217.0;2294.0;2840.0;69.0;2727.0;492.0;316.0;62.0;3848;1660.0;535.0;864.0;119.0;324.0;375.0;46.0;;;289.0;301.0;117.0;74.0;8.0;45498.0;40570.0;15651.0;23020.0;-1184.0;3022.0;61.0;4928.0;677.0;780.0;2139.0;1251.0;475.0;638.0;138.0;81.0;1298.0
5;Overheid;2000;100708;28849.0;23553.0;16736.0;7713.0;2849.0;2291.0;2842.0;2875.0;2804.0;2543.0;2908.0;1487.0;512.0;126.0;;;331.0;2289;50683;46545.0;28849.0;7713.0;3151.0;2139.0;1590.0;397.0;263.0;139.0;34.0;216.0;2849.0;2875.0;67.0;2804.0;512.0;592.0;68.0;4138;1806.0;554.0;946.0;130.0;333.0;395.0;88.0;;;331.0;290.0;120.0;83.0;8.0;48538.0;43256.0;16736.0;24433.0;-880.0;2908.0;59.0;5282.0;737.0;824.0;2288.0;1345.0;520.0;670.0;155.0;88.0;1487.0
6;Overheid;2001;108782;32509.0;24607.0;17580.0;7913.0;3352.0;2436.0;2781.0;2939.0;3437.0;2723.0;4308.0;1311.0;638.0;151.0;;;518.0;1579;56257;51671.0;32509.0;7913.0;3148.0;2076.0;1817.0;413.0;287.0;140.0;32.0;228.0;3352.0;2939.0;80.0;3437.0;638.0;501.0;74.0;4586;1934.0;542.0;1007.0;140.0;339.0;434.0;94.0;;;518.0;358.0;123.0;95.0;9.0;51214.0;46566.0;17580.0;27172.0;-2565.0;4308.0;71.0;4648.0;789.0;91.0;2239.0;1429.0;561.0;696.0;172.0;100.0;1311.0
7;Overheid;2002;112334;33493.0;29502.0;15394.0;8446.0;2953.0;2564.0;2801.0;2741.0;3589.0;2907.0;3490.0;1698.0;660.0;162.0;;;541.0;1393;57395;52606.0;33493.0;8446.0;3420.0;2317.0;1719.0;472.0;306.0;175.0;37.0;161.0;2953.0;2741.0;86.0;3589.0;660.0;392.0;85.0;4789;2065.0;546.0;1064.0;149.0;357.0;453.0;105.0;;;541.0;334.0;129.0;101.0;9.0;53241.0;48462.0;15394.0;29577.0;-75.0;3490.0;76.0;4779.0;842.0;49.0;2255.0;1500.0;597.0;722.0;181.0;133.0;1698.0
8;Overheid;2003;111188;34754.0;29169.0;13392.0;8586.0;3081.0;2693.0;2967.0;2874.0;3449.0;3163.0;3128.0;1464.0;746.0;182.0;;;425.0;1115;58918;54095.0;34754.0;8586.0;3506.0;2446.0;1750.0;357.0;300.0;188.0;39.0;146.0;3081.0;2874.0;109.0;3449.0;746.0;261.0;89.0;4823;2247.0;578.0;1082.0;161.0;364.0;485.0;72.0;;;425.0;249.0;136.0;96.0;10.0;50806.0;45762.0;13392.0;28791.0;378.0;3128.0;73.0;5044.0;916.0;38.0;2389.0;1611.0;644.0;765.0;202.0;90.0;1464.0
9;Overheid;2004;114265;35811.0;27355.0;14994.0;9358.0;3278.0;2796.0;3223.0;3003.0;3794.0;3390.0;3388.0;1516.0;740.0;162.0;;;405.0;1052;61573;56548.0;35811.0;9358.0;3901.0;2557.0;1943.0;378.0;346.0;193.0;40.0;148.0;3278.0;3003.0;101.0;3794.0;740.0;228.0;87.0;5025;2408.0;627.0;1087.0;153.0;368.0;503.0;63.0;;;405.0;244.0;139.0;105.0;10.0;51176.0;45798.0;14994.0;27246.0;109.0;3388.0;61.0;5378.0;982.0;44.0;2596.0;1709.0;678.0;805.0;226.0;47.0;1516.0
