ID;Periods;TotalEnvironmentalInvestments_1;ShareInTotalInvestment_2;TotalWater_3;WaterSaving_4;WaterOther_5;TotalAirAndEnergy_6;EnergySaving_7;RenewableEnergy_8;Air_9;Soil_10;Waste_11;Noise_12;Landscape_13;EnvironmentalCostsOfOwnActivities_14;PaidEnvironmentalTransfers_15;ReceivedEnvironmentalTransfers_16;NetEnvironmentalCosts_17
0;2012;497;3.7;67.0;1.0;66.0;303.0;101.0;81.0;122.0;45;39;;;965.0;551.0;624.0;892
1;2013;402;3.0;34.0;2.0;33.0;302.0;65.0;119.0;119.0;39;7;;;953.0;558.0;672.0;839
2;2014;1119;7.3;195.0;5.0;190.0;767.0;;;525.0;18;94;;;;;;860
3;2015;1964;11.5;113.0;20.0;93.0;1702.0;336.0;611.0;755.0;82;29;25.0;12.0;;;;980
4;2016;2149;14.6;48.0;;;2045.0;110.0;;;22;19;10.0;3.0;;681.0;;1140
5;2017;545;4.6;66.0;6.0;60.0;;84.0;;101.0;30;14;4.0;;;;;1305
6;2018;1136;8.2;;;57.0;;129.0;;152.0;29;13;7.0;5.0;;702.0;;1392
7;2019;1209;6.9;;;59.0;;170.0;;165.0;65;12;24.0;;1570.0;;;1578
8;2020;2876;15.7;89.0;;;2714.0;180.0;;;47;11;10.0;3.0;;;;1503
9;2021;1972;13.0;78.0;;;1799.0;129.0;;;46;35;12.0;2.0;;;;1735
10;2022;2284;13.4;215.0;;;1929.0;231.0;;;27;82;23.0;7.0;;;;1994
11;2023;1589;8.6;80.0;;;1449.0;176.0;;;28;24;8.0;1.0;;;;2333
