ID;Perioden;TotaalEchtscheidingen_1;TussenManEnVrouw_2;TussenMannen_3;TussenVrouwen_4;TotaalEchtscheidingen_5;EchtscheidingenZonderKinderen_6;TotaalEchtscheidingenMetKinderen_7;Met1Kind_8;Met2Kinderen_9;Met3Kinderen_10;Met4OfMeerKinderen_11;GeenLeeftijdsverschil_12;TotaalMannenOuder_13;k_1Tot5JaarOuder_14;k_5Tot10JaarOuder_15;k_10Tot15JaarOuder_16;k_15Tot20JaarOuder_17;k_20JaarOfMeerOuder_18;TotaalVrouwenOuder_19;k_1Tot5JaarOuder_20;k_5Tot10JaarOuder_21;k_10Tot15JaarOuder_22;k_15Tot20JaarOuder_23;k_20JaarOfMeerOuder_24;TotaalMannen1eHuwelijk_25;Vrouw1eHuwelijk_26;Vrouw2eHuwelijk_27;Vrouw3eOfVolgendHuwelijk_28;TotaalMannen2eHuwelijk_29;Vrouw1eHuwelijk_30;Vrouw2eHuwelijk_31;Vrouw3eOfVolgendHuwelijk_32;TotaalMannen3eOfVolgendeHuwelijk_33;Vrouw1eHuwelijk_34;Vrouw2eHuwelijk_35;Vrouw3eOfVolgendHuwelijk_36;ManNederlandVrouwNederland_37;ManNederlandVrouwBuitenland_38;ManNederlandVrouwEULandExclusi_39;ManNederlandVrouwBelgie_40;ManNederlandVrouwDuitsland_41;ManNederlandVrouwMarokko_42;ManNederlandVrouwNederlandseAnti_43;ManNederlandVrouwSuriname_44;ManNederlandVrouwTurkije_45;VrouwNederlandManBuitenland_46;VrouwNederlandManEULandExclusi_47;VrouwNederlandManBelgie_48;VrouwNederlandManDuitsland_49;VrouwNederlandManMarokko_50;VrouwNederlandManNederlandseAnti_51;VrouwNederlandManSuriname_52;VrouwNederlandManTurkije_53;Buitenland_54;EULandExclusiefNederland_55;Belgie_56;Duitsland_57;Marokko_58;NederlandseAntillenAruba_59;Suriname_60;Turkije_61;BeidenVerschillendBuitenland_62;MinderDanEenJaar_63;k_1Jaar_64;k_2Jaar_65;k_3Jaar_66;k_4Jaar_67;k_5Jaar_68;k_6Jaar_69;k_7Jaar_70;k_8Jaar_71;k_9Jaar_72;k_10Tot15Jaar_73;k_15Tot20Jaar_74;k_20Tot25Jaar_75;k_25Tot30Jaar_76;k_30Tot40Jaar_77;k_40Tot50Jaar_78;k_50JaarOfLanger_79;Voor1950_80;k_1950Tot1955_81;k_1955Tot1960_82;k_1960Tot1965_83;k_1965Tot1970_84;k_1970Tot1975_85;k_1975Tot1980_86;k_1980Tot1985_87;k_1985Tot1990_88;k_1990Tot1995_89;k_1995Tot2000_90;k_2000_91;k_2001_92;k_2002_93;k_2003_94;k_2004_95;k_2005_96;k_2006_97;k_2007_98;k_2008_99;k_2009_100;k_2010_101;k_2011_102;k_2012_103;k_2013_104;k_2014_105;k_2015_106;k_2016_107;k_2017_108;k_2018_109;k_2019_110;k_2020_111;k_2021_112;k_2022_113;k_2023_114;TotaalVanEchtScheidendePersonen_115;TotaalMannen_116;JongerDan20Jaar_117;k_20Tot25Jaar_118;k_25Tot30Jaar_119;k_30Tot35Jaar_120;k_35Tot40Jaar_121;k_40Tot45Jaar_122;k_45Tot50Jaar_123;k_50JaarOfOuder_124;TotaalVrouwen_125;JongerDan20Jaar_126;k_20Tot25Jaar_127;k_25Tot30Jaar_128;k_30Tot35Jaar_129;k_35Tot40Jaar_130;k_40Tot45Jaar_131;k_45Tot50Jaar_132;k_50JaarOfOuder_133;JongerDan20Jaar_134;k_20Tot25Jaar_135;k_25Tot30Jaar_136;k_30Tot35Jaar_137;k_35Tot40Jaar_138;k_40Tot45Jaar_139;k_45Tot50Jaar_140;k_50JaarOfOuder_141;JongerDan20Jaar_142;k_20Tot25Jaar_143;k_25Tot30Jaar_144;k_30Tot35Jaar_145;k_35Tot40Jaar_146;k_40Tot45Jaar_147;k_45Tot50Jaar_148;k_50JaarOfOuder_149;k_1eHuwelijk_150;k_2eHuwelijk_151;k_3eOfVolgendHuwelijk_152;k_1eHuwelijk_153;k_2eHuwelijk_154;k_3eOfVolgendHuwelijk_155;BijEchtscheidingBetrokkenKinderen_156
10;2006;31734;31616.0;36.0;82.0;31734;13679;18055;6457;8659;2379;560;2833;23036;13703;6450;1791;696;396;5865;4264;1092;363;98;48;26780;24313;2125;342;4158;2302;1551;305;796;361;307;128;22722;2452;783;135;233;107;90;221;154;2385;587;96;179;293;81;158;377;3382;178;39;44;715;110;495;880;793;88;594;1146;1528;1724;1621;1696;1586;1463;1298;5737;5013;3529;2261;2048;352;50;6;17;67;174;472;1079;1831;2975;4441;5566;6709;1696.0;1621.0;1724.0;1528.0;1146.0;594.0;88.0;;;;;;;;;;;;;;;;;;60420;29728;447;6772;10067;6279;2968;1460;801;934;30692;2329;10948;8979;4514;1913;1045;515;449;0;164;1197;2998;5505;6535;5532;7797;12;700;2296;4257;6480;6775;4931;5241;24786;4148;794;25922;3993;777;33291
11;2007;31983;31841.0;44.0;98.0;31983;14001;17982;6481;8559;2373;569;2970;23091;13620;6423;1955;653;440;5922;4316;1138;287;112;69;26937;24528;2099;310;4281;2314;1658;309;765;371;282;112;22965;2570;832;136;252;125;81;203;136;2375;607;98;177;278;83;164;380;3285;206;41;42;686;82;473;806;788;83;632;1105;1340;1668;1781;1663;1631;1553;1357;5638;5051;3666;2257;2067;439;52;5;15;69;176;449;982;1599;2772;4241;5362;6410;1631.0;1663.0;1781.0;1668.0;1340.0;1105.0;632.0;83.0;;;;;;;;;;;;;;;;;61016;30082;399;6538;10044;6606;3005;1553;914;1023;30934;2185;10726;9196;4635;2062;1090;556;484;1;129;1177;2896;5505;6350;5673;8351;13;629;2273;4150;6432;6584;5175;5678;25050;4267;765;26150;4053;731;33126
12;2008;32236;32070.0;44.0;122.0;32236;14056;18180;6654;8584;2392;550;2831;23294;13799;6540;1873;642;440;6111;4408;1191;339;113;60;27224;24643;2252;329;4290;2330;1647;313;722;338;274;110;23385;2542;843;130;265;116;87;175;124;2399;596;119;181;316;91;153;369;3070;213;32;46;651;94;391;724;840;70;651;1172;1339;1469;1646;1736;1641;1506;1455;5818;5175;3663;2303;2074;473;45;4;13;39;150;416;874;1450;2514;4041;5313;6192;1506.0;1641.0;1736.0;1646.0;1469.0;1339.0;1172.0;651.0;70.0;;;;;;;;;;;;;;;;61481;30230;298;6193;10315;6591;3278;1631;928;996;31251;1994;10440;9538;4893;2163;1166;574;483;0;124;1131;2764;5171;6431;5985;8624;11;541;2312;4091;6119;6736;5467;5974;25231;4279;720;26313;4184;754;33327
13;2009;30779;30579.0;68.0;132.0;30779;14289;16490;6169;7792;2082;447;2765;22246;12938;6412;1873;626;397;5768;4178;1122;313;109;46;25885;23417;2144;324;4190;2250;1621;319;704;305;298;101;22427;2508;812;127;215;142;74;167;135;2212;562;90;175;299;86;156;335;2805;176;25;33;546;88;358;677;827;75;716;1192;1318;1438;1475;1577;1551;1370;1441;5453;4770;3628;2178;2049;491;57;5;14;38;113;378;728;1321;2178;3628;4770;5453;1441.0;1370.0;1551.0;1577.0;1475.0;1438.0;1318.0;1192.0;716.0;75.0;;;;;;;;;;;;;;;58743;28904;290;5611;9440;6655;3191;1693;968;1056;29839;1869;9550;9075;4822;2201;1201;620;501;0;138;1072;2510;4551;6043;5763;8827;11;561;2150;3621;5460;6431;5474;6131;24027;4175;702;25015;4078;746;29890
14;2010;32544;32254.0;111.0;179.0;32544;14037;18507;7384;8570;2155;398;2997;23671;13747;6756;2052;703;413;5876;4308;1141;278;84;65;27040;24632;2108;300;4669;2488;1839;342;835;340;349;146;23516;2674;917;137;267;141;77;189;151;2363;598;103;203;307;97;159;376;3056;271;43;55;639;92;348;672;935;66;805;1426;1466;1494;1527;1468;1602;1476;1309;5933;4780;3974;2387;2212;552;67;2;10;43;95;376;676;1269;2181;3620;4783;5487;1363.0;1309.0;1476.0;1602.0;1468.0;1527.0;1494.0;1466.0;1426.0;805.0;66.0;;;;;;;;;;;;;;62368;30746;297;5821;10046;6923;3497;1873;1105;1184;31622;1871;10035;9678;5107;2373;1295;659;604;2;130;1136;2707;4426;6156;6295;9894;14;580;2317;3752;5497;6609;5963;6890;25353;4579;814;26522;4312;788;32678
15;2011;32510;32178.0;117.0;215.0;32510;13797;18713;7365;8667;2244;437;3042;23515;13469;6909;2074;667;396;5953;4361;1138;326;83;45;27127;24725;2105;297;4598;2461;1789;348;785;336;316;133;23563;2632;843;130;263;101;80;192;153;2261;549;92;174;282;110;185;331;3074;287;35;39;590;106;343;661;980;66;746;1380;1540;1510;1483;1403;1452;1442;1493;6028;4756;4018;2366;2122;634;71;1;8;33;108;341;626;1039;1904;3359;4651;5276;1317.0;1332.0;1493.0;1442.0;1452.0;1403.0;1483.0;1510.0;1540.0;1380.0;746.0;66.0;;;;;;;;;;;;;62301;30681;299;5403;9984;7264;3516;1893;1092;1230;31620;1740;9695;9826;5262;2417;1316;715;649;1;167;1127;2675;4113;6173;6307;10118;10;626;2197;3870;5088;6658;5895;7276;25421;4491;769;26611;4230;779;33278
16;2012;33273;32939.0;111.0;223.0;33273;14459;18814;7265;8657;2405;487;3033;24306;14099;6907;2204;718;378;5934;4368;1124;288;102;52;27772;25286;2175;311;4663;2502;1829;332;838;369;340;129;24072;2651;846;131;258;131;72;205;171;2339;575;106;187;282;91;169;371;3141;300;37;44;587;104;335;683;1070;94;756;1449;1603;1673;1520;1410;1465;1375;1377;6231;4788;4160;2453;2181;646;92;1;8;30;108;291;558;971;1735;3104;4547;5259;1253.0;1290.0;1396.0;1377.0;1375.0;1465.0;1410.0;1520.0;1673.0;1603.0;1449.0;756.0;94.0;;;;;;;;;;;;63721;31359;296;5439;10044;7291;3811;2033;1173;1272;32362;1731;9771;9980;5564;2573;1315;745;683;1;151;1209;2771;4105;6086;6313;10723;8;640;2386;3920;5010;6617;6001;7780;25963;4574;822;27220;4369;773;33834
17;2013;33636;33270.0;122.0;244.0;33636;14702;18934;7166;8872;2387;509;3038;24563;14202;7083;2114;719;445;6035;4501;1111;308;77;38;28146;25658;2197;291;4648;2492;1799;357;842;326;369;147;24422;2704;897;138;262;137;92;185;160;2377;577;96;164;330;91;166;326;3120;326;32;43;570;94;349;642;1013;64;768;1335;1571;1731;1810;1532;1492;1332;1357;6310;4811;4167;2521;2120;635;80;2;3;28;78;226;500;842;1556;2845;4281;5145;1278.0;1165.0;1350.0;1345.0;1357.0;1332.0;1492.0;1532.0;1810.0;1731.0;1571.0;1335.0;768.0;64.0;;;;;;;;;;;64284;31635;292;5124;9962;7660;3868;2125;1212;1392;32649;1607;9339;10363;5764;2627;1460;764;725;1;145;1191;2784;4069;6050;6258;11137;13;578;2339;3908;5085;6672;6021;8033;26274;4538;823;27452;4395;802;34180
18;2014;35409;35036.0;133.0;240.0;35409;15503;19906;7660;9238;2529;479;3293;25739;14877;7434;2168;766;494;6377;4786;1198;287;73;33;29640;27017;2331;292;4893;2628;1925;340;876;333;402;141;25818;2766;919;122;269;120;81;201;140;2407;577;105;162;333;97;150;363;3327;390;26;34;606;100;339;653;1091;80;673;1368;1591;1724;1663;1657;1577;1434;1392;6334;5309;4563;2918;2298;720;108;0;5;26;77;210;510;766;1532;2918;4563;5309;1167.0;1180.0;1315.0;1349.0;1323.0;1392.0;1434.0;1577.0;1657.0;1663.0;1724.0;1591.0;1368.0;673.0;80.0;;;;;;;;;;67752;33348;279;5226;10655;7937;4173;2287;1270;1521;34404;1653;9612;11084;6093;2868;1459;865;770;2;129;1167;2673;4112;5830;6845;12590;11;501;2322;4028;5091;6504;6779;9168;27707;4782;859;28931;4696;777;35727
19;2015;34232;33842.0;137.0;253.0;34232;15017;19215;7332;8935;2448;500;3074;24898;14357;7191;2184;743;423;6260;4647;1176;305;84;48;28553;26103;2161;289;4857;2600;1897;360;822;353;344;125;24744;2893;958;139;273;148;82;188;154;2324;569;91;176;297;90;184;331;3184;382;28;18;570;85;356;526;1087;93;683;1206;1557;1645;1721;1622;1723;1441;1339;6088;5141;4117;2793;2247;707;109;0;3;16;70;197;411;731;1256;2471;3927;4885;1147.0;1100.0;1223.0;1244.0;1254.0;1267.0;1339.0;1441.0;1723.0;1622.0;1721.0;1645.0;1557.0;1206.0;683.0;93.0;;;;;;;;;65574;32249;240;4786;9992;7960;4221;2188;1314;1548;33325;1568;8897;10601;6141;2824;1600;866;828;0;95;1074;2758;3971;5376;6412;12563;8;462;2209;3895;4957;6012;6504;9278;26688;4749;812;28113;4436;776;34650
20;2016;33414;32963.0;160.0;291.0;33414;14786;18628;7168;8591;2373;496;2952;24522;14012;7269;2105;704;432;5940;4457;1092;282;75;34;28134;25720;2122;292;4495;2436;1730;329;785;339;317;129;23891;2774;902;120;253;158;86;198;145;2342;580;106;157;314;103;179;339;3266;424;19;37;545;78;305;578;1141;90;696;1193;1386;1538;1527;1582;1601;1470;1311;5821;5164;4117;2909;2175;720;114;0;2;19;49;163;372;620;1095;2184;3782;4783;1092.0;1038.0;1153.0;1134.0;1164.0;1165.0;1205.0;1311.0;1470.0;1601.0;1582.0;1527.0;1538.0;1386.0;1193.0;696.0;90.0;;;;;;;;63880;31408;248;4404;9701;7767;4192;2323;1268;1505;32472;1391;8508;10502;6120;2830;1469;876;776;1;112;1054;2565;3770;4770;6318;12818;6;474;2073;3742;4706;5609;6434;9428;26252;4392;764;27516;4192;764;33561
21;2017;32768;32342.0;159.0;267.0;32768;14590;18178;6919;8431;2319;509;2834;24002;13674;7040;2157;694;437;5932;4439;1110;265;79;39;27677;25373;2078;226;4318;2380;1643;295;773;329;321;123;23052;2729;890;135;257;127;91;187;132;2248;580;83;154;298;105;142;304;3528;537;35;32;586;112;285;521;1211;117;748;1174;1309;1393;1570;1494;1483;1418;1414;5715;5068;3945;2793;2230;754;143;2;3;12;55;155;376;538;991;1936;3320;4401;1033.0;954.0;1157.0;1105.0;1077.0;1081.0;1163.0;1289.0;1414.0;1418.0;1483.0;1494.0;1570.0;1393.0;1309.0;1174.0;748.0;117.0;;;;;;;62581;30782;205;4189;9475;7921;4002;2242;1215;1533;31799;1456;8017;10320;6250;2730;1406;803;817;1;115;1013;2608;3795;4675;5882;12693;8;435;2064;3784;4688;5193;6030;9597;25777;4244;761;27095;4057;647;32913
22;2018;30729;30334.0;109.0;286.0;30729;13981;16748;6454;7656;2165;473;2687;22499;12743;6630;2011;707;408;5543;4104;1070;253;77;39;25883;23712;1944;227;4050;2227;1543;280;796;344;319;133;21355;2532;816;119;234;131;75;182;124;2139;520;102;149;292;81;144;303;3522;521;32;34;535;97;274;457;1181;104;688;1135;1255;1357;1382;1381;1411;1412;1324;5439;4730;3633;2586;2005;774;113;1;2;11;26;108;352;500;770;1567;2790;3920;995.0;838.0;963.0;998.0;972.0;974.0;1013.0;1152.0;1328.0;1324.0;1412.0;1411.0;1381.0;1382.0;1357.0;1255.0;1135.0;688.0;104.0;;;;;;58499;28682;199;3773;8730;7339;3778;2070;1200;1593;29817;1368;7388;9579;5754;2653;1414;786;875;0;107;942;2455;3539;4227;5323;12089;7;420;1953;3530;4460;4694;5501;9252;23950;3949;783;25324;3847;646;30267
23;2019;30041;29604.0;134.0;303.0;30041;13813;16228;6258;7403;2125;442;2698;21943;12276;6629;1992;660;386;5400;4028;1017;248;59;48;25428;23325;1874;229;3911;2178;1454;279;702;293;277;132;20470;2555;765;103;208;132;78;172;122;2206;541;112;164;311;91;144;306;3601;537;28;38;537;81;254;456;1209;114;726;1191;1289;1304;1321;1332;1386;1275;1321;5550;4409;3548;2445;2026;674;130;0;2;9;30;89;260;414;650;1376;2445;3548;900.0;789.0;888.0;911.0;921.0;952.0;957.0;1114.0;1210.0;1317.0;1321.0;1275.0;1386.0;1332.0;1321.0;1304.0;1289.0;1191.0;726.0;114.0;;;;;57148;28011;164;3594;8448;7228;3777;2078;1144;1578;29137;1339;6927;9462;5718;2692;1343;797;859;0;91;974;2450;3576;4074;5022;11824;4;420;1888;3558;4439;4657;5074;9097;23496;3829;686;24844;3646;647;29327
