ID;Baanvindduur;RegioS;Perioden;WerklozeBeroepsbevolking_1
0;1;Nederland;2002;302.0
1;1;Nederland;2003;396.0
2;1;Nederland;2004;476.0
3;1;Nederland;2005;482.0
4;1;Nederland;2006;410.0
5;1;Nederland;2007;344.0
6;1;Nederland;2008;300.0
7;1;Nederland;2009;377.0
8;1;Nederland;2010;426.0
9;1;Nederland;2011;419.0
10;1;Nederland;2012;507.0
11;1;Nederland;2013;656.0
12;1;Nederland;2014;656.0
13;1;Noord-Nederland (LD);2002;43.0
14;1;Noord-Nederland (LD);2003;50.0
15;1;Noord-Nederland (LD);2004;59.0
16;1;Noord-Nederland (LD);2005;63.0
17;1;Noord-Nederland (LD);2006;48.0
18;1;Noord-Nederland (LD);2007;44.0
19;1;Noord-Nederland (LD);2008;36.0
20;1;Noord-Nederland (LD);2009;43.0
21;1;Noord-Nederland (LD);2010;50.0
22;1;Noord-Nederland (LD);2011;50.0
23;1;Noord-Nederland (LD);2012;55.0
24;1;Noord-Nederland (LD);2013;70.0
25;1;Noord-Nederland (LD);2014;72.0
26;1;Oost-Nederland (LD);2002;56.0
27;1;Oost-Nederland (LD);2003;79.0
28;1;Oost-Nederland (LD);2004;100.0
29;1;Oost-Nederland (LD);2005;105.0
30;1;Oost-Nederland (LD);2006;87.0
31;1;Oost-Nederland (LD);2007;70.0
32;1;Oost-Nederland (LD);2008;65.0
33;1;Oost-Nederland (LD);2009;73.0
34;1;Oost-Nederland (LD);2010;89.0
35;1;Oost-Nederland (LD);2011;87.0
36;1;Oost-Nederland (LD);2012;104.0
37;1;Oost-Nederland (LD);2013;141.0
38;1;Oost-Nederland (LD);2014;138.0
39;1;West-Nederland (LD);2002;140.0
40;1;West-Nederland (LD);2003;182.0
41;1;West-Nederland (LD);2004;213.0
42;1;West-Nederland (LD);2005;218.0
43;1;West-Nederland (LD);2006;193.0
44;1;West-Nederland (LD);2007;156.0
45;1;West-Nederland (LD);2008;135.0
46;1;West-Nederland (LD);2009;178.0
47;1;West-Nederland (LD);2010;195.0
48;1;West-Nederland (LD);2011;205.0
49;1;West-Nederland (LD);2012;255.0
50;1;West-Nederland (LD);2013;314.0
51;1;West-Nederland (LD);2014;318.0
52;1;Zuid-Nederland (LD);2002;63.0
53;1;Zuid-Nederland (LD);2003;85.0
54;1;Zuid-Nederland (LD);2004;103.0
55;1;Zuid-Nederland (LD);2005;97.0
56;1;Zuid-Nederland (LD);2006;81.0
57;1;Zuid-Nederland (LD);2007;73.0
58;1;Zuid-Nederland (LD);2008;64.0
59;1;Zuid-Nederland (LD);2009;84.0
60;1;Zuid-Nederland (LD);2010;92.0
61;1;Zuid-Nederland (LD);2011;76.0
62;1;Zuid-Nederland (LD);2012;93.0
63;1;Zuid-Nederland (LD);2013;132.0
64;1;Zuid-Nederland (LD);2014;128.0
65;1;Groningen (PV);2002;18.0
66;1;Groningen (PV);2003;20.0
67;1;Groningen (PV);2004;22.0
68;1;Groningen (PV);2005;27.0
69;1;Groningen (PV);2006;16.0
70;1;Groningen (PV);2007;19.0
71;1;Groningen (PV);2008;15.0
72;1;Groningen (PV);2009;16.0
73;1;Groningen (PV);2010;18.0
74;1;Groningen (PV);2011;21.0
75;1;Groningen (PV);2012;22.0
76;1;Groningen (PV);2013;24.0
77;1;Groningen (PV);2014;29.0
78;1;Friesland (PV);2002;13.0
79;1;Friesland (PV);2003;18.0
80;1;Friesland (PV);2004;21.0
81;1;Friesland (PV);2005;20.0
82;1;Friesland (PV);2006;18.0
83;1;Friesland (PV);2007;12.0
84;1;Friesland (PV);2008;12.0
85;1;Friesland (PV);2009;14.0
86;1;Friesland (PV);2010;18.0
87;1;Friesland (PV);2011;16.0
88;1;Friesland (PV);2012;19.0
89;1;Friesland (PV);2013;28.0
90;1;Friesland (PV);2014;28.0
91;1;Drenthe (PV);2002;12.0
92;1;Drenthe (PV);2003;12.0
93;1;Drenthe (PV);2004;16.0
94;1;Drenthe (PV);2005;16.0
95;1;Drenthe (PV);2006;15.0
96;1;Drenthe (PV);2007;13.0
