ID;Landen;GN;Perioden;TotaleInvoerwaarde_1;TotaleInvoerhoeveelheid_2;TotaleUitvoerwaarde_3;TotaleUitvoerhoeveelheid_4;EenheidHoeveelheid_5
0;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 januari;0.0;0.0;;;mln kg                   
1;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 februari;0.0;0.0;;;mln kg                   
2;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 maart;0.0;0.0;;;mln kg                   
3;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 april;0.0;0.0;;;mln kg                   
4;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 mei;0.0;0.0;;;mln kg                   
5;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 juni;0.0;0.0;;;mln kg                   
6;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 juli;0.0;0.0;;;mln kg                   
7;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 augustus;0.0;0.0;;;mln kg                   
8;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 september;0.0;0.0;;;mln kg                   
9;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 oktober;0.0;0.0;;;mln kg                   
10;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 november;0.0;0.0;;;mln kg                   
11;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 december;0.0;0.0;;;mln kg                   
12;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015 ;0.0;0.0;;;mln kg                   
13;Totaal landen;"84011000 Kernreactoren ""Euratom""";2016 januari;0.0;0.0;;;mln kg                   
14;Totaal landen;"84011000 Kernreactoren ""Euratom""";2016 februari;0.0;0.0;;;mln kg                   
15;Totaal landen;"84011000 Kernreactoren ""Euratom""";2016 maart;0.0;0.0;;;mln kg                   
16;Totaal landen;"84011000 Kernreactoren ""Euratom""";2016 april;0.0;0.0;;;mln kg                   
17;Totaal landen;"84011000 Kernreactoren ""Euratom""";2016 mei;0.0;0.0;0.0;0.0;mln kg                   
18;Totaal landen;"84011000 Kernreactoren ""Euratom""";2016 juni;0.0;0.0;;;mln kg                   
