ID;Bronnen;Perioden;NMVOS_1;SO2_2;CO_3;NOx_4;NH3_5;PM10_6;PM25_7
20;Totaal Stationaire en mobiele bronnen;2018;152.46;25.2;534.7;218.8;129.87;30.58;16.95
21;Totaal Stationaire en mobiele bronnen;2019;150.09;22.9;517.0;204.9;124.58;29.51;16.16
22;Totaal Stationaire en mobiele bronnen;2020;182.51;19.7;449.5;181.9;123.35;27.65;14.91
23;Totaal Stationaire en mobiele bronnen;2021;190.32;20.9;437.8;177.8;121.93;26.13;14.2
24;Stationaire bronnen, totaal;1990;297.07;170.7;369.5;230.0;343.56;52.55;31.64
25;Stationaire bronnen, totaal;1995;222.98;109.7;323.8;188.8;215.97;39.52;24.48
26;Stationaire bronnen, totaal;2000;174.04;63.1;267.4;143.1;169.09;30.48;17.77
27;Stationaire bronnen, totaal;2001;154.58;67.1;268.0;142.1;162.5;29.46;17.22
28;Stationaire bronnen, totaal;2002;147.67;60.6;252.9;138.6;154.9;29.2;16.58
29;Stationaire bronnen, totaal;2003;139.35;56.5;252.2;139.2;151.72;28.1;16.77
30;Stationaire bronnen, totaal;2004;132.49;59.1;273.8;131.6;151.34;27.71;16.33
31;Stationaire bronnen, totaal;2005;142.47;57.9;260.6;128.3;149.0;27.15;15.76
32;Stationaire bronnen, totaal;2006;139.29;58.3;267.3;121.3;152.0;27.07;16.05
33;Stationaire bronnen, totaal;2007;142.24;55.3;252.9;111.3;148.39;26.51;15.0
34;Stationaire bronnen, totaal;2008;138.48;47.8;264.0;110.4;136.12;26.35;14.86
35;Stationaire bronnen, totaal;2009;132.38;35.4;213.1;99.0;132.21;25.34;14.28
36;Stationaire bronnen, totaal;2010;145.98;32.9;251.9;101.6;129.99;26.08;14.97
37;Stationaire bronnen, totaal;2011;140.34;33.3;217.5;91.1;128.27;24.93;13.69
38;Stationaire bronnen, totaal;2012;136.53;33.6;216.7;88.6;122.87;24.64;13.28
39;Stationaire bronnen, totaal;2013;135.12;29.3;206.1;86.8;120.36;25.0;13.61
40;Stationaire bronnen, totaal;2014;128.68;28.8;183.7;77.3;124.09;24.02;12.5
41;Stationaire bronnen, totaal;2015;125.97;30.0;196.5;79.0;125.51;24.28;12.89
42;Stationaire bronnen, totaal;2016;118.11;27.9;191.8;74.0;126.72;24.14;12.81
43;Stationaire bronnen, totaal;2017;119.81;26.3;180.3;67.7;128.45;23.87;12.66
44;Stationaire bronnen, totaal;2018;117.55;24.4;181.0;65.9;126.33;23.76;12.62
45;Stationaire bronnen, totaal;2019;116.08;22.1;180.5;62.4;120.99;23.07;12.22
46;Stationaire bronnen, totaal;2020;152.76;19.0;164.3;56.8;120.29;21.83;11.32
47;Stationaire bronnen, totaal;2021;161.25;20.2;166.8;58.3;118.77;20.48;10.84
48;Energiesector;1990;33.03;112.7;11.3;103.9;0.01;7.94;6.03
49;Energiesector;1995;27.82;78.3;11.1;83.2;0.01;5.35;4.17
50;Energiesector;2000;28.04;48.2;18.0;64.9;0.02;3.65;2.57
51;Energiesector;2001;20.21;50.6;15.9;62.7;0.03;3.3;2.51
52;Energiesector;2002;18.56;44.4;19.7;62.9;0.02;2.94;2.06
53;Energiesector;2003;17.05;43.7;19.8;63.8;0.07;3.29;2.36
54;Energiesector;2004;15.32;43.1;12.9;56.6;0.08;2.41;1.69
55;Energiesector;2005;19.68;42.1;13.7;55.2;0.19;2.15;1.65
56;Energiesector;2006;17.75;42.2;11.9;52.0;0.0;2.08;1.87
57;Energiesector;2007;16.88;38.7;8.8;43.4;0.01;1.76;1.26
58;Energiesector;2008;16.4;32.1;10.6;38.1;0.05;1.67;1.22
59;Energiesector;2009;14.45;24.2;9.8;32.3;0.02;0.87;0.58
60;Energiesector;2010;15.22;19.4;10.6;32.6;0.02;0.55;0.42
61;Energiesector;2011;15.97;19.2;11.1;29.1;0.02;0.43;0.3
62;Energiesector;2012;15.38;22.1;11.0;28.3;0.03;0.32;0.18
63;Energiesector;2013;15.54;19.5;9.7;29.5;0.03;0.46;0.3
64;Energiesector;2014;13.97;18.3;8.6;26.8;0.02;0.53;0.41
65;Energiesector;2015;13.13;19.7;9.4;27.6;0.02;0.63;0.49
66;Energiesector;2016;11.65;17.1;8.4;23.4;0.03;0.47;0.37
67;Energiesector;2017;10.83;15.3;5.4;21.5;0.03;0.45;0.32
68;Energiesector;2018;8.49;13.6;6.1;20.7;0.04;0.37;0.3
69;Energiesector;2019;7.49;11.3;5.9;19.4;0.05;0.33;0.27
70;Energiesector;2020;6.86;8.8;5.9;17.0;0.06;0.27;0.22
71;Energiesector;2021;5.87;10.4;6.6;17.7;0.04;0.29;0.24
72;06 Winning van aardolie en aardgas;1990;15.52;1.5;0.5;7.2;0.0;0.02;0.02
73;06 Winning van aardolie en aardgas;1995;13.43;0.8;1.5;6.5;0.0;0.0;0.0
74;06 Winning van aardolie en aardgas;2000;10.76;0.3;0.4;5.7;0.0;0.0;0.0
75;06 Winning van aardolie en aardgas;2001;9.8;0.4;0.4;6.0;0.0;0.0;0.0
76;06 Winning van aardolie en aardgas;2002;8.86;0.4;0.4;6.1;0.0;0.0;0.0
77;06 Winning van aardolie en aardgas;2003;7.13;0.2;0.0;5.4;0.0;0.0;0.0
78;06 Winning van aardolie en aardgas;2004;5.68;0.2;0.0;4.4;0.0;0.0;0.0
79;06 Winning van aardolie en aardgas;2005;6.13;0.2;0.0;4.4;0.0;0.0;0.0
80;06 Winning van aardolie en aardgas;2006;5.98;0.2;0.0;4.5;0.0;0.0;0.0
81;06 Winning van aardolie en aardgas;2007;7.31;0.2;0.0;4.5;0.0;0.0;0.0
82;06 Winning van aardolie en aardgas;2008;7.22;0.2;0.0;4.3;0.0;0.0;0.0
83;06 Winning van aardolie en aardgas;2009;6.49;0.2;0.6;2.8;0.0;0.0;0.0
84;06 Winning van aardolie en aardgas;2010;6.62;0.3;0.0;4.4;0.0;0.0;0.0
85;06 Winning van aardolie en aardgas;2011;8.56;0.4;0.0;4.5;0.0;0.0;0.0
86;06 Winning van aardolie en aardgas;2012;7.2;0.3;0.0;4.9;0.0;0.0;0.0
87;06 Winning van aardolie en aardgas;2013;6.56;0.4;0.0;5.2;0.0;0.0;0.0
88;06 Winning van aardolie en aardgas;2014;6.0;0.3;0.0;5.7;0.0;0.0;0.0
89;06 Winning van aardolie en aardgas;2015;6.23;0.2;0.0;5.5;0.0;0.0;0.0
90;06 Winning van aardolie en aardgas;2016;5.27;0.1;0.0;4.0;0.0;0.0;0.0
91;06 Winning van aardolie en aardgas;2017;4.68;0.1;0.0;3.7;0.0;0.0;0.0
92;06 Winning van aardolie en aardgas;2018;2.91;0.0;0.0;3.4;0.0;0.0;0.0
93;06 Winning van aardolie en aardgas;2019;2.55;0.1;0.0;2.4;0.0;0.0;0.0
94;06 Winning van aardolie en aardgas;2020;2.51;0.1;0.0;2.4;0.0;0.0;0.0
95;06 Winning van aardolie en aardgas;2021;1.9;0.1;0.0;2.4;0.0;0.0;0.0
96;192 Aardolie-industrie;1990;16.58;67.1;4.9;18.8;0.01;6.46;4.92
97;192 Aardolie-industrie;1995;13.54;61.2;2.2;17.0;0.01;4.78;3.85
98;192 Aardolie-industrie;2000;15.73;33.1;2.8;10.3;0.01;3.34;2.34
99;192 Aardolie-industrie;2001;10.1;34.7;2.1;10.2;0.03;2.93;2.24
100;192 Aardolie-industrie;2002;9.22;30.3;4.4;9.9;0.01;2.42;1.7
101;192 Aardolie-industrie;2003;9.1;29.5;3.9;9.8;0.0;2.83;2.06
102;192 Aardolie-industrie;2004;8.7;32.3;3.6;9.3;0.0;1.99;1.4
103;192 Aardolie-industrie;2005;12.82;32.2;4.8;9.1;0.0;1.65;1.28
104;192 Aardolie-industrie;2006;10.72;32.4;5.2;10.1;0.0;1.71;1.6
105;192 Aardolie-industrie;2007;9.04;29.9;4.0;9.3;0.0;1.46;1.04
106;192 Aardolie-industrie;2008;8.64;25.7;5.3;8.5;0.0;1.36;1.01
107;192 Aardolie-industrie;2009;7.65;17.9;5.7;6.2;0.0;0.55;0.34
108;192 Aardolie-industrie;2010;8.01;12.7;6.3;5.6;0.0;0.29;0.23
109;192 Aardolie-industrie;2011;6.79;12.5;7.3;5.7;0.0;0.32;0.22
110;192 Aardolie-industrie;2012;6.94;13.9;5.9;5.3;0.0;0.21;0.11
111;192 Aardolie-industrie;2013;7.24;9.9;4.5;5.5;0.0;0.24;0.17
112;192 Aardolie-industrie;2014;6.4;9.7;4.7;5.2;0.0;0.24;0.19
113;192 Aardolie-industrie;2015;6.26;11.1;5.6;5.2;0.0;0.27;0.23
114;192 Aardolie-industrie;2016;5.76;11.2;4.8;5.0;0.01;0.23;0.18
115;192 Aardolie-industrie;2017;5.55;11.1;2.0;4.8;0.01;0.23;0.18
116;192 Aardolie-industrie;2018;4.97;9.8;2.1;4.9;0.01;0.23;0.18
117;192 Aardolie-industrie;2019;4.32;8.7;2.6;5.2;0.01;0.22;0.18
118;192 Aardolie-industrie;2020;3.79;7.2;2.5;4.4;0.01;0.19;0.15
119;192 Aardolie-industrie;2021;3.42;8.1;2.5;4.5;0.01;0.17;0.14
120;35 Energiebedrijven;1990;0.93;44.1;6.0;77.8;0.0;1.46;1.09
121;35 Energiebedrijven;1995;0.86;16.3;7.3;59.7;0.0;0.57;0.33
122;35 Energiebedrijven;2000;1.55;14.8;14.8;48.9;0.01;0.31;0.23
123;35 Energiebedrijven;2001;0.31;15.5;13.3;46.5;0.0;0.37;0.27
124;35 Energiebedrijven;2002;0.47;13.6;14.9;46.8;0.01;0.52;0.36
125;35 Energiebedrijven;2003;0.82;13.9;15.8;48.7;0.06;0.47;0.3
126;35 Energiebedrijven;2004;0.94;10.6;9.4;42.8;0.08;0.42;0.29
127;35 Energiebedrijven;2005;0.73;9.7;8.9;41.7;0.19;0.5;0.36
128;35 Energiebedrijven;2006;1.05;9.6;6.7;37.5;0.0;0.36;0.27
129;35 Energiebedrijven;2007;0.53;8.6;4.8;29.6;0.01;0.31;0.22
130;35 Energiebedrijven;2008;0.54;6.1;5.3;25.3;0.05;0.31;0.21
131;35 Energiebedrijven;2009;0.31;6.0;3.6;23.3;0.02;0.32;0.24
132;35 Energiebedrijven;2010;0.59;6.4;4.3;22.7;0.02;0.26;0.19
133;35 Energiebedrijven;2011;0.62;6.4;3.8;18.8;0.02;0.1;0.08
134;35 Energiebedrijven;2012;1.24;7.9;5.1;18.1;0.03;0.1;0.07
135;35 Energiebedrijven;2013;1.74;9.2;5.2;18.7;0.03;0.22;0.13
136;35 Energiebedrijven;2014;1.58;8.4;3.9;15.9;0.02;0.29;0.21
137;35 Energiebedrijven;2015;0.65;8.4;3.8;16.9;0.02;0.36;0.26
138;35 Energiebedrijven;2016;0.62;5.8;3.6;14.4;0.02;0.24;0.2
139;35 Energiebedrijven;2017;0.6;4.0;3.4;13.1;0.02;0.22;0.14
140;35 Energiebedrijven;2018;0.6;3.8;3.9;12.4;0.03;0.14;0.11
141;35 Energiebedrijven;2019;0.62;2.5;3.3;11.7;0.04;0.11;0.09
142;35 Energiebedrijven;2020;0.56;1.5;3.4;10.2;0.04;0.07;0.06
143;35 Energiebedrijven;2021;0.55;2.2;4.2;10.8;0.03;0.11;0.1
144;Nijverheid (geen energiesector);1990;159.43;51.4;267.4;79.0;4.71;27.74;15.12
145;Nijverheid (geen energiesector);1995;107.37;29.6;213.2;57.0;4.16;17.71;10.07
146;Nijverheid (geen energiesector);2000;75.76;14.0;159.4;35.1;2.7;10.63;5.76
147;Nijverheid (geen energiesector);2001;64.12;15.6;158.1;36.4;2.75;10.04;5.26
148;Nijverheid (geen energiesector);2002;61.14;15.4;143.9;35.5;2.45;10.53;5.31
149;Nijverheid (geen energiesector);2003;54.15;12.0;138.0;35.0;2.61;9.27;4.89
150;Nijverheid (geen energiesector);2004;50.31;15.3;164.9;36.1;3.2;9.31;5.06
151;Nijverheid (geen energiesector);2005;50.17;14.9;151.5;35.5;2.41;8.79;4.64
152;Nijverheid (geen energiesector);2006;47.31;15.3;158.5;33.7;2.16;8.67;4.62
153;Nijverheid (geen energiesector);2007;48.23;15.8;151.0;32.8;1.93;8.68;4.61
154;Nijverheid (geen energiesector);2008;44.2;14.7;152.2;32.5;2.0;8.17;4.27
155;Nijverheid (geen energiesector);2009;41.54;10.2;101.2;28.1;1.84;8.04;4.35
156;Nijverheid (geen energiesector);2010;49.11;12.4;122.9;30.4;1.76;8.14;4.39
157;Nijverheid (geen energiesector);2011;47.15;12.9;109.8;29.7;1.96;7.99;4.53
158;Nijverheid (geen energiesector);2012;43.58;10.5;104.0;28.4;1.68;7.53;3.88
159;Nijverheid (geen energiesector);2013;42.85;8.9;90.9;25.7;1.46;7.45;3.9
160;Nijverheid (geen energiesector);2014;41.25;9.6;90.8;24.9;1.33;7.42;3.83
161;Nijverheid (geen energiesector);2015;39.03;9.4;96.1;24.5;1.4;7.5;3.89
162;Nijverheid (geen energiesector);2016;33.75;9.0;92.5;24.8;1.68;7.77;4.03
163;Nijverheid (geen energiesector);2017;36.09;9.4;88.4;23.9;1.54;7.98;4.22
164;Nijverheid (geen energiesector);2018;36.15;9.6;90.4;23.5;1.6;7.91;4.15
165;Nijverheid (geen energiesector);2019;35.48;9.7;93.3;23.1;1.29;7.8;4.12
166;Nijverheid (geen energiesector);2020;34.36;9.3;82.2;21.6;1.56;7.53;3.8
167;Nijverheid (geen energiesector);2021;34.47;8.8;78.1;21.5;1.46;7.82;3.96
168;20-21 Chemie en farmaceutische industrie;1990;34.24;20.0;23.9;38.8;3.31;4.43;2.78
169;20-21 Chemie en farmaceutische industrie;1995;19.38;11.3;34.9;28.0;3.1;3.56;2.34
170;20-21 Chemie en farmaceutische industrie;2000;13.28;3.1;26.5;15.1;1.83;1.54;1.02
171;20-21 Chemie en farmaceutische industrie;2001;11.82;4.2;27.5;14.0;1.76;1.18;0.73
172;20-21 Chemie en farmaceutische industrie;2002;10.79;4.1;24.6;14.0;1.51;1.54;1.01
173;20-21 Chemie en farmaceutische industrie;2003;10.45;3.6;21.6;15.2;1.6;1.25;0.83
174;20-21 Chemie en farmaceutische industrie;2004;10.53;4.2;24.3;15.3;2.15;1.38;0.91
175;20-21 Chemie en farmaceutische industrie;2005;8.2;3.9;19.8;14.6;1.45;1.32;0.82
176;20-21 Chemie en farmaceutische industrie;2006;8.38;4.0;19.5;13.9;1.26;1.28;0.79
177;20-21 Chemie en farmaceutische industrie;2007;7.82;4.0;19.4;12.9;1.07;1.07;0.64
178;20-21 Chemie en farmaceutische industrie;2008;7.7;3.3;16.1;13.1;1.13;0.91;0.54
179;20-21 Chemie en farmaceutische industrie;2009;6.53;2.2;12.1;11.5;0.87;1.34;0.89
180;20-21 Chemie en farmaceutische industrie;2010;6.64;2.1;11.9;12.2;0.74;1.42;0.95
181;20-21 Chemie en farmaceutische industrie;2011;7.24;2.4;14.0;12.0;0.97;1.31;0.88
182;20-21 Chemie en farmaceutische industrie;2012;9.19;2.1;16.1;11.3;0.79;1.39;0.92
183;20-21 Chemie en farmaceutische industrie;2013;7.14;1.6;12.6;9.9;0.65;1.49;1.03
184;20-21 Chemie en farmaceutische industrie;2014;6.91;1.8;11.2;9.5;0.59;1.34;0.86
185;20-21 Chemie en farmaceutische industrie;2015;6.0;1.6;12.7;9.0;0.56;1.19;0.78
186;20-21 Chemie en farmaceutische industrie;2016;5.54;1.5;12.4;9.4;0.82;1.33;0.85
187;20-21 Chemie en farmaceutische industrie;2017;5.57;1.7;14.2;9.0;0.73;1.46;0.99
188;20-21 Chemie en farmaceutische industrie;2018;5.7;1.7;11.2;9.0;0.7;1.27;0.83
189;20-21 Chemie en farmaceutische industrie;2019;5.35;1.5;14.8;8.7;0.44;1.07;0.74
190;20-21 Chemie en farmaceutische industrie;2020;5.1;1.5;10.7;9.1;0.48;0.87;0.56
191;20-21 Chemie en farmaceutische industrie;2021;5.05;1.5;11.5;8.8;0.46;0.95;0.63
192;24 Basismetaalindustrie;1990;5.2;14.6;225.3;7.8;0.07;10.48;6.98
193;24 Basismetaalindustrie;1995;3.76;11.9;148.7;9.8;0.05;6.37;4.27
194;24 Basismetaalindustrie;2000;2.19;6.9;106.1;6.6;0.04;2.87;2.02
195;24 Basismetaalindustrie;2001;1.74;6.4;102.2;7.5;0.02;2.6;1.82
196;24 Basismetaalindustrie;2002;1.95;6.5;95.4;7.3;0.02;2.46;1.69
197;24 Basismetaalindustrie;2003;1.64;6.5;106.1;7.6;0.03;2.47;1.63
198;24 Basismetaalindustrie;2004;1.17;7.3;125.0;7.9;0.04;2.47;1.72
199;24 Basismetaalindustrie;2005;1.46;7.7;115.3;7.5;0.05;2.14;1.46
200;24 Basismetaalindustrie;2006;1.48;6.9;125.1;7.0;0.05;2.1;1.44
201;24 Basismetaalindustrie;2007;1.63;7.3;117.4;7.1;0.03;2.23;1.53
202;24 Basismetaalindustrie;2008;1.62;7.1;122.0;6.7;0.03;1.96;1.35
203;24 Basismetaalindustrie;2009;1.38;4.0;73.7;4.9;0.02;1.67;1.14
204;24 Basismetaalindustrie;2010;1.58;6.1;95.3;6.5;0.03;1.83;1.26
205;24 Basismetaalindustrie;2011;1.7;6.4;80.4;6.3;0.03;1.77;1.35
206;24 Basismetaalindustrie;2012;1.64;4.4;75.7;6.5;0.03;1.47;0.83
207;24 Basismetaalindustrie;2013;1.34;3.4;67.2;6.0;0.02;1.31;0.85
208;24 Basismetaalindustrie;2014;1.37;3.8;67.7;5.7;0.03;1.29;0.83
209;24 Basismetaalindustrie;2015;1.48;3.7;71.3;6.4;0.03;1.35;0.85
210;24 Basismetaalindustrie;2016;1.58;3.6;68.6;6.3;0.03;1.38;0.9
211;24 Basismetaalindustrie;2017;1.73;3.9;62.6;6.2;0.03;1.32;0.86
212;24 Basismetaalindustrie;2018;1.68;3.9;66.7;6.1;0.03;1.28;0.83
213;24 Basismetaalindustrie;2019;1.66;4.5;67.0;6.4;0.02;1.38;0.9
214;24 Basismetaalindustrie;2020;1.46;4.2;60.6;5.5;0.03;1.22;0.71
215;24 Basismetaalindustrie;2021;1.24;3.6;55.8;5.5;0.02;1.22;0.71
216;Overige industrie;1990;98.1;16.3;18.1;32.0;1.17;11.82;5.0
217;Overige industrie;1995;67.05;6.0;29.4;18.7;0.92;6.69;3.07
218;Overige industrie;2000;45.25;3.3;26.2;12.3;0.82;4.8;2.17
219;Overige industrie;2001;38.29;4.6;27.6;13.8;0.96;4.82;2.14
220;Overige industrie;2002;36.44;4.2;23.6;13.3;0.92;5.17;2.09
221;Overige industrie;2003;32.64;1.7;9.9;11.4;0.97;4.15;1.82
222;Overige industrie;2004;31.18;3.6;14.7;12.1;1.01;4.29;2.01
223;Overige industrie;2005;31.38;3.2;15.6;12.5;0.9;4.14;1.93
224;Overige industrie;2006;28.77;4.2;13.0;11.9;0.85;4.04;1.94
225;Overige industrie;2007;29.91;4.4;12.8;11.9;0.83;4.03;1.95
226;Overige industrie;2008;29.04;4.3;13.2;11.8;0.84;3.9;1.87
227;Overige industrie;2009;25.93;3.9;15.2;11.1;0.95;3.74;1.87
228;Overige industrie;2010;32.86;4.2;15.0;10.8;0.99;3.74;1.77
229;Overige industrie;2011;31.17;4.1;14.6;10.8;0.96;3.8;1.9
230;Overige industrie;2012;26.33;4.0;11.5;9.9;0.86;3.61;1.75
231;Overige industrie;2013;28.46;3.8;10.7;9.2;0.78;3.59;1.65
232;Overige industrie;2014;26.22;4.0;11.4;9.1;0.71;3.72;1.76
233;Overige industrie;2015;25.66;4.0;11.6;8.6;0.8;3.82;1.85
234;Overige industrie;2016;21.79;3.9;11.0;8.6;0.82;3.93;1.89
235;Overige industrie;2017;23.99;3.8;11.0;8.2;0.78;4.07;1.97
236;Overige industrie;2018;24.04;3.9;11.7;7.8;0.87;4.19;2.07
237;Overige industrie;2019;23.83;3.8;10.8;7.4;0.82;4.13;2.04
238;Overige industrie;2020;22.94;3.5;10.4;6.7;1.05;4.22;2.1
239;Overige industrie;2021;23.01;3.6;10.2;6.7;0.98;4.37;2.18
240;F Bouwnijverheid;1990;21.89;0.6;0.1;0.5;0.15;1.01;0.35
241;F Bouwnijverheid;1995;17.18;0.5;0.2;0.5;0.1;1.08;0.38
242;F Bouwnijverheid;2000;15.05;0.7;0.6;1.2;0.01;1.4;0.54
243;F Bouwnijverheid;2001;12.27;0.4;0.6;1.1;0.0;1.44;0.56
244;F Bouwnijverheid;2002;11.98;0.6;0.3;0.9;0.0;1.36;0.52
245;F Bouwnijverheid;2003;9.41;0.1;0.4;0.9;0.0;1.41;0.61
246;F Bouwnijverheid;2004;7.44;0.2;0.9;0.8;0.0;1.17;0.42
247;F Bouwnijverheid;2005;9.13;0.1;0.9;0.9;0.0;1.19;0.42
248;F Bouwnijverheid;2006;8.67;0.2;0.8;0.8;0.0;1.24;0.44
249;F Bouwnijverheid;2007;8.88;0.1;1.4;0.9;0.0;1.35;0.49
250;F Bouwnijverheid;2008;5.84;0.1;1.0;0.8;0.0;1.4;0.5
251;F Bouwnijverheid;2009;7.7;0.1;0.2;0.5;0.0;1.29;0.45
252;F Bouwnijverheid;2010;8.03;0.1;0.7;0.7;0.0;1.15;0.41
253;F Bouwnijverheid;2011;7.03;0.1;0.7;0.7;0.0;1.12;0.4
254;F Bouwnijverheid;2012;6.42;0.1;0.6;0.7;0.0;1.05;0.37
255;F Bouwnijverheid;2013;5.91;0.1;0.4;0.6;0.0;1.06;0.37
256;F Bouwnijverheid;2014;6.75;0.1;0.4;0.6;0.0;1.08;0.38
257;F Bouwnijverheid;2015;5.89;0.1;0.6;0.6;0.0;1.14;0.4
258;F Bouwnijverheid;2016;4.84;0.1;0.6;0.5;0.0;1.13;0.4
259;F Bouwnijverheid;2017;4.8;0.1;0.6;0.5;0.01;1.13;0.4
260;F Bouwnijverheid;2018;4.73;0.0;0.8;0.4;0.0;1.16;0.41
261;F Bouwnijverheid;2019;4.63;0.0;0.7;0.5;0.01;1.22;0.44
262;F Bouwnijverheid;2020;4.85;0.0;0.5;0.3;0.01;1.22;0.43
263;F Bouwnijverheid;2021;5.17;0.0;0.7;0.4;0.01;1.28;0.45
264;Particulier huishouden;1990;48.56;1.2;82.3;20.9;12.95;9.41;8.69
265;Particulier huishouden;1995;50.19;0.8;91.9;23.5;10.51;10.25;9.32
266;Particulier huishouden;2000;46.64;0.5;82.7;20.0;9.19;9.68;8.58
267;Particulier huishouden;2001;46.99;0.5;86.8;21.0;10.55;9.53;8.58
268;Particulier huishouden;2002;45.91;0.5;82.6;20.2;10.4;9.43;8.39
269;Particulier huishouden;2003;46.07;0.5;86.8;20.2;10.23;9.97;8.77
270;Particulier huishouden;2004;45.29;0.5;88.6;18.7;10.09;9.97;8.77
271;Particulier huishouden;2005;45.44;0.4;88.1;17.2;10.55;9.82;8.63
272;Particulier huishouden;2006;46.09;0.4;89.0;14.4;10.27;9.93;8.68
273;Particulier huishouden;2007;47.05;0.4;84.4;12.4;9.84;9.36;8.26
274;Particulier huishouden;2008;46.41;0.5;90.8;13.4;9.17;9.53;8.48
275;Particulier huishouden;2009;46.66;0.5;91.8;13.1;9.08;9.59;8.46
276;Particulier huishouden;2010;48.22;0.5;106.8;14.6;9.57;10.46;9.27
277;Particulier huishouden;2011;44.84;0.5;86.2;10.9;9.81;9.09;7.96
278;Particulier huishouden;2012;46.78;0.5;91.4;11.0;10.15;9.56;8.32
279;Particulier huishouden;2013;47.2;0.5;95.3;11.0;10.63;9.85;8.49
280;Particulier huishouden;2014;45.1;0.4;75.7;8.1;10.16;8.71;7.35
281;Particulier huishouden;2015;45.42;0.4;81.7;8.2;10.18;8.91;7.58
282;Particulier huishouden;2016;45.37;0.4;81.4;8.0;10.49;8.81;7.48
283;Particulier huishouden;2017;44.88;0.4;76.5;7.2;10.21;8.58;7.2
284;Particulier huishouden;2018;45.05;0.5;74.4;6.9;10.73;8.86;7.26
285;Particulier huishouden;2019;45.4;0.4;71.0;6.5;10.67;8.42;6.89
286;Particulier huishouden;2020;83.36;0.4;65.9;6.2;10.57;7.71;6.37
287;Particulier huishouden;2021;93.67;0.4;71.2;7.0;10.47;6.25;5.71
288;A,E,G-U Overige sectoren (stationair);1990;56.05;5.4;8.5;26.3;325.89;7.45;1.8
289;A,E,G-U Overige sectoren (stationair);1995;37.59;1.0;7.6;25.1;201.3;6.21;0.92
290;A,E,G-U Overige sectoren (stationair);2000;23.6;0.4;7.3;23.0;157.19;6.52;0.87
291;A,E,G-U Overige sectoren (stationair);2001;23.25;0.4;7.3;22.0;149.17;6.59;0.88
292;A,E,G-U Overige sectoren (stationair);2002;22.06;0.3;6.7;20.0;142.03;6.31;0.83
293;A,E,G-U Overige sectoren (stationair);2003;22.1;0.4;7.6;20.2;138.81;5.57;0.76
294;A,E,G-U Overige sectoren (stationair);2004;21.57;0.3;7.4;20.1;137.96;6.02;0.81
295;A,E,G-U Overige sectoren (stationair);2005;27.18;0.4;7.3;20.4;135.85;6.39;0.85
296;A,E,G-U Overige sectoren (stationair);2006;28.15;0.4;7.9;21.2;139.55;6.39;0.87
297;A,E,G-U Overige sectoren (stationair);2007;30.08;0.4;8.7;22.7;136.61;6.71;0.87
298;A,E,G-U Overige sectoren (stationair);2008;31.47;0.5;10.4;26.4;124.9;6.98;0.9
299;A,E,G-U Overige sectoren (stationair);2009;29.73;0.5;10.4;25.6;121.28;6.84;0.89
300;A,E,G-U Overige sectoren (stationair);2010;33.43;0.6;11.7;24.0;118.65;6.94;0.9
301;A,E,G-U Overige sectoren (stationair);2011;32.38;0.7;10.5;21.4;116.48;7.42;0.9
