ID;Migratiemotieven;Geslacht;JaarVanVestigingInNederland;Perioden;TotaalNietNederlandseImmigranten_1;WerknemersZelfstandigen_2;WerkloosheidsOfBijstandsuitkering_3;ArbeidsongeschiktheidsOverigeUitkering_4;OverigeNietNederlandseImmigranten_5
31;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;2000;100.0;47.0;19.0;2.0;32.0
32;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;2001;100.0;49.0;18.0;2.0;30.0
33;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;2002;100.0;50.0;18.0;3.0;30.0
34;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;2003;100.0;48.0;19.0;3.0;29.0
35;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;1999;100.0;41.0;16.0;1.0;42.0
36;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;2000;100.0;45.0;17.0;2.0;37.0
37;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;2001;100.0;48.0;17.0;2.0;34.0
38;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;2002;100.0;48.0;16.0;2.0;33.0
39;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;2003;100.0;47.0;18.0;3.0;32.0
40;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;1999;100.0;40.0;8.0;1.0;50.0
41;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;2000;100.0;45.0;11.0;1.0;43.0
42;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;2001;100.0;46.0;12.0;1.0;40.0
43;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;2002;100.0;47.0;13.0;2.0;38.0
44;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;2003;100.0;46.0;16.0;2.0;35.0
45;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;1999;100.0;32.0;5.0;0.0;63.0
46;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;2000;100.0;43.0;7.0;1.0;49.0
47;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;2001;100.0;43.0;12.0;1.0;44.0
48;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;2002;100.0;43.0;14.0;1.0;41.0
49;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;2003;100.0;43.0;16.0;2.0;39.0
50;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;1999;;;;;
51;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;2000;100.0;33.0;3.0;0.0;63.0
52;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;2001;100.0;42.0;8.0;1.0;50.0
53;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;2002;100.0;41.0;11.0;1.0;47.0
54;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;2003;100.0;40.0;14.0;1.0;44.0
55;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2001;1999;;;;;
56;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2001;2000;;;;;
57;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2001;2001;100.0;33.0;4.0;0.0;63.0
58;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2001;2002;100.0;41.0;8.0;1.0;50.0
59;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2001;2003;100.0;40.0;11.0;1.0;48.0
60;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2002;1999;;;;;
61;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2002;2000;;;;;
62;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2002;2001;;;;;
63;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2002;2002;100.0;33.0;5.0;0.0;62.0
64;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2002;2003;100.0;40.0;8.0;1.0;51.0
65;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2003;1999;;;;;
66;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2003;2000;;;;;
67;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2003;2001;;;;;
68;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2003;2002;;;;;
69;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2003;2003;100.0;34.0;5.0;1.0;60.0
70;Totaal alle motieven;Mannen;Vestigingsjaar 1990;1999;100.0;65.0;11.0;5.0;19.0
71;Totaal alle motieven;Mannen;Vestigingsjaar 1990;2000;100.0;67.0;10.0;6.0;17.0
72;Totaal alle motieven;Mannen;Vestigingsjaar 1990;2001;100.0;68.0;10.0;6.0;16.0
73;Totaal alle motieven;Mannen;Vestigingsjaar 1990;2002;100.0;67.0;10.0;7.0;16.0
74;Totaal alle motieven;Mannen;Vestigingsjaar 1990;2003;100.0;64.0;12.0;8.0;17.0
75;Totaal alle motieven;Mannen;Vestigingsjaar 1991;1999;100.0;65.0;11.0;4.0;20.0
76;Totaal alle motieven;Mannen;Vestigingsjaar 1991;2000;100.0;67.0;10.0;5.0;18.0
77;Totaal alle motieven;Mannen;Vestigingsjaar 1991;2001;100.0;67.0;10.0;6.0;18.0
78;Totaal alle motieven;Mannen;Vestigingsjaar 1991;2002;100.0;66.0;10.0;6.0;18.0
79;Totaal alle motieven;Mannen;Vestigingsjaar 1991;2003;100.0;64.0;12.0;7.0;18.0
80;Totaal alle motieven;Mannen;Vestigingsjaar 1992;1999;100.0;63.0;12.0;3.0;22.0
81;Totaal alle motieven;Mannen;Vestigingsjaar 1992;2000;100.0;65.0;11.0;4.0;20.0
82;Totaal alle motieven;Mannen;Vestigingsjaar 1992;2001;100.0;67.0;10.0;4.0;19.0
83;Totaal alle motieven;Mannen;Vestigingsjaar 1992;2002;100.0;66.0;10.0;5.0;19.0
84;Totaal alle motieven;Mannen;Vestigingsjaar 1992;2003;100.0;63.0;12.0;6.0;19.0
85;Totaal alle motieven;Mannen;Vestigingsjaar 1993;1999;100.0;59.0;18.0;2.0;21.0
86;Totaal alle motieven;Mannen;Vestigingsjaar 1993;2000;100.0;62.0;15.0;3.0;19.0
87;Totaal alle motieven;Mannen;Vestigingsjaar 1993;2001;100.0;64.0;14.0;3.0;19.0
88;Totaal alle motieven;Mannen;Vestigingsjaar 1993;2002;100.0;63.0;14.0;4.0;19.0
89;Totaal alle motieven;Mannen;Vestigingsjaar 1993;2003;100.0;60.0;16.0;5.0;19.0
90;Totaal alle motieven;Mannen;Vestigingsjaar 1994;1999;100.0;55.0;21.0;2.0;22.0
91;Totaal alle motieven;Mannen;Vestigingsjaar 1994;2000;100.0;59.0;18.0;2.0;21.0
92;Totaal alle motieven;Mannen;Vestigingsjaar 1994;2001;100.0;61.0;16.0;3.0;20.0
93;Totaal alle motieven;Mannen;Vestigingsjaar 1994;2002;100.0;60.0;16.0;4.0;20.0
94;Totaal alle motieven;Mannen;Vestigingsjaar 1994;2003;100.0;57.0;18.0;4.0;20.0
95;Totaal alle motieven;Mannen;Vestigingsjaar 1995;1999;100.0;53.0;20.0;2.0;26.0
96;Totaal alle motieven;Mannen;Vestigingsjaar 1995;2000;100.0;58.0;17.0;2.0;23.0
97;Totaal alle motieven;Mannen;Vestigingsjaar 1995;2001;100.0;60.0;16.0;3.0;22.0
98;Totaal alle motieven;Mannen;Vestigingsjaar 1995;2002;100.0;59.0;16.0;3.0;22.0
99;Totaal alle motieven;Mannen;Vestigingsjaar 1995;2003;100.0;57.0;18.0;4.0;22.0
100;Totaal alle motieven;Mannen;Vestigingsjaar 1996;1999;100.0;49.0;20.0;2.0;29.0
101;Totaal alle motieven;Mannen;Vestigingsjaar 1996;2000;100.0;55.0;18.0;2.0;25.0
102;Totaal alle motieven;Mannen;Vestigingsjaar 1996;2001;100.0;57.0;16.0;2.0;24.0
103;Totaal alle motieven;Mannen;Vestigingsjaar 1996;2002;100.0;58.0;16.0;3.0;24.0
104;Totaal alle motieven;Mannen;Vestigingsjaar 1996;2003;100.0;56.0;18.0;3.0;23.0
105;Totaal alle motieven;Mannen;Vestigingsjaar 1997;1999;100.0;47.0;16.0;1.0;35.0
106;Totaal alle motieven;Mannen;Vestigingsjaar 1997;2000;100.0;51.0;17.0;1.0;30.0
107;Totaal alle motieven;Mannen;Vestigingsjaar 1997;2001;100.0;55.0;16.0;2.0;28.0
108;Totaal alle motieven;Mannen;Vestigingsjaar 1997;2002;100.0;55.0;15.0;2.0;27.0
109;Totaal alle motieven;Mannen;Vestigingsjaar 1997;2003;100.0;54.0;17.0;3.0;26.0
110;Totaal alle motieven;Mannen;Vestigingsjaar 1998;1999;100.0;49.0;8.0;1.0;43.0
111;Totaal alle motieven;Mannen;Vestigingsjaar 1998;2000;100.0;52.0;10.0;1.0;37.0
112;Totaal alle motieven;Mannen;Vestigingsjaar 1998;2001;100.0;53.0;12.0;1.0;34.0
113;Totaal alle motieven;Mannen;Vestigingsjaar 1998;2002;100.0;53.0;12.0;2.0;33.0
114;Totaal alle motieven;Mannen;Vestigingsjaar 1998;2003;100.0;52.0;15.0;2.0;31.0
115;Totaal alle motieven;Mannen;Vestigingsjaar 1999;1999;100.0;40.0;5.0;1.0;55.0
116;Totaal alle motieven;Mannen;Vestigingsjaar 1999;2000;100.0;50.0;7.0;1.0;42.0
117;Totaal alle motieven;Mannen;Vestigingsjaar 1999;2001;100.0;49.0;11.0;1.0;38.0
118;Totaal alle motieven;Mannen;Vestigingsjaar 1999;2002;100.0;49.0;13.0;1.0;36.0
119;Totaal alle motieven;Mannen;Vestigingsjaar 1999;2003;100.0;50.0;15.0;1.0;34.0
120;Totaal alle motieven;Mannen;Vestigingsjaar 2000;1999;;;;;
121;Totaal alle motieven;Mannen;Vestigingsjaar 2000;2000;100.0;41.0;3.0;1.0;55.0
122;Totaal alle motieven;Mannen;Vestigingsjaar 2000;2001;100.0;48.0;7.0;1.0;44.0
123;Totaal alle motieven;Mannen;Vestigingsjaar 2000;2002;100.0;46.0;11.0;1.0;42.0
124;Totaal alle motieven;Mannen;Vestigingsjaar 2000;2003;100.0;45.0;14.0;1.0;40.0
125;Totaal alle motieven;Mannen;Vestigingsjaar 2001;1999;;;;;
126;Totaal alle motieven;Mannen;Vestigingsjaar 2001;2000;;;;;
127;Totaal alle motieven;Mannen;Vestigingsjaar 2001;2001;100.0;41.0;4.0;1.0;54.0
128;Totaal alle motieven;Mannen;Vestigingsjaar 2001;2002;100.0;48.0;8.0;1.0;43.0
129;Totaal alle motieven;Mannen;Vestigingsjaar 2001;2003;100.0;45.0;11.0;1.0;42.0
130;Totaal alle motieven;Mannen;Vestigingsjaar 2002;1999;;;;;
131;Totaal alle motieven;Mannen;Vestigingsjaar 2002;2000;;;;;
132;Totaal alle motieven;Mannen;Vestigingsjaar 2002;2001;;;;;
133;Totaal alle motieven;Mannen;Vestigingsjaar 2002;2002;100.0;41.0;5.0;1.0;53.0
134;Totaal alle motieven;Mannen;Vestigingsjaar 2002;2003;100.0;47.0;9.0;1.0;43.0
135;Totaal alle motieven;Mannen;Vestigingsjaar 2003;1999;;;;;
136;Totaal alle motieven;Mannen;Vestigingsjaar 2003;2000;;;;;
137;Totaal alle motieven;Mannen;Vestigingsjaar 2003;2001;;;;;
138;Totaal alle motieven;Mannen;Vestigingsjaar 2003;2002;;;;;
139;Totaal alle motieven;Mannen;Vestigingsjaar 2003;2003;100.0;44.0;7.0;1.0;49.0
140;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;1999;100.0;39.0;19.0;5.0;37.0
141;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;2000;100.0;41.0;18.0;6.0;35.0
142;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;2001;100.0;42.0;17.0;7.0;34.0
143;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;2002;100.0;42.0;17.0;8.0;32.0
144;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;2003;100.0;42.0;18.0;8.0;32.0
145;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;1999;100.0;41.0;18.0;4.0;37.0
146;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;2000;100.0;43.0;17.0;5.0;35.0
147;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;2001;100.0;44.0;17.0;6.0;33.0
148;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;2002;100.0;44.0;17.0;7.0;31.0
149;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;2003;100.0;44.0;18.0;7.0;31.0
150;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;1999;100.0;41.0;18.0;4.0;37.0
151;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;2000;100.0;44.0;17.0;5.0;34.0
152;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;2001;100.0;45.0;17.0;5.0;33.0
153;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;2002;100.0;44.0;18.0;6.0;32.0
154;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;2003;100.0;44.0;19.0;7.0;31.0
155;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;1999;100.0;38.0;25.0;3.0;34.0
156;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;2000;100.0;40.0;23.0;4.0;33.0
157;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;2001;100.0;42.0;22.0;5.0;32.0
158;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;2002;100.0;43.0;21.0;5.0;31.0
159;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;2003;100.0;42.0;22.0;5.0;31.0
160;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;1999;100.0;36.0;25.0;2.0;36.0
161;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;2000;100.0;40.0;23.0;3.0;35.0
162;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;2001;100.0;41.0;22.0;4.0;33.0
163;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;2002;100.0;42.0;22.0;4.0;32.0
164;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;2003;100.0;41.0;22.0;5.0;32.0
165;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;1999;100.0;36.0;22.0;2.0;40.0
166;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;2000;100.0;40.0;21.0;2.0;36.0
167;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;2001;100.0;42.0;20.0;3.0;34.0
168;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;2002;100.0;43.0;20.0;4.0;33.0
169;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;2003;100.0;42.0;21.0;4.0;33.0
170;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;1999;100.0;35.0;20.0;1.0;43.0
171;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;2000;100.0;39.0;20.0;2.0;39.0
172;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;2001;100.0;41.0;20.0;3.0;37.0
173;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;2002;100.0;42.0;20.0;3.0;35.0
174;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;2003;100.0;41.0;21.0;4.0;35.0
175;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;1999;100.0;34.0;15.0;1.0;50.0
176;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;2000;100.0;38.0;17.0;2.0;43.0
177;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;2001;100.0;40.0;18.0;2.0;40.0
178;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;2002;100.0;41.0;18.0;3.0;38.0
179;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;2003;100.0;40.0;19.0;3.0;38.0
180;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;1999;100.0;32.0;9.0;1.0;58.0
181;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;2000;100.0;37.0;12.0;1.0;50.0
182;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;2001;100.0;40.0;13.0;2.0;45.0
183;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;2002;100.0;41.0;15.0;2.0;42.0
184;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;2003;100.0;41.0;17.0;2.0;40.0
185;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;1999;100.0;23.0;5.0;0.0;72.0
186;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;2000;100.0;35.0;8.0;1.0;57.0
187;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;2001;100.0;36.0;13.0;1.0;50.0
188;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;2002;100.0;37.0;15.0;1.0;47.0
189;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;2003;100.0;37.0;17.0;2.0;44.0
190;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;1999;;;;;
191;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;2000;100.0;25.0;4.0;0.0;71.0
192;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;2001;100.0;35.0;8.0;1.0;57.0
193;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;2002;100.0;35.0;11.0;1.0;52.0
194;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;2003;100.0;35.0;15.0;1.0;49.0
195;Totaal alle motieven;Vrouwen;Vestigingsjaar 2001;1999;;;;;
196;Totaal alle motieven;Vrouwen;Vestigingsjaar 2001;2000;;;;;
197;Totaal alle motieven;Vrouwen;Vestigingsjaar 2001;2001;100.0;24.0;4.0;0.0;72.0
198;Totaal alle motieven;Vrouwen;Vestigingsjaar 2001;2002;100.0;34.0;7.0;1.0;58.0
199;Totaal alle motieven;Vrouwen;Vestigingsjaar 2001;2003;100.0;34.0;11.0;1.0;54.0
200;Totaal alle motieven;Vrouwen;Vestigingsjaar 2002;1999;;;;;
201;Totaal alle motieven;Vrouwen;Vestigingsjaar 2002;2000;;;;;
202;Totaal alle motieven;Vrouwen;Vestigingsjaar 2002;2001;;;;;
203;Totaal alle motieven;Vrouwen;Vestigingsjaar 2002;2002;100.0;24.0;4.0;0.0;72.0
204;Totaal alle motieven;Vrouwen;Vestigingsjaar 2002;2003;100.0;33.0;7.0;0.0;59.0
205;Totaal alle motieven;Vrouwen;Vestigingsjaar 2003;1999;;;;;
206;Totaal alle motieven;Vrouwen;Vestigingsjaar 2003;2000;;;;;
207;Totaal alle motieven;Vrouwen;Vestigingsjaar 2003;2001;;;;;
208;Totaal alle motieven;Vrouwen;Vestigingsjaar 2003;2002;;;;;
209;Totaal alle motieven;Vrouwen;Vestigingsjaar 2003;2003;100.0;24.0;4.0;0.0;71.0
210;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;1999;100.0;73.0;9.0;5.0;12.0
211;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;2000;100.0;74.0;8.0;6.0;11.0
212;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;2001;100.0;74.0;8.0;7.0;11.0
213;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;2002;100.0;73.0;9.0;8.0;11.0
214;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;2003;100.0;69.0;10.0;9.0;11.0
215;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;1999;100.0;74.0;9.0;5.0;13.0
216;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;2000;100.0;75.0;8.0;6.0;11.0
217;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;2001;100.0;75.0;8.0;7.0;11.0
218;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;2002;100.0;73.0;8.0;8.0;11.0
219;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;2003;100.0;72.0;10.0;8.0;10.0
220;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;1999;100.0;74.0;8.0;4.0;14.0
221;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;2000;100.0;74.0;8.0;5.0;13.0
222;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;2001;100.0;74.0;8.0;5.0;13.0
223;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;2002;100.0;73.0;8.0;6.0;13.0
224;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;2003;100.0;72.0;9.0;7.0;12.0
225;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;1999;100.0;75.0;7.0;3.0;15.0
226;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;2000;100.0;75.0;7.0;4.0;15.0
227;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;2001;100.0;74.0;7.0;5.0;14.0
228;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;2002;100.0;72.0;8.0;6.0;14.0
229;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;2003;100.0;70.0;9.0;7.0;14.0
230;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;1999;100.0;74.0;5.0;2.0;19.0
231;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;2000;100.0;74.0;5.0;3.0;18.0
232;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;2001;100.0;74.0;5.0;4.0;16.0
233;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;2002;100.0;73.0;6.0;5.0;16.0
234;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;2003;100.0;70.0;8.0;6.0;16.0
235;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;1999;100.0;74.0;4.0;2.0;20.0
236;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;2000;100.0;74.0;5.0;3.0;19.0
237;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;2001;100.0;75.0;4.0;4.0;17.0
238;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;2002;100.0;72.0;6.0;4.0;17.0
239;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;2003;100.0;71.0;7.0;5.0;16.0
240;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;1999;100.0;71.0;4.0;1.0;24.0
241;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;2000;100.0;72.0;4.0;2.0;23.0
242;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;2001;100.0;71.0;4.0;3.0;22.0
243;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;2002;100.0;70.0;5.0;3.0;22.0
244;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;2003;100.0;69.0;6.0;4.0;21.0
245;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;1999;100.0;71.0;2.0;1.0;26.0
246;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;2000;100.0;70.0;2.0;2.0;26.0
247;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;2001;100.0;70.0;3.0;2.0;25.0
248;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;2002;100.0;69.0;4.0;3.0;25.0
