ID;Citizenship;Periods;TotalRequestsAsylumAndFamilyMembers_1;FirstRequestsForAsylumPersons_2;SubsequentRequests_3;FamilyMembersPersons_4
0;Total;1975;390.0;390.0;;
1;Total;1976;470.0;470.0;;
2;Total;1977;580.0;580.0;;
3;Total;1978;770.0;770.0;;
4;Total;1979;990.0;990.0;;
5;Total;1980;1330.0;1330.0;;
6;Total;1981;750.0;750.0;;
7;Total;1982;1215.0;1215.0;;
8;Total;1983;2015.0;2015.0;;
9;Total;1984;2605.0;2605.0;;
10;Total;1985;5645.0;5645.0;;
11;Total;1986;5865.0;5865.0;;
12;Total;1987;13460.0;13460.0;;
13;Total;1988;7485.0;7485.0;;
14;Total;1989;13900.0;13900.0;;
15;Total;1990;21210.0;21210.0;;
16;Total;1991;21615.0;21615.0;;
17;Total;1992;20345.0;20345.0;;
18;Total;1993;35400.0;35400.0;;
19;Total;1994;52575.0;52575.0;;
20;Total;1995;29260.0;29260.0;;
21;Total;1996;22855.0;22855.0;;
22;Total;1997;34445.0;34445.0;;
23;Total;1998;45215.0;45215.0;;
24;Total;1999;39305.0;39305.0;;
25;Total;2000;43560.0;43560.0;;
26;Total;2001;32580.0;32580.0;;
27;Total;2002;18665.0;18665.0;;
28;Total;2003;13400.0;13400.0;;
29;Total;2004;9780.0;9780.0;;
30;Total;2005;12345.0;12345.0;;
31;Total;2006;14465.0;14465.0;;
32;Total;2007;9730.0;7435.0;2300.0;
33;Total;2008;15275.0;13405.0;1870.0;
34;Total;2009;16165.0;14905.0;1260.0;
35;Total;2010;15155.0;13335.0;1815.0;
36;Total;2011;14630.0;11590.0;3040.0;
37;Total;2012;13170.0;9715.0;3455.0;
38;Total;2013;16725.0;9840.0;3255.0;3630.0
39;Total;2014;29890.0;21810.0;2725.0;5355.0
40;Total;2015;58880.0;43095.0;1940.0;13845.0
41;Total;2016;32840.0;19370.0;1655.0;11815.0
42;Total;2017;32755.0;16145.0;2120.0;14490.0
43;Total;2018;30540.0;20510.0;3565.0;6465.0
44;Total;2019;29445.0;22540.0;2725.0;4180.0
45;Total;2020;19180.0;13720.0;1595.0;3865.0
46;Total;2021;36675.0;24740.0;1815.0;10120.0
47;Total;2022;47990.0;35535.0;1530.0;10925.0
48;Total;2023;49890.0;38375.0;1390.0;10125.0
49;Total;2024;45640.0;32175.0;1585.0;11880.0
50;(former) Soviet Union;1975;;;;
51;(former) Soviet Union;1976;;;;
52;(former) Soviet Union;1977;;;;
53;(former) Soviet Union;1978;;;;
54;(former) Soviet Union;1979;;;;
55;(former) Soviet Union;1980;;;;
56;(former) Soviet Union;1981;;;;
57;(former) Soviet Union;1982;;;;
58;(former) Soviet Union;1983;;;;
59;(former) Soviet Union;1984;;;;
60;(former) Soviet Union;1985;;;;
61;(former) Soviet Union;1986;;;;
62;(former) Soviet Union;1987;;;;
63;(former) Soviet Union;1988;10.0;10.0;;
64;(former) Soviet Union;1989;50.0;50.0;;
65;(former) Soviet Union;1990;225.0;225.0;;
66;(former) Soviet Union;1991;1015.0;1015.0;;
67;(former) Soviet Union;1992;625.0;625.0;;
68;(former) Soviet Union;1993;1595.0;1595.0;;
69;(former) Soviet Union;1994;4525.0;4525.0;;
70;(former) Soviet Union;1995;1885.0;1885.0;;
71;(former) Soviet Union;1996;1700.0;1700.0;;
72;(former) Soviet Union;1997;1960.0;1960.0;;
73;(former) Soviet Union;1998;3230.0;3230.0;;
74;(former) Soviet Union;1999;5520.0;5520.0;;
75;(former) Soviet Union;2000;4180.0;4180.0;;
76;(former) Soviet Union;2001;3245.0;3245.0;;
77;(former) Soviet Union;2002;1900.0;1900.0;;
78;(former) Soviet Union;2003;1115.0;1115.0;;
79;(former) Soviet Union;2004;915.0;915.0;;
