ID;Countries;Periods;BusinessOwnershipRate_1;TotalEntrepreneurialActivityIndex_2;BirthsTotal_3;TotalRelative_4;SizeOfEnterpriseAtBirth_5;ExitsTotal_6;TotalRelative_7;Sum_8;SumRelative_9;Balance_10;BalanceRelative_11;BusinessSurvivalRate_12;FastGrowingEnterprises_13;PropensityTowardsEntrepreneurship_14;Men_15;Women_16
54;Belgium;1998;11.8;;44400.0;7.5;;39000.0;6.6;83400.0;14.0;5400.0;0.9;;13.0;;19.6;16.2
55;Belgium;1999;;;38100.0;6.5;2.1;41600.0;7.1;79700.0;13.6;-3500.0;-0.6;;;;17.8;14.7
56;Belgium;2000;11.7;;38900.0;6.7;2.0;39500.0;6.8;78400.0;13.5;-600.0;-0.1;;;36.0;17.5;13.5
57;Belgium;2001;;4.5;37600.0;6.5;1.9;38000.0;6.6;75600.0;13.1;-400.0;-0.1;;15.0;36.0;17.0;12.7
58;Belgium;2002;11.5;3.0;36800.0;6.5;1.9;36000.0;6.3;72800.0;12.8;800.0;0.2;;11.2;34.0;17.2;12.9
59;Belgium;2003;11.2;3.9;36400.0;6.5;1.9;34600.0;6.1;71000.0;12.6;1800.0;0.4;;8.6;34.0;16.7;12.6
60;Belgium;2004;11.0;3.5;40800.0;7.3;1.8;35700.0;6.3;76500.0;13.6;5100.0;1.0;;;34.0;17.2;12.0
61;Belgium;2005;11.2;3.9;43600.0;7.7;1.8;35900.0;6.4;79500.0;14.1;7700.0;1.3;;5.6;;17.5;12.3
62;Belgium;2006;11.3;2.7;48000.0;8.4;1.7;36100.0;6.3;84100.0;14.7;11900.0;2.1;;7.5;;17.6;11.8
63;Belgium;2007;11.5;3.2;54000.0;9.3;1.6;40100.0;6.9;94100.0;16.2;13900.0;2.4;;9.0;30.0;17.4;11.5
64;Belgium;2008;11.1;2.9;52600.0;9.0;1.6;39400.0;6.7;92000.0;15.7;13200.0;2.3;68.7;10.2;;17.0;10.8
65;Belgium;2009;11.5;3.5;49300.0;8.4;1.6;42600.0;7.3;91900.0;15.7;6700.0;1.1;75.2;6.6;30.0;17.7;11.3
66;Belgium;2010;;3.7;54600.0;9.2;1.6;41900.0;7.1;96500.0;16.3;12700.0;2.1;;;;17.3;10.8
67;Belgium;2011;;5.7;;;;;;;;;;;;;17.5;10.5
68;Belgium;2012;;;;;;;;;;;;;;;;
69;Canada;1990;10.8;;;;;;;;;;;;;;10.8;7.8
70;Canada;1991;;;;;;;;;;;;;;;11.4;7.8
71;Canada;1992;10.9;;;;;;;;;;;;;;11.6;8.3
72;Canada;1993;;;;;;;;;;;;;;;12.1;9.0
73;Canada;1994;12.1;;;;;;;;;;;;;;12.0;9.2
74;Canada;1995;;;;;;;;;;;;;;;11.8;9.1
75;Canada;1996;12.8;;;;;;;;;;;;;;12.3;9.7
76;Canada;1997;;;;;;;;;;;;;;;12.4;10.1
77;Canada;1998;14.0;;;;;;;;;;;;;;12.9;10.4
78;Canada;1999;;;;;;;;;;;;;;;12.5;9.9
79;Canada;2000;13.1;;;;;;;;;;;;;;11.8;9.2
80;Canada;2001;;11.0;;;;;;;;;;;;;11.2;8.4
81;Canada;2002;12.4;8.8;;;;;;;;;;;;;10.9;8.6
82;Canada;2003;12.4;8.0;;;;;;;;;;;;;11.0;8.4
83;Canada;2004;12.1;8.9;;;;;;;;;;;;;10.9;8.0
84;Canada;2005;12.1;9.3;;;;;;;;;;;;;10.6;8.2
85;Canada;2006;11.8;7.1;;;;;;;;;;;;;10.3;7.9
86;Canada;2007;12.2;;;;;;;;;;;;;;10.5;8.1
87;Canada;2008;12.0;;;;;;;;;;;;;;10.2;7.8
88;Canada;2009;12.3;;;;;;;;;;;;;;10.5;8.4
89;Canada;2010;;;;;;;;;;;;;;;10.2;8.1
90;Canada;2011;;;;;;;;;;;;;;;9.9;8.0
91;Canada;2012;;;;;;;;;;;;;;;;
92;Czech Republic;1990;;;;;;;;;;;;;;;;
93;Czech Republic;1991;;;;;;;;;;;;;;;;
94;Czech Republic;1992;;;;;;;;;;;;;;;;
95;Czech Republic;1993;;;;;;;;;;;;;;;12.0;6.2
96;Czech Republic;1994;;;;;;;;;;;;;;;13.7;6.8
97;Czech Republic;1995;;;;;;;;;;;;;;;15.1;8.0
98;Czech Republic;1996;;;;;;;;;;;;;;;15.7;7.9
99;Czech Republic;1997;;;;;;;;;;;;;;;15.9;8.0
100;Czech Republic;1998;;;;;;;;;;;;;;;17.3;9.1
101;Czech Republic;1999;;;;;;;;;;;;;;;18.4;9.6
102;Czech Republic;2000;;;;;1.5;;;;;;;;;;19.1;10.2
103;Czech Republic;2001;;;104200.0;12.5;;77900.0;9.3;182100.0;21.8;26300.0;3.1;;;;19.1;10.2
104;Czech Republic;2002;14.6;;86600.0;10.0;;76700.0;8.9;163300.0;18.9;9900.0;1.2;;;;20.3;10.7
105;Czech Republic;2003;15.5;;88500.0;10.1;;92800.0;10.6;181300.0;20.8;-4300.0;-0.5;65.9;;;21.7;11.5
106;Czech Republic;2004;15.1;;86900.0;10.0;1.5;95200.0;11.0;182100.0;21.0;-8300.0;-0.9;65.0;;30.0;21.5;10.9
107;Czech Republic;2005;14.4;;75000.0;8.7;1.7;82600.0;9.6;157600.0;18.3;-7600.0;-0.9;61.1;28.8;;20.4;10.4
108;Czech Republic;2006;14.8;7.9;79000.0;9.3;1.5;102900.0;12.1;181900.0;21.3;-23900.0;-2.8;64.1;30.3;;20.3;10.9
109;Czech Republic;2007;15.2;;78600.0;9.5;1.7;67500.0;8.1;146100.0;17.6;11100.0;1.3;64.9;19.6;30.0;20.5;10.6
110;Czech Republic;2008;15.2;;32000.0;3.8;2.2;84100.0;10.0;116100.0;13.8;-52100.0;-6.2;66.3;18.9;;20.3;10.6
111;Czech Republic;2009;15.6;;;10.9;1.3;;;;;;;67.7;12.5;32.0;20.9;11.4
112;Czech Republic;2010;;;;;;;;;;;;;;;22.0;12.2
113;Czech Republic;2011;;;;;;;;;;;;;;;22.0;12.9
114;Czech Republic;2012;;;;;;;;;;;;;;;;
115;Denmark;1990;6.3;;;;;;;;;;;;;;;
116;Denmark;1991;;;;;;;;;;;;;;;;
117;Denmark;1992;5.8;;;;;;;;;;;;;;;
118;Denmark;1993;;;;;;;;;;;;;;;;
119;Denmark;1994;5.9;;;;;;;;;;;;;;;
120;Denmark;1995;;;21800.0;9.3;;20900.0;8.9;42700.0;18.2;900.0;0.4;;;;12.4;6.3
121;Denmark;1996;6.4;;22300.0;9.5;;20900.0;8.9;43200.0;18.4;1400.0;0.6;;;;12.4;6.1
122;Denmark;1997;;;24700.0;10.4;1.8;23700.0;10.0;48400.0;20.5;1000.0;0.4;;;;;
123;Denmark;1998;6.4;;24500.0;10.3;1.8;23000.0;9.7;47500.0;20.0;1500.0;0.6;;13.0;;12.4;5.8
124;Denmark;1999;;;27100.0;11.3;1.7;22400.0;9.4;49500.0;20.7;4700.0;1.9;;;;12.2;5.6
125;Denmark;2000;6.1;;28500.0;11.7;1.8;23000.0;9.5;51500.0;21.2;5500.0;2.2;;;38.0;11.7;5.5
126;Denmark;2001;;8.0;25100.0;10.1;1.9;25500.0;10.3;50600.0;20.4;-400.0;-0.2;;13.8;38.0;12.4;4.9
127;Denmark;2002;6.7;6.5;23000.0;9.3;1.7;24600.0;9.9;47600.0;19.2;-1600.0;-0.6;;12.1;37.0;12.5;5.2
128;Denmark;2003;6.5;5.9;26700.0;10.9;1.6;25900.0;10.6;52600.0;21.5;800.0;0.3;;12.3;37.0;11.9;5.3
129;Denmark;2004;6.3;5.3;26400.0;10.8;1.7;23800.0;9.8;50200.0;20.6;2600.0;1.0;;;38.0;11.9;5.2
130;Denmark;2005;6.4;4.8;30900.0;12.6;1.5;23300.0;9.5;54200.0;22.1;7600.0;3.1;;11.6;;11.6;5.3
131;Denmark;2006;6.9;5.3;32800.0;13.1;1.5;25600.0;10.2;58400.0;23.3;7200.0;2.9;;12.1;;11.7;5.8
132;Denmark;2007;6.9;5.4;32900.0;12.9;1.5;26800.0;10.4;59700.0;23.3;6100.0;2.5;;13.5;36.0;12.0;5.5
133;Denmark;2008;7.0;4.4;33600.0;12.9;1.5;32000.0;12.3;65600.0;25.2;1600.0;0.6;;13.8;;12.1;5.1
134;Denmark;2009;7.2;3.6;24800.0;9.5;1.5;34100.0;13.1;58900.0;22.6;-9300.0;-3.6;;9.0;32.0;12.4;5.4
135;Denmark;2010;;3.8;;;;;;;;;;;;;11.7;5.5
136;Denmark;2011;;4.6;;;;;;;;;;;;;11.9;5.3
137;Denmark;2012;;;;;;;;;;;;;;;;
138;Finland;1990;8.1;;;;;;;;;;;;;;19.5;11.3
139;Finland;1991;;;;;;;;;;;;;;;19.6;10.9
140;Finland;1992;7.5;;;;;;;;;;;;;;20.5;10.7
141;Finland;1993;;;;;;;;;;;;;;;21.0;10.8
142;Finland;1994;7.7;;;;;;;;;;;;;;21.1;11.1
143;Finland;1995;;;24500.0;;;18100.0;;42600.0;;6400.0;;;;;20.2;10.5
144;Finland;1996;8.0;;21900.0;;;18500.0;;40400.0;;3400.0;;;;;19.7;10.5
145;Finland;1997;;;20200.0;9.7;1.2;15800.0;7.8;36000.0;17.5;4400.0;1.9;;;;19.0;10.2
146;Finland;1998;8.2;;19000.0;9.0;1.3;15100.0;7.4;34100.0;16.4;3900.0;1.6;;;;18.2;10.0
147;Finland;1999;;;17600.0;8.3;1.5;15600.0;7.5;33200.0;15.8;2000.0;0.8;;;;18.1;9.5
148;Finland;2000;8.1;;18200.0;8.6;1.5;15700.0;7.4;33900.0;16.0;2500.0;1.2;67.7;;27.0;17.8;9.2
149;Finland;2001;;7.7;17800.0;8.4;1.5;15800.0;7.5;33600.0;15.9;2000.0;0.9;70.0;13.2;27.0;16.8;8.9
150;Finland;2002;7.9;4.6;18000.0;8.6;1.5;15400.0;7.3;33400.0;15.9;2600.0;1.3;71.3;11.4;26.0;16.7;8.8
151;Finland;2003;8.1;6.9;19800.0;9.4;1.4;16000.0;7.6;35800.0;17.0;3800.0;1.8;69.4;8.9;26.0;16.7;8.8
152;Finland;2004;8.2;4.4;21400.0;10.2;1.5;17000.0;8.1;38400.0;18.3;4400.0;2.1;67.4;;28.0;16.7;8.6
153;Finland;2005;8.3;5.0;22800.0;10.8;1.3;16400.0;7.8;39200.0;18.6;6400.0;3.0;66.4;8.8;;16.7;8.5
154;Finland;2006;8.6;5.0;25100.0;11.5;1.1;17300.0;7.9;42400.0;19.4;7800.0;3.6;67.4;11.0;;17.1;8.4
155;Finland;2007;8.5;6.9;26900.0;11.8;1.2;17900.0;7.9;44800.0;19.7;9000.0;3.9;73.0;11.6;35.0;16.8;8.2
156;Finland;2008;8.8;7.3;26100.0;11.1;1.2;21000.0;8.9;47100.0;20.0;5100.0;2.2;69.9;14.8;;16.8;8.6
157;Finland;2009;9.3;5.2;22900.0;9.7;1.1;20100.0;8.5;43000.0;18.2;2800.0;1.2;66.8;7.1;41.0;18.0;9.1
158;Finland;2010;;5.7;24500.0;10.2;1.1;16400.0;6.8;40900.0;17.0;8100.0;3.4;;;;17.7;9.0
159;Finland;2011;;6.3;;;;;;;;;;;;;17.7;8.8
160;Finland;2012;;;;;;;;;;;;;;;;
161;France;1990;9.8;;;;;;;;;;;;;;15.3;10.9
162;France;1991;;;;;;;;;;;;;;;14.8;10.4
163;France;1992;9.6;;;;;;;;;;;;;;14.3;9.9
164;France;1993;;;;;;;;;;;;;;;13.9;9.5
165;France;1994;9.0;;;;;;;;;;;;;;13.4;9.1
166;France;1995;;;162100.0;;;;;;;;;;;;12.9;8.7
167;France;1996;8.8;;154800.0;6.9;;102500.0;4.6;257300.0;11.5;52300.0;2.3;;;;12.6;8.3
168;France;1997;;;150200.0;6.8;1.7;155400.0;7.0;305600.0;13.8;-5200.0;-0.2;;;;12.2;8.1
169;France;1998;8.4;;149800.0;6.7;1.7;129400.0;5.8;279200.0;12.6;20400.0;0.9;;;;11.7;7.8
170;France;1999;;;153100.0;6.8;1.7;116800.0;5.2;269900.0;11.9;36300.0;1.6;;;;11.4;7.6
171;France;2000;8.3;;159500.0;6.9;1.7;126300.0;5.5;285800.0;12.4;33200.0;1.4;;;55.0;11.0;7.3
172;France;2001;;7.4;159200.0;6.8;1.7;101300.0;4.3;260500.0;11.1;57900.0;2.5;;14.2;42.0;10.7;7.1
173;France;2002;8.1;3.2;159800.0;6.7;1.7;97300.0;4.0;257100.0;10.7;62500.0;2.7;;12.1;42.0;10.6;7.0
174;France;2003;8.2;1.6;193300.0;7.8;1.8;117900.0;4.8;311200.0;12.6;75400.0;3.0;;9.3;43.0;10.6;6.9
175;France;2004;8.2;6.0;161200.0;6.5;1.8;131600.0;5.3;292800.0;11.8;29600.0;1.2;;;42.0;10.8;6.9
176;France;2005;8.4;5.4;161000.0;6.4;1.8;124500.0;4.9;285500.0;11.3;36500.0;1.5;;6.8;;10.9;7.0
177;France;2006;8.6;4.4;167800.0;6.6;1.8;133700.0;5.2;301500.0;11.8;34100.0;1.4;76.6;6.6;;11.0;6.9
178;France;2007;8.7;3.2;188800.0;6.9;1.6;131800.0;4.8;320600.0;11.7;57000.0;2.1;80.7;7.8;41.0;11.0;6.8
179;France;2008;8.6;5.6;192200.0;7.1;1.6;135200.0;5.0;327400.0;12.1;57000.0;2.1;;8.4;;11.1;6.8
180;France;2009;8.6;4.3;155500.0;5.4;1.6;141900.0;4.9;297400.0;10.3;13600.0;0.5;;4.8;51.0;11.4;6.8
181;France;2010;;5.8;157400.0;5.4;1.6;97500.0;3.4;254900.0;8.8;59900.0;2.0;;;;11.5;6.8
182;France;2011;;5.7;;;;;;;;;;;;;;
183;France;2012;;;;;;;;;;;;;;;;
184;Germany;1990;7.2;;;;;;;;;;;;;;;
185;Germany;1991;;;;;;;;;;;;;;;11.1;8.0
186;Germany;1992;7.3;;;;;;;;;;;;;;11.5;8.1
187;Germany;1993;;;;;;;;;;;;;;;11.9;8.2
188;Germany;1994;7.8;;;;;;;;;;;;;;12.3;8.3
189;Germany;1995;;;368500.0;;;234600.0;;603100.0;;133900.0;;;;;12.5;8.3
190;Germany;1996;8.2;;338400.0;12.1;;231600.0;;570000.0;;106800.0;;;;;12.7;8.1
191;Germany;1997;;;360800.0;12.0;2.7;240400.0;8.0;601200.0;20.0;120400.0;4.0;;;;13.0;8.1
192;Germany;1998;8.5;;343600.0;11.0;2.7;245000.0;7.9;588600.0;18.9;98600.0;3.1;;12.0;;13.1;8.2
193;Germany;1999;;;329800.0;10.6;2.7;250500.0;7.8;580300.0;18.4;79300.0;2.8;;;;13.2;7.8
194;Germany;2000;8.7;;314400.0;9.9;2.7;232700.0;7.1;547100.0;17.0;81700.0;2.8;;;48.0;13.4;7.9
195;Germany;2001;;8.0;402800.0;14.3;2.7;335300.0;11.9;738100.0;26.2;67500.0;2.4;;10.6;45.0;13.4;8.3
196;Germany;2002;8.6;5.2;401900.0;14.2;2.7;340300.0;12.0;742200.0;26.2;61600.0;2.2;;10.5;35.0;13.6;8.2
197;Germany;2003;8.8;5.2;464700.0;16.5;2.7;356000.0;12.6;820700.0;29.1;108700.0;3.9;;8.9;44.0;14.0;8.4
198;Germany;2004;9.3;5.1;505200.0;17.7;2.7;377300.0;13.2;882500.0;30.9;127900.0;4.5;;;39.0;14.9;8.8
199;Germany;2005;9.6;5.4;434800.0;14.9;2.7;395100.0;13.5;829900.0;28.4;39700.0;1.4;;7.8;;14.9;9.4
200;Germany;2006;9.7;4.2;413100.0;13.9;2.7;386000.0;13.0;799100.0;26.9;27100.0;0.9;66.2;7.7;;14.7;9.3
201;Germany;2007;9.7;;369700.0;12.3;2.4;370600.0;12.3;740300.0;24.6;-900.0;0.0;;5.9;41.0;14.4;9.2
202;Germany;2008;9.7;3.8;346700.0;11.4;2.4;369900.0;12.1;716600.0;23.5;-23200.0;-0.7;63.0;5.9;;14.1;8.9
203;Germany;2009;9.8;4.1;361800.0;12.0;2.1;352700.0;11.7;714500.0;23.7;9100.0;0.3;62.8;5.4;41.0;14.4;8.5
204;Germany;2010;;4.2;345400.0;11.6;2.3;345400.0;11.6;690800.0;23.2;0.0;0.0;;;;14.4;8.4
205;Germany;2011;;5.6;;;;;;;;;;;;;14.5;8.5
206;Germany;2012;;;;;;;;;;;;;;;;
207;Hungary;1990;;;;;;;;;;;;;;;;
208;Hungary;1991;;;;;;;;;;;;;;;;
209;Hungary;1992;;;;;;;;;;;;;;;23.9;16.4
210;Hungary;1993;;;;;;;;;;;;;;;21.9;13.7
211;Hungary;1994;;;;;;;;;;;;;;;21.9;13.0
212;Hungary;1995;;;;;;;;;;;;;;;22.1;13.0
213;Hungary;1996;;;;;;;;;;;;;;;22.6;12.7
214;Hungary;1997;;;;;;;;;;;;;;;21.5;12.4
215;Hungary;1998;;;;;;;;;;;;;;;19.9;11.6
216;Hungary;1999;;;;;;;;;;;;;;;19.5;11.1
217;Hungary;2000;;;;;1.6;;;;;;;;;;19.1;10.5
218;Hungary;2001;;11.4;68800.0;12.7;;56300.0;10.4;125100.0;23.1;12500.0;2.3;;12.5;;18.1;10.2
219;Hungary;2002;10.3;6.6;80400.0;14.5;;51500.0;9.3;131900.0;23.8;28900.0;5.2;67.6;11.4;;17.3;10.0
220;Hungary;2003;10.5;;60000.0;10.3;;52100.0;9.0;112100.0;19.3;7900.0;1.4;68.7;;;17.1;9.2
221;Hungary;2004;11.2;4.3;59500.0;10.1;1.9;52300.0;8.9;111800.0;19.0;7200.0;1.2;70.4;;42.0;17.9;10.1
222;Hungary;2005;10.8;1.9;53800.0;9.0;1.6;64300.0;10.8;118100.0;19.8;-10500.0;-1.8;66.2;;;17.3;9.9
223;Hungary;2006;9.8;6.0;50800.0;8.7;1.7;57900.0;9.9;108700.0;18.5;-7100.0;-1.2;;27.7;;16.0;9.1
224;Hungary;2007;9.8;6.9;52200.0;9.0;1.6;56600.0;9.8;108800.0;18.8;-4400.0;-0.8;61.6;4.5;43.0;15.3;9.2
225;Hungary;2008;9.7;6.6;58400.0;10.2;1.6;69700.0;12.1;128100.0;22.3;-11300.0;-2.0;64.3;12.5;;15.5;8.6
226;Hungary;2009;9.5;9.1;;9.2;1.6;;;;;;;62.4;13.0;39.0;15.6;9.1
227;Hungary;2010;;7.1;;;;;;;;;;;;;15.4;8.8
228;Hungary;2011;;6.3;;;;;;;;;;;;;15.2;8.5
229;Hungary;2012;;;;;;;;;;;;;;;;
230;Ireland;1990;10.9;;;;;;;;;;;;;;32.3;10.9
231;Ireland;1991;;;;;;;;;;;;;;;30.4;10.1
232;Ireland;1992;11.1;;;;;;;;;;;;;;31.5;10.4
233;Ireland;1993;;;;;;;;;;;;;;;30.9;10.8
234;Ireland;1994;11.3;;;;;;;;;;;;;;30.3;10.0
235;Ireland;1995;;;14300.0;10.0;;8900.0;6.3;23200.0;16.3;5400.0;3.7;;;;29.9;9.7
236;Ireland;1996;11.2;;17600.0;12.0;;14700.0;10.0;32300.0;22.0;2900.0;2.0;;;;28.1;9.5
237;Ireland;1997;;;19400.0;13.1;;11700.0;7.9;31100.0;21.0;7700.0;5.2;;;;28.1;9.5
238;Ireland;1998;11.3;;24000.0;15.5;;6900.0;4.5;30900.0;19.9;17100.0;11.0;;;;27.2;9.4
239;Ireland;1999;;;26700.0;15.6;;9900.0;5.8;36600.0;21.4;16800.0;9.8;;;;26.3;9.1
240;Ireland;2000;11.3;;28200.0;15.1;;10700.0;5.7;38900.0;20.8;17500.0;9.4;;;63.0;25.8;8.7
241;Ireland;2001;;12.2;24700.0;12.6;;14800.0;7.6;39500.0;20.2;9900.0;5.0;;11.7;56.0;25.4;8.0
242;Ireland;2002;11.4;9.1;24300.0;11.9;;15000.0;7.4;39300.0;19.3;9300.0;4.5;;;61.0;25.5;7.7
243;Ireland;2003;11.4;8.1;27600.0;12.5;;8300.0;3.8;35900.0;16.3;19300.0;8.7;;;57.0;24.7;7.7
244;Ireland;2004;11.8;7.7;31000.0;13.3;;17700.0;7.6;48700.0;20.9;13300.0;5.7;;;58.0;25.3;7.7
245;Ireland;2005;11.5;9.8;34800.0;13.9;;15700.0;6.3;50500.0;20.2;19100.0;7.6;;;;25.1;7.6
246;Ireland;2006;11.0;7.4;38600.0;14.5;;20200.0;7.6;58800.0;22.1;18400.0;6.9;;;;23.2;6.7
247;Ireland;2007;11.6;8.2;32700.0;11.6;;15000.0;5.3;47700.0;16.9;17700.0;6.3;;;56.0;24.1;7.2
248;Ireland;2008;11.6;7.6;25000.0;8.8;;22300.0;7.9;47300.0;16.7;2700.0;0.9;;;;24.9;7.6
249;Ireland;2009;11.4;;17900.0;6.6;;25400.0;9.3;43300.0;15.9;-7500.0;-2.7;;8.9;49.0;26.6;7.4
250;Ireland;2010;;6.8;19500.0;7.4;;24100.0;9.1;43600.0;16.5;-4600.0;-1.7;;;;25.8;7.8
251;Ireland;2011;;7.3;;;;;;;;;;;;;25.2;7.5
252;Ireland;2012;;;;;;;;;;;;;;;;
253;Italy;1990;17.5;;;;;;;;;;;;;;31.1;24.1
254;Italy;1991;;;;;;;;;;;;;;;31.2;23.8
255;Italy;1992;17.9;;;;;;;;;;;;;;31.3;23.6
256;Italy;1993;;;;;;;;;;;;;;;31.4;24.3
257;Italy;1994;17.7;;;;;;;;;;;;;;31.6;24.2
258;Italy;1995;;;328600.0;8.7;;290600.0;7.7;619200.0;16.5;38000.0;1.0;;;;32.3;23.8
259;Italy;1996;18.3;;291400.0;7.7;;235000.0;6.2;526400.0;14.0;56400.0;1.5;;;;32.5;23.6
260;Italy;1997;;;262800.0;6.9;;240200.0;6.3;503000.0;13.2;22600.0;0.6;;;;32.4;23.2
261;Italy;1998;18.2;;259400.0;6.8;1.4;210100.0;5.5;469500.0;12.4;49300.0;1.3;;;;32.5;23.0
262;Italy;1999;;;277100.0;7.3;1.4;207000.0;5.4;484100.0;12.7;70100.0;1.9;;;;32.1;22.6
263;Italy;2000;18.5;;297700.0;7.7;1.4;210100.0;5.4;507800.0;13.2;87600.0;2.3;71.3;;56.0;32.3;22.0
264;Italy;2001;;10.2;310300.0;7.9;1.5;217200.0;5.5;527500.0;13.4;93100.0;2.4;76.7;28.8;59.0;32.2;21.6
265;Italy;2002;20.7;5.9;307900.0;7.7;1.4;229500.0;5.8;537400.0;13.5;78400.0;1.9;77.7;31.5;57.0;31.7;21.2
266;Italy;2003;20.8;3.2;292900.0;7.3;1.4;236900.0;5.9;529800.0;13.2;56000.0;1.4;77.5;26.4;57.0;31.5;21.1
267;Italy;2004;20.9;4.3;312200.0;7.7;1.4;250600.0;6.2;562800.0;13.9;61600.0;1.5;74.9;;55.0;32.4;22.2
268;Italy;2005;21.0;4.9;309100.0;7.6;1.4;255000.0;6.2;564100.0;13.8;54100.0;1.4;75.4;13.2;;31.2;20.6
269;Italy;2006;21.0;3.5;314500.0;7.6;1.4;277800.0;6.7;592300.0;14.3;36700.0;0.9;;10.7;;30.8;20.5
270;Italy;2007;21.0;5.0;327600.0;7.9;1.3;327400.0;7.9;655000.0;15.8;200.0;0.0;74.7;8.2;55.0;30.6;20.0
