ID;Leeftijd;Generatie;Geslacht;Perioden;Allochtonen_1;TotaalNietWesters_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;TotaalWesters_10;EuropeseEconomischeRuimte_11;OverigEuropa_12;Indonesie_13;OverigBuitenEuropa_14
0;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2003;3041419;1622716;189461;286784;61459;294475;128922;320596;341065;1418694;754984;195039;400713;67959
1;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2004;3106130;1679295;198984;304265;64956;304004;132313;325432;349363;1426836;754968;205037;398751;68070
2;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2005;3166198;1732428;206710;320574;68486;313503;135698;330029;357438;1433754;754534;214594;396779;67848
3;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2006;3224456;1782916;213033;336117;72035;322940;139135;334393;365280;1441547;754491;224505;394781;67773
4;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2007;3283286;1831598;218480;351266;75620;332274;142582;338506;372906;1451686;755355;235331;392787;68215
5;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2008;3344498;1879466;223703;366382;79233;341458;146046;342366;380287;1465029;757381;247490;390759;69397
6;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2009;3408911;1927033;229086;381627;82929;350468;149521;345989;387436;1481880;760608;261140;388738;71394
7;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2010;3476294;1974268;234616;397014;86686;359252;152994;349394;394325;1502021;764844;276268;386707;74216
8;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2011;3545852;2021127;240243;412536;90504;367798;156488;352599;400981;1524713;769682;292649;384678;77718
9;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2012;3616418;2067634;245966;428162;94408;376070;160008;355622;407400;1548789;774541;309897;382627;81724
10;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2013;3686792;2113761;251780;443875;98385;384073;163564;358499;413602;1573031;779088;327387;380582;85972
11;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2014;3756273;2159509;257676;459682;102438;391787;167147;361232;419583;1596754;783336;344789;378530;90114
12;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2015;3824659;2204832;263638;475554;106542;399188;170737;363807;425366;1619827;787335;362090;376467;93945
13;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2016;3892069;2249749;269669;491493;110742;406304;174345;366253;430970;1642304;791098;379278;374404;97540
14;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2017;3958502;2294238;275741;507470;114990;413130;177971;368553;436380;1664266;794635;396372;372308;100945
15;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2018;4024050;2338281;281868;523482;119279;419672;181602;370741;441648;1685757;797989;413384;370217;104178
16;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2019;4088668;2381873;288005;539507;123634;425946;185229;372785;446762;1706797;801153;430299;368085;107251
17;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2020;4152406;2425016;294179;555561;128018;431957;188865;374720;451717;1727399;804152;447115;365929;110201
18;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2021;4215258;2467646;300344;571605;132407;437713;192497;376524;456553;1747598;806996;463829;363746;113037
19;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2022;4277210;2509799;306528;587620;136818;443236;196136;378200;461260;1767415;809717;480431;361511;115749
20;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2023;4338287;2551429;312706;603588;141222;448558;199763;379773;465823;1786840;812313;496909;359228;118406
21;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2024;4398507;2592582;318910;619522;145622;453642;203396;381208;470278;1805924;814800;513275;356874;120972
22;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2025;4457870;2633217;325085;635390;150027;458557;207014;382522;474610;1824650;817210;529501;354456;123470
23;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2026;4516396;2673355;331253;651191;154412;463281;210646;383723;478842;1843044;819574;545586;351963;125914
24;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2027;4574094;2712970;337413;666896;158810;467845;214254;384794;482963;1861122;821916;561525;349380;128314
25;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2028;4630995;2752079;343547;682510;163192;472245;217851;385743;486990;1878921;824234;577319;346715;130662
26;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2029;4687099;2790674;349676;698003;167565;476520;221432;386592;490897;1896425;826576;592930;343941;132971
27;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2030;4742425;2828762;355781;713384;171937;480653;224984;387319;494714;1913670;828960;608411;341070;135242
28;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2031;4796981;2866341;361857;728633;176293;484661;228516;387937;498443;1930637;831383;623711;338069;137480
29;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2032;4850773;2903387;367913;743753;180645;488548;232014;388443;502075;1947391;833886;638867;334941;139693
30;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2033;4903762;2939881;373936;758723;184972;492323;235485;388834;505619;1963907;836497;653829;331689;141874
31;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2034;4955979;2975799;379926;773528;189283;495989;238915;389109;509059;1980193;839217;668644;328298;144040
32;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2035;5007414;3011148;385871;788165;193581;499545;242305;389254;512402;1996283;842062;683290;324740;146188
33;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2036;5058074;3045887;391799;802639;197867;502980;245664;389304;515654;2012183;845060;697764;321046;148294
34;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2037;5107927;3080030;397684;816929;202112;506306;248963;389249;518795;2027897;848197;712078;317209;150405
35;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2038;5156961;3113501;403506;831022;206347;509510;252230;389070;521825;2043446;851504;726224;313226;152501
36;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2039;5205195;3146325;409294;844932;210549;512595;255451;388792;524731;2058861;854976;740195;309120;154573
