ID;StatusVanBewoning;RegioS;Perioden;TotaleWoningvoorraad_1;Koopwoningen_2;TotaalHuurwoningen_3;EigendomWoningcorporatie_4;EigendomOverigeVerhuurders_5;EigendomOnbekend_6
0;Totaal;Nederland;2012;7386743.0;4182889.0;3121980.0;2269883.0;852097.0;81874.0
1;Totaal;Nederland;2013;7449298.0;4216760.0;3171057.0;2277246.0;893811.0;61481.0
2;Totaal;Nederland;2014;7535315.0;4238259.0;3217156.0;2275389.0;941767.0;79900.0
3;Totaal;Nederland;2015;7587964.0;4266966.0;3244238.0;2304505.0;939733.0;76760.0
4;Totaal;Nederland;2016;7641323.0;4300406.0;3256930.0;2281742.0;975188.0;83987.0
5;Totaal;Nederland;2017;7686178.0;4321868.0;3283957.0;2273731.0;1010226.0;80353.0
6;Totaal;Nederland;2018;7740984.0;4386769.0;3275965.0;2268383.0;1007582.0;78250.0
7;Totaal;Nederland;2019;7814912.0;4487894.0;3299639.0;2300031.0;999608.0;27379.0
8;Totaal;Nederland;2020;7891786.0;4517921.0;3357721.0;2298885.0;1058836.0;16144.0
9;Totaal;Nederland;2021;7966331.0;4549480.0;3401779.0;2301737.0;1100042.0;15072.0
10;Totaal;Nederland;2022;8045580.0;4597518.0;3434455.0;2305772.0;1128683.0;13607.0
11;Totaal;Nederland;2023;8125229.0;4634411.0;3479588.0;2312981.0;1166607.0;11230.0
12;Totaal;Nederland;2024;8204049.0;4686647.0;3508252.0;2321421.0;1186831.0;9150.0
13;Totaal;Noord-Nederland (LD);2012;772104.0;467487.0;295066.0;217783.0;77283.0;9551.0
14;Totaal;Noord-Nederland (LD);2013;771736.0;468377.0;297659.0;217751.0;79908.0;5700.0
15;Totaal;Noord-Nederland (LD);2014;781292.0;469039.0;304212.0;218235.0;85977.0;8041.0
16;Totaal;Noord-Nederland (LD);2015;785326.0;469965.0;307365.0;221912.0;85453.0;7996.0
17;Totaal;Noord-Nederland (LD);2016;788884.0;471834.0;307995.0;219884.0;88111.0;9055.0
18;Totaal;Noord-Nederland (LD);2017;792431.0;473157.0;310188.0;218985.0;91203.0;9086.0
19;Totaal;Noord-Nederland (LD);2018;796356.0;479145.0;307616.0;217401.0;90215.0;9595.0
20;Totaal;Noord-Nederland (LD);2019;802097.0;488171.0;311040.0;221297.0;89743.0;2886.0
21;Totaal;Noord-Nederland (LD);2020;807876.0;489742.0;316502.0;220240.0;96262.0;1632.0
22;Totaal;Noord-Nederland (LD);2021;814261.0;491930.0;321071.0;219280.0;101791.0;1260.0
23;Totaal;Noord-Nederland (LD);2022;820520.0;496168.0;323023.0;218872.0;104151.0;1329.0
24;Totaal;Noord-Nederland (LD);2023;827237.0;499427.0;326766.0;219326.0;107440.0;1044.0
25;Totaal;Noord-Nederland (LD);2024;832867.0;503574.0;328355.0;219081.0;109274.0;938.0
26;Totaal;Oost-Nederland (LD);2012;1485826.0;898227.0;568075.0;419795.0;148280.0;19524.0
27;Totaal;Oost-Nederland (LD);2013;1504734.0;906030.0;582264.0;422947.0;159317.0;16440.0
28;Totaal;Oost-Nederland (LD);2014;1518499.0;910085.0;589794.0;420641.0;169153.0;18620.0
29;Totaal;Oost-Nederland (LD);2015;1530620.0;916876.0;596400.0;430500.0;165900.0;17344.0
30;Totaal;Oost-Nederland (LD);2016;1542354.0;924931.0;599250.0;428426.0;170824.0;18173.0
31;Totaal;Oost-Nederland (LD);2017;1549652.0;928406.0;603720.0;425990.0;177730.0;17526.0
32;Totaal;Oost-Nederland (LD);2018;1560427.0;946868.0;598088.0;426760.0;171328.0;15471.0
33;Totaal;Oost-Nederland (LD);2019;1577836.0;969307.0;603393.0;433964.0;169429.0;5136.0
34;Totaal;Oost-Nederland (LD);2020;1594895.0;978972.0;613709.0;434553.0;179156.0;2214.0
35;Totaal;Oost-Nederland (LD);2021;1612176.0;988369.0;622130.0;435793.0;186337.0;1677.0
36;Totaal;Oost-Nederland (LD);2022;1628674.0;1000264.0;627212.0;436973.0;190239.0;1198.0
37;Totaal;Oost-Nederland (LD);2023;1644939.0;1009168.0;634757.0;437789.0;196968.0;1014.0
38;Totaal;Oost-Nederland (LD);2024;1662092.0;1020901.0;640387.0;440097.0;200290.0;804.0
39;Totaal;West-Nederland (LD);2012;3568335.0;1862562.0;1665761.0;1191764.0;473997.0;40012.0
