ID;Geslacht;Zwangerschapsduur;Perioden;Geborenen_1;Levendgeborenen_2;Doodgeborenen_3;Overleden1eWeek_4;PerinataleSterfteTMDag7_5;DoodgeborenenPer1000Geborenen_6;Overleden1eWeek1000Levendgeborenen_7;PerinatStTMDag71000Geborenen_8;Geborenen_9;Levendgeborenen_10;Doodgeborenen_11;NeonataleSterfte_12;PerinataleSterfteTMDag28_13;DoodgeborenenPer1000Geborenen_14;NeonataleSterfte1000Levendgeborenen_15;PerinatStTMDag281000Geborenen_16;Levendgeborenen_17;Overleden1eWeek_18;NeonataleSterfte_19;Zuigelingensterfte_20;Overleden1eWeek1000Levendgeborenen_21;NeonataleSterfte1000Levendgeborenen_22;Zuigelingensterfte1000Levendgeborenen_23
0;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2004;194892;193633;1259.0;525.0;1784.0;6.5;2.7;9.2;194892;193633;1259.0;676.0;1935.0;6.5;3.5;9.9;193633;525.0;676.0;878.0;2.7;3.5;4.5
1;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2005;188281;187031;1250.0;603.0;1853.0;6.6;3.2;9.8;188281;187031;1250.0;744.0;1994.0;6.6;4.0;10.6;187031;603.0;744.0;965.0;3.2;4.0;5.2
2;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2006;185568;184396;1172.0;509.0;1681.0;6.3;2.8;9.1;185568;184396;1172.0;665.0;1837.0;6.3;3.6;9.9;184396;509.0;665.0;845.0;2.8;3.6;4.6
3;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2007;181700;180578;1122.0;497.0;1619.0;6.2;2.8;8.9;181700;180578;1122.0;635.0;1757.0;6.2;3.5;9.7;180578;497.0;635.0;795.0;2.8;3.5;4.4
4;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2008;185017;183870;1147.0;453.0;1600.0;6.2;2.5;8.6;185017;183870;1147.0;582.0;1729.0;6.2;3.2;9.3;183870;453.0;582.0;737.0;2.5;3.2;4.0
5;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2009;185013;183967;1046.0;457.0;1503.0;5.7;2.5;8.1;185013;183967;1046.0;576.0;1623.0;5.7;3.1;8.8;183967;457.0;576.0;786.0;2.5;3.1;4.3
6;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2010;184357;183360;997.0;456.0;1453.0;5.4;2.5;7.9;184357;183360;997.0;584.0;1581.0;5.4;3.2;8.6;183360;456.0;584.0;756.0;2.5;3.2;4.1
7;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2011;180085;179143;942.0;437.0;1379.0;5.2;2.4;7.7;180085;179143;942.0;553.0;1495.0;5.2;3.1;8.3;179143;437.0;553.0;718.0;2.4;3.1;4.0
8;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2012;176027;175081;946.0;390.0;1336.0;5.4;2.2;7.6;176027;175081;946.0;511.0;1457.0;5.4;2.9;8.3;175081;390.0;511.0;707.0;2.2;2.9;4.0
9;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2013;171305;170502;803.0;405.0;1208.0;4.7;2.4;7.1;171305;170502;803.0;528.0;1331.0;4.7;3.1;7.8;170502;405.0;528.0;667.0;2.4;3.1;3.9
10;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2014;175130;174262;868.0;397.0;1265.0;5.0;2.3;7.2;175130;174262;868.0;531.0;1400.0;5.0;3.0;8.0;174262;397.0;531.0;693.0;2.3;3.0;4.0
11;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2015;170958;170105;853.0;343.0;1196.0;5.0;2.0;7.0;170958;170105;853.0;469.0;1323.0;5.0;2.8;7.7;170105;343.0;469.0;598.0;2.0;2.8;3.5
12;Totaal jongens en meisjes;Totaal zwangerschapsduur 22 wkn of meer;2016;172418;171599;819.0;376.0;1195.0;4.7;2.2;6.9;172418;171599;819.0;476.0;1294.0;4.7;2.8;7.5;171599;376.0;476.0;636.0;2.2;2.8;3.7
13;Totaal jongens en meisjes;22 weken;2004;169;40;129.0;40.0;169.0;763.3;1000.0;1000.0;169;40;129.0;40.0;169.0;763.3;1000.0;1000.0;40;40.0;40.0;40.0;1000.0;1000.0;1000.0
14;Totaal jongens en meisjes;22 weken;2005;190;66;124.0;66.0;190.0;652.6;1000.0;1000.0;190;66;124.0;66.0;190.0;652.6;1000.0;1000.0;66;66.0;66.0;66.0;1000.0;1000.0;1000.0
