ID;Perioden;TotaalAanbod_1;TotaalProductie_2;Centraal_3;Decentraal_4;Invoer_5;Uitvoer_6;TotaalVerbruik_7;ViaHetOpenbareNet_8;ViaBedrijfsnetten_9;TotaalBijDeProductie_10;Centraal_11;Decentraal_12;VerliezenBijDistributie_13
93;1978 maart;5367.0;5365.0;4824.0;541.0;23.0;21.0;5367.0;4706.0;445.0;216.0;185.0;31.0;229.0
94;1978 1e kwartaal;15985.0;15946.0;14388.0;1558.0;97.0;58.0;15985.0;14040.0;1297.0;648.0;560.0;88.0;683.0
95;1978 april;4908.0;4911.0;4419.0;492.0;18.0;21.0;4908.0;4303.0;396.0;209.0;179.0;30.0;210.0
96;1978 mei;4830.0;4800.0;4320.0;480.0;49.0;19.0;4830.0;4233.0;391.0;206.0;177.0;29.0;205.0
97;1978 juni;4777.0;4695.0;4229.0;466.0;103.0;21.0;4777.0;4199.0;377.0;201.0;172.0;29.0;201.0
98;1978 2e kwartaal;14516.0;14406.0;12968.0;1438.0;170.0;60.0;14516.0;12735.0;1165.0;616.0;528.0;88.0;616.0
99;1978 juli;4567.0;4455.0;3949.0;506.0;133.0;21.0;4567.0;3947.0;415.0;205.0;175.0;30.0;188.0
100;1978 augustus;4931.0;4812.0;4326.0;486.0;142.0;23.0;4931.0;4308.0;402.0;221.0;192.0;29.0;206.0
101;1978 september;5075.0;5035.0;4526.0;509.0;61.0;21.0;5075.0;4428.0;421.0;226.0;194.0;32.0;215.0
102;1978 3e kwartaal;14574.0;14302.0;12801.0;1501.0;336.0;64.0;14574.0;12683.0;1239.0;652.0;561.0;91.0;609.0
103;1978 oktober;5504.0;5525.0;4939.0;586.0;1.0;22.0;5504.0;4782.0;486.0;236.0;200.0;36.0;235.0
104;1978 november;5537.0;5555.0;4974.0;581.0;4.0;22.0;5537.0;4824.0;481.0;232.0;198.0;34.0;236.0
105;1978 december;5846.0;5852.0;5286.0;566.0;16.0;22.0;5846.0;5129.0;470.0;247.0;213.0;34.0;251.0
106;1978 4e kwartaal;16888.0;16932.0;15199.0;1733.0;21.0;65.0;16888.0;14735.0;1438.0;715.0;611.0;104.0;722.0
107;1978;61968.0;61624.0;55357.0;6267.0;619.0;274.0;61968.0;54195.0;5139.0;2634.0;2259.0;375.0;2634.0
108;1979 januari;6105.0;6124.0;5606.0;518.0;4.0;23.0;6105.0;5434.0;423.0;248.0;216.0;32.0;266.0
109;1979 februari;5339.0;5358.0;4855.0;503.0;1.0;20.0;5339.0;4704.0;415.0;220.0;189.0;31.0;230.0
110;1979 maart;5733.0;5728.0;5178.0;550.0;6.0;1.0;5733.0;5032.0;470.0;231.0;197.0;34.0;246.0
111;1979 1e kwartaal;17177.0;17210.0;15639.0;1571.0;8.0;41.0;17177.0;15170.0;1308.0;699.0;602.0;97.0;743.0
112;1979 april;5092.0;5095.0;4603.0;492.0;6.0;9.0;5092.0;4477.0;403.0;212.0;184.0;28.0;219.0
113;1979 mei;5184.0;5199.0;4699.0;500.0;4.0;19.0;5184.0;4569.0;398.0;217.0;187.0;30.0;223.0
114;1979 juni;4767.0;4776.0;4265.0;511.0;11.0;20.0;4767.0;4138.0;418.0;211.0;180.0;31.0;203.0
115;1979 2e kwartaal;15043.0;15070.0;13567.0;1503.0;21.0;48.0;15043.0;13184.0;1219.0;640.0;551.0;89.0;645.0
116;1979 juli;4546.0;4466.0;3935.0;531.0;101.0;21.0;4546.0;3916.0;432.0;198.0;166.0;32.0;187.0
117;1979 augustus;4957.0;4845.0;4324.0;521.0;134.0;22.0;4957.0;4325.0;428.0;204.0;172.0;32.0;205.0
118;1979 september;5280.0;5280.0;4769.0;511.0;23.0;23.0;5280.0;4651.0;415.0;214.0;184.0;30.0;227.0
119;1979 3e kwartaal;14783.0;14591.0;13028.0;1563.0;258.0;66.0;14783.0;12892.0;1275.0;616.0;522.0;94.0;619.0
120;1979 oktober;5855.0;5878.0;5278.0;600.0;5.0;28.0;5855.0;5109.0;494.0;252.0;215.0;37.0;251.0
121;1979 november;5904.0;5876.0;5248.0;628.0;54.0;26.0;5904.0;5130.0;525.0;249.0;212.0;37.0;249.0
122;1979 december;5870.0;5840.0;5233.0;607.0;54.0;24.0;5870.0;5122.0;497.0;251.0;215.0;36.0;249.0
123;1979 4e kwartaal;17630.0;17594.0;15759.0;1835.0;113.0;77.0;17630.0;15361.0;1517.0;752.0;642.0;110.0;749.0
124;1979;64633.0;64492.0;57991.0;6501.0;398.0;257.0;64633.0;56607.0;5319.0;2707.0;2319.0;390.0;2756.0
125;1980 januari;6159.0;6184.0;5582.0;602.0;3.0;28.0;6159.0;5408.0;498.0;253.0;217.0;36.0;265.0
126;1980 februari;5564.0;5590.0;5016.0;574.0;0.0;26.0;5564.0;4857.0;476.0;231.0;196.0;35.0;238.0
127;1980 maart;5752.0;5754.0;5145.0;609.0;25.0;27.0;5752.0;5009.0;500.0;243.0;206.0;37.0;244.0
128;1980 1e kwartaal;17476.0;17528.0;15743.0;1785.0;28.0;80.0;17476.0;15274.0;1475.0;727.0;619.0;108.0;747.0
129;1980 april;5149.0;5103.0;4574.0;529.0;72.0;26.0;5149.0;4501.0;428.0;220.0;190.0;30.0;217.0
130;1980 mei;5112.0;5067.0;4532.0;535.0;65.0;20.0;5112.0;4447.0;443.0;222.0;189.0;33.0;215.0
131;1980 juni;4993.0;4991.0;4506.0;485.0;26.0;24.0;4993.0;4401.0;385.0;207.0;178.0;29.0;214.0
132;1980 2e kwartaal;15255.0;15161.0;13612.0;1549.0;163.0;69.0;15255.0;13349.0;1257.0;649.0;557.0;92.0;646.0
133;1980 juli;4747.0;4735.0;4211.0;524.0;122.0;110.0;4747.0;4114.0;424.0;209.0;177.0;32.0;200.0
134;1980 augustus;4925.0;4876.0;4351.0;525.0;161.0;112.0;4925.0;4282.0;423.0;220.0;189.0;31.0;207.0
135;1980 september;5053.0;5155.0;4665.0;490.0;10.0;112.0;5053.0;4427.0;398.0;228.0;198.0;30.0;222.0
136;1980 3e kwartaal;14726.0;14766.0;13227.0;1539.0;293.0;333.0;14726.0;12823.0;1246.0;657.0;564.0;93.0;629.0
137;1980 oktober;5620.0;5705.0;5128.0;577.0;20.0;105.0;5620.0;4893.0;482.0;245.0;210.0;35.0;244.0
138;1980 november;5652.0;5734.0;5168.0;566.0;3.0;85.0;5652.0;4919.0;492.0;241.0;208.0;33.0;246.0
139;1980 december;5798.0;5912.0;5296.0;616.0;6.0;120.0;5798.0;5052.0;497.0;249.0;212.0;37.0;252.0
140;1980 4e kwartaal;17071.0;17351.0;15592.0;1759.0;29.0;309.0;17071.0;14864.0;1472.0;735.0;630.0;105.0;742.0
141;1980;64527.0;64834.0;58174.0;6660.0;511.0;818.0;64527.0;56311.0;5450.0;2766.0;2369.0;397.0;2135.0
142;1981 januari;5835.0;5918.0;5311.0;607.0;6.0;89.0;5835.0;5101.0;492.0;242.0;205.0;37.0;252.0
143;1981 februari;5292.0;5355.0;4822.0;533.0;1.0;64.0;5292.0;4640.0;438.0;214.0;181.0;33.0;229.0
144;1981 maart;5624.0;5657.0;5089.0;568.0;2.0;35.0;5624.0;4924.0;464.0;236.0;205.0;31.0;242.0
145;1981 1e kwartaal;16751.0;16930.0;15222.0;1708.0;8.0;187.0;16751.0;14665.0;1395.0;691.0;591.0;100.0;723.0
146;1981 april;5101.0;5110.0;4610.0;500.0;2.0;11.0;5101.0;4458.0;420.0;223.0;192.0;31.0;219.0
147;1981 mei;5018.0;5015.0;4571.0;444.0;19.0;16.0;5018.0;4417.0;375.0;226.0;200.0;26.0;217.0
148;1981 juni;4953.0;4944.0;4478.0;466.0;32.0;23.0;4953.0;4355.0;375.0;223.0;195.0;28.0;213.0
149;1981 2e kwartaal;15072.0;15069.0;13659.0;1410.0;53.0;50.0;15072.0;13230.0;1170.0;672.0;587.0;85.0;649.0
150;1981 juli;4835.0;4786.0;4267.0;519.0;81.0;32.0;4835.0;4194.0;412.0;229.0;199.0;30.0;203.0
151;1981 augustus;4795.0;4688.0;4199.0;489.0;134.0;27.0;4795.0;4182.0;392.0;221.0;191.0;30.0;199.0
152;1981 september;5212.0;5224.0;4713.0;511.0;23.0;35.0;5212.0;4566.0;416.0;230.0;200.0;30.0;224.0
153;1981 3e kwartaal;14842.0;14698.0;13179.0;1519.0;238.0;94.0;14842.0;12942.0;1220.0;680.0;590.0;90.0;626.0
154;1981 oktober;5727.0;5755.0;5153.0;602.0;10.0;38.0;5727.0;4983.0;496.0;248.0;212.0;36.0;245.0
155;1981 november;5643.0;5655.0;5058.0;597.0;19.0;31.0;5643.0;4911.0;492.0;240.0;206.0;34.0;240.0
156;1981 december;5919.0;5944.0;5337.0;607.0;3.0;28.0;5919.0;5173.0;492.0;254.0;218.0;36.0;254.0
157;1981 4e kwartaal;17289.0;17354.0;15548.0;1806.0;32.0;97.0;17289.0;15067.0;1480.0;742.0;636.0;106.0;739.0
158;1981;63960.0;64081.0;57610.0;6471.0;333.0;453.0;63960.0;55905.0;5265.0;2790.0;2404.0;386.0;2737.0
159;1982 januari;5792.0;5811.0;5201.0;610.0;7.0;26.0;5792.0;5058.0;482.0;252.0;215.0;37.0;247.0
160;1982 februari;5198.0;5099.0;4507.0;592.0;122.0;23.0;5198.0;4501.0;474.0;223.0;188.0;35.0;214.0
161;1982 maart;5614.0;5503.0;4898.0;605.0;137.0;26.0;5614.0;4896.0;484.0;234.0;199.0;35.0;233.0
162;1982 1e kwartaal;16605.0;16413.0;14606.0;1807.0;266.0;74.0;16605.0;14455.0;1441.0;709.0;602.0;107.0;692.0
163;1982 april;5084.0;5003.0;4423.0;580.0;105.0;24.0;5084.0;4386.0;458.0;240.0;205.0;35.0;210.0
164;1982 mei;4893.0;4796.0;4229.0;567.0;122.0;25.0;4893.0;4229.0;444.0;220.0;186.0;34.0;201.0
165;1982 juni;4803.0;4725.0;4140.0;585.0;105.0;27.0;4803.0;4126.0;465.0;212.0;177.0;35.0;197.0
166;1982 2e kwartaal;14781.0;14524.0;12792.0;1732.0;332.0;75.0;14781.0;12741.0;1368.0;672.0;568.0;104.0;608.0
167;1982 juli;4846.0;4467.0;3894.0;573.0;390.0;11.0;4846.0;4160.0;471.0;215.0;181.0;34.0;185.0
168;1982 augustus;4932.0;4437.0;3906.0;531.0;495.0;0.0;4932.0;4270.0;448.0;214.0;182.0;32.0;186.0
169;1982 september;5156.0;4770.0;4201.0;569.0;386.0;0.0;5156.0;4455.0;479.0;222.0;188.0;34.0;200.0
170;1982 3e kwartaal;14934.0;13674.0;12001.0;1673.0;1271.0;11.0;14935.0;12885.0;1399.0;651.0;551.0;100.0;571.0
171;1982 oktober;5505.0;5148.0;4491.0;657.0;379.0;22.0;5505.0;4733.0;536.0;236.0;196.0;40.0;213.0
172;1982 november;5600.0;5216.0;4547.0;669.0;407.0;23.0;5600.0;4829.0;542.0;229.0;189.0;40.0;216.0
173;1982 december;5778.0;5337.0;4682.0;655.0;452.0;11.0;5778.0;4993.0;548.0;237.0;199.0;38.0;222.0
174;1982 4e kwartaal;16884.0;15701.0;13720.0;1981.0;1238.0;55.0;16884.0;14555.0;1627.0;702.0;584.0;118.0;651.0
175;1982;63204.0;60340.0;53119.0;7221.0;3106.0;242.0;63204.0;54636.0;5835.0;2733.0;2305.0;428.0;2522.0
176;1983 januari;5651.0;5237.0;4674.0;563.0;437.0;23.0;5651.0;4955.0;470.0;226.0;191.0;35.0;222.0
177;1983 februari;5191.0;4840.0;4319.0;521.0;373.0;22.0;5191.0;4548.0;439.0;204.0;174.0;30.0;205.0
178;1983 maart;5577.0;5241.0;4647.0;594.0;362.0;26.0;5577.0;4850.0;500.0;227.0;190.0;37.0;221.0
179;1983 1e kwartaal;16420.0;15318.0;13640.0;1678.0;1172.0;70.0;16420.0;14353.0;1410.0;657.0;555.0;102.0;648.0
180;1983 april;5116.0;4993.0;4431.0;562.0;142.0;19.0;5116.0;4429.0;471.0;216.0;182.0;34.0;210.0
181;1983 mei;5118.0;4872.0;4321.0;551.0;269.0;23.0;5118.0;4436.0;462.0;220.0;187.0;33.0;205.0
182;1983 juni;5012.0;4616.0;4110.0;506.0;412.0;16.0;5012.0;4374.0;425.0;213.0;182.0;31.0;195.0
183;1983 2e kwartaal;15246.0;14481.0;12862.0;1619.0;823.0;58.0;15246.0;13239.0;1358.0;649.0;551.0;98.0;610.0
184;1983 juli ;4883.0;4333.0;3813.0;520.0;551.0;1.0;4883.0;4238.0;435.0;210.0;178.0;32.0;181.0
185;1983 augustus;5167.0;4428.0;3862.0;566.0;739.0;0.0;5167.0;4467.0;487.0;213.0;178.0;35.0;183.0
186;1983 september;5176.0;4560.0;4049.0;511.0;633.0;17.0;5176.0;4544.0;431.0;201.0;170.0;31.0;192.0
187;1983 3e kwartaal;15226.0;13321.0;11724.0;1597.0;1923.0;18.0;15226.0;13249.0;1353.0;624.0;526.0;98.0;556.0
188;1983 oktober;5593.0;5146.0;4579.0;567.0;465.0;18.0;5593.0;4893.0;480.0;220.0;187.0;33.0;218.0
189;1983 november;5793.0;5523.0;4884.0;639.0;294.0;24.0;5793.0;5003.0;553.0;238.0;200.0;38.0;232.0
190;1983 december;6041.0;5862.0;5202.0;660.0;196.0;17.0;6041.0;5241.0;550.0;250.0;210.0;40.0;247.0
191;1983 4e kwartaal;17430.0;16531.0;14665.0;1866.0;955.0;56.0;17430.0;15137.0;1584.0;709.0;597.0;112.0;697.0
192;1983;64322.0;59677.0;52890.0;6787.0;4871.0;226.0;64322.0;55978.0;5705.0;2639.0;2229.0;410.0;2511.0
193;1984 januari;5966.0;5637.0;4982.0;655.0;353.0;24.0;5966.0;5183.0;554.0;229.0;202.0;27.0;237.0
194;1984 februari;5591.0;5110.0;4489.0;621.0;502.0;21.0;5591.0;4856.0;529.0;206.0;181.0;25.0;213.0
195;1984 maart;5700.0;5398.0;4745.0;653.0;324.0;22.0;5700.0;4971.0;545.0;184.0;156.0;28.0;225.0
196;1984 1e kwartaal;17258.0;16145.0;14216.0;1929.0;1179.0;66.0;17258.0;15010.0;1629.0;619.0;539.0;80.0;675.0
197;1984 april;5188.0;4783.0;4163.0;620.0;419.0;14.0;5188.0;4512.0;511.0;165.0;134.0;31.0;198.0
198;1984 mei;5368.0;5034.0;4445.0;589.0;350.0;16.0;5368.0;4710.0;478.0;180.0;149.0;31.0;211.0
199;1984 juni;5123.0;4760.0;4172.0;588.0;375.0;12.0;5123.0;4445.0;501.0;177.0;147.0;30.0;198.0
200;1984 2e kwartaal;15679.0;14577.0;12780.0;1797.0;1144.0;42.0;15679.0;13667.0;1490.0;522.0;430.0;92.0;607.0
201;1984 juli;5024.0;4600.0;3989.0;611.0;446.0;22.0;5024.0;4338.0;507.0;179.0;143.0;36.0;189.0
202;1984 augustus;5353.0;5021.0;4413.0;608.0;335.0;3.0;5353.0;4652.0;507.0;194.0;157.0;37.0;210.0
203;1984 september;5396.0;5185.0;4603.0;582.0;211.0;0.0;5396.0;4703.0;488.0;205.0;171.0;34.0;219.0
204;1984 3e kwartaal;15773.0;14806.0;13005.0;1801.0;992.0;25.0;15773.0;13693.0;1502.0;578.0;471.0;107.0;618.0
205;1984 oktober;5889.0;5695.0;5016.0;679.0;196.0;2.0;5889.0;5109.0;563.0;217.0;182.0;35.0;238.0
206;1984 november;5851.0;5728.0;5013.0;715.0;123.0;0.0;5851.0;5035.0;598.0;218.0;180.0;38.0;238.0
207;1984 december;5863.0;5829.0;5123.0;706.0;37.0;3.0;5863.0;5044.0;595.0;224.0;188.0;36.0;243.0
208;1984 4e kwartaal;17603.0;17252.0;15152.0;2100.0;356.0;5.0;17603.0;15188.0;1756.0;659.0;550.0;109.0;719.0
209;1984;66310.0;62827.0;55151.0;7676.0;3660.0;177.0;66310.0;57558.0;6377.0;2375.0;1990.0;385.0;2619.0
210;1985 januari;6300.0;6035.0;5392.0;643.0;286.0;21.0;6300.0;5529.0;549.0;222.0;188.0;34.0;256.0
211;1985 februari;5554.0;5194.0;4608.0;586.0;380.0;20.0;5554.0;4873.0;489.0;192.0;159.0;33.0;219.0
212;1985 maart;5949.0;5591.0;4936.0;655.0;375.0;17.0;5949.0;5201.0;548.0;200.0;169.0;31.0;234.0
213;1985 1e kwartaal;17804.0;16820.0;14936.0;1884.0;1041.0;57.0;17804.0;15603.0;1587.0;614.0;516.0;98.0;709.0
214;1985 april;5391.0;4900.0;4259.0;641.0;506.0;15.0;5391.0;4681.0;527.0;183.0;151.0;32.0;202.0
215;1985 mei;5428.0;5063.0;4444.0;619.0;381.0;16.0;5428.0;4728.0;506.0;194.0;163.0;31.0;211.0
216;1985 juni;5270.0;4952.0;4330.0;622.0;332.0;14.0;5270.0;4551.0;522.0;197.0;166.0;31.0;206.0
217;1985 2e kwartaal;16089.0;14915.0;13033.0;1882.0;1220.0;46.0;16089.0;13960.0;1555.0;574.0;480.0;94.0;619.0
218;1985 juli;5212.0;4743.0;4089.0;654.0;469.0;0.0;5212.0;4463.0;555.0;194.0;161.0;33.0;194.0
219;1985 augustus;5424.0;4775.0;4120.0;655.0;650.0;1.0;5424.0;4708.0;530.0;186.0;150.0;36.0;196.0
220;1985 september;5482.0;4942.0;4323.0;619.0;542.0;2.0;5482.0;4778.0;515.0;189.0;159.0;30.0;205.0
221;1985 3e kwartaal;16118.0;14460.0;12532.0;1928.0;1661.0;3.0;16118.0;13950.0;1600.0;568.0;470.0;98.0;595.0
222;1985 oktober;6016.0;5541.0;4797.0;744.0;477.0;2.0;6016.0;5199.0;610.0;207.0;172.0;35.0;228.0
223;1985 november;6058.0;5718.0;4957.0;761.0;340.0;0.0;6058.0;5221.0;619.0;218.0;181.0;37.0;236.0
224;1985 december;6015.0;5483.0;4746.0;737.0;532.0;0.0;6015.0;5208.0;593.0;214.0;179.0;35.0;225.0
225;1985 4e kwartaal;18089.0;16741.0;14500.0;2241.0;1350.0;2.0;18089.0;15628.0;1823.0;638.0;532.0;106.0;689.0
226;1985;68102.0;62975.0;55001.0;7974.0;5253.0;126.0;68102.0;59141.0;6567.0;2394.0;1998.0;396.0;2612.0
227;1986 januari;6253.0;5987.0;5239.0;748.0;267.0;1.0;6253.0;5433.0;590.0;230.0;198.0;32.0;249.0
228;1986 februari;5678.0;5513.0;4823.0;690.0;165.0;0.0;5678.0;4931.0;544.0;203.0;172.0;31.0;229.0
229;1986 maart;5875.0;5735.0;5055.0;680.0;140.0;0.0;5875.0;5106.0;556.0;213.0;183.0;30.0;240.0
230;1986 1e kwartaal;17805.0;17235.0;15117.0;2118.0;571.0;1.0;17805.0;15470.0;1690.0;645.0;553.0;92.0;718.0
231;1986 april;5707.0;5486.0;4799.0;687.0;221.0;0.0;5707.0;4960.0;540.0;207.0;177.0;30.0;228.0
