ID;BronTechniek;Energietoepassing;Perioden;EindverbruikInTerajoule_1;InTotaalEindverbruikEnergie_2;VermedenPrimaireEnergieInTerajoule_3;InTotaalBinnenlandsEnergieverbruik_4;VermedenEmissieCO2InKton_5;InVanTotaleCO2Emissie_6
2416;Warmte uit net gemolken melk;Totaal energietoepassingen;2006;;;232.0;0.01;11.0;0.01
2417;Warmte uit net gemolken melk;Totaal energietoepassingen;2007;;;256.0;0.01;12.0;0.01
2418;Warmte uit net gemolken melk;Totaal energietoepassingen;2008;;;288.0;0.01;14.0;0.01
2419;Warmte uit net gemolken melk;Totaal energietoepassingen;2009;;;322.0;0.01;16.0;0.01
2420;Warmte uit net gemolken melk;Totaal energietoepassingen;2010;;;351.0;0.01;18.0;0.01
2421;Warmte uit net gemolken melk;Totaal energietoepassingen;2011;;;381.0;0.01;19.0;0.01
2422;Warmte uit net gemolken melk;Totaal energietoepassingen;2012;;;403.0;0.01;19.0;0.01
2423;Warmte uit net gemolken melk;Totaal energietoepassingen;2013;;;453.0;0.01;21.0;0.01
2424;Warmte uit net gemolken melk;Elektriciteit;1990;;;;;;
2425;Warmte uit net gemolken melk;Elektriciteit;1991;;;;;;
2426;Warmte uit net gemolken melk;Elektriciteit;1992;;;;;;
2427;Warmte uit net gemolken melk;Elektriciteit;1993;;;;;;
2428;Warmte uit net gemolken melk;Elektriciteit;1994;;;;;;
2429;Warmte uit net gemolken melk;Elektriciteit;1995;;;;;;
2430;Warmte uit net gemolken melk;Elektriciteit;1996;;;;;;
2431;Warmte uit net gemolken melk;Elektriciteit;1997;;;;;;
2432;Warmte uit net gemolken melk;Elektriciteit;1998;;;;;;
2433;Warmte uit net gemolken melk;Elektriciteit;1999;;;;;;
2434;Warmte uit net gemolken melk;Elektriciteit;2000;;;;;;
2435;Warmte uit net gemolken melk;Elektriciteit;2001;;;;;;
2436;Warmte uit net gemolken melk;Elektriciteit;2002;;;;;;
2437;Warmte uit net gemolken melk;Elektriciteit;2003;;;;;;
2438;Warmte uit net gemolken melk;Elektriciteit;2004;;;;;;
2439;Warmte uit net gemolken melk;Elektriciteit;2005;;;;;;
2440;Warmte uit net gemolken melk;Elektriciteit;2006;;;;;;
2441;Warmte uit net gemolken melk;Elektriciteit;2007;;;;;;
2442;Warmte uit net gemolken melk;Elektriciteit;2008;;;;;;
2443;Warmte uit net gemolken melk;Elektriciteit;2009;;;;;;
2444;Warmte uit net gemolken melk;Elektriciteit;2010;;;;;;
2445;Warmte uit net gemolken melk;Elektriciteit;2011;;;;;;
2446;Warmte uit net gemolken melk;Elektriciteit;2012;;;;;;
2447;Warmte uit net gemolken melk;Elektriciteit;2013;;;;;;
2448;Warmte uit net gemolken melk;Warmte;1990;;;;;;
2449;Warmte uit net gemolken melk;Warmte;1991;;;;;;
2450;Warmte uit net gemolken melk;Warmte;1992;;;;;;
2451;Warmte uit net gemolken melk;Warmte;1993;;;;;;
2452;Warmte uit net gemolken melk;Warmte;1994;;;170.0;0.01;8.0;0.0
2453;Warmte uit net gemolken melk;Warmte;1995;;;175.0;0.01;8.0;0.0
2454;Warmte uit net gemolken melk;Warmte;1996;;;182.0;0.01;9.0;0.0
2455;Warmte uit net gemolken melk;Warmte;1997;;;192.0;0.01;9.0;0.01
2456;Warmte uit net gemolken melk;Warmte;1998;;;196.0;0.01;9.0;0.01
2457;Warmte uit net gemolken melk;Warmte;1999;;;200.0;0.01;10.0;0.01
2458;Warmte uit net gemolken melk;Warmte;2000;;;203.0;0.01;9.0;0.01
2459;Warmte uit net gemolken melk;Warmte;2001;;;205.0;0.01;10.0;0.01
2460;Warmte uit net gemolken melk;Warmte;2002;;;209.0;0.01;10.0;0.01
2461;Warmte uit net gemolken melk;Warmte;2003;;;214.0;0.01;10.0;0.01
2462;Warmte uit net gemolken melk;Warmte;2004;;;220.0;0.01;11.0;0.01
2463;Warmte uit net gemolken melk;Warmte;2005;;;225.0;0.01;11.0;0.01
2464;Warmte uit net gemolken melk;Warmte;2006;;;232.0;0.01;11.0;0.01
2465;Warmte uit net gemolken melk;Warmte;2007;;;256.0;0.01;12.0;0.01
2466;Warmte uit net gemolken melk;Warmte;2008;;;288.0;0.01;14.0;0.01
2467;Warmte uit net gemolken melk;Warmte;2009;;;322.0;0.01;16.0;0.01
2468;Warmte uit net gemolken melk;Warmte;2010;;;351.0;0.01;18.0;0.01
2469;Warmte uit net gemolken melk;Warmte;2011;;;381.0;0.01;19.0;0.01
2470;Warmte uit net gemolken melk;Warmte;2012;;;403.0;0.01;19.0;0.01
2471;Warmte uit net gemolken melk;Warmte;2013;;;453.0;0.01;21.0;0.01
2472;Warmte uit net gemolken melk;Vervoer;1990;;;;;;
2473;Warmte uit net gemolken melk;Vervoer;1991;;;;;;
2474;Warmte uit net gemolken melk;Vervoer;1992;;;;;;
2475;Warmte uit net gemolken melk;Vervoer;1993;;;;;;
2476;Warmte uit net gemolken melk;Vervoer;1994;;;;;;
2477;Warmte uit net gemolken melk;Vervoer;1995;;;;;;
2478;Warmte uit net gemolken melk;Vervoer;1996;;;;;;
2479;Warmte uit net gemolken melk;Vervoer;1997;;;;;;
2480;Warmte uit net gemolken melk;Vervoer;1998;;;;;;
2481;Warmte uit net gemolken melk;Vervoer;1999;;;;;;
2482;Warmte uit net gemolken melk;Vervoer;2000;;;;;;
2483;Warmte uit net gemolken melk;Vervoer;2001;;;;;;
2484;Warmte uit net gemolken melk;Vervoer;2002;;;;;;
2485;Warmte uit net gemolken melk;Vervoer;2003;;;;;;
2486;Warmte uit net gemolken melk;Vervoer;2004;;;;;;
2487;Warmte uit net gemolken melk;Vervoer;2005;;;;;;
2488;Warmte uit net gemolken melk;Vervoer;2006;;;;;;
2489;Warmte uit net gemolken melk;Vervoer;2007;;;;;;
2490;Warmte uit net gemolken melk;Vervoer;2008;;;;;;
2491;Warmte uit net gemolken melk;Vervoer;2009;;;;;;
2492;Warmte uit net gemolken melk;Vervoer;2010;;;;;;
2493;Warmte uit net gemolken melk;Vervoer;2011;;;;;;
2494;Warmte uit net gemolken melk;Vervoer;2012;;;;;;
2495;Warmte uit net gemolken melk;Vervoer;2013;;;;;;
2496;Totaal biomassa;Totaal energietoepassingen;1990;20291.0;1.12;14493.0;0.54;901.0;0.57
2497;Totaal biomassa;Totaal energietoepassingen;1991;21087.0;1.08;15732.0;0.55;970.0;0.59
2498;Totaal biomassa;Totaal energietoepassingen;1992;21606.0;1.13;16081.0;0.57;980.0;0.6
2499;Totaal biomassa;Totaal energietoepassingen;1993;21409.0;1.08;16464.0;0.57;1008.0;0.6
2500;Totaal biomassa;Totaal energietoepassingen;1994;21564.0;1.1;16653.0;0.58;1036.0;0.62
2501;Totaal biomassa;Totaal energietoepassingen;1995;22332.0;1.1;17451.0;0.59;1098.0;0.64
2502;Totaal biomassa;Totaal energietoepassingen;1996;22079.0;1.0;19276.0;0.62;1230.0;0.69
2503;Totaal biomassa;Totaal energietoepassingen;1997;24552.0;1.16;21957.0;0.74;1408.0;0.82
2504;Totaal biomassa;Totaal energietoepassingen;1998;25161.0;1.19;23230.0;0.77;1496.0;0.86
2505;Totaal biomassa;Totaal energietoepassingen;1999;24702.0;1.19;24477.0;0.82;1582.0;0.94
2506;Totaal biomassa;Totaal energietoepassingen;2000;25613.0;1.2;26710.0;0.88;1768.0;1.04
2507;Totaal biomassa;Totaal energietoepassingen;2001;26874.0;1.23;30329.0;0.97;2107.0;1.2
2508;Totaal biomassa;Totaal energietoepassingen;2002;29795.0;1.38;35805.0;1.14;2559.0;1.46
2509;Totaal biomassa;Totaal energietoepassingen;2003;28891.0;1.31;33556.0;1.04;;
2510;Totaal biomassa;Totaal energietoepassingen;2004;33724.0;1.49;41716.0;1.26;;
2511;Totaal biomassa;Totaal energietoepassingen;2005;41996.0;1.88;59535.0;1.81;;
2512;Totaal biomassa;Totaal energietoepassingen;2006;45388.0;2.1;62471.0;1.94;;
2513;Totaal biomassa;Totaal energietoepassingen;2007;53796.0;2.42;62634.0;1.88;;
2514;Totaal biomassa;Totaal energietoepassingen;2008;58101.0;2.55;71593.0;2.16;;
2515;Totaal biomassa;Totaal energietoepassingen;2009;66947.0;3.12;83756.0;2.58;;
2516;Totaal biomassa;Totaal energietoepassingen;2010;64228.0;2.79;84674.0;2.43;;
2517;Totaal biomassa;Totaal energietoepassingen;2011;69435.0;3.22;89943.0;2.78;;
2518;Totaal biomassa;Totaal energietoepassingen;2012;71676.0;3.28;94198.0;2.89;;
2519;Totaal biomassa;Totaal energietoepassingen;2013;69019.0;3.16;85064.0;2.62;;
2520;Totaal biomassa;Elektriciteit;1990;2412.0;0.13;5358.0;0.2;382.0;0.24
2521;Totaal biomassa;Elektriciteit;1991;2701.0;0.14;6080.0;0.21;422.0;0.26
2522;Totaal biomassa;Elektriciteit;1992;2706.0;0.14;5997.0;0.21;407.0;0.25
2523;Totaal biomassa;Elektriciteit;1993;3108.0;0.16;6581.0;0.23;447.0;0.27
2524;Totaal biomassa;Elektriciteit;1994;3380.0;0.17;7118.0;0.25;495.0;0.3
2525;Totaal biomassa;Elektriciteit;1995;3662.0;0.18;7605.0;0.26;539.0;0.32
2526;Totaal biomassa;Elektriciteit;1996;4738.0;0.21;9670.0;0.31;684.0;0.39
2527;Totaal biomassa;Elektriciteit;1997;5266.0;0.25;10059.0;0.34;732.0;0.43
2528;Totaal biomassa;Elektriciteit;1998;5731.0;0.27;10980.0;0.37;799.0;0.46
2529;Totaal biomassa;Elektriciteit;1999;6446.0;0.31;12607.0;0.42;908.0;0.54
2530;Totaal biomassa;Elektriciteit;2000;7275.0;0.34;14658.0;0.48;1083.0;0.64
2531;Totaal biomassa;Elektriciteit;2001;8546.0;0.39;18322.0;0.58;1422.0;0.81
2532;Totaal biomassa;Elektriciteit;2002;10528.0;0.49;22644.0;0.72;1803.0;1.03
2533;Totaal biomassa;Elektriciteit;2003;9232.0;0.42;19893.0;0.62;1570.0;0.87
2534;Totaal biomassa;Elektriciteit;2004;11995.0;0.53;26043.0;0.79;2024.0;1.12
2535;Totaal biomassa;Elektriciteit;2005;19007.0;0.85;42718.0;1.3;3225.0;1.83
2536;Totaal biomassa;Elektriciteit;2006;18687.0;0.86;42260.0;1.31;3118.0;1.81
2537;Totaal biomassa;Elektriciteit;2007;14468.0;0.65;30111.0;0.9;2430.0;1.41
2538;Totaal biomassa;Elektriciteit;2008;18535.0;0.81;39380.0;1.19;3079.0;1.75
2539;Totaal biomassa;Elektriciteit;2009;22066.0;1.03;46358.0;1.43;3737.0;2.2
2540;Totaal biomassa;Elektriciteit;2010;25408.0;1.1;53458.0;1.54;4336.0;2.39
2541;Totaal biomassa;Elektriciteit;2011;25498.0;1.18;53086.0;1.64;4307.0;2.57
2542;Totaal biomassa;Elektriciteit;2012;26059.0;1.19;55528.0;1.7;4549.0;2.75
2543;Totaal biomassa;Elektriciteit;2013;21648.0;0.99;44372.0;1.37;3581.0;2.15
2544;Totaal biomassa;Warmte;1990;17880.0;0.98;9134.0;0.34;519.0;0.33
2545;Totaal biomassa;Warmte;1991;18386.0;0.94;9653.0;0.34;548.0;0.33
2546;Totaal biomassa;Warmte;1992;18900.0;0.98;10084.0;0.36;573.0;0.35
2547;Totaal biomassa;Warmte;1993;18301.0;0.92;9883.0;0.35;561.0;0.34
2548;Totaal biomassa;Warmte;1994;18185.0;0.93;9535.0;0.33;542.0;0.32
2549;Totaal biomassa;Warmte;1995;18670.0;0.92;9846.0;0.33;559.0;0.33
2550;Totaal biomassa;Warmte;1996;17341.0;0.79;9606.0;0.31;546.0;0.31
2551;Totaal biomassa;Warmte;1997;19285.0;0.91;11898.0;0.4;676.0;0.4
2552;Totaal biomassa;Warmte;1998;19430.0;0.92;12251.0;0.41;697.0;0.4
2553;Totaal biomassa;Warmte;1999;18256.0;0.88;11870.0;0.4;675.0;0.4
2554;Totaal biomassa;Warmte;2000;18338.0;0.86;12051.0;0.4;685.0;0.4
2555;Totaal biomassa;Warmte;2001;18328.0;0.84;12007.0;0.38;685.0;0.39
2556;Totaal biomassa;Warmte;2002;19267.0;0.89;13161.0;0.42;756.0;0.43
2557;Totaal biomassa;Warmte;2003;19525.0;0.89;13529.0;0.42;772.0;0.43
2558;Totaal biomassa;Warmte;2004;21595.0;0.96;15538.0;0.47;893.0;0.49
2559;Totaal biomassa;Warmte;2005;22888.0;1.03;16716.0;0.51;967.0;0.55
2560;Totaal biomassa;Warmte;2006;24936.0;1.15;18445.0;0.57;1060.0;0.61
2561;Totaal biomassa;Warmte;2007;26297.0;1.18;19493.0;0.58;1140.0;0.66
2562;Totaal biomassa;Warmte;2008;27517.0;1.21;20165.0;0.61;1173.0;0.67
2563;Totaal biomassa;Warmte;2009;29276.0;1.36;21792.0;0.67;1275.0;0.75
2564;Totaal biomassa;Warmte;2010;29243.0;1.27;21639.0;0.62;1283.0;0.71
2565;Totaal biomassa;Warmte;2011;30499.0;1.42;23419.0;0.72;1367.0;0.82
2566;Totaal biomassa;Warmte;2012;32264.0;1.48;25318.0;0.78;1461.0;0.88
2567;Totaal biomassa;Warmte;2013;34447.0;1.58;27767.0;0.86;1588.0;0.95
2568;Totaal biomassa;Vervoer;1990;0.0;0.0;0.0;0.0;0.0;0.0
2569;Totaal biomassa;Vervoer;1991;0.0;0.0;0.0;0.0;0.0;0.0
2570;Totaal biomassa;Vervoer;1992;0.0;0.0;0.0;0.0;0.0;0.0
2571;Totaal biomassa;Vervoer;1993;0.0;0.0;0.0;0.0;0.0;0.0
2572;Totaal biomassa;Vervoer;1994;0.0;0.0;0.0;0.0;0.0;0.0
2573;Totaal biomassa;Vervoer;1995;0.0;0.0;0.0;0.0;0.0;0.0
2574;Totaal biomassa;Vervoer;1996;0.0;0.0;0.0;0.0;0.0;0.0
2575;Totaal biomassa;Vervoer;1997;0.0;0.0;0.0;0.0;0.0;0.0
2576;Totaal biomassa;Vervoer;1998;0.0;0.0;0.0;0.0;0.0;0.0
2577;Totaal biomassa;Vervoer;1999;0.0;0.0;0.0;0.0;0.0;0.0
2578;Totaal biomassa;Vervoer;2000;0.0;0.0;0.0;0.0;0.0;0.0
2579;Totaal biomassa;Vervoer;2001;0.0;0.0;0.0;0.0;0.0;0.0
2580;Totaal biomassa;Vervoer;2002;0.0;0.0;0.0;0.0;0.0;0.0
2581;Totaal biomassa;Vervoer;2003;134.0;0.01;134.0;0.0;;
2582;Totaal biomassa;Vervoer;2004;134.0;0.01;134.0;0.0;;
2583;Totaal biomassa;Vervoer;2005;101.0;0.0;101.0;0.0;;
2584;Totaal biomassa;Vervoer;2006;1766.0;0.08;1766.0;0.05;;
2585;Totaal biomassa;Vervoer;2007;13031.0;0.58;13031.0;0.39;;
2586;Totaal biomassa;Vervoer;2008;12048.0;0.53;12048.0;0.36;;
2587;Totaal biomassa;Vervoer;2009;15606.0;0.73;15606.0;0.48;;
2588;Totaal biomassa;Vervoer;2010;9577.0;0.42;9577.0;0.28;;
2589;Totaal biomassa;Vervoer;2011;13438.0;0.62;13438.0;0.42;;
2590;Totaal biomassa;Vervoer;2012;13353.0;0.61;13353.0;0.41;;
2591;Totaal biomassa;Vervoer;2013;12924.0;0.59;12924.0;0.4;;
2592;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1990;3748.0;0.21;6217.0;0.23;415.0;0.26
2593;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1991;3986.0;0.2;6722.0;0.24;441.0;0.27
2594;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1992;3919.0;0.2;6439.0;0.23;416.0;0.26
2595;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1993;4072.0;0.2;6515.0;0.23;422.0;0.25
2596;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1994;3706.0;0.19;6118.0;0.21;408.0;0.24
2597;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1995;3888.0;0.19;6323.0;0.21;428.0;0.25
2598;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1996;5118.0;0.23;8387.0;0.27;563.0;0.32
2599;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1997;7277.0;0.34;10768.0;0.36;721.0;0.42
2600;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1998;7593.0;0.36;11309.0;0.38;751.0;0.43
2601;Afvalverbrandingsinstallaties;Totaal energietoepassingen;1999;7830.0;0.38;11884.0;0.4;779.0;0.46
2602;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2000;7704.0;0.36;11971.0;0.39;803.0;0.47
2603;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2001;7170.0;0.33;11371.0;0.36;761.0;0.43
2604;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2002;7608.0;0.35;11793.0;0.37;784.0;0.45
2605;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2003;7680.0;0.35;11925.0;0.37;789.0;0.44
2606;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2004;7675.0;0.34;11676.0;0.35;764.0;0.42
2607;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2005;8078.0;0.36;12329.0;0.37;802.0;0.46
2608;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2006;8590.0;0.4;12779.0;0.4;837.0;0.49
2609;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2007;8862.0;0.4;13352.0;0.4;868.0;0.5
2610;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2008;9138.0;0.4;13560.0;0.41;879.0;0.5
2611;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2009;10666.0;0.5;15578.0;0.48;999.0;0.59
2612;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2010;11339.0;0.49;16874.0;0.49;1076.0;0.59
2613;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2011;13934.0;0.65;20302.0;0.63;1290.0;0.77
2614;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2012;15685.0;0.72;23280.0;0.71;1533.0;0.93
2615;Afvalverbrandingsinstallaties;Totaal energietoepassingen;2013;16437.0;0.75;23505.0;0.72;1561.0;0.94
2616;Afvalverbrandingsinstallaties;Elektriciteit;1990;1942.0;0.11;4210.0;0.16;301.0;0.19
2617;Afvalverbrandingsinstallaties;Elektriciteit;1991;2118.0;0.11;4645.0;0.16;323.0;0.2
2618;Afvalverbrandingsinstallaties;Elektriciteit;1992;2040.0;0.11;4351.0;0.16;298.0;0.18
2619;Afvalverbrandingsinstallaties;Elektriciteit;1993;2283.0;0.11;4527.0;0.16;309.0;0.19
2620;Afvalverbrandingsinstallaties;Elektriciteit;1994;2381.0;0.12;4646.0;0.16;325.0;0.19
2621;Afvalverbrandingsinstallaties;Elektriciteit;1995;2530.0;0.12;4814.0;0.16;342.0;0.2
2622;Afvalverbrandingsinstallaties;Elektriciteit;1996;3431.0;0.16;6513.0;0.21;457.0;0.26
2623;Afvalverbrandingsinstallaties;Elektriciteit;1997;3990.0;0.19;7115.0;0.24;514.0;0.3
2624;Afvalverbrandingsinstallaties;Elektriciteit;1998;4278.0;0.2;7625.0;0.25;542.0;0.31
2625;Afvalverbrandingsinstallaties;Elektriciteit;1999;4540.0;0.22;8229.0;0.28;571.0;0.34
2626;Afvalverbrandingsinstallaties;Elektriciteit;2000;4578.0;0.21;8498.0;0.28;606.0;0.36
2627;Afvalverbrandingsinstallaties;Elektriciteit;2001;4370.0;0.2;8260.0;0.26;585.0;0.33
2628;Afvalverbrandingsinstallaties;Elektriciteit;2002;4347.0;0.2;8169.0;0.26;578.0;0.33
2629;Afvalverbrandingsinstallaties;Elektriciteit;2003;4347.0;0.2;8222.0;0.25;579.0;0.32
2630;Afvalverbrandingsinstallaties;Elektriciteit;2004;4243.0;0.19;7862.0;0.24;547.0;0.3
2631;Afvalverbrandingsinstallaties;Elektriciteit;2005;4557.0;0.2;8417.0;0.26;580.0;0.33
2632;Afvalverbrandingsinstallaties;Elektriciteit;2006;4723.0;0.22;8481.0;0.26;593.0;0.34
2633;Afvalverbrandingsinstallaties;Elektriciteit;2007;5022.0;0.23;9086.0;0.27;626.0;0.36
2634;Afvalverbrandingsinstallaties;Elektriciteit;2008;5071.0;0.22;9042.0;0.27;623.0;0.35
2635;Afvalverbrandingsinstallaties;Elektriciteit;2009;5659.0;0.26;10015.0;0.31;684.0;0.4
2636;Afvalverbrandingsinstallaties;Elektriciteit;2010;6348.0;0.28;11328.0;0.33;762.0;0.42
2637;Afvalverbrandingsinstallaties;Elektriciteit;2011;7324.0;0.34;12958.0;0.4;875.0;0.52
2638;Afvalverbrandingsinstallaties;Elektriciteit;2012;8045.0;0.37;14791.0;0.45;1053.0;0.64
2639;Afvalverbrandingsinstallaties;Elektriciteit;2013;7473.0;0.34;13546.0;0.42;998.0;0.6
2640;Afvalverbrandingsinstallaties;Warmte;1990;1806.0;0.1;2007.0;0.07;114.0;0.07
2641;Afvalverbrandingsinstallaties;Warmte;1991;1869.0;0.1;2076.0;0.07;118.0;0.07
2642;Afvalverbrandingsinstallaties;Warmte;1992;1879.0;0.1;2087.0;0.07;119.0;0.07
2643;Afvalverbrandingsinstallaties;Warmte;1993;1789.0;0.09;1988.0;0.07;113.0;0.07
2644;Afvalverbrandingsinstallaties;Warmte;1994;1324.0;0.07;1472.0;0.05;84.0;0.05
2645;Afvalverbrandingsinstallaties;Warmte;1995;1358.0;0.07;1509.0;0.05;86.0;0.05
2646;Afvalverbrandingsinstallaties;Warmte;1996;1687.0;0.08;1875.0;0.06;106.0;0.06
2647;Afvalverbrandingsinstallaties;Warmte;1997;3287.0;0.16;3652.0;0.12;207.0;0.12
2648;Afvalverbrandingsinstallaties;Warmte;1998;3315.0;0.16;3684.0;0.12;209.0;0.12
2649;Afvalverbrandingsinstallaties;Warmte;1999;3290.0;0.16;3655.0;0.12;208.0;0.12
2650;Afvalverbrandingsinstallaties;Warmte;2000;3126.0;0.15;3473.0;0.11;197.0;0.12
2651;Afvalverbrandingsinstallaties;Warmte;2001;2800.0;0.13;3111.0;0.1;177.0;0.1
2652;Afvalverbrandingsinstallaties;Warmte;2002;3261.0;0.15;3624.0;0.12;206.0;0.12
2653;Afvalverbrandingsinstallaties;Warmte;2003;3332.0;0.15;3703.0;0.11;210.0;0.12
2654;Afvalverbrandingsinstallaties;Warmte;2004;3432.0;0.15;3814.0;0.12;217.0;0.12
2655;Afvalverbrandingsinstallaties;Warmte;2005;3520.0;0.16;3911.0;0.12;222.0;0.13
2656;Afvalverbrandingsinstallaties;Warmte;2006;3868.0;0.18;4297.0;0.13;244.0;0.14
2657;Afvalverbrandingsinstallaties;Warmte;2007;3839.0;0.17;4266.0;0.13;242.0;0.14
2658;Afvalverbrandingsinstallaties;Warmte;2008;4066.0;0.18;4518.0;0.14;256.0;0.15
2659;Afvalverbrandingsinstallaties;Warmte;2009;5007.0;0.23;5563.0;0.17;315.0;0.19
2660;Afvalverbrandingsinstallaties;Warmte;2010;4992.0;0.22;5546.0;0.16;314.0;0.17
2661;Afvalverbrandingsinstallaties;Warmte;2011;6610.0;0.31;7345.0;0.23;415.0;0.25
2662;Afvalverbrandingsinstallaties;Warmte;2012;7640.0;0.35;8489.0;0.26;480.0;0.29
2663;Afvalverbrandingsinstallaties;Warmte;2013;8964.0;0.41;9960.0;0.31;563.0;0.34
2664;Afvalverbrandingsinstallaties;Vervoer;1990;;;;;;
2665;Afvalverbrandingsinstallaties;Vervoer;1991;;;;;;
2666;Afvalverbrandingsinstallaties;Vervoer;1992;;;;;;
2667;Afvalverbrandingsinstallaties;Vervoer;1993;;;;;;
2668;Afvalverbrandingsinstallaties;Vervoer;1994;;;;;;
2669;Afvalverbrandingsinstallaties;Vervoer;1995;;;;;;
2670;Afvalverbrandingsinstallaties;Vervoer;1996;;;;;;
2671;Afvalverbrandingsinstallaties;Vervoer;1997;;;;;;
2672;Afvalverbrandingsinstallaties;Vervoer;1998;;;;;;
2673;Afvalverbrandingsinstallaties;Vervoer;1999;;;;;;
2674;Afvalverbrandingsinstallaties;Vervoer;2000;;;;;;
2675;Afvalverbrandingsinstallaties;Vervoer;2001;;;;;;
2676;Afvalverbrandingsinstallaties;Vervoer;2002;;;;;;
2677;Afvalverbrandingsinstallaties;Vervoer;2003;;;;;;
2678;Afvalverbrandingsinstallaties;Vervoer;2004;;;;;;
2679;Afvalverbrandingsinstallaties;Vervoer;2005;;;;;;
2680;Afvalverbrandingsinstallaties;Vervoer;2006;;;;;;
2681;Afvalverbrandingsinstallaties;Vervoer;2007;;;;;;
2682;Afvalverbrandingsinstallaties;Vervoer;2008;;;;;;
2683;Afvalverbrandingsinstallaties;Vervoer;2009;;;;;;
2684;Afvalverbrandingsinstallaties;Vervoer;2010;;;;;;
2685;Afvalverbrandingsinstallaties;Vervoer;2011;;;;;;
2686;Afvalverbrandingsinstallaties;Vervoer;2012;;;;;;
2687;Afvalverbrandingsinstallaties;Vervoer;2013;;;;;;
2688;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1990;0.0;0.0;0.0;0.0;0.0;0.0
2689;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1991;0.0;0.0;0.0;0.0;0.0;0.0
2690;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1992;0.0;0.0;0.0;0.0;0.0;0.0
2691;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1993;0.0;0.0;0.0;0.0;0.0;0.0
2692;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1994;0.0;0.0;0.0;0.0;0.0;0.0
2693;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1995;16.0;0.0;33.0;0.0;3.0;0.0
2694;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1996;157.0;0.01;376.0;0.01;36.0;0.02
2695;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1997;150.0;0.01;357.0;0.01;34.0;0.02
2696;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1998;394.0;0.02;906.0;0.03;86.0;0.05
2697;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;1999;608.0;0.03;1403.0;0.05;133.0;0.08
2698;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2000;763.0;0.04;1755.0;0.06;166.0;0.1
2699;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2001;2186.0;0.1;5408.0;0.17;512.0;0.29
2700;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2002;4306.0;0.2;9866.0;0.31;906.0;0.52
2701;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2003;2942.0;0.13;7127.0;0.22;675.0;0.38
2702;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2004;6116.0;0.27;14123.0;0.43;1202.0;0.66
2703;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2005;13109.0;0.59;30522.0;0.93;2394.0;1.36
2704;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2006;12230.0;0.57;29445.0;0.91;2228.0;1.29
2705;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2007;7359.0;0.33;15702.0;0.47;1462.0;0.85
2706;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2008;8883.0;0.39;19692.0;0.59;1743.0;0.99
2707;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2009;10353.0;0.48;22788.0;0.7;2158.0;1.27
2708;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2010;12920.0;0.56;28545.0;0.82;2703.0;1.49
2709;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2011;12377.0;0.57;27855.0;0.86;2638.0;1.57
2710;Bij- en meestoken biomassa in centrales;Totaal energietoepassingen;2012;11290.0;0.52;26295.0;0.81;2490.0;1.5
