ID;Populatie;Reismotieven;KenmerkenVerplaatsing;RegioS;Perioden;Verplaatsingen_1;Afstand_2;Reisduur_3;Verplaatsingen_4;Afstand_5;Reisduur_6
0;Totaal;Totaal;Totaal;Nederland;2010;2.77;30.31;62.54;963.0;10536.0;362.3
1;Totaal;Totaal;Totaal;Nederland;2011;2.67;30.69;61.33;928.0;10675.0;355.5
2;Totaal;Totaal;Totaal;Nederland;2012;2.68;29.39;60.45;936.0;10253.0;351.5
3;Totaal;Totaal;Totaal;Nederland;2013;2.68;30.49;61.18;933.0;10611.0;354.8
4;Totaal;Totaal;Totaal;Nederland;2014;2.69;30.74;62.74;937.0;10694.0;363.8
5;Totaal;Totaal;Totaal;Nederland;2015;2.6;29.46;59.89;906.0;10264.0;347.8
6;Totaal;Totaal;Totaal;Nederland;2016;2.55;29.38;59.44;890.0;10264.0;346.1
7;Totaal;Totaal;Totaal;Nederland;2017;2.5;29.11;58.34;865.0;10089.0;337.0
8;Totaal;Totaal;Totaal;Noord-Nederland (LD);2010;2.71;34.45;62.85;943.0;11973.0;364.1
9;Totaal;Totaal;Totaal;Noord-Nederland (LD);2011;2.6;33.49;59.55;904.0;11654.0;345.3
10;Totaal;Totaal;Totaal;Noord-Nederland (LD);2012;2.64;32.14;59.9;921.0;11214.0;348.3
11;Totaal;Totaal;Totaal;Noord-Nederland (LD);2013;2.65;33.56;58.85;922.0;11671.0;341.1
12;Totaal;Totaal;Totaal;Noord-Nederland (LD);2014;2.62;33.85;62.79;912.0;11778.0;364.2
13;Totaal;Totaal;Totaal;Noord-Nederland (LD);2015;2.53;32.96;59.53;884.0;11489.0;345.8
14;Totaal;Totaal;Totaal;Noord-Nederland (LD);2016;2.51;33.2;59.98;877.0;11596.0;349.1
15;Totaal;Totaal;Totaal;Noord-Nederland (LD);2017;2.49;30.92;56.74;864.0;10711.0;327.6
16;Totaal;Totaal;Totaal;Oost-Nederland (LD);2010;2.86;32.78;63.54;993.0;11396.0;368.2
17;Totaal;Totaal;Totaal;Oost-Nederland (LD);2011;2.72;31.96;59.75;945.0;11106.0;346.1
18;Totaal;Totaal;Totaal;Oost-Nederland (LD);2012;2.7;29.82;58.35;941.0;10400.0;339.1
19;Totaal;Totaal;Totaal;Oost-Nederland (LD);2013;2.72;30.96;59.31;946.0;10775.0;344.0
20;Totaal;Totaal;Totaal;Oost-Nederland (LD);2014;2.7;32.62;61.66;939.0;11349.0;357.6
21;Totaal;Totaal;Totaal;Oost-Nederland (LD);2015;2.67;31.24;58.38;930.0;10885.0;339.0
22;Totaal;Totaal;Totaal;Oost-Nederland (LD);2016;2.55;31.27;58.74;889.0;10924.0;342.0
