ID;Leeftijd;BrutoHuishoudinkomen;RegioS;Perioden;GemeentelijkeInkomstenEigenBijdrage_1
0;Totaal 18 jaar of ouder;Totaal;Nederland;2017;189510.0
1;Totaal 18 jaar of ouder;Totaal;Nederland;2018;191577.0
2;Totaal 18 jaar of ouder;Totaal;Nederland;2019;89105.0
3;Totaal 18 jaar of ouder;Totaal;Nederland;2020;86191.0
4;Totaal 18 jaar of ouder;Totaal;Nederland;2021;109324.0
5;Totaal 18 jaar of ouder;Totaal;Nederland;2022;112707.0
6;Totaal 18 jaar of ouder;Totaal;Nederland;2023;114589.0
7;Totaal 18 jaar of ouder;Totaal;Aa en Hunze;2017;197.0
8;Totaal 18 jaar of ouder;Totaal;Aa en Hunze;2018;222.0
9;Totaal 18 jaar of ouder;Totaal;Aa en Hunze;2019;83.0
10;Totaal 18 jaar of ouder;Totaal;Aa en Hunze;2020;130.0
11;Totaal 18 jaar of ouder;Totaal;Aa en Hunze;2021;177.0
12;Totaal 18 jaar of ouder;Totaal;Aa en Hunze;2022;183.0
13;Totaal 18 jaar of ouder;Totaal;Aa en Hunze;2023;190.0
14;Totaal 18 jaar of ouder;Totaal;Aalburg;2017;92.0
15;Totaal 18 jaar of ouder;Totaal;Aalburg;2018;98.0
16;Totaal 18 jaar of ouder;Totaal;Aalburg;2019;
17;Totaal 18 jaar of ouder;Totaal;Aalburg;2020;
18;Totaal 18 jaar of ouder;Totaal;Aalburg;2021;
19;Totaal 18 jaar of ouder;Totaal;Aalburg;2022;
20;Totaal 18 jaar of ouder;Totaal;Aalburg;2023;
21;Totaal 18 jaar of ouder;Totaal;Aalsmeer;2017;414.0
22;Totaal 18 jaar of ouder;Totaal;Aalsmeer;2018;399.0
23;Totaal 18 jaar of ouder;Totaal;Aalsmeer;2019;123.0
24;Totaal 18 jaar of ouder;Totaal;Aalsmeer;2020;120.0
25;Totaal 18 jaar of ouder;Totaal;Aalsmeer;2021;160.0
26;Totaal 18 jaar of ouder;Totaal;Aalsmeer;2022;171.0
27;Totaal 18 jaar of ouder;Totaal;Aalsmeer;2023;171.0
28;Totaal 18 jaar of ouder;Totaal;Aalten;2017;497.0
29;Totaal 18 jaar of ouder;Totaal;Aalten;2018;503.0
30;Totaal 18 jaar of ouder;Totaal;Aalten;2019;224.0
31;Totaal 18 jaar of ouder;Totaal;Aalten;2020;205.0
