ID;AantalVertrekken;AantalPersonenPerVertrek;MetOfZonderBedsteden;Regio;Woningen_1
0;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Nederland;1885567
1;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Groningen (provincie);96334
2;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Friesland;100704
3;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Drenthe;47482
4;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Overijssel;113954
5;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gelderland;182009
6;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht (provincie);97796
7;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland;403076
8;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland;493882
9;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zeeland;62756
10;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Brabant;177651
11;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Limburg;109923
12;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gemeenten met meer dan 100000 inwoners;590425
13;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gemeenten met 50001 - 100000 inwoners;186329
14;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gemeenten met 20001 - 50000 inwoners;211783
15;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gemeenten met 10001 - 20000 inwoners;265252
16;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gemeenten met 5001 - 10000 inwoners;262017
17;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gemeenten met 2001 - 5000 inwoners;265236
18;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gemeenten met 1001 - 2000 inwoners;77104
19;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gemeenten met 501 - 1000 inwoners;24742
20;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gemeenten met 500 of minder inwoners;2679
21;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Groningen, gem. 100001 en meer inw.;26554
22;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Groningen;26554
23;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Groningen, gem. 10001 - 20000 inw.;21979
24;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Groningen, gem. 5001 - 10000 inw.;21230
25;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Groningen, gem. 2001 - 5000 inw.;23400
26;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Groningen, gem. 1001 - 2000 inw.;3171
27;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Friesland, gem. 20001 - 50000 inw.;12153
28;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Leeuwarden;12153
29;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Friesland, gem. 10001 - 20000 inw.;51359
30;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Friesland, gem. 5001 - 10000 inw.;28595
31;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Friesland, gem. 2001 - 5000 inw.;6831
32;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Friesland, gem. 1001 - 2000 inw.;860
33;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Friesland, gem. 501 - 1000 inw.;906
34;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Drenthe, gem. 20001 - 50000 inw.;8238
35;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Emmen;8238
36;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Drenthe, gem. 10001 - 20000 inw.;13097
37;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Drenthe, gem. 5001 - 10000 inw.;12261
38;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Drenthe, gem. 2001 - 5000 inw.;13155
39;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Drenthe, gem. 1001 - 2000 inw.;731
40;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Overijssel, gem. 50001 - 100000 inw.;11959
41;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Enschede;11959
42;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Overijssel, gem. 20001 - 50000 inw.;41477
43;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Almelo;7638
44;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Deventer;9078
45;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Hengelo (O.);8120
46;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Lonneker;6767
47;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zwolle;9874
48;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Overijssel, gem. 10001 - 20000 inw.;16788
49;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Overijssel, gem. 5001 - 10000 inw.;29310
50;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Overijssel, gem. 2001 - 5000 inw.;11351
51;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Overijssel, gem. 1001 - 2000 inw.;1817
52;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Overijssel, gem. 501 - 1000 inw.;1252
53;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gelderland, gem. 50001 - 100000 inw.;52326
54;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Apeldoorn;14129
55;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Arnhem;19867
56;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Nijmegen;18330
57;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gelderland, gem. 20001 - 50000 inw.;13107
58;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Ede;6997
59;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Rheden;6110
60;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gelderland, gem. 10001 - 20000 inw.;42706
61;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gelderland, gem. 5001 - 10000 inw.;38930
62;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gelderland, gem. 2001 - 5000 inw.;26802
63;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gelderland, gem. 1001 - 2000 inw.;7342
64;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gelderland, gem. 501 - 1000 inw.;652
65;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gelderland, gem. 500 en minder inw.;144
66;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht, gem. 100001 en meer inw.;39741
67;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht;39741
68;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht, gem. 20001 - 50000 inw.;14803
69;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Amersfoort;8896
70;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zeist;5907
71;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht, gem. 10001 - 20000 inw.;11976
72;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht, gem. 5001 - 10000 inw.;5241
73;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht, gem. 2001 - 5000 inw.;17005
74;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht, gem. 1001 - 2000 inw.;5830
75;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht, gem. 501 - 1000 inw.;2807
76;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Utrecht, gem. 500 en minder inw.;393
77;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland, gem. 100001 en meer inw.;247136
78;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Amsterdam;215379
79;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Haarlem;31757
80;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland, gem. 50001 - 100000 inw.;14526
81;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Hilversum;14526
82;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland, gem. 20001 - 50000 inw.;46361
83;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Alkmaar;7426
84;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Bussum;6115
85;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Haarlemmermeer;5858
86;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Helder (Den);8080
87;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Velsen;10162
88;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zaandam;8720
89;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland, gem. 10001 - 20000 inw.;12377
90;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland, gem. 5001 - 10000 inw.;34446
91;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland, gem. 2001 - 5000 inw.;33767
92;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland, gem. 1001 - 2000 inw.;10940
93;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland, gem. 501 - 1000 inw.;2743
94;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Holland, gem. 500 en minder inw.;780
95;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland, gem. 100001 en meer inw.;276994
96;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;'s-Gravenhage;129707
97;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Rotterdam;147287
98;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland, gem. 50001 - 100000 inw.;58083
99;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Delft;12581
100;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Dordrecht;14228
101;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Leiden;18798
102;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Schiedam;12476
103;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland, gem. 20001 - 50000 inw.;13718
104;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Gouda;7278
105;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Vlaardingen;6440
106;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland, gem. 10001 - 20000 inw.;44932
107;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland, gem. 5001 - 10000 inw.;33634
108;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland, gem. 2001 - 5000 inw.;46606
109;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland, gem. 1001 - 2000 inw.;13759
110;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland, gem. 501 - 1000 inw.;5602
111;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zuid-Holland, gem. 500 en minder inw.;554
112;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zeeland, gem. 20001 - 50000 inw.;5848
113;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Vlissingen;5848
114;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zeeland, gem. 10001 - 20000 inw.;7844
115;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zeeland, gem. 5001 - 10000 inw.;6835
116;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zeeland, gem. 2001 - 5000 inw.;24421
117;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zeeland, gem. 1001 - 2000 inw.;11165
118;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zeeland, gem. 501 - 1000 inw.;6128
119;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Zeeland, gem. 500 en minder inw.;515
120;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Brabant, gem. 50001 - 100000 inw.;35233
121;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Eindhoven;18573
122;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Tilburg;16660
123;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Brabant, gem. 20001 - 50000 inw.;33204
124;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Bergen op Zoom;4536
125;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Breda;10024
126;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Helmond;5061
127;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;'s-Hertogenbosch;8796
128;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Roosendaal en Nispen;4787
129;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Brabant, gem. 10001 - 20000 inw.;18723
130;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Brabant, gem. 5001 - 10000 inw.;36643
131;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Brabant, gem. 2001 - 5000 inw.;40680
132;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Brabant, gem. 1001 - 2000 inw.;10870
133;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Noord-Brabant, gem. 501 - 1000 inw.;2298
134;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Limburg, gem. 50001 - 100000 inw.;14202
135;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Maastricht;14202
136;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Limburg, gem. 20001 - 50000 inw.;22874
137;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Heerlen;9819
138;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Kerkrade;7851
139;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Venlo;5204
140;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Limburg, gem. 10001 - 20000 inw.;23471
141;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Limburg, gem. 5001 - 10000 inw.;14892
142;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Limburg, gem. 2001 - 5000 inw.;21218
143;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Limburg, gem. 1001 - 2000 inw.;10619
144;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Limburg, gem. 501 - 1000 inw.;2354
145;Totaal aantal woningen;Totaal aantal woningen;Totaal aantal woningen;Limburg, gem. 500 en minder inw.;293
146;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Nederland;692776
147;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Groningen (provincie);65391
148;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Friesland;75535
149;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Drenthe;35520
150;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Overijssel;40670
151;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gelderland;52208
152;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht (provincie);27949
153;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland;109569
154;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zuid-Holland;166431
155;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zeeland;35153
156;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Brabant;75918
157;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Limburg;8432
158;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gemeenten met meer dan 100000 inwoners;128845
159;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gemeenten met 50001 - 100000 inwoners;36468
160;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gemeenten met 20001 - 50000 inwoners;59873
161;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gemeenten met 10001 - 20000 inwoners;114306
162;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gemeenten met 5001 - 10000 inwoners;136064
163;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gemeenten met 2001 - 5000 inwoners;152240
164;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gemeenten met 1001 - 2000 inwoners;46492
165;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gemeenten met 501 - 1000 inwoners;16740
166;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gemeenten met 500 of minder inwoners;1748
167;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Groningen, gem. 100001 en meer inw.;11240
168;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Groningen;11240
169;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Groningen, gem. 10001 - 20000 inw.;15380
170;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Groningen, gem. 5001 - 10000 inw.;16321
171;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Groningen, gem. 2001 - 5000 inw.;19802
172;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Groningen, gem. 1001 - 2000 inw.;2648
173;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Friesland, gem. 20001 - 50000 inw.;5305
174;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Leeuwarden;5305
175;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Friesland, gem. 10001 - 20000 inw.;39714
176;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Friesland, gem. 5001 - 10000 inw.;23690
177;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Friesland, gem. 2001 - 5000 inw.;5451
178;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Friesland, gem. 1001 - 2000 inw.;712
179;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Friesland, gem. 501 - 1000 inw.;663
180;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Drenthe, gem. 20001 - 50000 inw.;6023
181;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Emmen;6023
182;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Drenthe, gem. 10001 - 20000 inw.;8009
183;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Drenthe, gem. 5001 - 10000 inw.;9985
184;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Drenthe, gem. 2001 - 5000 inw.;10855
185;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Drenthe, gem. 1001 - 2000 inw.;648
186;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Overijssel, gem. 50001 - 100000 inw.;1096
187;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Enschede;1096
188;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Overijssel, gem. 20001 - 50000 inw.;9022
189;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Almelo;1957
190;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Deventer;2119
191;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Hengelo (O.);794
192;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Lonneker;940
193;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zwolle;3212
194;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Overijssel, gem. 10001 - 20000 inw.;6706
195;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Overijssel, gem. 5001 - 10000 inw.;14724
196;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Overijssel, gem. 2001 - 5000 inw.;7096
197;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Overijssel, gem. 1001 - 2000 inw.;980
198;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Overijssel, gem. 501 - 1000 inw.;1046
199;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gelderland, gem. 50001 - 100000 inw.;8222
200;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Apeldoorn;3211
201;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Arnhem;2935
202;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Nijmegen;2076
203;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gelderland, gem. 20001 - 50000 inw.;3442
204;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Ede;1955
205;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Rheden;1487
206;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gelderland, gem. 10001 - 20000 inw.;12006
207;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gelderland, gem. 5001 - 10000 inw.;13691
208;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gelderland, gem. 2001 - 5000 inw.;10536
209;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gelderland, gem. 1001 - 2000 inw.;4064
210;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gelderland, gem. 501 - 1000 inw.;197
211;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gelderland, gem. 500 en minder inw.;50
212;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht, gem. 100001 en meer inw.;8176
213;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht;8176
214;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht, gem. 20001 - 50000 inw.;2616
215;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Amersfoort;1695
216;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zeist;921
217;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht, gem. 10001 - 20000 inw.;1551
218;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht, gem. 5001 - 10000 inw.;1810
219;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht, gem. 2001 - 5000 inw.;8601
220;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht, gem. 1001 - 2000 inw.;3178
221;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht, gem. 501 - 1000 inw.;1764
222;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Utrecht, gem. 500 en minder inw.;253
223;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland, gem. 100001 en meer inw.;44748
224;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Amsterdam;39807
225;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Haarlem;4941
226;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland, gem. 50001 - 100000 inw.;2335
227;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Hilversum;2335
228;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland, gem. 20001 - 50000 inw.;14201
229;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Alkmaar;2135
230;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Bussum;454
231;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Haarlemmermeer;3591
232;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Helder (Den);3259
233;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Velsen;2133
234;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zaandam;2629
235;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland, gem. 10001 - 20000 inw.;2582
236;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland, gem. 5001 - 10000 inw.;14660
237;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland, gem. 2001 - 5000 inw.;20137
238;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland, gem. 1001 - 2000 inw.;8169
239;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland, gem. 501 - 1000 inw.;2142
240;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Noord-Holland, gem. 500 en minder inw.;595
241;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zuid-Holland, gem. 100001 en meer inw.;64681
242;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);'s-Gravenhage;8297
243;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Rotterdam;56384
244;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zuid-Holland, gem. 50001 - 100000 inw.;18089
245;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Delft;3327
246;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Dordrecht;4567
247;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Leiden;5844
248;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Schiedam;4351
249;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zuid-Holland, gem. 20001 - 50000 inw.;6010
250;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Gouda;2504
251;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Vlaardingen;3506
252;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zuid-Holland, gem. 10001 - 20000 inw.;15433
253;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zuid-Holland, gem. 5001 - 10000 inw.;17013
254;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zuid-Holland, gem. 2001 - 5000 inw.;30076
255;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zuid-Holland, gem. 1001 - 2000 inw.;10459
256;Totaal aantal woningen;Totaal aantal woningen;Woningen met bedstede(n);Zuid-Holland, gem. 501 - 1000 inw.;4227
