ID;Periods;TotalPopulation_1;Males_2;Females_3;TotalPopulation_4;NeverMarried_5;Married_6;Widowed_7;Divorced_8;TotalPopulation_9;YoungerThan20Years_10;k_20To40Years_11;k_40To65Years_12;k_65To80Years_13;k_80YearsOrOlder_14;YoungerThan20Years_15;k_20To40Years_16;k_40To65Years_17;k_65To80Years_18;k_80YearsOrOlder_19;TotalDemographicPressure_20;GreenPressure_21;GreyPressure_22;TotalPopulation_23;Males_24;Females_25;TotalPopulation_26;TheNetherlands_27;EuropeExcludingTheNetherlands_28;TotalOutsideEurope_29;Turkey_30;Morocco_31;Suriname_32;DutchCaribbean_33;Indonesia_34;OtherAfrica_35;OtherAsia_36;OtherAmericaAndOceania_37;TheNetherlands_38;EuropeExcludingTheNetherlands_39;TotalOutsideEurope_40;Turkey_41;Morocco_42;Suriname_43;DutchCaribbean_44;Indonesia_45;OtherAfrica_46;OtherAsia_47;OtherAmericaAndOceania_48;TheNetherlands_49;EuropeExcludingTheNetherlands_50;TotalOutsideEurope_51;Turkey_52;Morocco_53;Suriname_54;DutchCaribbean_55;Indonesia_56;OtherAfrica_57;OtherAsia_58;OtherAmericaAndOceania_59;TotalPrivateHouseholds_60;OnePersonHouseholds_61;MultiPersonHouseholds_62;AverageHouseholdSize_63;PopulationInInstitutionalHouseholds_64;TotalPopulationGrowth_65;TotalPopulationGrowthRate_66;LiveBornChildren_67;Deaths_68;NaturalIncrease_69;NaturalIncreaseRate_70;Immigration_71;EmigrationIncludingAdministrativeC_72;NetMigrationIncludingAdministrativ_73;NetMigrationIncludingAdminRate_74;OtherCorrections_75;PopulationDensity_76
0;1950;10026773;4998251;5028522;10026773;5284496;4232241;435532;74504;10026773;3742499;2951369;2562311;670995;99599;37.3;29.4;25.6;6.7;1.0;81.9;67.9;14.0;30.8;30.3;31.3;10026773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2535;245;2290;3.93;;173507.0;17.3;229718.0;75929.0;153789.0;15.2;70602.0;50697.0;19905.0;2.0;-187.0;309
1;1951;10200280;5083759;5116521;10200280;5354293;4329761;439933;76293;10200280;3805617;2985744;2614428;690449;104042;37.3;29.3;25.6;6.8;1.0;82.1;68.0;14.2;30.8;30.3;31.4;10200280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2600;258;2342;3.88;;128063.0;12.6;228407.0;77560.0;150847.0;14.7;45016.0;67449.0;-22433.0;-2.2;-351.0;315
2;1952;10328343;5145772;5182571;10328343;5384853;4421572;444343;77575;10328343;3853988;2999353;2656483;710729;107790;37.3;29.0;25.7;6.9;1.0;82.6;68.1;14.5;31.0;30.4;31.5;10328343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2658;270;2388;3.84;;107288.0;10.4;231888.0;76346.0;155542.0;15.0;33666.0;81347.0;-47681.0;-4.6;-573.0;319
3;1953;10435631;5198033;5237598;10435631;5409984;4497526;449090;79031;10435631;3894738;2996594;2700881;729809;113609;37.3;28.7;25.9;7.0;1.1;83.2;68.4;14.8;31.1;30.5;31.6;10435631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2716;282;2434;3.79;;115106.0;11.0;227964.0;80901.0;147063.0;14.0;35449.0;67080.0;-31631.0;-3.0;-326.0;322
4;1954;10550737;5256108;5294629;10550737;5443474;4572974;454436;79853;10550737;3945330;2994204;2744425;747436;119342;37.4;28.4;26.0;7.1;1.1;83.9;68.8;15.1;31.2;30.6;31.7;10550737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2794;297;2497;3.73;;129286.0;12.3;228173.0;79623.0;148550.0;14.0;42418.0;61368.0;-18950.0;-1.8;-314.0;325
5;1955;10680023;5320759;5359264;10680023;5481327;4658053;459762;80881;10680023;4000883;2997145;2792024;765017;124954;37.5;28.1;26.1;7.2;1.2;84.5;69.1;15.4;31.3;30.7;31.9;10680023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2848;310;2538;3.71;;141638.0;13.3;229222.0;81708.0;147514.0;13.7;52069.0;57267.0;-5198.0;-0.5;-678.0;329
6;1956;10821661;5390751;5430910;10821661;5526994;4746401;465827;82439;10821661;4063634;3013487;2832042;782200;130298;37.6;27.8;26.2;7.2;1.2;85.1;69.5;15.6;31.4;30.8;32.0;10821661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2907;323;2584;3.68;;135379.0;12.5;231492.0;84809.0;146683.0;13.5;51756.0;62737.0;-10981.0;-1.0;-323.0;333
7;1957;10957040;5459578;5497462;10957040;5567164;4834087;472164;83625;10957040;4124465;3027385;2869124;800553;135513;37.6;27.6;26.2;7.3;1.2;85.8;69.9;15.9;31.5;30.9;32.1;10957040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2982;339;2643;3.63;;138686.0;12.7;233892.0;82961.0;150931.0;13.7;50143.0;62644.0;-12501.0;-1.1;256.0;338
8;1958;11095726;5529065;5566661;11095726;5607936;4924488;478607;84695;11095726;4188105;3041247;2906002;818343;142029;37.7;27.4;26.2;7.4;1.3;86.6;70.4;16.1;31.6;30.9;32.2;11095726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3058;355;2703;3.6;;182298.0;16.4;236859.0;84491.0;152368.0;13.6;67957.0;55861.0;12096.0;1.1;17834.0;342
9;1959;11278024;5618540;5659484;11278024;5677101;5027106;487125;86692;11278024;4270455;3076070;2940435;843228;147836;37.9;27.3;26.1;7.5;1.3;87.5;71.0;16.5;31.6;31.0;32.3;11278024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3126;370;2756;3.57;;139230.0;12.3;242518.0;86072.0;156446.0;13.8;37185.0;54076.0;-16891.0;-1.5;-325.0;347
