ID;Perioden;MannenEnVrouwen_1;TotaalAantalMannen_2;ThuiswonendKind_3;Alleenstaand_4;TotaalSamenwonendePersonen_5;PartnerInNietGehuwdPaarGeenKin_6;PartnerInGehuwdPaarGeenKindEren_7;PartnerInNietGehuwdPaarMetKind_8;PartnerInGehuwdPaarMetKindEren_9;OuderInEenouderhuishouden_10;OverigLidHuishouden_11;PersonenInInstitutioneleHuishoudens_12;TotaalAantalVrouwen_13;ThuiswonendKind_14;Alleenstaand_15;TotaalSamenwonendePersonen_16;PartnerInNietGehuwdPaarGeenKin_17;PartnerInGehuwdPaarGeenKindEren_18;PartnerInNietGehuwdPaarMetKind_19;PartnerInGehuwdPaarMetKindEren_20;OuderInEenouderhuishouden_21;OverigLidHuishouden_22;PersonenInInstitutioneleHuishoudens_23;TotaalParticuliereHuishoudens_24;Eenpersoonshuishouden_25;TotaalMeerpersoonshuishoudens_26;k_2Personen_27;k_3Personen_28;k_4Personen_29;k_5OfMeerPersonen_30;GemiddeldeHuishoudensgrootte_31;TotaalParticuliereHuishoudens_32;Eenpersoonshuishouden_33;TotaalMeerpersoonshuishoudens_34;MeerpersoonshuishoudensZonderKinderen_35;MeerpersoonshuishoudensMetKinderen_36;TotaalNietGehuwdeParen_37;k_0Kinderen_38;k_1Kind_39;k_2Kinderen_40;k_3OfMeerKinderen_41;TotaalGehuwdeParen_42;k_0Kinderen_43;k_1Kind_44;k_2Kinderen_45;k_3OfMeerKinderen_46;TotaalEenouderhuishoudens_47;k_1Kind_48;k_2Kinderen_49;k_3OfMeerKinderen_50;OverigHuishouden_51;MannenEnVrouwen_52;TotaalMannenInEenInstelling_53;Ongehuwd_54;Gehuwd_55;Verweduwd_56;Gescheiden_57;TotaalVrouwenInEenInstelling_58;Ongehuwd_59;Gehuwd_60;Verweduwd_61;Gescheiden_62;TotaalPersonenWonendInInstellingen_63;VerzorgingsEnVerpleeghuis_64;OverigeZorginstelling_65;OverigSoortInstelling_66
0;1995;15424122;7627482;2468651;930670;3958539;423789;1424616;97759;2012375;55829;128613;85180;7796640;2077710;1178479;3951770;413326;1424616;101453;2012375;304925;121201;162555;6468682;2109149;4359533;2058363;903381;957174;440615;2.35;6468682;2109149;4359533;1886794;2472739;518116;418506;56057;33137;10416;3436991;1424616;728238;892368;391769;360754;218280;106362;36112;43672;247708;85045;51816;13343;15464;4422;162663;56274;12755;86593;7041;247708;;;
1;1996;15493889;7662289;2472402;940505;3986671;447491;1435447;109930;1993803;56480;120358;85873;7831600;2084687;1183277;3977491;434503;1435447;113738;1993803;312296;112245;161604;6517804;2123782;4394022;2097196;898954;952641;445231;2.34;6517804;2123782;4394022;1919610;2474412;552889;441052;62981;37142;11714;3429247;1435447;715441;883327;395032;368775;222766;108547;37462;43111;247482;85870;52764;13220;15088;4798;161612;55689;12727;85850;7346;247482;;;
2;1997;15567107;7696803;2462992;957596;4013777;466987;1455587;121402;1969801;56542;120974;84922;7870304;2082214;1199965;4003315;452755;1455587;125172;1969801;315100;113095;156615;6580943;2157561;4423382;2136268;893037;948593;445484;2.33;6580943;2157561;4423382;1958645;2464737;583194;459903;69317;41187;12787;3425385;1455587;701275;874144;394379;371648;223547;109807;38294;43155;241531;84917;53144;11862;14836;5075;156614;54001;12265;82470;7878;241531;;;
3;1998;15654192;7740074;2454627;982482;4042662;483287;1477038;132186;1950151;56719;119153;84431;7914118;2081368;1218836;4031307;468208;1477038;135910;1950151;318385;111911;152311;6655891;2201317;4454574;2175326;889811;943693;445744;2.32;6655891;2201317;4454574;1995267;2459307;609834;475782;75638;45115;13299;3427189;1477038;690979;865371;393801;375104;225059;111001;39044;42447;236736;84426;52975;11810;14610;5031;152310;51722;12318;80502;7768;236736;145115.0;77135.0;14486.0
4;1999;15760225;7793271;2446834;1011946;4073611;493486;1504646;145632;1929847;57671;120720;82489;7966954;2078882;1242685;4061804;478578;1503398;149447;1930381;321956;113581;148046;6745411;2254631;4490780;2215304;892410;938934;444132;2.3;6745411;2254631;4490780;2033473;2457307;633625;486080;82640;50418;14487;3434157;1504022;684586;854589;390960;379627;227530;112411;39686;43371;230507;82476;51956;11900;13399;5221;148031;50306;11450;77375;8900;230507;141352.0;76260.0;12895.0
5;2000;15863943;7846310;2452038;1023085;4104880;503441;1521846;160464;1919129;58148;127606;80553;8017633;2089064;1249134;4091152;485818;1520280;165067;1919987;326170;118538;143575;6801008;2272219;4528789;2242256;897408;943509;445616;2.3;6801008;2272219;4528789;2062123;2466666;657579;494809;91151;55846;15773;3440642;1521063;677297;852005;390277;384317;229199;114434;40684;46251;224003;80477;50641;11432;13248;5156;143526;48241;11041;76865;7379;224003;136964.0;74648.0;12391.0
6;2001;15987074;7909855;2469359;1044578;4122894;504778;1531705;175739;1910672;61333;132482;79209;8077219;2108636;1262497;4108930;486294;1529739;181037;1911860;335020;122298;139838;6866954;2307075;4559879;2258102;901442;950980;449355;2.3;6866954;2307075;4559879;2073831;2486048;674085;495693;98842;62177;17373;3442027;1530722;668308;851878;391119;396351;235764;118808;41779;47416;218784;79046;49460;11301;13030;5255;139738;46210;10883;75243;7402;218784;133742.0;73343.0;11699.0
7;2002;16105283;7971966;2487061;1069167;4136622;508949;1536163;194519;1896991;64930;134551;79635;8133317;2128510;1275736;4121064;489229;1533621;199671;1898543;346761;124092;137154;6934263;2344903;4589360;2275136;903225;959431;451568;2.29;6934263;2344903;4589360;2082747;2506613;696290;499191;107561;70301;19237;3432715;1534892;655673;851806;390344;411691;244768;123617;43306;48664;216789;79635;49980;11216;12839;5600;137154;45252;10906;73453;7543;216789;131956.0;73465.0;11368.0
8;2003;16192572;8015471;2493702;1090525;4147154;509600;1548150;211753;1877651;67662;136531;79897;8177101;2135290;1293055;4131602;490283;1545162;216514;1879643;356462;125814;134878;6995724;2383580;4612144;2292761;903778;964621;450984;2.28;6995724;2383580;4612144;2095156;2516988;714200;500064;115018;78087;21031;3425384;1546656;644675;847733;386320;424124;251141;128189;44794;48436;214800;79907;50373;11051;12735;5748;134893;44436;10712;72136;7609;214800;129804.0;73791.0;11205.0
9;2004;16258032;8045914;2496611;1111280;4150918;504728;1557996;229152;1859042;69883;136318;80904;8212118;2138714;1312670;4135414;485355;1554690;233861;1861508;364089;127223;134008;7049280;2423950;4625330;2302372;904913;969062;448983;2.28;7049280;2423950;4625330;2099479;2525851;726722;495214;121790;86971;22747;3416714;1556343;636458;842377;381536;433972;256674;131804;45494;47922;214912;80904;51023;11176;12543;6162;134008;44100;10735;71293;7880;214912;128116.0;74801.0;11995.0
