ID;HerkomstBestemming;Perioden;CO2_1;N2O_2;CH4_3;BroeikasgasEquivalent_4;NOx_5;SO2_6;NH3_7;ZuurEquivalent_8;CFK12Equivalent_9;PM10_10;FijnStofEquivalent_11;CO_12;NMVOS_13
0;1;1990;36619.0;0.9;27.0;37452.0;160.5;7.0;9.3;4.3;595.4;14.6;14.6;696.5;182.1
1;1;1991;39141.0;1.0;28.1;40075.0;155.3;6.5;9.7;4.1;463.1;13.5;13.5;633.0;164.3
2;1;1992;37388.0;1.1;25.7;38319.0;145.2;6.4;10.0;3.9;346.6;13.1;13.1;616.7;155.9
3;1;1993;38606.0;1.2;26.0;39579.0;136.8;6.0;10.2;3.8;246.0;12.9;12.9;595.4;148.6
4;1;1994;38509.0;1.4;24.7;39506.0;131.4;6.1;10.3;3.7;161.2;12.7;12.7;594.4;143.9
5;1;1995;39665.0;1.5;25.2;40702.0;123.5;5.3;10.6;3.5;92.3;12.4;12.4;573.9;135.8
6;1;1996;43314.0;1.5;27.2;44417.0;119.9;4.2;10.7;3.4;97.3;12.3;12.3;552.3;128.4
7;1;1997;39894.0;1.5;24.0;40939.0;111.2;2.6;11.0;3.1;92.2;12.1;12.1;541.7;119.2
8;1;1998;38858.0;1.5;22.7;39869.0;101.4;2.7;11.1;2.9;78.8;11.8;11.8;516.9;107.4
9;1;1999;39468.0;1.5;22.0;40428.0;97.5;2.9;11.3;2.9;79.4;11.9;11.9;501.0;100.2
10;1;2000;39382.0;1.4;21.9;40523.0;92.9;2.2;11.4;2.8;73.6;11.4;11.4;491.7;96.2
11;1;2001;39963.0;1.4;22.0;41053.0;88.8;1.2;11.5;2.6;70.7;11.9;11.9;468.6;90.3
12;1;2002;39055.0;1.3;20.8;40096.0;82.2;1.3;11.5;2.5;67.7;11.9;11.9;449.6;85.0
13;1;2003;39753.0;1.3;20.9;40827.0;77.8;0.9;11.6;2.4;64.7;11.6;11.6;437.3;81.1
14;1;2004;39710.0;1.3;20.4;40801.0;73.6;1.1;11.6;2.3;61.7;11.4;11.4;424.4;75.5
15;1;2005;38766.0;1.3;19.5;39836.0;67.1;0.8;12.7;2.2;58.8;11.0;11.0;414.9;73.8
16;1;2006;37969.0;1.3;18.7;39052.0;61.8;0.8;12.7;2.1;55.8;10.8;10.8;401.1;70.2
17;1;2007;37186.0;1.3;17.6;38275.0;59.2;0.8;12.8;2.1;52.8;10.7;10.7;395.1;69.0
18;1;2008;38557.0;1.2;18.8;39680.0;52.3;0.7;12.5;1.9;49.8;9.6;9.6;390.6;68.0
19;1;2009;39389.0;1.3;18.8;40525.0;52.5;0.8;12.6;1.9;46.9;9.8;9.8;387.9;67.6
20;2;1990;15682.0;0.7;5.7;16014.0;140.2;5.8;0.7;3.3;0.0;10.2;10.2;626.1;144.7
21;2;1991;15760.0;0.8;5.0;16113.0;133.0;5.5;1.0;3.1;0.0;9.3;9.3;564.4;127.0
22;2;1992;16261.0;0.9;4.8;16653.0;125.1;5.5;1.3;3.0;0.0;8.9;8.9;549.8;118.5
23;2;1993;16322.0;1.0;4.5;16736.0;115.7;5.1;1.4;2.8;0.0;8.8;8.8;530.2;111.3
24;2;1994;17352.0;1.2;4.4;17807.0;111.6;5.3;1.6;2.7;0.0;8.7;8.7;531.0;106.7
25;2;1995;17420.0;1.2;4.3;17896.0;102.9;4.6;1.7;2.5;0.0;8.5;8.5;512.3;98.6
26;2;1996;17632.0;1.2;4.0;18103.0;96.4;3.6;1.8;2.3;0.0;8.5;8.5;489.9;89.7
27;2;1997;18215.0;1.3;3.8;18693.0;91.4;2.1;2.1;2.2;0.0;8.2;8.2;480.1;82.1
28;2;1998;18192.0;1.2;3.5;18648.0;82.9;2.1;2.2;2.0;0.0;8.0;8.0;456.5;73.8
29;2;1999;19073.0;1.2;3.3;19524.0;79.3;2.4;2.3;1.9;0.0;8.2;8.2;447.0;68.0
30;2;2000;18863.0;1.2;3.1;19296.0;74.5;1.7;2.4;1.8;0.0;7.6;7.6;431.7;62.6
31;2;2001;18710.0;1.2;2.9;19132.0;70.1;0.7;2.4;1.7;0.0;8.2;8.2;409.8;56.7
32;2;2002;18905.0;1.1;2.8;19317.0;64.8;0.8;2.4;1.6;0.0;8.2;8.2;393.8;51.6
33;2;2003;19159.0;1.1;2.7;19560.0;60.3;0.4;2.4;1.5;0.0;8.0;8.0;382.6;48.3
