ID;BedrijfstakkenBranchesSBI2008;GebruikOpenbareWifi_1;ZakelijkEnPriveGebruikVanApparaten_2;AantalGewerkteUren_3;Omzetaandeel50VanEenOpdrachtgever_4;GebruikICTVoorzieningOpdrachtgever_5;EenKlantOpdrachtgever_6;TweeKlantenOpdrachtgevers_7;DrieOfMeerKlantenOpdrachtgevers_8;MinderDan10VanDeTijd_9;k_10Tot50VanDeTijd_10;k_50Tot90VanDeTijd_11;TenMinste90VanDeTijd_12;DoorExterneLeverancierUitgevoerd_13;ZelfUitgevoerd_14;DoorExterneLeverancierZelfUitgevoerd_15;OnbekendOfNVT_16;InternetVast_17;MinderDan30MbitS_18;k_30Tot100MbitS_19;k_100Tot500MbitS_20;k_500MbitSTot1GbitS_21;TenMinste1GbitS_22;SnelheidVasteVerbindingVoldoende_23;BedrijvenMetWebsite_24;MobieleAppVoorKlanten_25;WebsiteAppHeeftPlatformfunctie_26;Websiteweetniet_27;ClouddienstenGebruikt_28;EMail_29;OfficeSoftware_30;OpslagDatabases_31;BestandenOpslaan_32;BoekhoudingSoftware_33;ERPSoftware_34;KlantbeheerSoftware_35;Veiligheidssoftware_36;Rekenkracht_37;Rekenplatform_38;BestandenOfDatabasesOpslag_39;VerwerkIndividuenGegevensMetAI_40;ControleerMogelijkeAIVertekening_41;AntiVirussoftware_42;BeleidVoorSterkeWachtwoorden_43;BiometrischeMethoden_44;AuthenticatieViaSoftOfHardwaretoken_45;EncryptieVanData_46;GegevensOpAndereFysiekeLocatie_47;NetworkAccessControl_48;VPNInternetgebruikBuitenHetBedrijf_49;LogbestandenVoorAnalyseIncidenten_50;MethodesVoorBeoordelenICTVeiligheid_51;Risicoanalyses_52;ICTBeveiligingsmonitoringsysteem_53;IncidentMetInterneOorzaakGehad_54;IncidentDoorAanvalVanBuitenGehad_55;UitvalICTDienstDoorVeiligheidsinc_56;VernietigingDataDoorVeiligheidsinc_57;OnthullingDoorInternIncident_58;UitvalICTDienstDoorAanvalBuitenaf_59;VernietigingDataAanvalVanBuitenaf_60;OnthullingGegevensDoorICTInbraak_61;KostenIncidentInternGehad_62;KostenIncidentAanvalBuitenafGehad_63;UitvalICTDienstDoorVeiligheidsinc_64;VernietigingDataDoorVeiligheidsinc_65;OnthullingDoorInternIncident_66;UitvalICTDienstDoorAanvalBuitenaf_67;VernietigingDataAanvalBuitenaf_68;OnthullingDoorICTInbraak_69;RansomwareAanvalGehad_70;ICTSystemenZijnGeblokkeerd_71;BedrijfsinformatieIsGestolen_72;LosgeldBetaald_73;ICTSystemen_74;Bedrijfsgegevens_75;AndereKostenRansomwareAanvalGehad_76;Politie_77;Cybersecurity_78;VerzekeringICTVeiligheidsincidenten_79;GezochtNaarMeldingenCyberdreigingen_80;BekendMetDTC_81;DTCWebsiteAlsBronGebruikt_82;KlantenInNederland_83;KlantenInAndereEULanden_84;KlantenInLandenBuitenDeEU_85;FysiekeGoederen_86;DigitaleGoederenOfDiensten_87;NietDigitaleDiensten_88;FysiekeGoederen_89;DigitaleGoederenOfDiensten_90;NietDigitaleDiensten_91;FysiekeGoederen_92;DigitaleGoederenOfDiensten_93;NietDigitaleDiensten_94;FysiekeGoederen_95;DigitaleGoederenOfDiensten_96;NietDigitaleDiensten_97
0;Totaal C-N en Q;18.0;73.0;32.0;29.0;30.0;15.0;13.0;73.0;41.0;24.0;16.0;19.0;10.0;37.0;2.0;51.0;76.0;5.0;20.0;24.0;18.0;9.0;74.0;37.0;2.0;8.0;0.0;26.0;20.0;16.0;13.0;22.0;14.0;1.0;5.0;14.0;2.0;1.0;23.0;0.0;0.0;77.0;65.0;42.0;52.0;28.0;59.0;23.0;22.0;17.0;11.0;13.0;20.0;7.0;4.0;6.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;14.0;12.0;24.0;6.0;5.0;7.0;2.0;;;;;;;;;;;;;;;
1;10-12 Voedings-, genotmiddelenindustrie;23.0;84.0;27.0;23.0;8.0;19.0;11.0;69.0;0.0;55.0;45.0;0.0;0.0;39.0;0.0;61.0;68.0;8.0;19.0;18.0;18.0;5.0;60.0;37.0;5.0;0.0;0.0;8.0;5.0;6.0;3.0;6.0;2.0;0.0;0.0;3.0;0.0;0.0;6.0;0.0;0.0;61.0;58.0;32.0;37.0;24.0;40.0;19.0;18.0;10.0;8.0;15.0;8.0;6.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;2.0;5.0;6.0;0.0;;;;;;;;;;;;;;;
2;13-15 Textiel-, kleding-, lederindustrie;11.0;80.0;24.0;11.0;3.0;15.0;8.0;77.0;36.0;33.0;25.0;7.0;10.0;20.0;2.0;69.0;79.0;13.0;13.0;31.0;20.0;2.0;79.0;57.0;2.0;0.0;0.0;10.0;7.0;7.0;3.0;8.0;3.0;0.0;0.0;5.0;0.0;0.0;10.0;0.0;0.0;77.0;52.0;23.0;23.0;8.0;39.0;5.0;11.0;8.0;3.0;3.0;11.0;2.0;2.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;5.0;2.0;;;;;;;;;;;;;;;
3;16-18 Hout-, papier-, grafische industr.;8.0;80.0;30.0;20.0;3.0;11.0;7.0;81.0;45.0;27.0;22.0;6.0;8.0;31.0;1.0;60.0;78.0;6.0;23.0;32.0;13.0;5.0;78.0;44.0;1.0;7.0;0.0;17.0;9.0;7.0;5.0;13.0;9.0;1.0;2.0;7.0;1.0;1.0;14.0;0.0;0.0;71.0;65.0;36.0;40.0;23.0;58.0;15.0;16.0;12.0;9.0;11.0;19.0;7.0;3.0;6.0;1.0;1.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;4.0;3.0;5.0;1.0;;;;;;;;;;;;;;;
4;19-21 Raffinaderijen en chemie;16.0;85.0;26.0;26.0;14.0;25.0;7.0;68.0;27.0;33.0;36.0;4.0;11.0;37.0;2.0;49.0;75.0;0.0;25.0;32.0;14.0;5.0;75.0;41.0;5.0;5.0;0.0;22.0;17.0;10.0;9.0;13.0;9.0;0.0;5.0;10.0;5.0;5.0;20.0;0.0;0.0;82.0;74.0;39.0;69.0;25.0;58.0;22.0;11.0;20.0;11.0;17.0;20.0;10.0;7.0;10.0;6.0;4.0;4.0;7.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;9.0;0.0;13.0;7.0;;;;;;;;;;;;;;;
5;22-23 Kunststof- en bouwmateriaalindustr;19.0;84.0;28.0;10.0;8.0;10.0;11.0;79.0;47.0;36.0;13.0;3.0;6.0;32.0;5.0;57.0;80.0;10.0;29.0;27.0;11.0;4.0;78.0;68.0;2.0;8.0;0.0;13.0;10.0;7.0;8.0;8.0;6.0;0.0;1.0;10.0;0.0;0.0;10.0;0.0;0.0;80.0;54.0;25.0;38.0;19.0;58.0;16.0;13.0;12.0;4.0;7.0;17.0;6.0;5.0;6.0;2.0;0.0;5.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;;;0.0;;;;4.0;4.0;2.0;0.0;;;;;;;;;;;;;;;
6;24-25 Basismetaal, metaalprod.-industrie;6.0;76.0;42.0;24.0;6.0;8.0;14.0;78.0;39.0;25.0;31.0;5.0;6.0;25.0;2.0;67.0;71.0;8.0;24.0;23.0;14.0;2.0;69.0;28.0;2.0;0.0;0.0;8.0;5.0;5.0;3.0;6.0;5.0;0.0;0.0;5.0;2.0;0.0;6.0;0.0;0.0;81.0;61.0;35.0;39.0;22.0;49.0;20.0;16.0;8.0;6.0;12.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;;;0.0;;;;5.0;3.0;5.0;0.0;;;;;;;;;;;;;;;
7;26-27 Elektrische en elektron. Industrie;13.0;72.0;31.0;25.0;23.0;17.0;10.0;73.0;37.0;23.0;30.0;10.0;6.0;48.0;2.0;45.0;88.0;6.0;27.0;32.0;17.0;7.0;88.0;48.0;1.0;5.0;0.0;27.0;18.0;13.0;17.0;19.0;15.0;1.0;3.0;11.0;3.0;2.0;23.0;0.0;0.0;87.0;76.0;38.0;54.0;40.0;65.0;33.0;29.0;21.0;12.0;12.0;21.0;12.0;5.0;10.0;1.0;3.0;3.0;2.0;4.0;2.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;2.0;;;0.0;;;;2.0;10.0;5.0;2.0;;;;;;;;;;;;;;;
8;28 Machine-industrie;11.0;68.0;37.0;44.0;21.0;9.0;16.0;75.0;46.0;40.0;14.0;0.0;16.0;39.0;0.0;46.0;91.0;7.0;32.0;28.0;14.0;11.0;84.0;37.0;0.0;5.0;0.0;28.0;23.0;21.0;14.0;21.0;16.0;0.0;0.0;23.0;4.0;4.0;23.0;0.0;0.0;88.0;74.0;40.0;42.0;35.0;60.0;32.0;26.0;26.0;9.0;16.0;28.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;4.0;0.0;0.0;0.0;;;;;;;;;;;;;;;
9;29-30 Transportmiddelenindustrie;13.0;66.0;35.0;16.0;15.0;11.0;13.0;76.0;59.0;22.0;13.0;6.0;8.0;40.0;2.0;50.0;71.0;8.0;21.0;31.0;7.0;4.0;68.0;45.0;2.0;0.0;0.0;17.0;11.0;9.0;9.0;12.0;5.0;0.0;1.0;6.0;1.0;0.0;15.0;0.0;0.0;77.0;56.0;23.0;36.0;16.0;51.0;10.0;13.0;1.0;6.0;9.0;13.0;4.0;7.0;4.0;1.0;0.0;3.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;;;0.0;;;;2.0;1.0;7.0;0.0;;;;;;;;;;;;;;;
