ID;Indelingen;Perioden;AantalBeursNvS_1;TotaalVermogen_2;TotaleVasteActiva_3;ImmaterieleVasteActiva_4;MaterieleActivaTbvBedrijfsuitoefening_5;MaterActNietTbvBedrijfsuitoefening_6;Deelnemingen_7;OverigeFinancieleVasteActiva_8;TotaleVlottendeActiva_9;Voorraden_10;KortlopendeVorderingen_11;LiquideMiddelen_12;Effecten_13;TotaalEigenVermogen_14;GewoonGestortEnOpgevraagdKapitaal_15;OverigGestortEnOpgevraagdKapitaal_16;Agioreserve_17;Herwaarderingsreserve_18;IngehoudenWinstEnOverigeReserves_19;TotaalVreemdVermogenLang_20;BelangVanDerden_21;TotaleVoorzieningen_22;Pensioenvoorzieningen_23;Belastingvoorzieningen_24;OverigeVoorzieningen_25;TotaalLanglopendeSchulden_26;AchtergesteldeLeningen_27;ConverteerbareObligatieleningen_28;OverigeObligatieleningen_29;Deelnemingen_30;Kredietinstellingen_31;OverigeLanglopendeSchulden_32;TotaalKortlopendeSchulden_33;AflossingsverplOpLanglopendeSchulden_34;Kredietinstellingen_35;Leveranciers_36;OverigeNietRentedragendeKortlSchuld_37;TotaleVermogen_38;TotaleVasteActiva_39;ImmaterieleVasteActiva_40;MaterieleActivaTbvBedrijfsuitoefening_41;MaterActNietTbvBedrijfsuitoefening_42;Deelnemingen_43;OverigeFinancieleVasteActiva_44;TotaleVlottendeActiva_45;Voorraden_46;KortlopendeVorderingen_47;LiquideMiddelen_48;Effecten_49;TotaalEigenVermogen_50;GewoonGestortEnOpgevraagdKapitaal_51;OverigGestortEnOpgevraagdKapitaal_52;Agioreserve_53;Herwaarderingsreserve_54;IngehoudenWinstEnOverigeReserves_55;TotaalVreemdVermogenLang_56;BelangVanDerden_57;TotaleVoorzieningen_58;Pensioenvoorzieningen_59;Belastingvoorzieningen_60;OverigeVoorzieningen_61;LanglopendeSchulden_62;AchtergesteldeLeningen_63;ConverteerbareObligatieleningen_64;OverigeObligatieleningen_65;Deelnemingen_66;Kredietinstellingen_67;OverigeLanglopendeSchulden_68;TotaleKortlopendeSchulden_69;AflossingsverplOpLanglopendeSchulden_70;Kredietinstellingen_71;Leveranciers_72;OverigeNietRentedragendeKortlSchuld_73;NettoOmzetEnOverigeBedrijfsopbrengst_74;KostenVanDeOmzet_75;Afschrijvingen_76;Personeelskosten_77;Bedrijfsresultaat_78;TotaleFinancieleResultaten_79;ResultaatDeelnemingen_80;Rentebaten_81;Rentelasten_82;OverigeFinancieleResultaten_83;BuitengewoneBaten_84;BuitengewoneLasten_85;ResultaatVoorBelastingen_86;Belastingen_87;ResultaatNaBelastingen_88;AandeelVanDerden_89;Nettoresultaat_90;TotaleDividend_91;ContantDividend_92;KeuzeDividend_93;OverigeUitkeringen_94;Reserveringen_95;NettoOmzetEnOverigeBedrijfsopbrengst_96;KostenVanDeOmzet_97;Afschrijvingen_98;Personeelskosten_99;Bedrijfsresultaat_100;TotaleFinancieleResultaten_101;ResultaatDeelnemingen_102;Rentebaten_103;Rentelasten_104;OverigeFinancieleResultaten_105;BuitengewoneBaten_106;BuitengewoneLasten_107;ResultaatVoorBelastingen_108;Belastingen_109;ResultaatNaBelastingen_110;AandeelVanDerden_111;Nettoresultaat_112;TotaleDividend_113;ContantDividend_114;KeuzeDividend_115;OverigeUitkeringen_116;Reserveringen_117;Verslagjaar_118;VorigJaar_119;KostenvoetRentedragendVreemdVermogen_120;RentabiliteitEigenVermogen_121;RentabiliteitTotaleVermogen_122;Solvabiliteit_123;OmzetPerWerknemer_124
0;Alle niet-financiële beurs-nv's;1977;152.0;73167.9;31710.3;655.3;26904.8;504.7;2502.2;1143.3;41456.9;19367.7;16216.9;5872.3;;24458.0;4117.2;273.5;1056.9;2014.7;16995.7;21673.0;2047.4;7625.1;2326.7;3283.8;2014.6;12000.5;436.1;534.1;3318.1;93.2;;7619.0;27037.0;1211.0;3635.9;9899.9;12290.2;67962.3;28325.8;542.3;23912.4;482.0;2174.2;1214.9;39636.2;17838.7;15358.6;6438.9;;22887.0;4070.6;273.5;1004.0;1884.5;15654.4;45075.3;1808.8;7069.9;2054.4;3014.8;2000.7;11351.8;281.4;540.3;3258.8;83.5;;7187.8;24844.8;1234.0;3170.9;9429.2;11010.7;89900.7;-61573.8;-2964.7;-19638.7;5723.6;157.5;608.4;586.5;-1546.8;2.5;822.5;-315.6;5881.3;-3226.5;2654.8;311.2;2343.8;-1111.5;-1096.0;-15.5;-31.0;1200.2;84623.2;-56656.4;-2814.2;-18745.4;6408.1;-3.5;280.8;613.4;-1465.2;4.4;844.5;-281.4;6403.4;-3604.8;2799.1;279.4;2519.8;-1053.3;-1034.3;-19.0;-24.9;1440.7;;;9.4;9.9;10.5;33.5;0.0
1;Alle niet-financiële beurs-nv's;1978;147.0;76453.6;33499.5;711.2;28364.1;518.5;2656.3;1249.4;42953.1;19917.7;17199.9;5835.5;;24442.5;4175.1;274.7;1130.0;1946.9;16915.8;22813.9;2309.8;8109.0;2371.4;3518.4;2219.2;12395.1;469.6;525.2;3320.4;76.9;;8003.0;29197.0;1381.8;3889.4;10135.5;13790.3;73330.6;31861.4;619.1;26979.5;512.0;2632.7;1118.1;41470.0;19435.4;16163.2;5871.4;;24370.9;4082.5;273.5;1054.7;2010.0;16950.2;48960.8;2054.5;7648.6;2212.7;3366.9;2069.0;12238.0;418.5;548.6;3384.3;98.5;;7788.1;27019.7;1228.7;3508.1;9775.4;12507.5;91241.0;-62163.5;-3110.6;-20545.9;5420.6;-12.0;439.5;603.0;-1626.0;4.7;841.9;-275.1;5407.9;-2926.7;2481.4;276.4;2205.1;-1136.1;-1119.4;-16.7;-32.9;1034.9;89440.6;-61005.1;-2993.1;-19554.7;5887.8;84.0;590.2;581.8;-1563.5;2.5;785.7;-312.7;5971.9;-3248.3;2723.8;319.9;2403.9;-1112.1;-1092.4;-19.7;-34.3;1256.6;;;9.3;9.0;9.4;32.6;0.0
2;Alle niet-financiële beurs-nv's;1979;138.0;89632.5;40041.0;2849.9;31884.6;497.5;3606.9;1202.1;49590.2;23674.7;19962.4;5953.1;;28561.4;4238.6;273.8;1106.2;2134.6;20808.2;27715.4;2583.1;10039.2;2614.4;4730.5;2694.3;15093.1;584.5;485.1;3358.5;450.0;;10215.0;33355.9;1233.1;5063.0;12407.8;14652.0;77691.2;34244.1;713.4;28561.4;468.8;3249.9;1250.6;43446.6;20731.1;16861.8;5853.7;;24613.0;4209.7;274.6;1106.1;1899.4;17123.2;53078.3;2326.8;8211.7;2341.7;3621.0;2249.0;12851.7;582.3;515.1;3446.9;189.5;;8117.9;29688.1;1256.5;3931.9;10416.0;14083.7;104689.5;-70482.9;-3515.6;-22282.5;8409.1;429.7;733.1;811.1;-1958.3;10.6;997.2;-164.0;8838.4;-3864.6;4974.4;365.9;4608.5;-1269.2;-1266.6;-2.6;-27.3;3311.2;90965.6;-61723.4;-3132.7;-20680.6;5428.7;-22.2;439.2;628.8;-1643.3;9.7;829.2;-285.8;5406.4;-2892.1;2514.3;281.5;2232.9;-1141.5;-1123.8;-17.7;-32.6;1057.6;;;9.9;17.3;12.9;31.8;0.0
3;Alle niet-financiële beurs-nv's;1980;134.0;103084.6;48117.0;3567.5;38392.2;500.4;4032.4;1624.5;54966.0;27479.7;21161.0;6325.3;;33928.7;4276.5;277.5;1098.4;2865.2;25411.1;31924.8;3242.0;12154.0;2816.7;6095.5;3241.8;16528.8;609.1;467.5;3479.9;515.7;;11456.6;37231.0;1760.2;6396.0;12422.1;16652.7;89440.7;39811.2;2845.5;31903.6;527.2;3143.2;1391.7;49628.9;23632.0;20037.3;5959.6;;28533.8;4232.9;273.8;1109.4;2177.8;20739.9;60908.0;2589.1;9953.7;2616.5;4737.3;2599.9;14870.1;552.7;467.5;3313.2;435.8;;10100.9;33495.1;1345.6;5178.2;12276.1;14695.2;119828.9;-82920.1;-4076.7;-23979.3;8853.0;-650.0;1130.6;909.0;-2406.9;5.1;169.2;-457.0;8202.6;-4431.0;3771.4;425.6;3345.9;-1341.6;-1334.7;-6.9;-1.8;2002.0;104823.5;-70903.9;-3507.3;-22001.7;8411.0;458.0;740.8;815.4;-1958.2;5.6;1009.1;-154.7;8868.8;-3867.1;5002.2;366.6;4635.6;-1270.9;-1268.3;-2.6;-2.2;3361.7;;;10.4;10.7;11.0;32.4;0.0
4;Alle niet-financiële beurs-nv's;1981;127.0;110896.5;51356.9;3789.3;41066.3;504.2;4203.0;1794.1;59539.2;27794.0;23752.8;7992.4;;35409.0;4291.8;276.9;1210.3;3387.4;26242.6;35224.5;3348.4;13560.6;2894.0;7013.5;3653.1;18315.5;671.3;434.0;3878.7;293.2;;13038.3;40263.0;1930.1;6743.0;13592.1;17997.8;102062.9;47814.6;3552.4;38289.9;484.8;3924.6;1562.9;54245.5;26622.6;21278.3;6344.6;;33891.4;4217.4;275.9;1059.2;2935.4;25403.5;68173.1;3231.0;12208.2;2811.6;6179.7;3216.9;16431.0;589.9;465.2;3466.6;503.4;;11405.9;36302.9;1749.5;6548.3;12186.0;15819.1;137797.8;-96597.1;-4500.6;-25749.4;10950.3;-1388.4;842.8;1158.2;-3238.3;4.7;156.3;-312.1;9562.1;-5927.6;3634.6;299.2;3335.5;-1444.4;-1439.9;-4.5;-4.0;1886.5;117494.4;-81188.5;-4043.3;-23063.9;9198.8;-733.9;1123.6;912.9;-2470.7;5.4;180.3;-485.4;8465.0;-4578.1;3886.7;436.1;3450.7;-1262.5;-1248.8;-13.7;-5.1;2182.3;;;12.5;9.6;12.0;32.5;0.0
5;Alle niet-financiële beurs-nv's;1982;122.0;115637.7;57738.4;4655.4;46035.2;340.7;4782.2;1924.9;57898.2;26148.9;22739.8;9009.5;;38352.9;4178.0;273.0;1179.7;3765.7;28956.5;39427.0;4074.9;15268.6;2734.6;8416.7;4117.3;20083.5;1028.7;261.4;4497.9;920.8;;13374.7;37857.8;2018.9;6535.5;12903.6;16399.8;110889.6;53278.2;4188.4;42380.3;382.2;4365.0;1962.3;57611.6;26852.8;23172.7;7586.1;;36847.4;4156.0;276.9;1173.6;3484.8;27756.1;74043.4;3676.9;13761.0;2604.2;7277.6;3879.2;18745.2;673.7;431.0;3811.3;795.4;;13033.8;37860.3;1825.2;6794.8;12798.2;16442.1;146372.8;-103894.7;-5205.9;-25992.2;11280.1;-921.4;1127.6;1239.5;-3159.3;5.8;136.8;-271.8;10358.9;-6206.9;4151.8;522.8;3629.0;-1515.6;-1497.3;-18.3;-3.1;2109.9;143091.3;-101201.7;-4688.5;-25502.4;11698.6;-1285.7;977.3;1184.8;-3286.1;6.3;115.1;-283.1;10412.5;-6173.3;4239.4;531.5;3708.1;-1465.3;-1450.3;-15.0;-4.0;2238.1;;;11.4;9.7;11.9;33.2;0.0
6;Alle niet-financiële beurs-nv's;1983;117.0;130084.6;65157.8;101.6;56781.3;339.4;5971.3;1964.2;64925.8;27241.3;25128.1;12556.4;;44202.5;4514.5;272.1;1469.2;4022.5;33924.2;44026.4;4949.2;17661.4;3055.1;10282.3;4324.0;21415.8;1104.5;348.0;4902.0;1036.1;;14025.2;41855.6;2617.0;5958.3;14486.4;18793.9;115546.1;58043.7;127.6;50534.1;354.5;5317.8;1709.7;57502.9;26125.7;22225.9;9151.3;;38327.9;4168.2;272.7;1177.5;3800.5;28909.0;77219.7;4074.8;14878.7;2754.2;8165.8;3958.7;20186.4;1026.5;380.4;4415.8;900.6;;13463.1;38079.8;2333.6;5876.6;12794.3;17075.3;150211.7;-105163.6;-5797.0;-26762.4;12488.6;-562.2;1053.7;1224.3;-2870.4;31.2;247.8;-248.8;11926.2;-6549.1;5377.3;554.2;4823.1;-1721.0;-1705.9;-15.1;-4.0;3097.8;144749.9;-102665.8;-5127.4;-25946.1;11010.4;-864.4;1095.8;1222.6;-3156.8;22.6;260.7;-309.3;10146.1;-5974.6;4171.2;510.5;3660.7;-1507.8;-1497.8;-10.0;-3.1;2149.5;;;9.9;11.7;12.0;33.6;0.0
7;Alle niet-financiële beurs-nv's;1984;117.0;141090.5;74068.0;33.7;65839.5;201.7;6108.8;1884.3;67022.2;25229.2;29468.7;12324.3;;51805.5;4765.9;281.2;1797.4;4421.2;40539.8;45093.6;3040.2;19661.8;3512.5;11368.6;4780.7;22391.6;1376.7;350.8;4413.1;336.8;;15914.2;44191.4;3485.4;6888.4;12791.2;21026.4;126416.7;64374.0;49.2;57426.9;207.1;5304.6;1386.2;62043.0;22932.6;26716.9;12393.5;;44237.0;4527.7;272.2;1469.4;3962.1;34005.6;82180.7;4913.6;17647.1;3197.1;10346.9;4103.1;20552.1;1080.7;219.4;4752.8;107.1;;14392.1;39067.9;2606.7;6560.6;11217.2;18683.4;173442.0;-124474.8;-6827.2;-26439.6;15700.8;725.4;2595.8;1527.9;-3606.4;279.4;139.8;-211.1;16425.9;-9181.6;7244.2;386.4;6857.7;-2132.9;-2123.8;-9.1;-5.3;4719.3;150481.4;-107179.9;-5675.2;-24853.6;12772.7;511.1;2288.2;1294.3;-3260.7;268.1;99.7;-178.5;13283.5;-7875.7;5408.0;557.5;4850.6;-1725.9;-1724.2;-1.7;-3.3;3121.2;1033.6;;11.5;14.3;15.0;35.9;167.8
8;Alle niet-financiële beurs-nv's;1985;111.0;128962.4;68880.0;69.7;61238.3;187.3;5745.1;1639.6;60082.1;20564.4;28015.9;11501.8;;48650.3;4951.4;319.7;2402.6;4312.3;36664.3;40675.2;2180.9;19477.8;3784.8;10622.0;5071.0;19016.5;1319.0;445.3;4506.1;6.4;;12739.7;39636.7;3583.0;4995.1;11068.4;19990.2;138638.3;73539.3;33.9;65369.3;206.3;6081.3;1848.5;65099.0;24151.5;28729.6;12217.9;;51203.2;4703.7;318.2;1799.8;4346.8;40034.7;87435.2;3008.3;19425.1;3512.3;11281.7;4631.1;22008.3;1376.6;392.5;4498.1;255.8;;15485.3;42993.5;3388.6;6455.3;11993.8;21155.8;171778.7;-120658.2;-7389.2;-28875.3;14856.1;171.2;2555.1;1678.7;-3465.5;-270.9;82.4;-408.6;15027.2;-8686.3;6340.9;186.5;6154.5;-2491.5;-2490.2;-1.3;-3.3;3659.7;168981.6;-118570.0;-6868.9;-28024.8;15517.8;851.1;2607.1;1525.9;-3447.9;264.2;165.3;-263.5;16368.9;-9214.9;7153.8;372.1;6781.6;-2111.0;-2109.7;-1.3;-2.3;4668.1;1013.4;1012.2;11.6;12.3;13.8;37.3;169.5
9;Alle niet-financiële beurs-nv's;1986;115.0;123502.5;67395.6;164.0;56804.4;169.9;8669.9;1587.4;56105.9;18388.1;23417.7;14300.1;;46196.2;5209.0;320.7;3111.0;4500.5;33055.0;37133.3;2116.1;17936.6;3870.7;9156.1;4909.8;17080.6;1456.4;401.1;5292.3;9.0;;9921.8;40173.0;5146.0;4404.3;9324.8;21297.9;130016.0;69401.7;95.9;61682.9;208.8;5737.3;1676.8;60614.8;21011.4;28056.4;11547.0;;49090.2;4981.8;319.5;2550.7;4567.1;36671.1;80926.7;2180.1;19617.3;3742.3;10693.4;5181.6;18977.7;1320.2;431.6;5827.7;11.7;;11386.5;40151.6;3609.6;4902.0;11291.3;20348.7;136631.7;-92468.7;-6824.8;-27202.2;10136.5;-153.1;1582.1;1287.6;-2857.2;86.3;43.7;-295.6;9982.9;-4526.3;5456.7;179.4;5277.0;-2552.0;-2520.1;-31.9;-15.2;2709.6;172797.4;-120938.6;-7805.2;-29034.1;15019.8;45.6;2569.9;1626.8;-3728.8;97.0;44.6;-563.9;15065.1;-8701.5;6363.5;174.9;6188.6;-2505.6;-2478.9;-26.7;-14.2;3668.6;1034.6;1023.3;10.5;11.1;10.1;37.6;132.1
