ID;Feedstocks;Destination;Periods;TotalSupply_1;IndigenousProduction_2;ProductionFromOtherSources_3;Imports_4;Exports_5;StockChange_6;TotalConsumption_7;Processing_8;FinalConsumption_9;OpeningStock_10;ClosingStock_11;StockChange_12
0;Total crude;Total for processing and transit;1944;;2.0;;;;;;;;;;
1;Total crude;Total for processing and transit;1945;;6.0;;;;;;;;;;
2;Total crude;Total for processing and transit;1946;;63.0;;;;;;;;;;
3;Total crude;Total for processing and transit;1947;;213.0;;;;;;;;;;
4;Total crude;Total for processing and transit;1948;;496.0;;;;;;;;;;
5;Total crude;Total for processing and transit;1949;;621.0;;;;;;;;;;
6;Total crude;Total for processing and transit;1950;;705.0;;;;;;;;;;
7;Total crude;Total for processing and transit;1951;;714.0;;;;;;;;;;
8;Total crude;Total for processing and transit;1952;;715.0;;;;;;;;;;
9;Total crude;Total for processing and transit;1953;;820.0;;;;;;;;;;
10;Total crude;Total for processing and transit;1954;;939.0;;;;;;;;;;
11;Total crude;Total for processing and transit;1955;;1024.0;;;;;;;;;;
12;Total crude;Total for processing and transit;1956;;1097.0;;;;;;;;;;
13;Total crude;Total for processing and transit;1957;;1523.0;;;;;;;;;;
14;Total crude;Total for processing and transit;1958;;1621.0;;;;;;;;;;
15;Total crude;Total for processing and transit;1959;;1773.0;;;;;;;;;;
16;Total crude;Total for processing and transit;1960;;1918.0;;;;;;;;;;
17;Total crude;Total for processing and transit;1961;;2047.0;;;;;;;;;;
18;Total crude;Total for processing and transit;1962;;2157.0;;;;;;;;;;
19;Total crude;Total for processing and transit;1963;;2215.0;;;;;;;;;;
20;Total crude;Total for processing and transit;1964;;2269.0;;;;;;;;;;
21;Total crude;Total for processing and transit;1965;;2395.0;;;;;;;;;;
22;Total crude;Total for processing and transit;1966;;2366.0;;;;;;;;;;
23;Total crude;Total for processing and transit;1967;;2265.0;;;;;;;;;;
24;Total crude;Total for processing and transit;1968;;2147.0;;;;;;;;;;
25;Total crude;Total for processing and transit;1969;;2020.0;;;;;;;;;;
26;Total crude;Total for processing and transit;1970;;1919.0;;;;;;;;;;
27;Total crude;Total for processing and transit;1971;;1714.0;;;;;;;;;;
28;Total crude;Total for processing and transit;1972;;1637.0;;;;;;;;;;
29;Total crude;Total for processing and transit;1973;;1556.0;;;;;;;;;;
30;Total crude;Total for processing and transit;1974;;1575.0;;;;;;;;;;
31;Total crude;Total for processing and transit;1975;;1573.0;;;;;;;;;;
32;Total crude;Total for processing and transit;1976;;1546.0;;;;;;;;;;
33;Total crude;Total for processing and transit;1977;;1598.0;;;;;;;;;;
34;Total crude;Total for processing and transit;1978;;1520.0;;99124.0;43382.0;;57457.0;57457.0;;;;
35;Total crude;Total for processing and transit;1979;;1581.0;;114091.0;55053.0;;60447.0;60447.0;;;;
36;Total crude;Total for processing and transit;1980;50531.0;1568.0;;100635.0;50334.0;-1338.0;50531.0;50531.0;;7353.0;8691.0;-1338.0
37;Total crude;Total for processing and transit;1981;40752.0;1606.0;;81738.0;44037.0;1444.0;40752.0;40752.0;;7984.0;6540.0;1444.0
38;Total crude;Total for processing and transit;1982;39578.0;1894.0;;76770.0;40114.0;1027.0;39578.0;39578.0;;6539.0;5511.0;1027.0
39;Total crude;Total for processing and transit;1983;43668.0;2900.0;;71164.0;31590.0;1194.0;43668.0;43668.0;;5511.0;4317.0;1194.0
40;Total crude;Total for processing and transit;1984;47815.0;3432.0;;76133.0;31324.0;-427.0;47815.0;47815.0;;4317.0;4744.0;-427.0
41;Total crude;Total for processing and transit;1985;42635.0;4069.0;;68659.0;28666.0;-1427.0;42635.0;42635.0;;4744.0;6171.0;-1427.0
42;Total crude;Total for processing and transit;1986;50160.0;4995.0;;75348.0;29912.0;-271.0;50160.0;50160.0;;6171.0;6442.0;-271.0
43;Total crude;Total for processing and transit;1987;51773.0;4663.0;;75398.0;27559.0;-730.0;51773.0;51773.0;;6442.0;7172.0;-730.0
44;Total crude;Total for processing and transit;1988;54320.0;4271.0;;82601.0;33350.0;797.0;54320.0;54320.0;;7098.0;6301.0;797.0
45;Total crude;Total for processing and transit;1989;54241.0;3814.0;;86158.0;35123.0;-608.0;54241.0;54241.0;;6301.0;6910.0;-608.0
46;Total crude;Total for processing and transit;1990;51919.0;4076.0;;85728.0;37895.0;-22.0;51919.0;49693.0;2226.0;6179.0;6201.0;-22.0
47;Total crude;Total for processing and transit;1991;55833.0;3908.0;;96736.0;45361.0;548.0;55833.0;53576.0;2257.0;6201.0;5653.0;548.0
48;Total crude;Total for processing and transit;1992;57547.0;3564.0;;98964.0;43735.0;-1226.0;57547.0;55374.0;2173.0;5653.0;6879.0;-1226.0
49;Total crude;Total for processing and transit;1993;58804.0;3536.0;;99582.0;44915.0;643.0;58804.0;56048.0;2755.0;6879.0;6236.0;643.0
50;Total crude;Total for processing and transit;1994;59050.0;4618.0;;99990.0;45189.0;-386.0;59050.0;56081.0;2969.0;6236.0;6622.0;-386.0
