ID;TypeWerkenden;BedrijfstakkenBranchesSBI2008;Perioden;WerkzamePersonen_1;WerkzamePersonenSeizoengecorrigeerd_2;Banen_3;BanenSeizoengecorrigeerd_4;GewerkteUren_5;GewerkteUrenSeizoengecorrigeerd_6
0;Totaal;A-U Alle economische activiteiten;1995 1e kwartaal;7127.0;7210.0;7902.0;7991.0;2740.0;2586.0
1;Totaal;A-U Alle economische activiteiten;1995 2e kwartaal;7269.0;7244.0;8059.0;8030.0;2633.0;2666.0
2;Totaal;A-U Alle economische activiteiten;1995 3e kwartaal;7359.0;7293.0;8158.0;8086.0;2440.0;2716.0
3;Totaal;A-U Alle economische activiteiten;1995 4e kwartaal;7347.0;7356.0;8147.0;8159.0;2950.0;2794.0
4;Totaal;A-U Alle economische activiteiten;1995;7276.0;;8066.0;;10763.0;
5;Totaal;A-U Alle economische activiteiten;1996 1e kwartaal;7275.0;7360.0;8086.0;8176.0;2829.0;2713.0
6;Totaal;A-U Alle economische activiteiten;1996 2e kwartaal;7431.0;7403.0;8259.0;8227.0;2720.0;2742.0
7;Totaal;A-U Alle economische activiteiten;1996 3e kwartaal;7516.0;7447.0;8350.0;8275.0;2516.0;2787.0
8;Totaal;A-U Alle economische activiteiten;1996 4e kwartaal;7488.0;7504.0;8314.0;8331.0;3035.0;2857.0
9;Totaal;A-U Alle economische activiteiten;1996;7427.0;;8252.0;;11099.0;
10;Totaal;A-U Alle economische activiteiten;1997 1e kwartaal;7482.0;7566.0;8282.0;8373.0;2881.0;2816.0
11;Totaal;A-U Alle economische activiteiten;1997 2e kwartaal;7655.0;7625.0;8466.0;8433.0;2850.0;2829.0
12;Totaal;A-U Alle economische activiteiten;1997 3e kwartaal;7763.0;7691.0;8581.0;8503.0;2569.0;2837.0
13;Totaal;A-U Alle economische activiteiten;1997 4e kwartaal;7725.0;7736.0;8540.0;8554.0;3032.0;2850.0
14;Totaal;A-U Alle economische activiteiten;1997;7656.0;;8467.0;;11331.0;
15;Totaal;A-U Alle economische activiteiten;1998 1e kwartaal;7677.0;7771.0;8509.0;8610.0;2990.0;2878.0
16;Totaal;A-U Alle economische activiteiten;1998 2e kwartaal;7852.0;7817.0;8703.0;8666.0;2867.0;2885.0
17;Totaal;A-U Alle economische activiteiten;1998 3e kwartaal;7936.0;7864.0;8795.0;8717.0;2619.0;2911.0
18;Totaal;A-U Alle economische activiteiten;1998 4e kwartaal;7886.0;7908.0;8741.0;8770.0;3095.0;2897.0
19;Totaal;A-U Alle economische activiteiten;1998;7838.0;;8687.0;;11572.0;
20;Totaal;A-U Alle economische activiteiten;1999 1e kwartaal;7909.0;7996.0;8760.0;8851.0;3049.0;2945.0
21;Totaal;A-U Alle economische activiteiten;1999 2e kwartaal;8078.0;8042.0;8947.0;8911.0;2935.0;2966.0
22;Totaal;A-U Alle economische activiteiten;1999 3e kwartaal;8154.0;8081.0;9031.0;8950.0;2669.0;2980.0
23;Totaal;A-U Alle economische activiteiten;1999 4e kwartaal;8111.0;8120.0;8981.0;8987.0;3243.0;3004.0
24;Totaal;A-U Alle economische activiteiten;1999;8063.0;;8930.0;;11895.0;
25;Totaal;A-U Alle economische activiteiten;2000 1e kwartaal;8041.0;8136.0;8887.0;8996.0;3186.0;2993.0
26;Totaal;A-U Alle economische activiteiten;2000 2e kwartaal;8226.0;8188.0;9088.0;9050.0;3017.0;3033.0
27;Totaal;A-U Alle economische activiteiten;2000 3e kwartaal;8310.0;8238.0;9177.0;9096.0;2652.0;2979.0
28;Totaal;A-U Alle economische activiteiten;2000 4e kwartaal;8265.0;8282.0;9120.0;9130.0;3148.0;2998.0
29;Totaal;A-U Alle economische activiteiten;2000;8210.0;;9068.0;;12003.0;
30;Totaal;A-U Alle economische activiteiten;2001 1e kwartaal;8235.0;8326.0;9046.0;9154.0;3194.0;3023.0
31;Totaal;A-U Alle economische activiteiten;2001 2e kwartaal;8396.0;8358.0;9216.0;9179.0;3016.0;3037.0
32;Totaal;A-U Alle economische activiteiten;2001 3e kwartaal;8463.0;8392.0;9286.0;9206.0;2708.0;3044.0
33;Totaal;A-U Alle economische activiteiten;2001 4e kwartaal;8390.0;8413.0;9205.0;9222.0;3236.0;3049.0
34;Totaal;A-U Alle economische activiteiten;2001;8371.0;;9188.0;;12154.0;
35;Totaal;A-U Alle economische activiteiten;2002 1e kwartaal;8339.0;8423.0;9142.0;9240.0;3167.0;3031.0
36;Totaal;A-U Alle economische activiteiten;2002 2e kwartaal;8471.0;8431.0;9288.0;9246.0;2997.0;3026.0
37;Totaal;A-U Alle economische activiteiten;2002 3e kwartaal;8496.0;8435.0;9314.0;9246.0;2727.0;3023.0
38;Totaal;A-U Alle economische activiteiten;2002 4e kwartaal;8408.0;8440.0;9218.0;9244.0;3201.0;3012.0
39;Totaal;A-U Alle economische activiteiten;2002;8428.0;;9241.0;;12093.0;
40;Totaal;A-U Alle economische activiteiten;2003 1e kwartaal;8353.0;8414.0;9140.0;9214.0;3156.0;3008.0
41;Totaal;A-U Alle economische activiteiten;2003 2e kwartaal;8421.0;8390.0;9217.0;9184.0;2954.0;2985.0
42;Totaal;A-U Alle economische activiteiten;2003 3e kwartaal;8421.0;8363.0;9224.0;9157.0;2696.0;2984.0
43;Totaal;A-U Alle economische activiteiten;2003 4e kwartaal;8332.0;8355.0;9126.0;9152.0;3150.0;2979.0
44;Totaal;A-U Alle economische activiteiten;2003;8381.0;;9177.0;;11956.0;
45;Totaal;A-U Alle economische activiteiten;2004 1e kwartaal;8210.0;8279.0;9037.0;9117.0;3159.0;3001.0
46;Totaal;A-U Alle economische activiteiten;2004 2e kwartaal;8320.0;8287.0;9160.0;9124.0;2926.0;2997.0
47;Totaal;A-U Alle economische activiteiten;2004 3e kwartaal;8348.0;8294.0;9195.0;9133.0;2695.0;3006.0
48;Totaal;A-U Alle economische activiteiten;2004 4e kwartaal;8252.0;8282.0;9093.0;9129.0;3210.0;2986.0
49;Totaal;A-U Alle economische activiteiten;2004;8283.0;;9121.0;;11990.0;
50;Totaal;A-U Alle economische activiteiten;2005 1e kwartaal;8257.0;8314.0;9119.0;9176.0;3110.0;2980.0
51;Totaal;A-U Alle economische activiteiten;2005 2e kwartaal;8372.0;8338.0;9245.0;9205.0;2970.0;2993.0
