ID;Periods;Expenditure_1;Revenue_2;Balance_3
0;2014 1st quarter;17317;21353;4036
1;2014 2nd quarter;17335;18109;774
2;2014 3rd quarter;17436;17256;-180
3;2014 4th quarter;26591;23017;-3574
4;2015 1st quarter;18448;21909;3460
5;2015 2nd quarter;18794;20277;1483
6;2015 3rd quarter;17649;17602;-47
7;2015 4th quarter;27245;24638;-2607
8;2016 1st quarter;17684;22171;4487
9;2016 2nd quarter;18235;19578;1343
10;2016 3rd quarter;17237;17835;598
11;2016 4th quarter;29662;26239;-3423
12;2017 1st quarter;17729;22663;4934
13;2017 2nd quarter;16893;18910;2017
14;2017 3rd quarter;18978;18260;-718
15;2017 4th quarter;25678;21985;-3693
16;2018 1st quarter;19873;25246;5373
17;2018 2nd quarter;18301;20077;1776
18;2018 3rd quarter;17588;16887;-701
19;2018 4th quarter;26245;22869;-3376
20;2019 1st quarter;19146;24468;5322
21;2019 2nd quarter;18803;19900;1097
22;2019 3rd quarter;19174;19101;-73
23;2019 4th quarter;26692;22563;-4129
24;2020 1st quarter;22917;30386;7469
25;2020 2nd quarter;19739;22244;2505
26;2020 3rd quarter;20831;20331;-500
27;2020 4th quarter;28471;23470;-5001
28;2021 1st quarter;21903;27866;5963
29;2021 2nd quarter;20486;22572;2086
30;2021 3rd quarter;20771;20424;-347
31;2021 4th quarter;27422;24124;-3298
32;2022 1st quarter;21613;28711;7098
33;2022 2nd quarter;21592;22892;1300
34;2022 3rd quarter;21603;21888;285
35;2022 4th quarter;29540;25443;-4097
36;2023 1st quarter;21470;30120;8650
37;2023 2nd quarter;21349;24427;3078
38;2023 3rd quarter;20367;23185;2818
39;2023 4th quarter;26465;25578;-887
40;2024 1st quarter;22951;32936;9985
