ID;Toepassingsgroepen;TeeltsectorenEnGewassen;Perioden;AantalBedrijven_1;PercentageBedrijven_2;GrootteOppervlakte_3;PercentageOppervlakte_4;Januari_5;Februari_6;Maart_7;April_8;Mei_9;Juni_10;Juli_11;Augustus_12;September_13;Oktober_14;November_15;December_16;Totaal_17;Januari_18;Februari_19;Maart_20;April_21;Mei_22;Juni_23;Juli_24;Augustus_25;September_26;Oktober_27;November_28;December_29;GebruikPerJaarPerHectare_30;DoseringPerJaarPerHectare_31
10;Totaal van alle werkzame stoffen;Totaal champignons;2012;35.0;26.7;17;25.5;2.1;2.1;2.8;3.7;3.7;13.6;5.4;11.4;11.4;22.0;19.0;19.7;40;0.4;0.5;0.4;4.9;3.6;13.7;0.8;5.6;3.0;14.3;18.3;34.6;0.6;2.4
11;Totaal van alle werkzame stoffen;Totaal champignons;2016;34.0;29.5;29;50.7;23.1;23.1;23.1;32.9;33.8;33.8;26.3;26.3;48.0;43.8;43.8;27.8;160;2.4;1.9;1.9;8.3;11.9;10.4;5.6;7.4;10.4;15.7;13.1;11.1;2.8;5.4
12;Totaal van alle werkzame stoffen;Totaal fruit open grond;2012;;;16070;99.7;75.5;75.6;97.5;95.8;81.3;81.8;88.1;85.9;68.4;95.6;95.4;96.9;462042;0.4;0.7;17.7;18.4;16.2;10.9;11.3;7.4;2.7;5.8;5.3;3.4;28.7;28.8
13;Totaal van alle werkzame stoffen;Totaal fruit open grond;2016;;;16455;98.0;4.6;5.1;57.9;96.9;98.6;93.3;93.3;85.8;60.3;59.6;34.0;15.7;499427;0.2;0.3;8.2;29.7;17.4;15.2;12.1;7.2;2.3;4.1;2.5;0.8;29.7;30.4
14;Totaal van alle werkzame stoffen;Totaal glasgroenten;2012;;;3833;97.9;49.9;56.8;71.2;80.1;85.5;81.1;90.8;87.4;87.9;82.1;44.6;43.4;45304;3.8;4.2;7.2;8.9;10.0;11.5;11.6;14.6;12.6;8.5;3.4;3.8;11.6;11.8
15;Totaal van alle werkzame stoffen;Totaal glasgroenten;2016;;;3872;99.0;58.2;57.8;67.4;82.1;84.6;86.3;85.7;86.5;87.4;76.5;51.7;60.9;48467;5.5;6.7;8.2;10.0;8.8;10.0;12.0;11.1;13.0;6.6;2.8;5.3;12.4;12.5
16;Totaal van alle werkzame stoffen;Totaal groenten open grond;2012;;;32176;92.2;7.1;12.6;30.6;30.4;64.4;64.9;68.8;59.8;53.0;30.0;20.3;14.8;145481;0.1;0.3;5.1;5.2;23.6;14.8;22.0;13.5;11.0;3.3;1.0;0.1;4.2;4.5
17;Totaal van alle werkzame stoffen;Totaal groenten open grond;2016;;;33022;93.3;2.9;3.4;13.1;43.8;68.4;70.5;71.1;66.4;52.1;24.1;8.6;3.4;129987;0.3;0.1;1.9;10.8;21.7;17.9;17.5;16.3;8.2;3.3;1.3;0.7;3.7;3.9
18;Totaal van alle werkzame stoffen;Aardbeien, onder glas;2012;282.0;100.0;288;100.0;39.1;83.5;87.3;76.5;61.5;32.6;39.8;69.5;79.5;77.2;69.3;59.4;5377;2.7;6.0;12.1;14.6;4.4;2.7;3.9;13.0;18.4;9.5;5.7;7.0;18.7;18.7
19;Totaal van alle werkzame stoffen;Aardbeien, onder glas;2016;245.0;97.0;333;99.1;67.7;81.9;90.0;92.1;74.3;45.7;41.5;76.7;86.2;70.7;70.7;59.6;7848;7.2;20.1;12.8;6.4;3.8;3.0;4.0;10.1;15.7;4.5;5.3;7.0;23.4;23.6
20;Totaal van alle werkzame stoffen;Aardbeien, productie;2012;356.0;83.1;1392;93.6;0.0;94.8;94.8;90.3;91.0;85.4;84.2;86.4;68.9;2.3;2.3;0.0;19864;0.0;1.1;4.8;5.0;16.7;26.8;25.2;18.0;2.3;0.1;0.1;0.0;13.4;14.3
21;Totaal van alle werkzame stoffen;Aardbeien, productie;2016;324.0;97.7;1360;99.9;0.0;31.0;59.6;89.3;97.2;90.0;92.1;82.4;35.6;18.1;7.7;0.0;13792;0.0;0.8;3.6;11.6;23.7;21.1;16.9;12.6;5.6;2.3;1.8;0.0;10.1;10.1
22;Totaal van alle werkzame stoffen;Appels;2012;1345.0;96.5;7917;99.6;79.6;68.0;94.9;94.9;90.0;90.1;92.1;86.0;77.3;91.0;91.0;95.9;255506;0.4;1.1;10.1;19.4;19.1;11.3;10.5;7.5;2.8;5.1;6.7;5.9;32.1;32.3
23;Totaal van alle werkzame stoffen;Appels;2016;1041.0;96.0;7124;97.0;6.7;11.3;68.1;98.1;98.1;95.1;93.4;83.5;67.1;65.9;51.9;26.9;227022;0.2;0.7;6.3;28.9;18.5;15.1;12.9;7.6;1.5;3.2;3.8;1.3;30.9;31.9
24;Totaal van alle werkzame stoffen;Totaal asperges;2012;590.0;82.5;2527;87.3;0.0;0.0;0.5;0.7;49.1;43.0;73.5;47.2;44.8;0.0;0.0;0.0;13708;0.0;0.0;0.0;0.2;7.5;6.5;34.6;31.1;20.1;0.0;0.0;0.0;4.7;5.4
25;Totaal van alle werkzame stoffen;Totaal asperges;2016;603.0;93.6;3611;95.1;0.0;0.0;7.3;13.6;41.6;66.1;73.9;70.0;45.4;2.0;0.0;8.7;18806;0.0;0.0;0.2;3.0;6.0;14.1;27.4;33.8;11.4;0.7;0.0;3.5;5.0;5.2
26;Totaal van alle werkzame stoffen;Bladplanten onder glas;2012;316.0;100.0;485;100.0;91.9;88.4;93.5;91.6;85.9;88.7;90.5;76.8;87.2;87.4;86.3;78.1;9560;7.0;6.3;6.2;8.5;10.6;10.5;13.4;8.2;8.9;8.1;7.0;5.3;19.7;19.7
27;Totaal van alle werkzame stoffen;Bladplanten onder glas;2016;234.0;97.1;388;99.0;79.6;87.0;89.6;90.4;87.3;96.8;84.9;93.0;87.0;84.6;87.5;81.4;4459;6.1;6.1;5.6;7.0;9.9;18.4;12.6;7.1;8.0;6.8;6.4;6.2;11.4;11.5
28;Totaal van alle werkzame stoffen;Bloemkool;2012;264.0;88.9;2172;96.6;63.5;63.5;65.6;68.5;61.9;68.3;76.8;80.7;50.6;48.4;42.4;33.9;3413;3.5;0.2;6.4;7.7;13.3;10.4;22.2;16.1;9.6;6.1;4.4;0.1;1.5;1.6
29;Totaal van alle werkzame stoffen;Bloemkool;2016;156.0;77.8;1842;87.1;32.9;25.2;56.7;55.1;67.7;70.1;85.6;85.6;81.3;33.3;29.7;7.8;6949;5.7;0.0;14.0;7.5;9.1;19.7;21.4;11.6;8.4;1.4;1.1;0.0;3.3;3.8
30;Totaal van alle werkzame stoffen;Totaal bloemkwekerijgewassen;2012;1203.0;89.4;2817;96.8;74.2;71.5;78.5;67.3;71.4;65.6;75.6;53.5;44.0;64.2;55.7;60.5;37608;14.8;5.5;11.0;12.5;13.8;9.8;13.0;6.4;3.7;6.2;2.0;1.2;12.9;13.4
31;Totaal van alle werkzame stoffen;Totaal bloemkwekerijgewassen;2016;914.0;87.0;2555;92.7;26.3;29.8;49.4;69.7;72.8;66.4;62.7;60.6;58.3;43.9;23.8;20.0;27217;5.6;2.8;4.8;14.1;18.7;24.4;8.7;9.0;4.9;4.4;1.4;1.2;9.9;10.7
32;Totaal van alle werkzame stoffen;Bos- en haagplantsoen;2012;530.0;79.3;2544;95.3;79.8;88.8;90.7;76.7;83.0;76.3;94.3;75.6;53.2;88.6;79.3;88.6;23672;1.6;3.5;6.9;13.0;12.1;34.5;9.3;8.2;4.1;2.7;2.9;1.3;8.9;9.3
33;Totaal van alle werkzame stoffen;Bos- en haagplantsoen;2016;535.0;97.1;2849;98.9;13.5;41.1;63.3;71.1;85.8;87.2;83.6;79.4;71.0;40.1;7.6;9.4;24093;0.6;1.8;4.8;13.8;15.9;21.0;19.8;10.1;9.2;1.6;1.0;0.3;8.4;8.5
34;Totaal van alle werkzame stoffen;Bos- en waspeen;2012;421.0;95.6;2365;96.2;0.0;0.0;35.0;38.1;71.0;61.7;62.2;32.6;8.2;0.0;0.0;0.0;5677;0.0;0.0;24.7;17.6;26.2;14.6;8.6;6.5;1.7;0.0;0.0;0.0;2.3;2.4
35;Totaal van alle werkzame stoffen;Bos- en waspeen;2016;426.0;84.4;2791;91.1;0.0;0.0;4.8;54.7;64.5;55.8;51.4;31.3;10.9;1.3;0.0;0.0;3926;0.0;0.0;2.6;31.9;33.8;14.7;9.2;6.1;1.5;0.1;0.0;0.0;1.3;1.4
36;Totaal van alle werkzame stoffen;Broccoli;2012;108.0;74.3;1700;94.3;0.0;0.0;62.3;60.8;64.6;59.7;65.0;56.0;60.5;87.4;29.9;29.9;1858;0.0;0.0;18.4;13.3;12.5;23.0;15.0;12.1;2.1;3.2;0.5;0.0;1.0;1.1
37;Totaal van alle werkzame stoffen;Broccoli;2016;104.0;84.9;1665;93.0;0.0;0.0;21.8;62.3;61.3;64.9;74.3;82.1;76.6;25.2;10.6;10.6;2518;0.0;0.0;2.8;11.5;22.7;12.8;24.7;16.1;7.8;1.5;0.0;0.0;1.4;1.5
38;Totaal van alle werkzame stoffen;Bruine bonen;2012;281.0;100.0;1595;100.0;0.0;0.0;0.0;6.1;76.4;82.0;65.8;4.5;12.6;0.0;0.0;0.0;3598;0.0;0.0;0.0;3.6;33.3;25.4;26.4;2.1;9.1;0.0;0.0;0.0;2.3;2.3
39;Totaal van alle werkzame stoffen;Bruine bonen;2016;177.0;98.5;810;98.6;0.0;0.0;2.8;26.4;84.3;80.4;62.7;7.9;4.5;0.0;0.0;0.0;1541;0.0;0.0;2.9;9.3;39.4;25.0;15.8;4.5;3.1;0.0;0.0;0.0;1.9;1.9
40;Totaal van alle werkzame stoffen;Chrysanten onder glas;2012;192.0;99.5;499;98.9;91.7;83.7;80.0;83.2;89.8;96.0;100.0;87.6;84.2;92.8;98.7;96.0;37379;8.0;9.2;6.7;7.1;8.2;7.7;11.6;8.4;7.5;8.1;8.4;9.2;74.1;75.0
41;Totaal van alle werkzame stoffen;Chrysanten onder glas;2016;113.0;100.0;383;100.0;93.4;97.2;95.4;97.3;99.3;98.8;100.0;100.0;99.9;98.9;98.3;95.8;29115;5.6;9.2;6.8;8.7;7.8;12.2;6.6;8.0;9.4;9.0;8.7;8.1;76.0;76.0
42;Totaal van alle werkzame stoffen;Cichorei;2012;379.0;88.4;2738;94.0;0.0;0.0;70.7;85.3;75.2;60.7;0.0;32.4;11.3;12.3;0.0;0.0;10785;0.0;0.0;30.8;35.8;16.8;12.0;0.0;2.2;0.8;1.6;0.0;0.0;3.7;3.9
43;Totaal van alle werkzame stoffen;Cichorei;2016;533.0;98.9;3844;99.0;0.0;0.0;9.8;84.3;94.3;58.6;30.5;24.7;24.3;4.3;0.0;0.0;13442;0.0;0.0;3.7;55.4;27.4;9.8;1.5;1.0;1.0;0.2;0.0;0.0;3.5;3.5
44;Totaal van alle werkzame stoffen;Totaal consumptieaardappelen;2012;5851.0;93.4;67204;99.6;0.0;14.6;14.6;46.1;93.2;93.6;96.7;88.8;55.9;82.9;37.2;44.4;782004;0.0;0.2;1.6;12.5;22.6;17.2;29.0;6.8;5.6;4.2;0.0;0.2;11.6;11.6
45;Totaal van alle werkzame stoffen;Totaal consumptieaardappelen;2016;6357.0;93.3;69962;95.4;0.0;3.1;11.3;43.5;83.8;87.2;95.5;92.3;72.0;19.9;2.3;6.0;936300;0.0;0.3;0.7;9.4;16.9;16.4;27.3;18.2;8.8;2.0;0.0;0.1;12.8;13.4
46;Totaal van alle werkzame stoffen;Doperwten;2012;379.0;93.0;2797;80.9;0.0;0.0;52.7;36.6;46.6;51.0;21.9;0.0;0.0;0.0;0.0;0.0;5301;0.0;0.0;20.0;22.2;24.9;27.9;5.0;0.0;0.0;0.0;0.0;0.0;1.5;1.9
47;Totaal van alle werkzame stoffen;Doperwten;2016;428.0;94.7;3061;92.4;0.0;0.0;2.5;62.2;69.7;57.7;24.7;0.0;0.0;0.0;0.0;0.0;4835;0.0;0.0;1.6;28.3;48.1;18.5;3.5;0.0;0.0;0.0;0.0;0.0;1.5;1.6
48;Totaal van alle werkzame stoffen;Fresia's onder glas;2012;82.0;100.0;103;100.0;80.2;88.6;90.8;75.8;74.9;66.5;92.0;81.5;80.8;75.0;68.9;72.9;1297;9.4;20.3;6.7;10.3;4.0;6.6;11.8;10.3;6.5;6.0;4.2;3.7;12.6;12.6
49;Totaal van alle werkzame stoffen;Fresia's onder glas;2016;48.0;96.7;77;99.4;89.6;89.6;100.0;81.9;82.6;98.3;86.8;83.1;95.8;89.5;61.7;68.4;628;7.5;6.1;14.8;5.7;4.8;14.4;7.2;8.6;10.5;6.0;5.6;8.7;8.1;8.1
50;Totaal van alle werkzame stoffen;Gerst, zomer;2012;3232.0;97.1;25195;98.3;0.0;23.0;23.0;3.2;88.0;92.9;2.8;0.0;2.8;0.0;0.0;0.0;36957;0.0;1.6;6.8;1.9;70.0;17.9;0.0;0.0;1.8;0.0;0.0;0.0;1.4;1.5
51;Totaal van alle werkzame stoffen;Gerst, zomer;2016;2784.0;91.6;23474;94.0;0.0;0.9;18.1;7.1;68.6;64.9;20.5;0.4;0.0;0.0;0.0;0.0;30259;0.0;0.7;5.1;3.3;47.3;37.6;5.5;0.6;0.0;0.0;0.0;0.0;1.2;1.3
52;Totaal van alle werkzame stoffen;Gerbera's onder glas;2012;68.0;100.0;170;100.0;95.4;91.9;91.1;82.8;96.5;93.4;100.0;92.9;92.9;100.0;96.5;96.2;7478;11.1;7.7;7.0;3.3;6.2;5.8;11.3;7.3;8.9;9.3;11.0;11.3;43.9;43.9
53;Totaal van alle werkzame stoffen;Gerbera's onder glas;2016;56.0;99.2;187;99.4;93.7;95.6;94.5;95.6;100.0;95.6;95.7;85.0;94.7;78.1;93.2;89.6;7625;6.5;9.7;6.8;6.8;7.8;20.0;6.2;5.6;7.2;6.2;9.5;7.8;40.5;40.8
54;Totaal van alle werkzame stoffen;Gladiolen;2012;172.0;100.0;1113;100.0;0.0;84.2;84.2;64.8;82.1;74.4;99.8;97.0;80.5;90.9;90.9;90.9;46675;0.0;0.8;2.5;13.9;8.6;12.3;20.0;18.0;17.3;2.3;1.3;3.0;41.9;41.9
55;Totaal van alle werkzame stoffen;Gladiolen;2016;149.0;100.0;929;100.0;0.0;11.0;26.3;86.6;96.9;93.0;96.8;96.8;94.7;47.9;23.3;5.9;33151;0.0;0.1;0.4;9.8;13.4;22.8;21.7;17.1;11.2;1.9;1.6;0.0;35.7;35.7
56;Totaal van alle werkzame stoffen;Graszaden;2012;1476.0;98.6;13504;98.8;83.1;83.1;96.0;47.3;57.2;73.9;34.2;17.3;12.2;37.0;25.6;21.1;36860;7.7;0.5;33.7;13.1;11.2;10.7;5.4;1.0;3.9;9.8;3.0;0.1;2.7;2.7
57;Totaal van alle werkzame stoffen;Graszaden;2016;1016.0;92.0;9229;92.5;1.9;0.7;23.8;57.2;30.5;61.5;7.0;3.0;11.5;16.7;3.1;2.7;7380;3.7;0.2;9.8;24.6;8.1;21.3;2.2;2.4;4.6;18.8;3.2;1.3;0.7;0.8
58;Totaal van alle werkzame stoffen;Hyacinten;2012;161.0;100.0;1448;100.0;100.0;100.0;96.0;94.2;73.5;50.7;54.8;57.9;60.5;73.7;73.7;73.5;44449;6.3;7.1;4.0;10.6;9.1;2.8;3.5;7.7;10.2;25.4;12.5;0.9;30.7;30.7
59;Totaal van alle werkzame stoffen;Hyacinten;2016;147.0;95.0;1407;96.1;82.4;88.5;70.6;92.2;93.4;79.1;35.5;35.8;31.5;52.7;42.8;33.7;27892;6.7;7.9;3.6;15.3;16.3;18.3;2.0;6.0;6.1;11.6;5.2;1.0;19.1;19.8
60;Totaal van alle werkzame stoffen;Irissen;2012;70.0;100.0;288;100.0;93.6;87.9;100.0;100.0;82.6;79.2;89.4;71.0;21.9;62.1;62.1;52.6;16875;5.8;3.9;14.6;11.5;13.2;9.5;8.1;3.6;5.1;3.6;16.8;4.4;58.7;58.7
61;Totaal van alle werkzame stoffen;Irissen;2016;58.0;94.9;269;98.6;28.5;24.8;59.7;89.4;89.4;84.7;80.1;48.8;15.9;26.3;52.6;38.4;7486;2.1;1.6;4.0;15.8;17.2;13.4;9.1;3.3;11.2;2.9;14.9;4.6;27.5;27.8
62;Totaal van alle werkzame stoffen;Komkommers;2012;244.0;96.5;602;96.8;49.4;52.3;71.9;90.1;89.1;91.4;94.6;94.6;91.4;85.9;26.3;9.8;8685;1.5;1.4;3.1;4.8;7.8;12.9;11.0;24.3;18.2;11.5;2.7;0.7;14.0;14.4
63;Totaal van alle werkzame stoffen;Komkommers;2016;188.0;89.7;542;97.8;18.2;43.3;60.7;87.0;93.6;90.5;83.8;82.2;80.2;75.9;26.6;12.7;7542;2.9;1.4;2.1;6.7;17.3;21.4;11.2;14.0;11.9;9.2;1.4;0.4;13.6;13.9
64;Totaal van alle werkzame stoffen;Totaal koolzaad;2012;301.0;100.0;2117;100.0;74.5;38.9;89.7;83.2;28.3;15.0;9.1;19.8;68.1;49.2;38.9;3.8;4506;8.1;0.1;4.2;6.5;3.0;1.7;2.6;10.9;42.1;18.5;2.1;0.3;2.1;2.1
65;Totaal van alle werkzame stoffen;Totaal koolzaad;2016;200.0;92.5;1567;92.4;9.9;2.8;23.4;55.6;16.2;2.4;1.4;4.8;33.3;38.3;11.6;4.1;1748;6.3;1.5;10.5;10.4;3.1;0.3;0.6;5.3;25.5;24.4;9.3;2.7;1.0;1.1
66;Totaal van alle werkzame stoffen;Laan- en parkbomen;2012;472.0;91.2;4453;98.1;69.3;63.1;68.7;72.2;89.4;94.2;89.1;92.4;85.4;97.0;93.9;25.8;17282;3.7;1.7;1.8;8.8;14.5;19.3;26.1;14.4;5.2;4.2;0.4;0.0;3.8;3.9
67;Totaal van alle werkzame stoffen;Laan- en parkbomen;2016;417.0;86.8;4206;92.7;13.9;2.9;6.2;53.4;75.2;78.6;85.0;83.1;63.4;31.6;6.7;5.7;12824;1.3;0.4;0.9;18.7;20.9;20.6;14.7;14.2;5.8;2.0;0.3;0.1;2.8;3.0
68;Totaal van alle werkzame stoffen;Lelies (bloem) onder glas;2012;136.0;97.2;190;96.8;59.4;71.4;83.8;66.1;79.8;71.7;87.4;83.1;81.7;73.7;80.8;62.2;1810;6.7;10.6;6.4;5.8;5.8;4.8;12.1;8.8;7.5;9.7;13.9;7.8;9.2;9.5
69;Totaal van alle werkzame stoffen;Lelies (bloem) onder glas;2016;80.0;93.3;130;94.0;64.3;72.8;75.4;69.3;73.5;80.2;79.0;58.5;64.3;74.2;74.4;72.4;731;8.0;6.4;6.6;15.7;6.7;13.6;8.6;3.8;5.0;8.0;9.3;8.4;5.3;5.6
70;Totaal van alle werkzame stoffen;Lelies (bol);2012;315.0;100.0;5090;100.0;78.7;86.2;86.2;81.6;85.9;86.3;97.5;97.5;99.5;100.0;100.0;56.2;651032;0.2;0.4;1.2;11.1;13.0;18.4;19.5;20.8;13.1;2.0;0.2;0.2;127.9;127.9
71;Totaal van alle werkzame stoffen;Lelies (bol);2016;414.0;100.0;6065;100.0;31.3;25.7;39.2;92.1;92.5;89.6;93.8;93.8;93.0;74.1;16.9;23.0;755068;0.1;0.3;0.7;10.8;16.9;18.4;16.2;16.5;13.9;5.3;0.4;0.6;124.5;124.5
72;Totaal van alle werkzame stoffen;Maïs, snijmaïs;2012;24243.0;94.6;218650;94.3;0.0;0.0;0.0;0.0;40.9;60.0;30.4;7.3;0.0;0.0;0.0;0.0;305174;0.0;0.0;0.0;0.0;29.9;47.1;21.2;1.8;0.0;0.0;0.0;0.0;1.3;1.4
73;Totaal van alle werkzame stoffen;Maïs, snijmaïs;2016;22989.0;94.4;196972;95.2;0.0;0.0;0.1;5.5;38.0;62.4;8.0;0.8;1.0;0.6;0.0;0.0;236196;0.0;0.0;0.0;4.4;37.6;53.9;3.4;0.2;0.4;0.1;0.0;0.0;1.1;1.2
74;Totaal van alle werkzame stoffen;Narcissen;2012;345.0;98.8;1777;100.0;100.0;100.0;100.0;98.7;93.5;91.6;46.8;62.7;32.3;59.4;58.2;61.1;57257;5.3;5.5;3.7;8.9;12.9;9.6;9.2;20.8;2.5;10.0;6.9;4.8;32.2;32.2
75;Totaal van alle werkzame stoffen;Narcissen;2016;242.0;95.6;1533;96.2;85.8;71.4;65.0;91.9;95.3;71.9;27.2;21.7;32.8;21.8;18.0;37.9;22232;10.6;8.0;7.8;13.9;15.4;15.3;1.3;2.7;14.0;3.0;3.3;4.7;14.0;14.5
76;Totaal van alle werkzame stoffen;Orchideeën onder glas;2012;136.0;100.0;213;100.0;67.1;64.5;81.6;76.1;84.4;86.2;93.3;77.8;81.1;84.1;82.4;53.3;1712;4.0;2.7;8.1;5.6;7.7;13.8;24.3;10.4;7.6;7.3;4.5;3.9;8.0;8.0
77;Totaal van alle werkzame stoffen;Orchideeën onder glas;2016;88.0;98.1;155;96.4;80.9;78.0;88.1;84.1;82.2;83.5;87.0;79.3;68.6;84.1;61.6;58.3;1960;4.7;4.0;8.5;6.1;10.4;31.8;10.2;5.8;6.9;7.7;1.7;2.3;12.2;12.7
78;Totaal van alle werkzame stoffen;Totaal paprika's;2012;282.0;97.8;1285;97.8;58.4;52.8;66.8;83.9;90.4;84.4;97.6;89.0;85.0;73.5;32.6;65.5;12273;7.7;3.6;5.9;10.3;11.1;14.6;15.5;9.8;8.2;3.9;2.4;7.0;9.3;9.6
79;Totaal van alle werkzame stoffen;Totaal paprika's;2016;244.0;96.4;1301;98.8;66.7;68.8;66.3;79.4;81.1;90.8;98.3;91.1;94.2;71.7;40.9;71.0;9948;4.8;3.1;4.9;7.2;9.5;14.0;18.4;9.9;17.4;4.1;1.9;4.9;7.6;7.6
80;Totaal van alle werkzame stoffen;Peren;2012;1511.0;98.5;8153;99.8;71.6;82.9;100.0;96.7;72.8;73.8;84.2;85.9;59.7;100.0;99.7;97.8;206536;0.3;0.0;27.1;17.1;12.6;10.3;12.3;7.2;2.5;6.6;3.5;0.4;25.3;25.3
81;Totaal van alle werkzame stoffen;Peren;2016;1250.0;96.0;9331;98.7;3.0;0.2;50.0;96.0;98.9;91.8;93.3;87.6;55.1;54.7;20.1;7.0;272405;0.1;0.0;9.7;30.4;16.5;15.3;11.5;6.9;3.0;4.8;1.3;0.4;28.8;29.2
82;Totaal van alle werkzame stoffen;Perkplanten onder glas;2012;403.0;96.2;440;98.3;83.0;89.0;92.4;75.1;79.6;67.1;83.2;77.9;68.5;79.5;88.6;78.8;12030;6.1;10.1;12.7;8.9;9.0;5.6;13.6;10.8;7.4;7.0;4.5;4.1;26.9;27.3
83;Totaal van alle werkzame stoffen;Perkplanten onder glas;2016;251.0;94.4;327;98.5;78.4;87.7;96.1;97.7;94.5;79.4;67.2;68.3;74.2;60.0;71.0;80.2;4515;4.7;10.0;13.5;11.6;10.3;9.7;4.2;4.3;7.8;5.3;5.9;12.7;13.6;13.8
84;Totaal van alle werkzame stoffen;Totaal pootaardappelen;2012;2337.0;97.5;38429;98.1;31.8;31.8;31.7;71.9;75.9;81.6;96.6;77.5;25.0;0.0;17.4;0.0;816884;0.0;0.9;0.8;6.2;13.2;38.2;33.7;6.1;0.6;0.0;0.2;0.0;20.9;21.3
85;Totaal van alle werkzame stoffen;Totaal pootaardappelen;2016;2274.0;99.1;41058;99.2;0.2;5.4;7.4;54.3;87.2;93.1;93.5;81.1;20.1;0.0;1.4;0.0;826806;0.0;0.2;0.2;4.0;10.2;40.2;32.1;11.6;1.6;0.0;0.0;0.0;20.0;20.1
86;Totaal van alle werkzame stoffen;Poot- en plantuien;2012;704.0;93.9;5511;94.5;76.5;20.8;76.5;80.8;74.9;74.1;47.7;9.6;0.0;0.0;0.0;0.0;80516;0.4;0.1;11.1;17.4;18.3;32.7;17.2;2.8;0.0;0.0;0.0;0.0;13.8;14.6
87;Totaal van alle werkzame stoffen;Poot- en plantuien;2016;986.0;93.2;7462;93.6;10.9;10.8;57.8;85.1;91.9;91.1;78.7;27.3;6.3;0.0;0.0;0.0;117487;0.3;0.2;5.7;10.7;19.3;31.1;28.3;4.3;0.0;0.0;0.0;0.0;14.7;15.7
