ID;Periods;StockIndexFigures_1;ChangeOfStocks_2
0;2005 1st quarter;94.2;
1;2005 2nd quarter;99.6;
2;2005 3rd quarter;103.2;
3;2005 4th quarter;102.9;
4;2005;100.0;
5;2006 1st quarter;99.7;5.8
6;2006 2nd quarter;102.5;2.9
7;2006 3rd quarter;103.8;0.5
8;2006 4th quarter;107.9;4.8
9;2006;103.4;3.5
10;2007 1st quarter;102.7;3.1
11;2007 2nd quarter;108.9;6.2
12;2007 3rd quarter;114.2;10.0
13;2007 4th quarter;118.5;9.9
14;2007;111.1;7.4
15;2008 1st quarter;114.7;11.6
16;2008 2nd quarter;117.5;7.9
17;2008 3rd quarter;120.0;5.1
18;2008 4th quarter;117.7;-0.6
19;2008;117.5;5.8
20;2009 1st quarter;119.4;4.1
21;2009 2nd quarter;115.7;-1.5
22;2009 3rd quarter;118.2;-1.5
23;2009 4th quarter;112.6;-4.3
24;2009;116.5;-0.8
25;2010 1st quarter;111.9;-6.3
26;2010 2nd quarter;114.7;-0.9
27;2010 3rd quarter;117.9;-0.3
28;2010 4th quarter;122.7;8.9
29;2010;116.8;0.2
30;2011 1st quarter;121.7;8.8
31;2011 2nd quarter;117.9;2.8
32;2011 3rd quarter;119.7;1.6
33;2011 4th quarter;120.4;-1.9
34;2011;119.9;2.7
35;2012 1st quarter;118.6;-2.5
36;2012 2nd quarter;119.3;1.2
37;2012 3rd quarter;122.1;2.0
38;2012 4th quarter;118.4;-1.7
39;2012;119.6;-0.3
