ID;Gemeenten;Code_1;Naam_2;AfkortingNaam_3;SorteringNaam_4;Code_5;Naam_6;Code_7;Naam_8;Code_9;Naam_10;Code_11;Naam_12;Code_13;Naam_14;Code_15;Naam_16;Code_17;Naam_18;Code_19;Naam_20;Code_21;Naam_22;Code_23;Naam_24;Code_25;Naam_26;Code_27;Naam_28;Code_29;Naam_30;Code_31;Naam_32;Code_33;Naam_34;Code_35;Naam_36;Code_37;Naam_38;Code_39;Naam_40;Code_41;Naam_42;Code_43;Naam_44;Code_45;Naam_46;Code_47;Naam_48;Code_49;Naam_50;Code_51;Naam_52;Code_53;Naam_54;Code_55;Naam_56;Code_57;Code_58;Naam_59;Code_60;Naam_61;Grootteklasse_62;Klassegrenzen_63;Code_64;Omschrijving_65;InwonertalVoorlopig_66;Omgevingsadressendichtheid_67
0;Aa en Hunze;1680;Aa en Hunze                ;AHE;0;19;Assen           ;71;Zuid-Oost Drenthe             ;7;Assen-Hoogeveen                    ;7;Noord-Drenthe                      ;16;Overige gemeenten Drentse Veenkolonien  ;5;Leeuwarden      ;1;Groningen-Drenthe ;3;Drenthe          ;7;GGD Noord- en Midden Drenthe            ;60;Assen              ;3;Assen           ;1;Noord-Nederland;2205;Drentse Veenkolonien en Hondsrug        ;2;Veenkolonien en Oldambt       ;11;Assen                 ;4;Assen-Hoogeveen-Emmen           ;3;Drenthe                  ;22;Drenthe                   ;3;Drenthe                            ;12;Groningse, Friese en Drentse zandgronden;10;Noord-Drenthe                           ;1;Noord-Nederland   ;7;Noord- en midden-Drenthe                ;5;Noord- en Midden0Drenthe                ;5;Noord- en Midden-Drenthe                ;0;Niet van toepassing  ;7.1 ;70;nvt                           ;0;Niet van toepassing       ;4;20 000 - < 50 000           ;5;Niet stedelijk      ;24755;236
1;738;738;Aalburg                    ;ABG;1;2;Breda           ;26;Breda                         ;41;'s-Hertogenbosch                   ;34;Midden-Noord-Brabant               ;105;Land van Altena                         ;1;'s-Hertogenbosch;20;Breda             ;22;Breda            ;52;Gezondheidsdienst Stadsgewest Breda     ;5;Breda              ;17;Tilburg         ;4;Zuid-Nederland ;3004;Oostelijke Langstraat                   ;10;Rivierengebied                ;67;Waalwijk              ;12;Noord-Noord-Brabant             ;20;Midden- en West-Brabant  ;30;Noord-Brabant             ;15;Midden- en West-Brabant            ;13;West- en Midden-Brabant                 ;48;Midden-Noord-Brabant                    ;3;Zuid-Nederland    ;35;Midden-Brabant                          ;25;Roosendaal/Breda                        ;35;Breda e.o.                              ;0;Niet van toepassing  ;41.4;340;nvt                           ;0;Niet van toepassing       ;3;10 000 - < 20 000           ;5;Niet stedelijk      ;11507;253
2;358;358;Aalsmeer                   ;AMR;2;13;Amsterdam       ;51;Amsterdam e.o                 ;21;Amsterdam-Purmerend                ;23;Groot-Amsterdam                    ;62;Noordhollandse Meerlanden               ;4;Amsterdam       ;13;Amsterdam         ;14;Amsterdam        ;35;GGD Amstelland - De Meerlanden          ;44;Amsterdam          ;10;Haarlem         ;3;West-Nederland ;2703;Amstelland en Aalsmeer                  ;7;Westelijk Holland             ;44;Amsterdam             ;15;Zuid-Noord-Holland              ;13;Amsterdam-Amstelland     ;27;Noord-Holland             ;10;Zuidelijk Noord-Holland            ;6;Hollands-Utrechtse meren                ;27;Groot-Amsterdam (exclusief Amsterdam)   ;7;West-Nederland 3  ;21;Agglomeratie Amsterdam                  ;16;Zaanstreek/Waterland/Amstelland/Meerland;23;Amstelland/Meerlanden                   ;0;Niet van toepassing  ;21.1;232;Overig Groot-Amsterdam        ;11;Amsterdam                 ;4;20 000 - < 50 000           ;4;Weinig stedelijk    ;22603;590
3;197;197;Aalten                     ;ALN;3;6;Zutphen         ;43;Oost-Gelderland               ;16;Winterswijk-Zutphen                ;14;Achterhoek                         ;30;Overige gemeenten oostelijke Achterhoek ;2;Arnhem          ;6;Arnhem            ;7;Arnhem           ;18;GGD Regio Achterhoek                    ;21;Groenlo            ;7;Arnhem          ;2;Oost-Nederland ;2508;Achterhoek                              ;4;Oostelijk Veehouderijgebied   ;24;Winterswijk           ;8;Zuidelijke Achterhoek           ;6;Noord- en Oost-Gelderland;25;Gelderland                ;6;Arnhem-Oost Gld./Nijm. Rivierenland;10;Achterhoek                              ;17;Achterhoek                              ;2;Oost-Nederland    ;13;Oost-Gelderland                         ;11;Achterhoek                              ;12;Achterhoek                              ;0;Niet van toepassing  ;16.2;140;nvt                           ;0;Niet van toepassing       ;3;10 000 - < 20 000           ;4;Weinig stedelijk    ;18753;638
4;480;480;Ter Aar                    ;TAR;4;9;'s-Gravenhage   ;12;Rijnland                      ;31;Leiden-Alphen aan den Rijn         ;28;Oost-Zuid-Holland                  ;72;Noordelijke veenstreek in Zuid-Holland  ;3;'s-Gravenhage   ;14;Leiden            ;15;Leiden           ;40;GGD Rijnstreek                          ;31;Alphen aan den Rijn;15;Leiden          ;3;West-Nederland ;2804;Westelijk Rijnland                      ;7;Westelijk Holland             ;47;Alphen aan den Rijn   ;16;Noord-Zuid-Holland              ;16;Hollands Midden          ;28;Zuid-Holland              ;11;Rijnstreek                         ;17;Overig Nederland                        ;33;Oost-Zuid-Holland                       ;7;West-Nederland 3  ;27;Zuid-Holland-Oost                       ;21;Rijstreek/Midden-Holland/Alblasserwaard ;29;Rijnstreek/Midden-Holland/Alblasserwaard;0;Niet van toepassing  ;31.2;280;nvt                           ;0;Niet van toepassing       ;2;5 000 - < 10 000            ;5;Niet stedelijk      ;9172;347
5;305;305;Abcoude                    ;ACE;7;16;Utrecht         ;37;Utrecht                       ;21;Amsterdam-Purmerend                ;17;Utrecht                            ;48;Vechtstreek en Plassengebied in Utrecht ;4;Amsterdam       ;9;Utrecht           ;9;Utrecht          ;25;GGD West-Utrecht                        ;51;Utrecht            ;8;Utrecht         ;3;West-Nederland ;2602;Westelijk weidegebied in Utrecht        ;9;Hollands/Utrechts weidegebied ;44;Amsterdam             ;15;Zuid-Noord-Holland              ;9;Utrecht                  ;26;Utrecht                   ;8;Midden-Nederland                   ;6;Hollands-Utrechtse meren                ;20;Utrecht                                 ;7;West-Nederland 3  ;19;Utrecht                                 ;14;West-Utrecht                            ;17;West-Utrecht                            ;2;Amsterdam            ;21.1;170;nvt                           ;11;Amsterdam                 ;2;5 000 - < 10 000            ;4;Weinig stedelijk    ;8395;597
6;59;59;Achtkarspelen              ;AKN;8;17;Leeuwarden      ;39;De Friese wouden              ;3;Leeuwarden-Franeker-Dokkum         ;4;Noord-Friesland                    ;9;Fries zandgebied                        ;5;Leeuwarden      ;2;Friesland         ;2;Friesland        ;6;GGD De Friese Wouden                    ;53;Leeuwarden         ;2;Leeuwarden      ;1;Noord-Nederland;2103;De Wouden                               ;3;Noordelijk Weidegebied        ;10;Leeuwarden            ;3;Friesland                       ;2;Friesland                ;21;Friesland                 ;2;Friesland                          ;17;Overig Nederland                        ;6;Noord-Friesland (exclusief Harlingen)   ;1;Noord-Nederland   ;6;Friesland-oost                          ;4;Oost-Friesland/Zuid-West-Friesland      ;4;Oost-Friesland/Zuid-West Friesland      ;0;Niet van toepassing  ;nvt ;40;nvt                           ;0;Niet van toepassing       ;4;20 000 - < 50 000           ;5;Niet stedelijk      ;28065;341
7;360;360;Akersloot                  ;AST;11;14;Alkmaar         ;22;Noord-Kennemerland            ;25;Alkmaar                            ;19;Alkmaar en omgeving                ;55;Noord-Kennemerland                      ;4;Amsterdam       ;11;Alkmaar           ;12;Alkmaar          ;29;GGD Noord-Kennemerland                  ;46;Alkmaar            ;11;Den Helder      ;3;West-Nederland ;2706;Waterland en Noordhollandse Droogmakerij;8;Waterland en Droogmakerijen   ;38;Alkmaar               ;14;Noord-Noord-Holland             ;10;Noord-Holland-Noord      ;27;Noord-Holland             ;9;Noord-Holland Noord                ;6;Hollands-Utrechtse meren                ;22;Alkmaar en omgeving                     ;7;West-Nederland 3  ;24;Noord-Kennemerland                      ;18;Kop Noord-Holland/West-Friesland        ;25;Noord-Kennemerlanden                    ;0;Niet van toepassing  ;nvt ;190;nvt                           ;0;Niet van toepassing       ;1;minder dan 5 000            ;5;Niet stedelijk      ;4870;422
8;482;482;Alblasserdam               ;ABM;12;11;Dordrecht       ;10;Zuidelijk Zuid-Holland        ;32;Dordrecht                          ;30;Zuidoost-Zuid-Holland              ;76;Industriegebied Alblasserwaard          ;3;'s-Gravenhage   ;18;Dordrecht         ;20;Dordrecht        ;48;GGD Regio Dordrecht                     ;37;Dordrecht          ;14;Dordrecht       ;3;West-Nederland ;2807;Alblasserwaard en Vijfherenlanden       ;9;Hollands/Utrechts weidegebied ;53;Dordrecht/Zwijndrecht ;18;Dordrecht-Gorinchem             ;18;Zuid-Holland-Zuid        ;28;Zuid-Holland              ;13;Rijnmond                           ;17;Overig Nederland                        ;39;Zuidoost-Zuid-Holland (excl. Dordrecht) ;7;West-Nederland 3  ;30;Zuid-Holland-Zuid                       ;22;Drechtsteden/Hoekse Waard/Goeree Overfl.;30;Drechtsteden/Hoekse Waard/Goeree Overfl.;0;Niet van toepassing  ;nvt ;300;nvt                           ;16;Dordrecht                 ;3;10 000 - < 20 000           ;3;Matig stedelijk     ;17753;1267
9;613;613;Albrandswaard              ;AWD;13;10;Rotterdam       ;20;Noordelijke delta             ;28;Rotterdam-Schiedam                 ;29;Groot-Rijnmond                     ;86;Westelijk IJsselmonde                   ;3;'s-Gravenhage   ;17;Rijnmond          ;19;Rijnmond         ;46;GGD Rotterdam e.o.                      ;32;Rotterdam          ;14;Dordrecht       ;3;West-Nederland ;2802;Rotterdam en omgeving                   ;7;Westelijk Holland             ;54;Rotterdam             ;17;Rijnmond groot                  ;17;Rotterdam-Rijnmond       ;28;Zuid-Holland              ;13;Rijnmond                           ;4;Deltagebied                             ;35;Rijnmond (excl. Rotterdam, Hoek v Holl.);5;West-Nederland 1  ;29;Rijnmond                                ;23;Rijmond                                 ;31;Rijnmond                                ;1;Rotterdam            ;28.1;291;Rijnmond                      ;15;Rotterdam                 ;3;10 000 - < 20 000           ;4;Weinig stedelijk    ;15330;777
