ID;Verkopen;Perioden;TotaalVerkoopwaarden_1;Elektriciteit_2;Aardgas_3;WaterGeenEnergie_4;OverigeVerkoopwaarden_5;Elektriciteit_6;Aardgas_7;Water_8
61;Totaal verkopen;2002 2e kwartaal;5936.0;;;;;;;
62;Totaal verkopen;2002 3e kwartaal;5542.0;;;;;;;
63;Totaal verkopen;2002 4e kwartaal;7588.0;;;;;;;
64;Totaal verkopen;2002;27058.0;;;;;;;
65;En gros;1990 1e kwartaal;1457.0;1386.0;31.0;22.0;17.0;35007.0;238.0;94.0
66;En gros;1990 2e kwartaal;1383.0;1332.0;13.0;29.0;9.0;33282.0;101.0;114.0
67;En gros;1990 3e kwartaal;1411.0;1370.0;10.0;26.0;5.0;34655.0;71.0;112.0
68;En gros;1990 4e kwartaal;1412.0;1345.0;31.0;22.0;15.0;37735.0;233.0;95.0
69;En gros;1990;5662.0;5434.0;84.0;99.0;45.0;140679.0;643.0;416.0
70;En gros;1991 1e kwartaal;1615.0;1520.0;49.0;22.0;23.0;39201.0;297.0;91.0
71;En gros;1991 2e kwartaal;1465.0;1408.0;20.0;26.0;11.0;36195.0;135.0;106.0
72;En gros;1991 3e kwartaal;1459.0;1424.0;6.0;25.0;5.0;39103.0;57.0;105.0
73;En gros;1991 4e kwartaal;1549.0;1467.0;43.0;25.0;15.0;40245.0;243.0;96.0
74;En gros;1991;6088.0;5819.0;118.0;97.0;54.0;154744.0;733.0;397.0
75;En gros;1992 1e kwartaal;1548.0;1468.0;51.0;24.0;5.0;39689.0;280.0;95.0
76;En gros;1992 2e kwartaal;1429.0;1383.0;19.0;25.0;3.0;37037.0;103.0;104.0
77;En gros;1992 3e kwartaal;1488.0;1452.0;11.0;24.0;2.0;37153.0;61.0;101.0
78;En gros;1992 4e kwartaal;1588.0;1517.0;44.0;23.0;4.0;40603.0;243.0;90.0
79;En gros;1992;6054.0;5820.0;126.0;95.0;14.0;154482.0;687.0;390.0
80;En gros;1993 1e kwartaal;1605.0;1532.0;47.0;24.0;2.0;39494.0;290.0;92.0
81;En gros;1993 2e kwartaal;1434.0;1390.0;15.0;27.0;1.0;36622.0;96.0;105.0
82;En gros;1993 3e kwartaal;1529.0;1490.0;12.0;25.0;3.0;37522.0;74.0;94.0
83;En gros;1993 4e kwartaal;1627.0;1561.0;44.0;22.0;0.0;41063.0;273.0;88.0
84;En gros;1993;6195.0;5972.0;119.0;97.0;7.0;154702.0;733.0;379.0
85;En gros;1994 1e kwartaal;1681.0;1611.0;49.0;21.0;0.0;40103.0;289.0;81.0
86;En gros;1994 2e kwartaal;1500.0;1460.0;20.0;19.0;0.0;38205.0;120.0;85.0
87;En gros;1994 3e kwartaal;1497.0;1465.0;10.0;21.0;1.0;39002.0;63.0;95.0
88;En gros;1994 4e kwartaal;1673.0;1616.0;34.0;21.0;2.0;41369.0;210.0;88.0
89;En gros;1994;6351.0;6152.0;113.0;82.0;3.0;158679.0;682.0;349.0
90;En gros;1995 1e kwartaal;1671.0;1604.0;45.0;22.0;0.0;39696.0;275.0;79.0
91;En gros;1995 2e kwartaal;1572.0;1527.0;22.0;24.0;0.0;38095.0;135.0;92.0
92;En gros;1995 3e kwartaal;1585.0;1542.0;11.0;25.0;6.0;39892.0;70.0;99.0
93;En gros;1995 4e kwartaal;1721.0;1647.0;45.0;24.0;5.0;41305.0;280.0;89.0
94;En gros;1995;6550.0;6321.0;123.0;95.0;11.0;158988.0;760.0;359.0
95;En gros;1996 1e kwartaal;1698.0;1605.0;64.0;23.0;5.0;40392.0;393.0;88.0
96;En gros;1996 2e kwartaal;1580.0;1533.0;21.0;25.0;0.0;37449.0;135.0;97.0
97;En gros;1996 3e kwartaal;1565.0;1526.0;14.0;24.0;2.0;38048.0;80.0;90.0
98;En gros;1996 4e kwartaal;1721.0;1643.0;51.0;22.0;5.0;40730.0;294.0;83.0
99;En gros;1996;6563.0;6307.0;150.0;94.0;13.0;156620.0;902.0;358.0
100;En gros;1997 1e kwartaal;2077.0;1990.0;63.0;21.0;4.0;48885.0;336.0;86.0
101;En gros;1997 2e kwartaal;2066.0;2020.0;24.0;21.0;0.0;47174.0;133.0;88.0
102;En gros;1997 3e kwartaal;1997.0;1962.0;14.0;22.0;0.0;47822.0;70.0;95.0
103;En gros;1997 4e kwartaal;2132.0;2057.0;53.0;20.0;3.0;51838.0;273.0;83.0
104;En gros;1997;8272.0;8028.0;152.0;84.0;7.0;195719.0;812.0;352.0
105;En gros;1998 1e kwartaal;1911.0;1837.0;56.0;20.0;-3.0;47242.0;300.0;81.0
106;En gros;1998 2e kwartaal;2052.0;2010.0;24.0;22.0;-4.0;50217.0;128.0;86.0
107;En gros;1998 3e kwartaal;1826.0;1794.0;14.0;21.0;-2.0;45723.0;81.0;85.0
108;En gros;1998 4e kwartaal;1999.0;1933.0;52.0;20.0;-6.0;53498.0;304.0;81.0
109;En gros;1998;7788.0;7574.0;147.0;83.0;-15.0;196680.0;814.0;333.0
110;En gros;1999 1e kwartaal;1748.0;1508.0;228.0;20.0;-7.0;40250.0;1661.0;79.0
111;En gros;1999 2e kwartaal;1328.0;1235.0;69.0;26.0;-2.0;33667.0;527.0;95.0
112;En gros;1999 3e kwartaal;1344.0;1289.0;35.0;22.0;-2.0;34213.0;335.0;88.0
113;En gros;1999 4e kwartaal;1600.0;1400.0;181.0;20.0;-2.0;38132.0;1370.0;82.0
114;En gros;1999;6020.0;5432.0;513.0;88.0;-13.0;146262.0;3894.0;344.0
115;En gros;2000 1e kwartaal;;;;;;;;
116;En gros;2000 2e kwartaal;;;;;;;;
117;En gros;2000 3e kwartaal;;;;;;;;
118;En gros;2000 4e kwartaal;;;;;;;;
119;En gros;2000;;;;;;;;
120;En gros;2001 1e kwartaal;;;;;;;;
121;En gros;2001 2e kwartaal;;;;;;;;
122;En gros;2001 3e kwartaal;;;;;;;;
123;En gros;2001 4e kwartaal;;;;;;;;
124;En gros;2001;;;;;;;;
125;En gros;2002 1e kwartaal;;;;;;;;
126;En gros;2002 2e kwartaal;;;;;;;;
127;En gros;2002 3e kwartaal;;;;;;;;
128;En gros;2002 4e kwartaal;;;;;;;;
129;En gros;2002;;;;;;;;
130;En detail;1990 1e kwartaal;2661.0;1063.0;1309.0;187.0;102.0;17057.0;7710.0;291.0
131;En detail;1990 2e kwartaal;1864.0;993.0;586.0;192.0;92.0;16323.0;3439.0;313.0
132;En detail;1990 3e kwartaal;1683.0;998.0;398.0;197.0;89.0;16187.0;2283.0;317.0
133;En detail;1990 4e kwartaal;2637.0;1102.0;1228.0;188.0;119.0;17716.0;7162.0;298.0
134;En detail;1990;8844.0;4156.0;3521.0;765.0;403.0;67283.0;20594.0;1219.0
135;En detail;1991 1e kwartaal;3261.0;1126.0;1818.0;195.0;123.0;17646.0;9610.0;285.0
136;En detail;1991 2e kwartaal;2171.0;1013.0;852.0;208.0;98.0;16226.0;4525.0;307.0
137;En detail;1991 3e kwartaal;1674.0;1014.0;375.0;196.0;89.0;16525.0;2000.0;303.0
138;En detail;1991 4e kwartaal;2975.0;1165.0;1503.0;187.0;121.0;18573.0;7785.0;291.0
139;En detail;1991;10083.0;4318.0;4548.0;787.0;430.0;68969.0;23920.0;1186.0
140;En detail;1992 1e kwartaal;3228.0;1165.0;1727.0;209.0;126.0;18259.0;9234.0;293.0
141;En detail;1992 2e kwartaal;2027.0;1034.0;649.0;230.0;114.0;17132.0;3556.0;321.0
142;En detail;1992 3e kwartaal;1772.0;1045.0;393.0;222.0;111.0;17239.0;2156.0;313.0
143;En detail;1992 4e kwartaal;2997.0;1163.0;1468.0;218.0;147.0;18560.0;7905.0;298.0
144;En detail;1992;10022.0;4406.0;4238.0;879.0;499.0;71190.0;22851.0;1225.0
145;En detail;1993 1e kwartaal;3208.0;1188.0;1659.0;232.0;129.0;18358.0;9595.0;296.0
146;En detail;1993 2e kwartaal;1997.0;1067.0;579.0;244.0;107.0;17257.0;3388.0;316.0
147;En detail;1993 3e kwartaal;1848.0;1069.0;447.0;231.0;101.0;17364.0;2675.0;295.0
148;En detail;1993 4e kwartaal;3131.0;1238.0;1506.0;226.0;161.0;18974.0;8872.0;289.0
149;En detail;1993;10185.0;4562.0;4192.0;933.0;498.0;71953.0;24531.0;1196.0
150;En detail;1994 1e kwartaal;3390.0;1277.0;1735.0;240.0;138.0;19062.0;9813.0;286.0
151;En detail;1994 2e kwartaal;2273.0;1166.0;726.0;262.0;119.0;18066.0;4228.0;322.0
152;En detail;1994 3e kwartaal;1898.0;1119.0;413.0;259.0;106.0;18870.0;2550.0;322.0
153;En detail;1994 4e kwartaal;2913.0;1261.0;1251.0;249.0;153.0;19450.0;7115.0;304.0
154;En detail;1994;10475.0;4824.0;4125.0;1009.0;516.0;75448.0;23706.0;1234.0
155;En detail;1995 1e kwartaal;3457.0;1288.0;1684.0;299.0;187.0;19505.0;9615.0;295.0
156;En detail;1995 2e kwartaal;2376.0;1178.0;722.0;306.0;171.0;18815.0;4218.0;322.0
157;En detail;1995 3e kwartaal;2057.0;1160.0;403.0;324.0;171.0;18658.0;2341.0;336.0
158;En detail;1995 4e kwartaal;3197.0;1309.0;1409.0;295.0;185.0;20109.0;8312.0;301.0
159;En detail;1995;11089.0;4934.0;4216.0;1225.0;713.0;77088.0;24486.0;1253.0
160;En detail;1996 1e kwartaal;3991.0;1383.0;2128.0;310.0;170.0;20134.0;12374.0;297.0
161;En detail;1996 2e kwartaal;2454.0;1215.0;744.0;348.0;148.0;18609.0;4290.0;348.0
162;En detail;1996 3e kwartaal;2112.0;1165.0;458.0;320.0;169.0;18097.0;2629.0;317.0
163;En detail;1996 4e kwartaal;3484.0;1391.0;1572.0;304.0;216.0;21462.0;8760.0;297.0
164;En detail;1996;12042.0;5154.0;4903.0;1281.0;703.0;78302.0;28053.0;1260.0
165;En detail;1997 1e kwartaal;3869.0;1448.0;1895.0;324.0;202.0;21791.0;10211.0;313.0
166;En detail;1997 2e kwartaal;2634.0;1322.0;794.0;331.0;187.0;20214.0;4226.0;319.0
167;En detail;1997 3e kwartaal;2209.0;1282.0;408.0;331.0;187.0;20174.0;2164.0;324.0
168;En detail;1997 4e kwartaal;3537.0;1457.0;1490.0;329.0;261.0;21620.0;7954.0;303.0
169;En detail;1997;12249.0;5510.0;4586.0;1316.0;838.0;83799.0;24554.0;1259.0
170;En detail;1998 1e kwartaal;3735.0;1439.0;1737.0;337.0;222.0;20920.0;8998.0;305.0
171;En detail;1998 2e kwartaal;2607.0;1321.0;742.0;345.0;198.0;20305.0;3864.0;316.0
172;En detail;1998 3e kwartaal;2309.0;1321.0;464.0;347.0;178.0;20492.0;2566.0;309.0
173;En detail;1998 4e kwartaal;3680.0;1490.0;1595.0;334.0;260.0;21560.0;8941.0;299.0
174;En detail;1998;12331.0;5571.0;4539.0;1363.0;858.0;83277.0;24369.0;1228.0
175;En detail;1999 1e kwartaal;3822.0;1489.0;1733.0;362.0;238.0;21972.0;9642.0;308.0
176;En detail;1999 2e kwartaal;2630.0;1302.0;668.0;391.0;269.0;20318.0;3776.0;334.0
177;En detail;1999 3e kwartaal;2383.0;1332.0;392.0;381.0;278.0;20892.0;2226.0;336.0
178;En detail;1999 4e kwartaal;3752.0;1506.0;1390.0;371.0;484.0;21595.0;8181.0;325.0
179;En detail;1999;12587.0;5629.0;4183.0;1505.0;1270.0;84777.0;23825.0;1303.0
180;En detail;2000 1e kwartaal;;;;;;;;
181;En detail;2000 2e kwartaal;;;;;;;;
182;En detail;2000 3e kwartaal;;;;;;;;
183;En detail;2000 4e kwartaal;;;;;;;;
184;En detail;2000;;;;;;;;
185;En detail;2001 1e kwartaal;;;;;;;;
186;En detail;2001 2e kwartaal;;;;;;;;
187;En detail;2001 3e kwartaal;;;;;;;;
188;En detail;2001 4e kwartaal;;;;;;;;
189;En detail;2001;;;;;;;;
190;En detail;2002 1e kwartaal;;;;;;;;
191;En detail;2002 2e kwartaal;;;;;;;;
192;En detail;2002 3e kwartaal;;;;;;;;
193;En detail;2002 4e kwartaal;;;;;;;;
194;En detail;2002;;;;;;;;
