ID;Perioden;Motorbenzine_1;GasolieDiesel_2;Autogas_3;TotaalMotorvoertuigen_4;BromEnMotorfietsen_5;PersonenautoS_6;Vrachtvoertuigen_7;SpecialeVoertuigen_8;TotaalMotorvoertuigen_9;PersonenautoS_10;Autobussen_11;Vrachtvoertuigen_12;SpecialeVoertuigen_13;TotaalMotorvoertuigen_14;PersonenautoS_15;Vrachtvoertuigen_16;BromEnMotorfietsenMotorbenzine_17;Motorbenzine_18;GasolieDiesel_19;AutogasLPG_20;GasolieDiesel_21;Motorbenzine_22;GasolieDiesel_23;AutogasLPG_24;Motorbenzine_25;GasolieDiesel_26;TotaalAfzet_27;Motorbenzine_28;GasolieDiesel_29;Autogas_30;TotaalVerbruik_31;TotaalMotorvoertuigen_32;BromEnMotorfietsen_33;PersonenautoS_34;Vrachtvoertuigen_35;SpecialeVoertuigen_36;TotaalMotorvoertuigen_37;PersonenautoS_38;Autobussen_39;Vrachtvoertuigen_40;SpecialeVoertuigen_41;TotaalMotorvoertuigen_42;PersonenautoS_43;Vrachtvoertuigen_44;BromEnMotorfietsenMotorbenzine_45;TotaalMotorbrandstoffen_46;Motorbenzine_47;GasolieDiesel_48;AutogasLPG_49;TotaalMotorbrandstoffen_50;GasolieDiesel_51;TotaalMotorbrandstoffen_52;Motorbenzine_53;GasolieDiesel_54;AutogasLPG_55;TotaalMotorbrandstoffen_56;Motorbenzine_57;GasolieDiesel_58
0;1991;4632;4550;1602;4715.0;85.0;4455.0;165.0;5.0;3985.0;1155.0;210.0;2525.0;95.0;1520.0;1465.0;55.0;85.0;4455.0;1155.0;1465.0;210.0;165.0;2525.0;55.0;5.0;95.0;353.4;151.8;163.2;38.4;333.7;154.4;2.8;146.0;5.4;0.2;142.9;41.4;7.5;90.6;3.4;36.4;35.1;1.3;2.8;222.6;146.0;41.4;35.1;7.5;7.5;97.3;5.4;90.6;1.3;3.6;0.2;3.4
1;1992;4810;4877;1568;4970.0;95.0;4705.0;165.0;5.0;4180.0;1155.0;205.0;2730.0;90.0;1420.0;1365.0;55.0;95.0;4705.0;1155.0;1365.0;205.0;165.0;2730.0;55.0;5.0;90.0;370.2;157.7;174.9;37.6;346.9;162.9;3.1;154.2;5.4;0.2;149.9;41.4;7.4;97.9;3.2;34.0;32.7;1.3;3.1;228.4;154.2;41.4;32.7;7.4;7.4;104.6;5.4;97.9;1.3;3.4;0.2;3.2
2;1993;5082;4919;1495;5090.0;110.0;4805.0;170.0;5.0;4155.0;1090.0;200.0;2780.0;85.0;1265.0;1210.0;55.0;110.0;4805.0;1090.0;1210.0;200.0;170.0;2780.0;55.0;5.0;85.0;378.8;166.6;176.4;35.8;346.2;166.9;3.6;157.5;5.6;0.2;149.0;39.1;7.2;99.7;3.0;30.3;29.0;1.3;3.6;225.6;157.5;39.1;29.0;7.2;7.2;106.6;5.6;99.7;1.3;3.2;0.2;3.0
3;1994;5160;5029;1473;5245.0;145.0;4930.0;165.0;5.0;4225.0;1165.0;205.0;2775.0;75.0;1290.0;1235.0;55.0;145.0;4930.0;1165.0;1235.0;205.0;165.0;2775.0;55.0;5.0;75.0;384.8;169.1;180.4;35.3;354.2;171.9;4.8;161.6;5.4;0.2;151.4;41.8;7.4;99.5;2.7;30.9;29.6;1.3;4.8;233.0;161.6;41.8;29.6;7.4;7.4;106.3;5.4;99.5;1.3;2.9;0.2;2.7
4;1995;5310;5124;1424;5305.0;110.0;5035.0;155.0;5.0;4355.0;1220.0;190.0;2870.0;75.0;1230.0;1180.0;45.0;110.0;5035.0;1220.0;1180.0;190.0;155.0;2870.0;45.0;5.0;75.0;392.0;174.1;183.8;34.1;359.4;173.9;3.6;165.0;5.1;0.2;156.2;43.8;6.8;102.9;2.7;29.3;28.3;1.1;3.6;237.1;165.0;43.8;28.3;6.8;6.8;109.1;5.1;102.9;1.1;2.9;0.2;2.7
5;1996;5382;5375;1383;5430.0;115.0;5165.0;145.0;5.0;4465.0;1200.0;190.0;3000.0;75.0;1075.0;1020.0;55.0;115.0;5165.0;1200.0;1020.0;190.0;145.0;3000.0;55.0;5.0;75.0;402.3;176.4;192.8;33.1;363.9;178.0;3.8;169.3;4.8;0.2;160.2;43.0;6.8;107.6;2.7;25.8;24.4;1.3;3.8;236.8;169.3;43.0;24.4;6.8;6.8;113.7;4.8;107.6;1.3;2.9;0.2;2.7
6;1997;5355;5531;1421;5495.0;120.0;5235.0;140.0;5.0;4660.0;1305.0;190.0;3095.0;75.0;1105.0;1045.0;55.0;120.0;5235.0;1305.0;1045.0;190.0;140.0;3095.0;55.0;5.0;75.0;408.0;175.5;198.4;34.0;374.0;180.3;3.9;171.6;4.6;0.2;167.3;46.8;6.8;111.0;2.7;26.3;25.0;1.3;3.9;243.4;171.6;46.8;25.0;6.8;6.8;116.9;4.6;111.0;1.3;2.9;0.2;2.7
7;1998;5418;5771;1384;5440.0;125.0;5180.0;130.0;0.0;5065.0;1455.0;190.0;3350.0;75.0;1015.0;950.0;60.0;125.0;5180.0;1455.0;950.0;190.0;130.0;3350.0;60.0;0.0;75.0;417.7;177.6;207.0;33.2;384.2;178.2;4.1;169.8;4.3;0.0;181.9;52.2;6.8;120.2;2.7;24.2;22.8;1.4;4.1;244.7;169.8;52.2;22.8;6.8;6.8;125.9;4.3;120.2;1.4;2.7;0.0;2.7
8;1999;5490;6130;1214;5715.0;125.0;5460.0;125.0;0.0;5475.0;1620.0;190.0;3590.0;75.0;970.0;900.0;65.0;125.0;5460.0;1620.0;900.0;190.0;125.0;3590.0;65.0;0.0;75.0;428.9;180.0;219.9;29.1;406.7;187.2;4.1;179.0;4.1;0.0;196.4;58.1;6.8;128.8;2.7;23.1;21.6;1.6;4.1;258.6;179.0;58.1;21.6;6.8;6.8;134.4;4.1;128.8;1.6;2.7;0.0;2.7
9;2000;5347;6483;1069;5745.0;130.0;5505.0;105.0;0.0;5860.0;1795.0;190.0;3790.0;80.0;950.0;880.0;70.0;130.0;5505.0;1795.0;880.0;190.0;105.0;3790.0;70.0;0.0;80.0;433.4;175.3;232.5;25.6;420.9;188.2;4.3;180.5;3.4;0.0;210.0;64.4;6.8;135.9;2.9;22.8;21.1;1.7;4.3;265.9;180.5;64.4;21.1;6.8;6.8;141.1;3.4;135.9;1.7;2.9;0.0;2.9
