ID;Perioden;TotaalWoningen_1;BewoondeWoningen_2;ParticuliereHuishoudens_3;Eenpersoonshuishoudens_4;Meerpersoonshuishouden_5;PersonenPerHuishouden_6;PersonenPerWoning_7
0;1982;4957;4858;5103;1139;3964;2.8;2.9
1;1983;5072;4971;5239;1240;3999;2.7;2.8
2;1984;5178;5069;5367;1343;4024;2.6;2.8
3;1985;5289;5183;5494;1449;4045;2.6;2.7
4;1986;5384;5276;5613;1556;4057;2.5;2.7
5;1987;5483;5373;5711;1604;4107;2.5;2.7
6;1988;5589;5476;5814;1658;4156;2.5;2.6
7;1989;5699;5585;5888;1699;4189;2.5;2.6
8;1990;5802;5686;6000;1767;4233;2.4;2.6
9;1991;5892;5774;6113;1829;4284;2.4;2.6
10;1992;5966;5846;6216;1779;4437;2.4;2.5
11;1993;6043;5923;6318;1941;4377;2.4;2.5
12;1994;6116;5996;6406;1986;4420;2.4;2.5
13;1995;6192;6087;6469;2109;4360;2.3;2.5
14;1996;6276;6178;6518;2124;4394;2.3;2.5
15;1997;6358;6269;6581;2158;4423;2.3;2.4
16;1998;6441;6360;6656;2201;4455;2.3;2.4
17;1999;6522;6443;6745;2255;4490;2.3;2.3
18;2000;6590;6505;6801;2272;4529;2.3;2.3
19;2001;6651;6566;6866;2308;4558;2.3;2.3
20;2002;6710;6627;6930;2344;4586;2.3;2.3
21;2003;6764;6671;6980;2379;4590;2.3;2.3
22;2004;6810;6714;7031;2414;4594;2.3;2.3
23;2005;6859;6758;7081;2448;4597;2.3;2.3
24;2006;6912;6801;7131;2483;4601;2.3;2.3
25;2007;6967;6866;7192;2524;4637;2.3;2.3
26;2008;7029;6931;7252;2564;4672;2.2;2.2
27;2009;7107;6996;7313;2605;4708;2.2;2.2
28;2012;7266;7141;7516;2765;4751;2.2;2.2
