ID;Onderwijssoort;Perioden;TotaalEnergiedragers_1;Elektriciteit_2;Aardgas_3;LichteStookolieEnHuisbrandolie_4;Stadsverwarming_5;TotaalEnergiedragers_6;Elektriciteit_7;Aardgas_8;LichteStookolieEnHuisbrandolie_9;Stadsverwarming_10;AantalOnderwijsinstellingen_11;AantalLeerlingenStudenten_12
0;Totaal onderwijs;1993;18.38;682.7;451.6;25.3;0.68;158.82;63.44;83.0;6.85;5.54;11022;3149
1;Totaal onderwijs;1997;18.26;824.2;444.6;10.8;0.84;201.57;83.27;107.36;3.27;7.67;9114;3137
2;Basisonderwijs;1993;5.07;111.0;143.3;2.67;0.04;41.84;12.03;28.68;0.73;0.45;8331;1415
3;Basisonderwijs;1997;4.92;129.0;137.6;0.8;0.08;53.64;15.29;37.16;0.27;0.95;7268;1502
4;Speciaal onderwijs;1993;1.09;26.1;29.1;1.66;0.02;9.26;2.9;5.72;0.45;0.18;989;111
5;Speciaal onderwijs;1997;1.19;31.9;33.0;0.0;0.03;12.84;3.68;8.8;0.0;0.32;966;120
6;Algemeen voortgezet onderwijs;1993;0.59;15.9;15.7;1.06;0.0;5.17;1.77;3.13;0.27;0.0;466;134
7;Algemeen voortgezet onderwijs;1997;0.22;7.6;5.6;0.4;0.0;2.54;0.86;1.5;0.09;0.05;125;52
8;Beroepsonderwijs;1993;0.72;21.7;14.8;4.35;0.01;6.63;2.36;2.95;1.09;0.18;168;89
9;Beroepsonderwijs;1997;0.05;3.1;0.9;0.2;0.01;0.73;0.36;0.27;0.05;0.09;10;9
10;Scholengemeenschap: Alg.voortgez. onderw;1993;1.54;53.9;38.8;2.53;0.03;14.75;5.9;7.9;0.68;0.27;417;427
11;Scholengemeenschap: Alg.voortgez. onderw;1997;0.83;38.9;20.1;0.8;0.03;10.3;4.22;5.49;0.27;0.32;197;205
12;Scholengemeenschap: Beroepsonderwijs;1993;1.99;58.4;48.0;4.65;0.08;18.06;6.44;9.71;1.23;0.68;324;290
13;Scholengemeenschap: Beroepsonderwijs;1997;2.0;93.1;46.4;1.6;0.13;24.46;10.44;12.39;0.54;1.23;128;284
14;Scholengemeenschap: Algv.+beroepsonderw.;1993;1.48;44.3;35.3;4.51;0.04;13.25;4.63;7.08;1.23;0.32;217;288
15;Scholengemeenschap: Algv.+beroepsonderw.;1997;2.93;110.6;72.6;3.9;0.09;35.39;13.39;19.83;1.18;1.09;333;578
16;Hoger beroepsonderwijs;1993;1.11;64.2;21.3;0.54;0.17;12.07;6.17;3.99;0.14;1.72;90;214
17;Hoger beroepsonderwijs;1997;1.16;75.2;23.7;0.5;0.12;14.66;7.35;5.9;0.18;1.23;68;233
18;Wetenschappelijk onderwijs;1993;4.79;287.2;105.2;3.83;0.29;37.8;21.28;13.84;1.0;1.68;20;182
19;Wetenschappelijk onderwijs;1997;4.96;334.8;104.8;2.5;0.35;46.92;27.73;16.06;0.68;2.5;19;154
