ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Omschrijving_47;Code_48;Omschrijving_49;Inwonertal_50;Omgevingsadressendichtheid_51
0;Aa en Hunze;1680;Aa en Hunze                                       ;Aa en Hunze                                       ;19;Assen                                             ;7100;Drenthe                                           ;7;Noord-Drenthe                                     ;70;Noord-Drenthe                                     ;700;Noord-Drenthe                                     ;706;GGD Drenthe                                       ;1;Noord-Nederland                                   ;2205;Drentse Veenkoloniën en Hondsrug                  ;2;Veenkoloniën en Oldambt                           ;1;Noord-Nederland                                   ;   NL1    ;Noord-Nederland                                   ;  NL13    ;Drenthe                                           ; NL131    ;Noord-Drenthe                                     ;3;Drenthe                                           ;22;Drenthe                                           ;5;Leeuwarden                                        ;3;Centraal-Groningen                                ;12;Groningse, Friese en Drentse Zandgronden          ;7;Noord- en Midden-Drenthe                          ;0;                                                  ;0;                                                  ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;25563;266
1;738;738;Aalburg                                           ;Aalburg                                           ;2;Breda                                             ;100;Midden- en West-Brabant                           ;34;Midden-Noord-Brabant                              ;340;Midden-Noord-Brabant                              ;3400;Midden-Noord-Brabant                              ;5206;GGD West-Brabant                                  ;17;Brabant                                           ;3004;Oostelijke Langstraat                             ;10;Rivierengebied                                    ;4;Zuid-Nederland                                    ;   NL4    ;Zuid-Nederland                                    ;  NL41    ;Noord-Brabant                                     ; NL412    ;Midden-Noord-Brabant                              ;20;Midden- en West-Brabant                           ;30;Noord-Brabant                                     ;1;'s-Hertogenbosch                                  ;25;West-Brabant                                      ;13;West- en Midden-Brabant                           ;35;Midden-Brabant                                    ;0;                                                  ;0;                                                  ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;12614;337
2;358;358;Aalsmeer                                          ;Aalsmeer                                          ;13;Amsterdam                                         ;5108;Amsterdam-Amstelland                              ;23;Groot-Amsterdam                                   ;232;Overig Groot-Amsterdam                            ;2323;Haarlemmermeer en omgeving                        ;3406;GGD Amsterdam                                     ;34;Amsterdam                                         ;2703;Amstelland en Aalsmeer                            ;7;Westelijk Holland                                 ;3;West-Nederland                                    ;   NL3    ;West-Nederland                                    ;  NL32    ;Noord-Holland                                     ; NL326    ;Groot-Amsterdam                                   ;13;Amsterdam-Amstelland                              ;27;Noord-Holland                                     ;4;Amsterdam                                         ;20;Zuidelijk Noord-Holland                           ;6;Hollands-Utrechtse meren                          ;21;Agglomeratie Amsterdam                            ;0;                                                  ;0;                                                  ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;29187;800
3;197;197;Aalten                                            ;Aalten                                            ;6;Zutphen                                           ;3105;Noord- en Oost-Gelderland                         ;14;Achterhoek                                        ;140;Achterhoek                                        ;1400;Achterhoek                                        ;1406;GGD Gelre-IJssel                                  ;9;Centraal-Gelderland                               ;2508;Achterhoek                                        ;4;Oostelijk Veehouderijgebied                       ;2;Oost-Nederland                                    ;   NL2    ;Oost-Nederland                                    ;  NL22    ;Gelderland                                        ; NL225    ;Achterhoek                                        ;6;Noord- en Oost-Gelderland                         ;25;Gelderland                                        ;2;Arnhem                                            ;12;Achterhoek                                        ;10;Achterhoek                                        ;13;Oost-Gelderland                                   ;0;                                                  ;0;                                                  ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;27500;727
4;305;305;Abcoude                                           ;Abcoude                                           ;16;Utrecht                                           ;5003;Utrechtsland                                      ;17;Utrecht                                           ;170;Utrecht                                           ;1701;Utrecht-West                                      ;2506;GGD Midden-Nederland                              ;30;Midden-Nederland                                  ;2602;Westelijk Weidegebied in Utrecht                  ;9;Hollands/Utrechts Weidegebied                     ;3;West-Nederland                                    ;   NL3    ;West-Nederland                                    ;  NL31    ;Utrecht                                           ; NL310    ;Utrecht                                           ;9;Utrecht                                           ;26;Utrecht                                           ;4;Amsterdam                                         ;20;Zuidelijk Noord-Holland                           ;6;Hollands-Utrechtse meren                          ;19;Utrecht                                           ;0;                                                  ;10;Amsterdam                                         ;2;5 000 tot 10 000 inwoners                         ;4;Weinig stedelijk         ;8764;664
5;59;59;Achtkarspelen                                     ;Achtkarspelen                                     ;17;Leeuwarden                                        ;2302;Fryslân                                           ;4;Noord-Friesland                                   ;40;Noord-Friesland                                   ;400;Noord-Friesland                                   ;7206;GGD Fryslân                                       ;1;Noord-Nederland                                   ;2103;De Wouden                                         ;3;Noordelijk Weidegebied                            ;1;Noord-Nederland                                   ;   NL1    ;Noord-Nederland                                   ;  NL12    ;Friesland (NL)                                    ; NL121    ;Noord-Friesland                                   ;2;Friesland                                         ;21;Friesland                                         ;5;Leeuwarden                                        ;4;FryslÔn                                           ;17;Overig Nederland                                  ;6;Friesland-Oost                                    ;0;                                                  ;0;                                                  ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;28088;386
6;482;482;Alblasserdam                                      ;Alblasserdam                                      ;11;Dordrecht                                         ;1000;Zuid-Holland-Zuid                                 ;30;Zuidoost-Zuid-Holland                             ;300;Zuidoost-Zuid-Holland                             ;3002;Overig Zuidoost-Zuid-Holland                      ;4810;GGD Zuid-Holland-Zuid                             ;24;Rotterdam                                         ;2807;Alblasserwaard en Vijfherenlanden                 ;9;Hollands/Utrechts Weidegebied                     ;3;West-Nederland                                    ;   NL3    ;West-Nederland                                    ;  NL33    ;Zuid-Holland                                      ; NL336    ;Zuidoost-Zuid-Holland                             ;18;Zuid-Holland-Zuid                                 ;28;Zuid-Holland                                      ;3;'s-Gravenhage                                     ;23;Rijnmond                                          ;17;Overig Nederland                                  ;30;Zuid-Holland-Zuid                                 ;0;                                                  ;15;Dordrecht                                         ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;19014;1387
7;613;613;Albrandswaard                                     ;Albrandswaard                                     ;10;Rotterdam                                         ;2000;Rotterdam-Rijnmond                                ;29;Groot-Rijnmond                                    ;291;Rijnmond                                          ;2910;Rijnmond                                          ;4607;GGD Rotterdam-Rijnmond                            ;24;Rotterdam                                         ;2802;Rotterdam en omgeving                             ;7;Westelijk Holland                                 ;3;West-Nederland                                    ;   NL3    ;West-Nederland                                    ;  NL33    ;Zuid-Holland                                      ; NL335    ;Groot-Rijnmond                                    ;17;Rotterdam-Rijnmond                                ;28;Zuid-Holland                                      ;3;'s-Gravenhage                                     ;23;Rijnmond                                          ;4;Deltagebied                                       ;29;Rijnmond                                          ;0;                                                  ;14;Rotterdam                                         ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;24191;959
8;361;361;Alkmaar                                           ;Alkmaar                                           ;14;Alkmaar                                           ;604;Noord-Holland-Noord                               ;19;Alkmaar en omgeving                               ;190;Alkmaar en omgeving                               ;1900;Alkmaar en omgeving                               ;2707;GGD Hollands-Noorden                              ;37;Noordwest-Holland                                 ;2708;Kennemerland                                      ;7;Westelijk Holland                                 ;3;West-Nederland                                    ;   NL3    ;West-Nederland                                    ;  NL32    ;Noord-Holland                                     ; NL322    ;Alkmaar en omgeving                               ;10;Noord-Holland-Noord                               ;27;Noord-Holland                                     ;4;Amsterdam                                         ;19;Noord-Holland-Noord                               ;17;Overig Nederland                                  ;24;Noord-Kennemerland                                ;0;                                                  ;0;                                                  ;5;50 000 tot 100 000 inwoners                       ;2;Sterk stedelijk          ;93861;2237
9;141;141;Almelo                                            ;Almelo                                            ;8;Almelo                                            ;3500;Twente                                            ;12;Twente                                            ;120;Twente                                            ;1200;Twente                                            ;1106;GGD Regio Twente                                  ;8;Oost-Nederland                                    ;2303;Twente                                            ;4;Oostelijk Veehouderijgebied                       ;2;Oost-Nederland                                    ;   NL2    ;Oost-Nederland                                    ;  NL21    ;Overijssel                                        ; NL213    ;Twente                                            ;5;Twente                                            ;23;Overijssel                                        ;2;Arnhem                                            ;7;Twente                                            ;11;Twente, Salland en Vechtstreek                    ;12;Twente                                            ;0;                                                  ;0;                                                  ;5;50 000 tot 100 000 inwoners                       ;3;Matig stedelijk          ;72602;1442
