ID;Energiedragers;Perioden;EnergieverbruikInDeSectorVervoer_1
0;1;1955;58.0
1;1;1956;66.0
2;1;1957;68.0
3;1;1958;74.0
4;1;1959;81.0
5;1;1960;90.0
6;1;1961;96.0
7;1;1962;106.0
8;1;1963;115.0
9;1;1964;126.0
10;1;1965;137.0
11;1;1966;148.0
12;1;1967;158.0
13;1;1968;171.0
14;1;1969;180.0
15;1;1970;198.0
16;1;1971;212.0
17;1;1972;226.0
18;1;1973;236.0
19;1;1974;225.0
20;1;1975;242.0
21;1;1976;268.0
22;1;1977;288.0
23;1;1978;294.0
24;1;1979;306.0
25;1;1980;315.0
26;1;1981;314.0
27;1;1982;312.0
28;1;1983;321.0
29;1;1984;322.0
30;1;1985;326.0
31;1;1986;339.0
32;1;1987;340.0
33;1;1988;353.0
34;1;1989;370.0
35;1;1990;375.0
36;1;1991;376.0
37;1;1992;394.0
38;1;1993;401.0
39;1;1994;408.0
40;1;1995;421.0
41;1;1996;447.0
42;1;1997;443.0
43;1;1998;442.0
44;1;1999 1e kwartaal;109.0
45;1;1999 2e kwartaal;121.0
46;1;1999 3e kwartaal;112.0
47;1;1999 4e kwartaal;116.0
48;1;1999;457.0
49;1;2000 1e kwartaal;116.0
50;1;2000 2e kwartaal;118.0
51;1;2000 3e kwartaal;110.0
52;1;2000 4e kwartaal;118.0
53;1;2000;462.0
54;1;2001 1e kwartaal;114.0
55;1;2001 2e kwartaal;119.0
56;1;2001 3e kwartaal;111.0
57;1;2001 4e kwartaal;123.0
58;1;2001;467.0
59;1;2002 1e kwartaal;116.0
60;1;2002 2e kwartaal;120.0
61;1;2002 3e kwartaal;116.0
62;1;2002 4e kwartaal;125.0
63;1;2002;476.0
64;1;2003 1e kwartaal;116.0
65;1;2003 2e kwartaal;123.0
66;1;2003 3e kwartaal;118.0
67;1;2003 4e kwartaal;125.0
68;1;2003;482.0
69;1;2004 1e kwartaal;119.0
70;1;2004 2e kwartaal;124.0
71;1;2004 3e kwartaal;119.0
72;1;2004 4e kwartaal;127.0
73;1;2004;488.0
74;1;2005 1e kwartaal;118.0
75;1;2005 2e kwartaal;125.0
76;1;2005 3e kwartaal;118.0
77;1;2005 4e kwartaal;126.0
78;1;2005;486.0
79;1;2006 1e kwartaal;123.0
80;1;2006 2e kwartaal;128.0
81;1;2006 3e kwartaal;120.0
82;1;2006 4e kwartaal;129.0
83;1;2006;500.0
84;1;2007 1e kwartaal;125.0
85;1;2007 2e kwartaal;127.0
86;1;2007 3e kwartaal;125.0
87;1;2007 4e kwartaal;128.0
88;1;2007;505.0
89;1;2008 1e kwartaal;127.0
90;1;2008 2e kwartaal;128.0
91;1;2008 3e kwartaal;122.0
92;1;2008 4e kwartaal;127.0
93;1;2008;504.0
94;1;2009 1e kwartaal;121.0
95;1;2009 2e kwartaal;124.0
96;1;2009 3e kwartaal;124.0
97;1;2009 4e kwartaal;119.0
98;1;2009;489.0
99;1;2010 1e kwartaal;119.0
