ID;Periods;PriceIndexOfExistingOwnHomes_1;ChangesComparedToOnePeriodEarlier_2;ChangesComparedToOneYearEarlier_3;NumberOfSoldDwellings_4;ChangesComparedToOnePeriodEarlier_5;ChangesComparedToOneYearEarlier_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
361;2016 April;91.4;0.2;4.2;16387;1.6;28.5;239522;3925
362;2016 May;91.7;0.4;4.3;16066;-2.0;25.3;236730;3803
363;2016 June;92.3;0.6;4.6;17862;11.2;17.9;242089;4324
364;2016 2nd quarter;91.8;1.0;4.4;50315;17.3;23.6;239542;12053
365;2016 July;93.3;1.2;4.9;19723;10.4;7.1;245980;4851
366;2016 August;94.1;0.9;6.0;19975;1.3;25.9;249054;4975
367;2016 September;94.9;0.8;5.9;21009;5.2;28.7;253498;5326
368;2016 3rd quarter;94.1;2.5;5.6;60707;20.7;20.0;249593;15152
369;2016 October;94.7;-0.2;5.6;17339;-17.5;6.2;247673;4294
370;2016 November;95.2;0.5;6.0;18255;5.3;25.5;246819;4506
371;2016 December;95.5;0.3;6.7;25280;38.5;17.2;246511;6232
372;2016 4th quarter;95.1;1.1;6.1;60874;0.3;16.1;246934;15032
373;2016;93.0;5.0;5.0;214793;20.5;20.5;243837;52374
374;2017 January;96.4;1.0;6.4;16555;-34.5;39.0;258467;4279
375;2017 February;96.7;0.3;6.7;17708;7.0;19.1;253388;4487
376;2017 March;97.8;1.1;7.3;21648;22.3;34.3;258838;5603
377;2017 1st quarter;97.0;2.0;6.8;55911;-8.2;30.3;257002;14369
378;2017 April;98.1;0.3;7.4;16694;-22.9;1.9;256800;4287
379;2017 May;98.9;0.8;7.8;19990;19.7;24.4;259615;5190
380;2017 June;99.6;0.7;8.0;21686;8.5;21.4;264362;5733
381;2017 2nd quarter;98.9;1.9;7.7;58370;4.4;16.0;260573;15210
382;2017 July;100.5;0.9;7.6;19979;-7.9;1.3;264007;5275
383;2017 August;101.5;1.0;7.8;20780;4.0;4.0;268452;5578
384;2017 September;101.8;0.3;7.3;20632;-0.7;-1.8;269817;5567
385;2017 3rd quarter;101.2;2.4;7.6;61391;5.2;1.1;267464;16420
386;2017 October;102.5;0.7;8.2;20143;-2.4;16.2;269083;5420
387;2017 November;103.0;0.5;8.2;19647;-2.5;7.6;267868;5263
388;2017 December;103.4;0.4;8.2;26398;34.4;4.4;265122;6999
389;2017 4th quarter;102.9;1.7;8.2;66188;7.8;8.7;267143;17682
390;2017;100.0;7.6;7.6;241860;12.6;12.6;263295;63680
