ID;MunicipalWaste;Region;Periods;MixedHouseholdWasteKgPerCapita_1;MixedHouseholdWasteTonnes_2
0;Mixed waste;Aa en Hunze;2023;;
1;Mixed waste;Aalsmeer;2023;161.0;5324.0
2;Mixed waste;Aalten;2023;;
3;Mixed waste;Achtkarspelen;2023;204.1;5745.2
4;Mixed waste;Alblasserdam;2023;;
5;Mixed waste;Albrandswaard;2023;166.4;4386.8
6;Mixed waste;Alkmaar;2023;16.0;1789.3
7;Mixed waste;Almelo;2023;;
8;Mixed waste;Almere;2023;80.1;17851.6
9;Mixed waste;Alphen aan den Rijn;2023;;
10;Mixed waste;Alphen-Chaam;2023;;
11;Mixed waste;Altena;2023;;
12;Mixed waste;Ameland;2023;552.1;2120.1
13;Mixed waste;Amersfoort;2023;;
14;Mixed waste;Amstelveen;2023;;
15;Mixed waste;Amsterdam;2023;27.7;25420.0
16;Mixed waste;Apeldoorn;2023;;
17;Mixed waste;Arnhem;2023;;
18;Mixed waste;Assen;2023;;
19;Mixed waste;Asten;2023;;
20;Mixed waste;Baarle-Nassau;2023;;
21;Mixed waste;Baarn;2023;124.5;3114.0
22;Mixed waste;Barendrecht;2023;191.2;9334.4
23;Mixed waste;Barneveld;2023;;
24;Mixed waste;Beek (L.);2023;11.2;180.2
25;Mixed waste;Beekdaelen;2023;;
26;Mixed waste;Beesel;2023;;
27;Mixed waste;Berg en Dal;2023;;
28;Mixed waste;Bergeijk;2023;;
29;Mixed waste;Bergen (L.);2023;;
30;Mixed waste;Bergen (NH.);2023;;
31;Mixed waste;Bergen op Zoom;2023;;
32;Mixed waste;Berkelland;2023;;
33;Mixed waste;Bernheze;2023;;
34;Mixed waste;Best;2023;;
35;Mixed waste;Beuningen;2023;;
36;Mixed waste;Beverwijk;2023;121.0;5168.0
37;Mixed waste;De Bilt;2023;;
38;Mixed waste;Bladel;2023;;
39;Mixed waste;Blaricum;2023;;
40;Mixed waste;Bloemendaal;2023;;
41;Mixed waste;Bodegraven-Reeuwijk;2023;;
42;Mixed waste;Boekel;2023;;
43;Mixed waste;Borger-Odoorn;2023;;
44;Mixed waste;Borne;2023;;
45;Mixed waste;Borsele;2023;;
46;Mixed waste;Boxtel;2023;;
47;Mixed waste;Breda;2023;;
48;Mixed waste;Bronckhorst;2023;;
49;Mixed waste;Brummen;2023;;
50;Mixed waste;Brunssum;2023;;
51;Mixed waste;Bunnik;2023;;
52;Mixed waste;Bunschoten;2023;151.2;3401.0
53;Mixed waste;Buren;2023;;
54;Mixed waste;Capelle aan den IJssel;2023;260.1;17572.9
55;Mixed waste;Castricum;2023;;
56;Mixed waste;Coevorden;2023;;
57;Mixed waste;Cranendonck;2023;;
58;Mixed waste;Culemborg;2023;;
59;Mixed waste;Dalfsen;2023;;
60;Mixed waste;Dantumadiel;2023;195.0;3743.1
61;Mixed waste;Delft;2023;18.3;1941.0
62;Mixed waste;Deurne;2023;;
63;Mixed waste;Deventer;2023;;
64;Mixed waste;Diemen;2023;;
65;Mixed waste;Dijk en Waard;2023;39.0;3468.6
66;Mixed waste;Dinkelland;2023;;
67;Mixed waste;Doesburg;2023;;
68;Mixed waste;Doetinchem;2023;;
69;Mixed waste;Dongen;2023;;
70;Mixed waste;Dordrecht;2023;;
71;Mixed waste;Drechterland;2023;;
72;Mixed waste;Drimmelen;2023;;
73;Mixed waste;Dronten;2023;;
74;Mixed waste;Druten;2023;;
75;Mixed waste;Duiven;2023;;
76;Mixed waste;Echt-Susteren;2023;;
77;Mixed waste;Edam-Volendam;2023;;
78;Mixed waste;Ede;2023;;
79;Mixed waste;Eemnes;2023;;
80;Mixed waste;Eemsdelta;2023;165.4;7505.9
81;Mixed waste;Eersel;2023;;
82;Mixed waste;Eijsden-Margraten;2023;;
83;Mixed waste;Eindhoven;2023;;
84;Mixed waste;Elburg;2023;196.3;4718.2
85;Mixed waste;Emmen;2023;;
86;Mixed waste;Enkhuizen;2023;;
87;Mixed waste;Enschede;2023;;
88;Mixed waste;Epe;2023;;
89;Mixed waste;Ermelo;2023;147.1;4043.7
90;Mixed waste;Etten-Leur;2023;;
91;Mixed waste;De Fryske Marren;2023;154.5;8033.4
92;Mixed waste;Geertruidenberg;2023;;
93;Mixed waste;Geldrop-Mierlo;2023;;
94;Mixed waste;Gemert-Bakel;2023;;
95;Mixed waste;Gennep;2023;;
96;Mixed waste;Gilze en Rijen;2023;;
97;Mixed waste;Goeree-Overflakkee;2023;;
98;Mixed waste;Goes;2023;;
99;Mixed waste;Goirle;2023;;
100;Mixed waste;Gooise Meren;2023;;
101;Mixed waste;Gorinchem;2023;138.6;5328.9
102;Mixed waste;Gouda;2023;;
103;Mixed waste;'s-Gravenhage (municipality);2023;136.0;76524.8
104;Mixed waste;Groningen (municipality);2023;193.9;46175.0
105;Mixed waste;Gulpen-Wittem;2023;;
106;Mixed waste;Haaksbergen;2023;;
107;Mixed waste;Haarlem;2023;15.1;2501.5
108;Mixed waste;Haarlemmermeer;2023;;
109;Mixed waste;Halderberge;2023;;
110;Mixed waste;Hardenberg;2023;;
111;Mixed waste;Harderwijk;2023;148.7;7270.2
112;Mixed waste;Hardinxveld-Giessendam;2023;117.1;2187.9
113;Mixed waste;Harlingen;2023;199.6;3230.4
114;Mixed waste;Hattem;2023;;
115;Mixed waste;Heemskerk;2023;60.3;2377.7
116;Mixed waste;Heemstede;2023;;
117;Mixed waste;Heerde;2023;;
118;Mixed waste;Heerenveen;2023;122.1;6302.8
119;Mixed waste;Heerlen;2023;;
120;Mixed waste;Heeze-Leende;2023;;
121;Mixed waste;Heiloo;2023;;
122;Mixed waste;Den Helder;2023;;
123;Mixed waste;Hellendoorn;2023;;
124;Mixed waste;Helmond;2023;;
125;Mixed waste;Hendrik-Ido-Ambacht;2023;;
126;Mixed waste;Hengelo (O.);2023;;
127;Mixed waste;'s-Hertogenbosch;2023;;
128;Mixed waste;Heumen;2023;;
129;Mixed waste;Heusden;2023;;
130;Mixed waste;Hillegom;2023;;
131;Mixed waste;Hilvarenbeek;2023;;
132;Mixed waste;Hilversum;2023;;
133;Mixed waste;Hoeksche Waard;2023;;
134;Mixed waste;Hof van Twente;2023;;
135;Mixed waste;Het Hogeland;2023;125.5;6062.2
136;Mixed waste;Hollands Kroon;2023;;
137;Mixed waste;Hoogeveen;2023;;
138;Mixed waste;Hoorn;2023;;
139;Mixed waste;Horst aan de Maas;2023;;
140;Mixed waste;Houten;2023;42.2;2132.3
141;Mixed waste;Huizen;2023;;
142;Mixed waste;Hulst;2023;;
143;Mixed waste;IJsselstein;2023;;
144;Mixed waste;Kaag en Braassem;2023;;
145;Mixed waste;Kampen;2023;;
146;Mixed waste;Kapelle;2023;;
147;Mixed waste;Katwijk;2023;;
148;Mixed waste;Kerkrade;2023;;
149;Mixed waste;Koggenland;2023;119.0;2797.0
150;Mixed waste;Krimpen aan den IJssel;2023;;
151;Mixed waste;Krimpenerwaard;2023;;
152;Mixed waste;Laarbeek;2023;;
153;Mixed waste;Land van Cuijk;2023;;
154;Mixed waste;Landgraaf;2023;;
155;Mixed waste;Landsmeer;2023;204.1;2389.0
156;Mixed waste;Lansingerland;2023;;
157;Mixed waste;Laren (NH.);2023;;
158;Mixed waste;Leeuwarden;2023;157.3;19994.9
159;Mixed waste;Leiden;2023;120.5;15308.0
160;Mixed waste;Leiderdorp;2023;4.2;115.3
161;Mixed waste;Leidschendam-Voorburg;2023;76.8;5970.0
162;Mixed waste;Lelystad;2023;;
163;Mixed waste;Leudal;2023;;
164;Mixed waste;Leusden;2023;;
165;Mixed waste;Lingewaard;2023;;
166;Mixed waste;Lisse;2023;;
167;Mixed waste;Lochem;2023;;
168;Mixed waste;Loon op Zand;2023;;
169;Mixed waste;Lopik;2023;;
170;Mixed waste;Losser;2023;;
171;Mixed waste;Maasdriel;2023;;
172;Mixed waste;Maasgouw;2023;;
173;Mixed waste;Maashorst;2023;;
174;Mixed waste;Maassluis;2023;;
175;Mixed waste;Maastricht;2023;;
176;Mixed waste;Medemblik;2023;0.0;0.0
177;Mixed waste;Meerssen;2023;;
178;Mixed waste;Meierijstad;2023;;
179;Mixed waste;Meppel;2023;;
180;Mixed waste;Middelburg (Z.);2023;;
181;Mixed waste;Midden-Delfland;2023;;
182;Mixed waste;Midden-Drenthe;2023;;
183;Mixed waste;Midden-Groningen;2023;;
184;Mixed waste;Moerdijk;2023;;
185;Mixed waste;Molenlanden;2023;114.6;5176.5
186;Mixed waste;Montferland;2023;;
187;Mixed waste;Montfoort;2023;;
188;Mixed waste;Mook en Middelaar;2023;;
189;Mixed waste;Neder-Betuwe;2023;;
190;Mixed waste;Nederweert;2023;;
191;Mixed waste;Nieuwegein;2023;205.0;13411.8
192;Mixed waste;Nieuwkoop;2023;;
193;Mixed waste;Nijkerk;2023;;
194;Mixed waste;Nijmegen;2023;0.0;0.0
195;Mixed waste;Nissewaard;2023;;
196;Mixed waste;Noardeast-Fryslân;2023;194.9;8930.0
197;Mixed waste;Noord-Beveland;2023;93.4;733.8
198;Mixed waste;Noordenveld;2023;;
199;Mixed waste;Noordoostpolder;2023;;
200;Mixed waste;Noordwijk;2023;;
201;Mixed waste;Nuenen, Gerwen en Nederwetten;2023;;
202;Mixed waste;Nunspeet;2023;192.5;5530.0
203;Mixed waste;Oegstgeest;2023;6.7;172.3
204;Mixed waste;Oirschot;2023;;
205;Mixed waste;Oisterwijk;2023;;
206;Mixed waste;Oldambt;2023;;
207;Mixed waste;Oldebroek;2023;143.0;3469.4
208;Mixed waste;Oldenzaal;2023;;
209;Mixed waste;Olst-Wijhe;2023;;
210;Mixed waste;Ommen;2023;;
211;Mixed waste;Oost Gelre;2023;;
212;Mixed waste;Oosterhout;2023;;
213;Mixed waste;Ooststellingwerf;2023;130.7;3376.5
214;Mixed waste;Oostzaan;2023;;
215;Mixed waste;Opmeer;2023;;
216;Mixed waste;Opsterland;2023;148.0;4448.5
217;Mixed waste;Oss;2023;;
218;Mixed waste;Oude IJsselstreek;2023;;
219;Mixed waste;Ouder-Amstel;2023;151.3;2160.4
220;Mixed waste;Oudewater;2023;;
221;Mixed waste;Overbetuwe;2023;;
222;Mixed waste;Papendrecht;2023;25.2;813.0
223;Mixed waste;Peel en Maas;2023;;
224;Mixed waste;Pekela;2023;;
225;Mixed waste;Pijnacker-Nootdorp;2023;;
226;Mixed waste;Purmerend;2023;117.3;11024.3
227;Mixed waste;Putten;2023;54.8;1363.5
228;Mixed waste;Raalte;2023;;
229;Mixed waste;Reimerswaal;2023;;
230;Mixed waste;Renkum;2023;76.6;2410.0
231;Mixed waste;Renswoude;2023;0.0;0.0
232;Mixed waste;Reusel-De Mierden;2023;;
233;Mixed waste;Rheden;2023;;
234;Mixed waste;Rhenen;2023;;
235;Mixed waste;Ridderkerk;2023;192.9;9158.4
236;Mixed waste;Rijssen-Holten;2023;;
237;Mixed waste;Rijswijk (ZH.);2023;161.3;9355.0
238;Mixed waste;Roerdalen;2023;;
239;Mixed waste;Roermond;2023;;
240;Mixed waste;De Ronde Venen;2023;;
241;Mixed waste;Roosendaal;2023;;
242;Mixed waste;Rotterdam;2023;275.4;182870.0
243;Mixed waste;Rozendaal;2023;;
244;Mixed waste;Rucphen;2023;;
245;Mixed waste;Schagen;2023;49.0;2324.5
246;Mixed waste;Scherpenzeel;2023;;
247;Mixed waste;Schiedam;2023;221.8;17884.2
248;Mixed waste;Schiermonnikoog;2023;368.1;361.5
249;Mixed waste;Schouwen-Duiveland;2023;;
250;Mixed waste;Simpelveld;2023;;
251;Mixed waste;Sint-Michielsgestel;2023;;
252;Mixed waste;Sittard-Geleen;2023;21.1;1948.2
253;Mixed waste;Sliedrecht;2023;;
254;Mixed waste;Sluis;2023;;
255;Mixed waste;Smallingerland;2023;26.3;1475.0
256;Mixed waste;Soest;2023;132.1;6269.0
257;Mixed waste;Someren;2023;;
258;Mixed waste;Son en Breugel;2023;;
259;Mixed waste;Stadskanaal;2023;;
260;Mixed waste;Staphorst;2023;;
261;Mixed waste;Stede Broec;2023;33.0;730.0
262;Mixed waste;Steenbergen;2023;;
263;Mixed waste;Steenwijkerland;2023;;
264;Mixed waste;Stein (L.);2023;6.6;162.6
265;Mixed waste;Stichtse Vecht;2023;;
266;Mixed waste;Súdwest-Fryslân;2023;193.1;17546.6
267;Mixed waste;Terneuzen;2023;232.7;12798.0
268;Mixed waste;Terschelling;2023;333.6;1644.0
269;Mixed waste;Texel;2023;;
270;Mixed waste;Teylingen;2023;;
271;Mixed waste;Tholen;2023;;
272;Mixed waste;Tiel;2023;;
273;Mixed waste;Tilburg;2023;;
274;Mixed waste;Tubbergen;2023;;
275;Mixed waste;Twenterand;2023;;
276;Mixed waste;Tynaarlo;2023;;
277;Mixed waste;Tytsjerksteradiel;2023;145.0;4697.8
278;Mixed waste;Uitgeest;2023;;
279;Mixed waste;Uithoorn;2023;;
280;Mixed waste;Urk;2023;;
281;Mixed waste;Utrecht (municipality);2023;191.7;70529.9
282;Mixed waste;Utrechtse Heuvelrug;2023;;
283;Mixed waste;Vaals;2023;;
284;Mixed waste;Valkenburg aan de Geul;2023;;
285;Mixed waste;Valkenswaard;2023;;
286;Mixed waste;Veendam;2023;;
287;Mixed waste;Veenendaal;2023;;
288;Mixed waste;Veere;2023;;
289;Mixed waste;Veldhoven;2023;;
290;Mixed waste;Velsen;2023;38.0;2614.0
291;Mixed waste;Venlo;2023;;
292;Mixed waste;Venray;2023;;
293;Mixed waste;Vijfheerenlanden;2023;119.0;7148.4
294;Mixed waste;Vlaardingen;2023;268.4;20150.9
295;Mixed waste;Vlieland;2023;478.9;618.3
296;Mixed waste;Vlissingen;2023;;
297;Mixed waste;Voerendaal;2023;;
298;Mixed waste;Voorne aan Zee;2023;;
299;Mixed waste;Voorschoten;2023;;
300;Mixed waste;Voorst;2023;;
301;Mixed waste;Vught;2023;;
302;Mixed waste;Waadhoeke;2023;192.1;8974.2
303;Mixed waste;Waalre;2023;;
304;Mixed waste;Waalwijk;2023;;
305;Mixed waste;Waddinxveen;2023;;
306;Mixed waste;Wageningen;2023;0.0;0.0
307;Mixed waste;Wassenaar;2023;223.0;6043.0
308;Mixed waste;Waterland;2023;;
309;Mixed waste;Weert;2023;238.2;12116.0
310;Mixed waste;West Betuwe;2023;;
311;Mixed waste;West Maas en Waal;2023;;
312;Mixed waste;Westerkwartier;2023;;
313;Mixed waste;Westerveld;2023;;
314;Mixed waste;Westervoort;2023;;
315;Mixed waste;Westerwolde;2023;175.6;4660.1
316;Mixed waste;Westland;2023;163.2;18748.0
317;Mixed waste;Weststellingwerf;2023;222.9;5899.0
318;Mixed waste;Wierden;2023;;
319;Mixed waste;Wijchen;2023;;
320;Mixed waste;Wijdemeren;2023;;
321;Mixed waste;Wijk bij Duurstede;2023;;
322;Mixed waste;Winterswijk;2023;;
323;Mixed waste;Woensdrecht;2023;;
324;Mixed waste;Woerden;2023;;
325;Mixed waste;De Wolden;2023;;
326;Mixed waste;Wormerland;2023;;
327;Mixed waste;Woudenberg;2023;;
328;Mixed waste;Zaanstad;2023;14.0;2235.0
329;Mixed waste;Zaltbommel;2023;;
330;Mixed waste;Zandvoort;2023;14.9;260.9
331;Mixed waste;Zeewolde;2023;;
332;Mixed waste;Zeist;2023;134.7;8976.0
333;Mixed waste;Zevenaar;2023;;
334;Mixed waste;Zoetermeer;2023;;
335;Mixed waste;Zoeterwoude;2023;;
336;Mixed waste;Zuidplas;2023;;
337;Mixed waste;Zundert;2023;;
338;Mixed waste;Zutphen;2023;;
339;Mixed waste;Zwartewaterland;2023;;
340;Mixed waste;Zwijndrecht;2023;;
341;Mixed waste;Zwolle;2023;;
342;Bulky household waste;Aa en Hunze;2023;;
343;Bulky household waste;Aalsmeer;2023;0.0;0.0
344;Bulky household waste;Aalten;2023;;
345;Bulky household waste;Achtkarspelen;2023;0.0;0.0
346;Bulky household waste;Alblasserdam;2023;;
347;Bulky household waste;Albrandswaard;2023;0.0;0.0
348;Bulky household waste;Alkmaar;2023;13.0;1453.8
349;Bulky household waste;Almelo;2023;;
350;Bulky household waste;Almere;2023;0.0;0.0
351;Bulky household waste;Alphen aan den Rijn;2023;;
352;Bulky household waste;Alphen-Chaam;2023;;
353;Bulky household waste;Altena;2023;;
354;Bulky household waste;Ameland;2023;0.0;0.0
355;Bulky household waste;Amersfoort;2023;;
356;Bulky household waste;Amstelveen;2023;;
357;Bulky household waste;Amsterdam;2023;0.0;0.0
358;Bulky household waste;Apeldoorn;2023;;
359;Bulky household waste;Arnhem;2023;;
360;Bulky household waste;Assen;2023;;
361;Bulky household waste;Asten;2023;;
362;Bulky household waste;Baarle-Nassau;2023;;
363;Bulky household waste;Baarn;2023;0.0;0.0
364;Bulky household waste;Barendrecht;2023;0.0;0.0
365;Bulky household waste;Barneveld;2023;;
366;Bulky household waste;Beek (L.);2023;30.7;495.1
367;Bulky household waste;Beekdaelen;2023;;
368;Bulky household waste;Beesel;2023;;
369;Bulky household waste;Berg en Dal;2023;;
370;Bulky household waste;Bergeijk;2023;;
371;Bulky household waste;Bergen (L.);2023;;
372;Bulky household waste;Bergen (NH.);2023;;
373;Bulky household waste;Bergen op Zoom;2023;;
374;Bulky household waste;Berkelland;2023;;
375;Bulky household waste;Bernheze;2023;;
376;Bulky household waste;Best;2023;;
377;Bulky household waste;Beuningen;2023;;
378;Bulky household waste;Beverwijk;2023;26.9;1150.0
379;Bulky household waste;De Bilt;2023;;
380;Bulky household waste;Bladel;2023;;
381;Bulky household waste;Blaricum;2023;;
382;Bulky household waste;Bloemendaal;2023;;
383;Bulky household waste;Bodegraven-Reeuwijk;2023;;
384;Bulky household waste;Boekel;2023;;
385;Bulky household waste;Borger-Odoorn;2023;;
386;Bulky household waste;Borne;2023;;
387;Bulky household waste;Borsele;2023;;
388;Bulky household waste;Boxtel;2023;;
389;Bulky household waste;Breda;2023;;
390;Bulky household waste;Bronckhorst;2023;;
391;Bulky household waste;Brummen;2023;;
392;Bulky household waste;Brunssum;2023;;
393;Bulky household waste;Bunnik;2023;;
394;Bulky household waste;Bunschoten;2023;0.0;0.0
395;Bulky household waste;Buren;2023;;
396;Bulky household waste;Capelle aan den IJssel;2023;0.0;0.0
397;Bulky household waste;Castricum;2023;;
398;Bulky household waste;Coevorden;2023;;
399;Bulky household waste;Cranendonck;2023;;
400;Bulky household waste;Culemborg;2023;;
401;Bulky household waste;Dalfsen;2023;;
402;Bulky household waste;Dantumadiel;2023;0.0;0.0
403;Bulky household waste;Delft;2023;0.0;0.0
404;Bulky household waste;Deurne;2023;;
405;Bulky household waste;Deventer;2023;;
406;Bulky household waste;Diemen;2023;;
407;Bulky household waste;Dijk en Waard;2023;0.0;0.0
408;Bulky household waste;Dinkelland;2023;;
409;Bulky household waste;Doesburg;2023;;
410;Bulky household waste;Doetinchem;2023;;
411;Bulky household waste;Dongen;2023;;
412;Bulky household waste;Dordrecht;2023;;
413;Bulky household waste;Drechterland;2023;;
414;Bulky household waste;Drimmelen;2023;;
415;Bulky household waste;Dronten;2023;;
416;Bulky household waste;Druten;2023;;
417;Bulky household waste;Duiven;2023;;
418;Bulky household waste;Echt-Susteren;2023;;
419;Bulky household waste;Edam-Volendam;2023;;
420;Bulky household waste;Ede;2023;;
421;Bulky household waste;Eemnes;2023;;
422;Bulky household waste;Eemsdelta;2023;0.0;0.0
423;Bulky household waste;Eersel;2023;;
424;Bulky household waste;Eijsden-Margraten;2023;;
425;Bulky household waste;Eindhoven;2023;;
426;Bulky household waste;Elburg;2023;0.0;0.0
427;Bulky household waste;Emmen;2023;;
428;Bulky household waste;Enkhuizen;2023;;
429;Bulky household waste;Enschede;2023;;
430;Bulky household waste;Epe;2023;;
431;Bulky household waste;Ermelo;2023;0.0;0.0
432;Bulky household waste;Etten-Leur;2023;;
433;Bulky household waste;De Fryske Marren;2023;22.2;1154.1
434;Bulky household waste;Geertruidenberg;2023;;
435;Bulky household waste;Geldrop-Mierlo;2023;;
436;Bulky household waste;Gemert-Bakel;2023;;
437;Bulky household waste;Gennep;2023;;
438;Bulky household waste;Gilze en Rijen;2023;;
439;Bulky household waste;Goeree-Overflakkee;2023;;
440;Bulky household waste;Goes;2023;;
441;Bulky household waste;Goirle;2023;;
442;Bulky household waste;Gooise Meren;2023;;
443;Bulky household waste;Gorinchem;2023;35.4;1362.3
444;Bulky household waste;Gouda;2023;;
445;Bulky household waste;'s-Gravenhage (municipality);2023;58.0;32651.0
446;Bulky household waste;Groningen (municipality);2023;0.0;0.0
447;Bulky household waste;Gulpen-Wittem;2023;;
448;Bulky household waste;Haaksbergen;2023;;
449;Bulky household waste;Haarlem;2023;25.7;4244.0
450;Bulky household waste;Haarlemmermeer;2023;;
451;Bulky household waste;Halderberge;2023;;
452;Bulky household waste;Hardenberg;2023;;
453;Bulky household waste;Harderwijk;2023;0.0;0.0
454;Bulky household waste;Hardinxveld-Giessendam;2023;29.9;559.3
455;Bulky household waste;Harlingen;2023;0.0;0.0
456;Bulky household waste;Hattem;2023;;
457;Bulky household waste;Heemskerk;2023;0.0;0.0
458;Bulky household waste;Heemstede;2023;;
459;Bulky household waste;Heerde;2023;;
460;Bulky household waste;Heerenveen;2023;0.0;0.0
461;Bulky household waste;Heerlen;2023;;
462;Bulky household waste;Heeze-Leende;2023;;
463;Bulky household waste;Heiloo;2023;;
464;Bulky household waste;Den Helder;2023;;
465;Bulky household waste;Hellendoorn;2023;;
466;Bulky household waste;Helmond;2023;;
467;Bulky household waste;Hendrik-Ido-Ambacht;2023;;
468;Bulky household waste;Hengelo (O.);2023;;
469;Bulky household waste;'s-Hertogenbosch;2023;;
470;Bulky household waste;Heumen;2023;;
471;Bulky household waste;Heusden;2023;;
472;Bulky household waste;Hillegom;2023;;
473;Bulky household waste;Hilvarenbeek;2023;;
474;Bulky household waste;Hilversum;2023;;
475;Bulky household waste;Hoeksche Waard;2023;;
476;Bulky household waste;Hof van Twente;2023;;
477;Bulky household waste;Het Hogeland;2023;0.0;0.0
478;Bulky household waste;Hollands Kroon;2023;;
479;Bulky household waste;Hoogeveen;2023;;
480;Bulky household waste;Hoorn;2023;;
481;Bulky household waste;Horst aan de Maas;2023;;
482;Bulky household waste;Houten;2023;22.7;1149.6
483;Bulky household waste;Huizen;2023;;
484;Bulky household waste;Hulst;2023;;
485;Bulky household waste;IJsselstein;2023;;
486;Bulky household waste;Kaag en Braassem;2023;;
487;Bulky household waste;Kampen;2023;;
488;Bulky household waste;Kapelle;2023;;
489;Bulky household waste;Katwijk;2023;;
490;Bulky household waste;Kerkrade;2023;;
491;Bulky household waste;Koggenland;2023;28.0;658.0
492;Bulky household waste;Krimpen aan den IJssel;2023;;
493;Bulky household waste;Krimpenerwaard;2023;;
494;Bulky household waste;Laarbeek;2023;;
495;Bulky household waste;Land van Cuijk;2023;;
496;Bulky household waste;Landgraaf;2023;;
497;Bulky household waste;Landsmeer;2023;0.0;0.0
498;Bulky household waste;Lansingerland;2023;;
499;Bulky household waste;Laren (NH.);2023;;
500;Bulky household waste;Leeuwarden;2023;21.8;2768.0
501;Bulky household waste;Leiden;2023;0.0;0.0
502;Bulky household waste;Leiderdorp;2023;0.0;0.0
503;Bulky household waste;Leidschendam-Voorburg;2023;0.0;0.0
504;Bulky household waste;Lelystad;2023;;
505;Bulky household waste;Leudal;2023;;
506;Bulky household waste;Leusden;2023;;
507;Bulky household waste;Lingewaard;2023;;
508;Bulky household waste;Lisse;2023;;
509;Bulky household waste;Lochem;2023;;
510;Bulky household waste;Loon op Zand;2023;;
511;Bulky household waste;Lopik;2023;;
512;Bulky household waste;Losser;2023;;
513;Bulky household waste;Maasdriel;2023;;
514;Bulky household waste;Maasgouw;2023;;
515;Bulky household waste;Maashorst;2023;;
516;Bulky household waste;Maassluis;2023;;
517;Bulky household waste;Maastricht;2023;;
518;Bulky household waste;Medemblik;2023;9.0;414.0
519;Bulky household waste;Meerssen;2023;;
520;Bulky household waste;Meierijstad;2023;;
521;Bulky household waste;Meppel;2023;;
522;Bulky household waste;Middelburg (Z.);2023;;
523;Bulky household waste;Midden-Delfland;2023;;
524;Bulky household waste;Midden-Drenthe;2023;;
525;Bulky household waste;Midden-Groningen;2023;;
526;Bulky household waste;Moerdijk;2023;;
527;Bulky household waste;Molenlanden;2023;29.3;1323.4
528;Bulky household waste;Montferland;2023;;
529;Bulky household waste;Montfoort;2023;;
530;Bulky household waste;Mook en Middelaar;2023;;
531;Bulky household waste;Neder-Betuwe;2023;;
532;Bulky household waste;Nederweert;2023;;
533;Bulky household waste;Nieuwegein;2023;19.8;1293.0
534;Bulky household waste;Nieuwkoop;2023;;
535;Bulky household waste;Nijkerk;2023;;
536;Bulky household waste;Nijmegen;2023;2.4;442.1
537;Bulky household waste;Nissewaard;2023;;
538;Bulky household waste;Noardeast-Fryslân;2023;0.0;0.0
539;Bulky household waste;Noord-Beveland;2023;0.0;0.0
540;Bulky household waste;Noordenveld;2023;;
541;Bulky household waste;Noordoostpolder;2023;;
542;Bulky household waste;Noordwijk;2023;;
543;Bulky household waste;Nuenen, Gerwen en Nederwetten;2023;;
544;Bulky household waste;Nunspeet;2023;0.0;0.0
545;Bulky household waste;Oegstgeest;2023;0.0;0.0
546;Bulky household waste;Oirschot;2023;;
547;Bulky household waste;Oisterwijk;2023;;
548;Bulky household waste;Oldambt;2023;;
549;Bulky household waste;Oldebroek;2023;0.0;0.0
550;Bulky household waste;Oldenzaal;2023;;
551;Bulky household waste;Olst-Wijhe;2023;;
552;Bulky household waste;Ommen;2023;;
553;Bulky household waste;Oost Gelre;2023;;
554;Bulky household waste;Oosterhout;2023;;
555;Bulky household waste;Ooststellingwerf;2023;0.0;0.0
556;Bulky household waste;Oostzaan;2023;;
557;Bulky household waste;Opmeer;2023;;
558;Bulky household waste;Opsterland;2023;0.0;0.0
559;Bulky household waste;Oss;2023;;
560;Bulky household waste;Oude IJsselstreek;2023;;
561;Bulky household waste;Ouder-Amstel;2023;0.0;0.0
562;Bulky household waste;Oudewater;2023;;
563;Bulky household waste;Overbetuwe;2023;;
564;Bulky household waste;Papendrecht;2023;0.0;0.0
565;Bulky household waste;Peel en Maas;2023;;
566;Bulky household waste;Pekela;2023;;
567;Bulky household waste;Pijnacker-Nootdorp;2023;;
568;Bulky household waste;Purmerend;2023;24.9;2339.2
569;Bulky household waste;Putten;2023;0.0;0.0
570;Bulky household waste;Raalte;2023;;
571;Bulky household waste;Reimerswaal;2023;;
572;Bulky household waste;Renkum;2023;26.1;822.0
573;Bulky household waste;Renswoude;2023;1.6;9.0
574;Bulky household waste;Reusel-De Mierden;2023;;
575;Bulky household waste;Rheden;2023;;
576;Bulky household waste;Rhenen;2023;;
577;Bulky household waste;Ridderkerk;2023;0.0;0.0
578;Bulky household waste;Rijssen-Holten;2023;;
579;Bulky household waste;Rijswijk (ZH.);2023;0.0;0.0
580;Bulky household waste;Roerdalen;2023;;
581;Bulky household waste;Roermond;2023;;
582;Bulky household waste;De Ronde Venen;2023;;
583;Bulky household waste;Roosendaal;2023;;
584;Bulky household waste;Rotterdam;2023;0.0;0.0
585;Bulky household waste;Rozendaal;2023;;
586;Bulky household waste;Rucphen;2023;;
587;Bulky household waste;Schagen;2023;0.0;0.0
588;Bulky household waste;Scherpenzeel;2023;;
589;Bulky household waste;Schiedam;2023;0.0;0.0
590;Bulky household waste;Schiermonnikoog;2023;0.0;0.0
591;Bulky household waste;Schouwen-Duiveland;2023;;
592;Bulky household waste;Simpelveld;2023;;
593;Bulky household waste;Sint-Michielsgestel;2023;;
594;Bulky household waste;Sittard-Geleen;2023;29.3;2699.6
595;Bulky household waste;Sliedrecht;2023;;
596;Bulky household waste;Sluis;2023;;
597;Bulky household waste;Smallingerland;2023;7.7;432.0
598;Bulky household waste;Soest;2023;0.0;0.0
