ID;Uitvoerstromen;Perioden;Uitvoerwaarde_1;ToegevoegdeWaardeDoorUitvoer_2;AandeelToegevoegdeWaardeInBbp_3;AandeelToegevoegdeWaardeInUitvoer_4;InvoerIntermediaireGoederenDiensten_5;InvoerVoorWederuitvoer_6;WerkgelegenheidTotaal_7;AandeelInNederlandseWerkgelegenheid_8
0;Uitvoer van goederen en diensten;2021;770.7;303.7;34.1;39.4;467.1;249.2;2425.8;30.8
1;Uitvoer van goederen en diensten;2022;958.5;355.0;35.7;37.0;603.5;330.7;2572.3;31.5
2;Uitvoer van goederen en diensten;2023;945.2;375.9;35.2;39.8;569.3;309.9;2613.7;31.4
3;Totale uitvoer van goederen;2021;560.2;179.5;20.1;32.0;380.7;230.6;1342.7;17.1
4;Totale uitvoer van goederen;2022;705.2;200.4;20.2;28.4;504.7;315.4;1358.2;16.6
5;Totale uitvoer van goederen;2023;676.9;207.9;19.5;30.7;469.1;295.9;1369.3;16.4
6;Uitvoer Nederlands product;2021;279.2;142.0;15.9;50.9;137.2;0.0;1063.5;13.5
7;Uitvoer Nederlands product;2022;334.6;160.1;16.1;47.9;174.5;0.0;1070.6;13.1
8;Uitvoer Nederlands product;2023;324.5;165.9;15.5;51.1;158.7;0.0;1079.5;13.0
9;Wederuitvoer;2021;281.0;37.5;4.2;13.4;243.5;230.6;279.3;3.5
10;Wederuitvoer;2022;370.6;40.4;4.1;10.9;330.2;315.4;287.7;3.5
11;Wederuitvoer;2023;352.4;42.0;3.9;11.9;310.4;295.9;289.7;3.5
12;Uitvoer diensten (incl. reisverkeer);2021;210.5;124.1;13.9;59.0;86.4;18.6;1083.1;13.8
13;Uitvoer diensten (incl. reisverkeer);2022;253.3;154.5;15.5;61.0;98.8;15.3;1214.0;14.9
14;Uitvoer diensten (incl. reisverkeer);2023;268.3;168.0;15.7;62.6;100.3;14.0;1244.5;14.9
