ID;Periods;TheNetherlandsHICP_1;EuroAreaMUICP_2;EuropeanUnionEICP_3;TheNetherlandsHICP_4;EuroAreaMUICP_5;EuropeanUnionEICP_6
0;1996 January;67.94;70.97;69.4;;;
1;1996 February;68.29;71.29;69.7;;;
2;1996 March;69.11;71.54;70.0;;;
3;1996 April;69.32;71.66;70.19;;;
4;1996 May;69.04;71.83;70.37;;;
5;1996 June;68.7;71.84;70.39;;;
6;1996 July;68.49;71.84;70.28;;;
7;1996 August;68.36;71.8;70.32;;;
8;1996 September;69.11;71.93;70.53;;;
9;1996 October;69.32;72.0;70.58;;;
10;1996 November;69.18;72.01;70.61;;;
11;1996 December;69.11;72.19;70.8;;;
12;1996;68.83;71.74;70.26;;;
13;1997 January;69.11;72.42;70.92;1.7;2.0;2.2
14;1997 February;69.25;72.59;71.07;1.4;1.8;2.0
15;1997 March;69.94;72.65;71.19;1.2;1.6;1.7
16;1997 April;70.01;72.6;71.22;1.0;1.3;1.5
17;1997 May;70.15;72.8;71.43;1.6;1.4;1.5
18;1997 June;69.73;72.83;71.47;1.5;1.4;1.5
19;1997 July;69.8;72.9;71.45;1.9;1.5;1.7
20;1997 August;70.08;73.02;71.61;2.5;1.7;1.8
21;1997 September;70.83;73.07;71.74;2.5;1.6;1.7
22;1997 October;70.9;73.09;71.78;2.3;1.5;1.7
23;1997 November;70.9;73.18;71.87;2.5;1.6;1.8
24;1997 December;70.63;73.26;71.95;2.2;1.5;1.6
25;1997;70.11;72.87;71.48;1.9;1.6;1.7
26;1998 January;70.21;73.2;71.83;1.6;1.1;1.3
27;1998 February;70.7;73.4;72.0;2.1;1.1;1.3
28;1998 March;71.45;73.46;72.13;2.2;1.1;1.3
29;1998 April;71.73;73.61;72.35;2.5;1.4;1.6
30;1998 May;71.59;73.76;72.54;2.1;1.3;1.6
31;1998 June;71.25;73.8;72.55;2.2;1.3;1.5
32;1998 July;71.04;73.83;72.47;1.8;1.3;1.4
33;1998 August;71.04;73.85;72.53;1.4;1.1;1.3
34;1998 September;71.73;73.79;72.58;1.3;1.0;1.2
35;1998 October;71.94;73.77;72.57;1.5;0.9;1.1
36;1998 November;71.94;73.77;72.58;1.5;0.8;1.0
