ID;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6
0;1993 januari;67;;;;;
1;1993 februari;69;;;;;
2;1993 maart;78;;;;;
3;1993 1e kwartaal;71;;;;;
4;1993 april;78;;;;;
5;1993 mei;79;;;;;
6;1993 juni;79;;;;;
7;1993 2e kwartaal;78;;;;;
8;1993 juli;80;;;;;
9;1993 augustus;70;;;;;
10;1993 september;77;;;;;
11;1993 3e kwartaal;76;;;;;
12;1993 oktober;76;;;;;
13;1993 november;72;;;;;
14;1993 december;91;;;;;
15;1993 4e kwartaal;80;;;;;
16;1993;76;;;;;
17;1994 januari;70;;;4.3;;
18;1994 februari;71;;;2.9;;
19;1994 maart;88;;;13.0;;
20;1994 1e kwartaal;76;;;7.0;;
21;1994 april;80;;;2.3;;
22;1994 mei;79;;;0.6;;
23;1994 juni;84;;;6.2;;
24;1994 2e kwartaal;81;;;3.0;;
25;1994 juli;77;;;-4.4;;
26;1994 augustus;73;;;5.3;;
27;1994 september;77;;;0.1;;
28;1994 3e kwartaal;76;;;0.1;;
29;1994 oktober;76;;;-0.4;;
30;1994 november;76;;;5.4;;
31;1994 december;91;;;0.3;;
32;1994 4e kwartaal;81;;;1.6;;
33;1994;79;;;2.9;;
34;1995 januari;69;;;-1.2;;
35;1995 februari;73;;;2.6;;
36;1995 maart;85;;;-3.1;;
37;1995 1e kwartaal;76;;;-0.8;;
38;1995 april;78;;;-1.6;;
39;1995 mei;82;;;3.8;;
40;1995 juni;85;;;1.8;;
41;1995 2e kwartaal;82;;;1.3;;
42;1995 juli;75;;;-2.1;;
43;1995 augustus;78;;;6.7;;
44;1995 september;81;;;4.7;;
45;1995 3e kwartaal;78;;;3.0;;
46;1995 oktober;78;;;3.0;;
47;1995 november;79;;;4.3;;
48;1995 december;90;;;-1.0;;
49;1995 4e kwartaal;83;;;1.9;;
50;1995;80;;;1.4;;
51;1996 januari;74;;;6.7;;
52;1996 februari;77;;;6.4;;
53;1996 maart;85;;;-0.4;;
54;1996 1e kwartaal;79;;;3.9;;
55;1996 april;81;;;3.2;;
56;1996 mei;90;;;9.2;;
57;1996 juni;83;;;-2.2;;
58;1996 2e kwartaal;85;;;3.3;;
59;1996 juli;82;;;9.7;;
60;1996 augustus;83;;;5.7;;
61;1996 september;79;;;-2.8;;
62;1996 3e kwartaal;81;;;4.1;;
63;1996 oktober;86;;;9.9;;
64;1996 november;82;;;2.9;;
65;1996 december;91;;;0.8;;
66;1996 4e kwartaal;86;;;4.4;;
67;1996;83;;;3.9;;
68;1997 januari;81;;;9.2;;
69;1997 februari;78;;;1.2;;
70;1997 maart;87;;;2.1;;
71;1997 1e kwartaal;82;;;4.0;;
72;1997 april;85;;;4.8;;
73;1997 mei;94;;;4.8;;
74;1997 juni;85;;;2.4;;
75;1997 2e kwartaal;88;;;4.0;;
76;1997 juli;89;;;8.3;;
77;1997 augustus;82;;;-1.3;;
78;1997 september;85;;;7.9;;
79;1997 3e kwartaal;85;;;4.9;;
80;1997 oktober;92;;;7.5;;
81;1997 november;85;;;3.3;;
82;1997 december;99;;;8.8;;
83;1997 4e kwartaal;92;;;6.7;;
84;1997;87;;;4.9;;
85;1998 januari;85;;;5.6;;
86;1998 februari;82;;;4.6;;
87;1998 maart;88;;;1.7;;
88;1998 1e kwartaal;85;;;3.9;;
89;1998 april;92;;;8.6;;
90;1998 mei;94;;;0.2;;
91;1998 juni;89;;;4.8;;
92;1998 2e kwartaal;92;;;4.4;;
93;1998 juli;95;;;6.9;;
94;1998 augustus;82;;;0.3;;
95;1998 september;90;;;6.7;;
96;1998 3e kwartaal;89;;;4.7;;
97;1998 oktober;94;;;1.9;;
98;1998 november;83;;;-2.0;;
99;1998 december;106;;;7.4;;
100;1998 4e kwartaal;95;;;2.7;;
101;1998;90;;;3.9;;
102;1999 januari;84;;;-0.9;;
103;1999 februari;84;;;2.5;;
104;1999 maart;97;;;10.3;;
105;1999 1e kwartaal;89;;;4.1;;
106;1999 april;95;;;3.2;;
107;1999 mei;94;;;-0.1;;
108;1999 juni;98;;;9.9;;
109;1999 2e kwartaal;96;;;4.3;;
110;1999 juli;100;;;4.9;;
111;1999 augustus;87;;;5.9;;
112;1999 september;97;;;7.8;;
113;1999 3e kwartaal;95;;;6.2;;
114;1999 oktober;97;;;3.3;;
115;1999 november;93;;;12.5;;
116;1999 december;116;;;9.2;;
117;1999 4e kwartaal;102;;;8.2;;
118;1999;95;;;5.7;;
119;2000 januari;88;100.0;89.0;4.4;;
120;2000 februari;94;100.0;94.0;12.2;;
121;2000 maart;104;99.0;104.0;6.8;;
122;2000 1e kwartaal;95;100.0;96.0;7.7;;
123;2000 april;97;100.0;98.0;2.8;;
124;2000 mei;104;100.0;104.0;10.2;;
125;2000 juni;101;100.0;102.0;3.2;;
126;2000 2e kwartaal;101;100.0;101.0;5.4;;
127;2000 juli;99;100.0;99.0;-1.3;;
128;2000 augustus;99;100.0;99.0;13.8;;
129;2000 september;100;100.0;100.0;2.8;;
130;2000 3e kwartaal;99;100.0;99.0;4.7;;
131;2000 oktober;98;100.0;98.0;0.6;;
132;2000 november;102;101.0;101.0;9.2;;
133;2000 december;114;101.0;113.0;-2.2;;
134;2000 4e kwartaal;104;101.0;104.0;2.2;;
135;2000;100;100.0;100.0;4.9;;
136;2001 januari;95;105.0;91.0;8.0;5.4;2.5
137;2001 februari;98;105.0;93.0;3.9;5.6;-1.6
