ID;Bedrijfsgrootte;PersoneelDatWerktMetInternet_1;OnlineVergaderen_2;Bedrijfsemails_3;Bedrijfsdocumenten_4;BedrijfsapplicatiesOfSoftware_5;Telewerkers_6;TelewerkKomtVoor_7;ICTPersAangenomenWillenAannemen_8;ICTVacaturesLastigTeVullen_9;TekortAanSollicitanten_10;SollicitantenMissenJuisteICTKennis_11;SollicitantenMissenWerkervaring_12;SollicitantenEisenTeHoogSalaris_13;EigenPersoneel_14;ExterneLeverancier_15;EigenPersoneelEnExterneLeverancier_16;ICTSpecialistenInLoondienst_17;ICTCursusAanICTSpecialisten_18;ICTCursusAanOverigPersoneel_19;InternetVast_20;MinderDan30MbitS_21;k_30Tot100MbitS_22;k_100Tot500MbitS_23;k_500MbitSTot1GbitS_24;TenMinste1GbitS_25;SnelheidVasteVerbindingVoldoende_26;MobielInternetVerstrekt_27;PersoneelDatWerktMetMobielInternet_28;BedrijvenMetWebsite_29;MobieleAppVoorKlanten_30;WebsiteAppHeeftPlatformfunctie_31;ClouddienstenGebruikt_32;EMail_33;OfficeSoftware_34;OpslagDatabases_35;BestandenOpslaan_36;BoekhoudingSoftware_37;ERPSoftware_38;KlantbeheerSoftware_39;Veiligheidssoftware_40;Rekenkracht_41;Rekenplatform_42;BestandenOfDatabasesOpslag_43;AIGebruikt_44;TextMining_45;Spraakherkenning_46;NaturalLanguageGeneration_47;AfbeeldingHerkenning_48;MachineLearning_49;RobotOndersteundeProcesautomatisering_50;ServiceRobotsOfAutonomeVoertuigen_51;VoorMarketingOfVerkoop_52;ProductieOfServiceprocessen_53;AdministratieveProcessenBestuurtaken_54;Logistiek_55;ICTBeveiliging_56;BoekhoudingControleFinancieelBeheer_57;OnderzoekOntwikkelingOfInnovatie_58;EigenWerknemersOntwikkeld_59;CommercieelZelfAangepast_60;OpenSourceZelfAangepast_61;CommercieelGebruikt_62;ExternOntwikkeld_63;VerwerkIndividuenGegevensMetAI_64;ControleerMogelijkeAIVertekening_65;HeeftAIOverwogen_66;KostenZijnTeHoog_67;GebrekAanRelevanteErvaringInBedrijf_68;IncompatibiliteitBestaandeICTSysteem_69;MoeilijkhedenBeschikbaarheidGegevens_70;BezorgdheidSchendingGegevensbescherm_71;OnduidelijkheidOverJuridischeGevolgen_72;EthischeOverwegingen_73;NietNuttigVoorOnderneming_74;AntiVirussoftware_75;BeleidVoorSterkeWachtwoorden_76;BiometrischeMethoden_77;AuthenticatieViaSoftOfHardwaretoken_78;EncryptieVanData_79;GegevensOpAndereFysiekeLocatie_80;NetworkAccessControl_81;VPNInternetgebruikBuitenHetBedrijf_82;LogbestandenVoorAnalyseIncidenten_83;MethodesVoorBeoordelenICTVeiligheid_84;Risicoanalyses_85;ICTBeveiligingsmonitoringsysteem_86;VrijwilligeTraining_87;VerplichteTraining_88;MetContract_89;ICTVeiligheidsdocumentenAanwezig_90;MinderDan12MaandenGeleden_91;TussenDe12En24MaandenGeleden_92;MeerDan24MaandenGeleden_93;UitbesteedAanExternBedrijf_94;EigenPersoneel_95;EigenPersoneelEnExternBedrijf_96;NietVanToepassing_97;IncidentMetInterneOorzaakGehad_98;IncidentDoorAanvalVanBuitenGehad_99;UitvalICTDienstDoorVeiligheidsinc_100;VernietigingDataDoorVeiligheidsinc_101;OnthullingDoorInternIncident_102;UitvalICTDienstDoorAanvalBuitenaf_103;VernietigingDataAanvalVanBuitenaf_104;OnthullingGegevensDoorICTInbraak_105;KostenIncidentInternGehad_106;KostenIncidentAanvalBuitenafGehad_107;UitvalICTDienstDoorVeiligheidsinc_108;VernietigingDataDoorVeiligheidsinc_109;OnthullingDoorInternIncident_110;UitvalICTDienstDoorAanvalBuitenaf_111;VernietigingDataAanvalBuitenaf_112;OnthullingDoorICTInbraak_113;RansomwareAanvalGehad_114;ICTSystemenZijnGeblokkeerd_115;BedrijfsinformatieIsGestolen_116;LosgeldBetaald_117;ICTSystemen_118;Bedrijfsgegevens_119;AndereKostenRansomwareAanvalGehad_120;Politie_121;Cybersecurity_122;VerzekeringICTVeiligheidsincidenten_123;GezochtNaarMeldingenCyberdreigingen_124;BekendMetDTC_125;DTCWebsiteAlsBronGebruikt_126;VerkoopViaWebsiteOfApp_127;KlantenInNederland_128;KlantenInAndereEULanden_129;KlantenInLandenBuitenDeEU_130;FysiekeGoederen_131;DigitaleGoederenOfDiensten_132;NietDigitaleDiensten_133;FysiekeGoederen_134;DigitaleGoederenOfDiensten_135;NietDigitaleDiensten_136;Verkoopwaarde1VanDeTotaleOmzet_137;Verkoopwaarde1VanDeTotaleOmzet_138;Verkoopwaarde2VanDeTotaleOmzet_139;Verkoopwaarde5VanDeTotaleOmzet_140;Verkoopwaarde10VanDeTotaleOmzet_141;Verkoopwaarde25VanDeTotaleOmzet_142;Verkoopwaarde50VanDeTotaleOmzet_143;ViaWebsiteOfAppsVanEigenBedrijf_144;PercentageOmzetViaOnlinePlatforms_145;VerkoopViaECommerce_146;Verkoopwaarde1VanDeTotaleOmzet_147;Verkoopwaarde1VanDeTotaleOmzet_148;Verkoopwaarde2VanDeTotaleOmzet_149;Verkoopwaarde5VanDeTotaleOmzet_150;Verkoopwaarde10VanDeTotaleOmzet_151;Verkoopwaarde25VanDeTotaleOmzet_152;Verkoopwaarde50VanDeTotaleOmzet_153;ViaEen_154;ViaTwee_155;ViaDrieOfMeer_156;MeerDan75VanOmzetUitEenPlatform_157;BetaaldAanPlatforms_158;VerkoopViaEDI_159;FysiekeGoederen_160;DigitaleGoederenOfDiensten_161;NietDigitaleDiensten_162;FysiekeGoederen_163;DigitaleGoederenOfDiensten_164;NietDigitaleDiensten_165;Verkoopwaarde1VanDeTotaleOmzet_166;Verkoopwaarde1VanDeTotaleOmzet_167;Verkoopwaarde2VanDeTotaleOmzet_168;Verkoopwaarde5VanDeTotaleOmzet_169;Verkoopwaarde10VanDeTotaleOmzet_170;Verkoopwaarde25VanDeTotaleOmzet_171;Verkoopwaarde50VanDeTotaleOmzet_172
0;2 of meer werkzame personen;83;36;61;54;50;57;64;5;3;2;1;1;1;50;59;24;13;6;8;95;5;24;34;21;10;92;71;46;75;8;10;49;43;37;36;40;36;12;23;36;11;11;43;13;8;4;7;2;3;3;1;5;2;3;1;2;2;3;2;3;3;7;2;1;0;5;1;4;2;2;2;2;1;1;86;72;28;61;37;68;46;33;34;27;29;34;18;8;16;19;15;3;1;27;15;9;49;10;5;9;1;1;3;1;1;2;1;2;0;0;1;0;0;1;1;1;2;1;2;32.0;14;39.0;17;7;10;3;21;18;3;1;16;2;4;27.0;3.0;3.0;2;18;16;14;13;10;7;75;25;23;4;19;17;15;14;11;8;5;3;2;2;;2;40;3;10;25.0;3.0;4.0;1;2;2;2;1;1;1
1;2 tot 250 werkzame personen;82;36;61;54;49;45;63;4;3;1;1;1;1;49;59;24;12;6;8;95;5;25;34;21;10;92;70;42;75;7;10;49;42;37;35;39;36;12;22;36;11;10;43;13;8;3;7;2;3;3;1;5;2;3;0;2;2;3;2;2;3;7;2;1;0;5;1;4;2;2;2;2;1;1;86;72;28;61;36;68;46;33;34;27;28;34;18;8;15;19;14;3;1;27;15;9;49;10;4;9;1;1;3;1;1;2;1;2;0;0;1;0;0;1;1;1;2;1;1;32.0;14;38.0;17;7;10;3;21;17;3;1;16;2;3;27.0;3.0;3.0;2;18;16;14;13;10;7;75;25;23;4;19;17;15;14;11;8;5;3;2;2;;2;37;3;10;25.0;3.0;4.0;1;2;2;2;1;1;1
2;2 werkzame personen;92;27;52;45;38;37;54;2;1;0;0;0;0;52;40;15;7;2;4;93;7;27;31;19;9;90;66;50;62;5;8;36;29;25;22;27;24;5;12;23;5;5;30;10;7;3;5;2;2;2;1;4;2;2;0;1;1;3;2;2;2;5;1;0;0;3;1;2;1;1;1;1;1;1;80;66;29;51;29;58;31;22;21;15;16;20;10;3;7;8;6;2;1;15;15;4;66;5;2;5;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;;0;25.0;10;5;7;1;19;0;0;0;0;0;0;;;;1;15;14;13;12;10;7;73;27;19;3;16;15;13;12;10;7;5;3;1;2;;1;0;0;0;;;;0;1;1;1;0;0;0
3;3 tot 5 werkzame personen;85;31;58;51;48;35;61;2;1;0;0;0;0;46;60;22;10;3;6;97;5;25;38;19;10;93;67;40;79;7;9;49;42;37;37;40;37;9;23;37;9;8;43;11;7;3;7;1;2;2;0;4;2;2;0;1;2;2;1;1;2;5;2;1;0;4;1;3;1;1;1;2;1;1;87;72;27;60;35;67;44;28;30;24;27;33;14;5;14;17;12;3;2;29;15;7;49;9;5;8;1;1;4;1;1;2;1;2;0;0;1;0;0;1;1;0;0;0;0;;38;48.0;16;5;8;2;25;0;0;0;0;0;0;;;;2;21;20;18;16;11;9;70;30;26;3;22;21;19;17;12;9;6;4;3;3;;2;0;0;0;;;;0;1;1;1;1;1;0
4;5 tot 10 werkzame personen;79;37;65;57;54;36;69;6;4;0;0;0;0;44;76;29;14;6;9;97;5;25;34;24;9;93;72;35;84;10;10;58;51;45;44;47;45;15;30;45;14;13;51;13;7;4;8;2;3;3;1;5;2;3;0;2;2;3;2;2;3;7;2;1;0;6;1;5;3;3;4;3;2;1;91;75;25;69;40;76;55;41;42;34;36;42;20;9;22;24;18;4;2;36;14;11;39;13;6;12;2;2;4;1;2;3;1;3;0;0;1;0;0;1;1;1;0;0;0;;16;33.0;22;7;9;3;20;0;0;0;0;0;0;;;;2;16;14;12;10;8;5;77;23;22;4;17;15;13;12;9;6;4;3;3;2;;2;0;0;0;;;;1;2;2;1;1;1;1
5;10 tot 20 werkzame personen;80;49;75;70;65;41;79;7;4;4;4;3;3;45;82;32;16;8;13;98;3;22;37;23;13;94;78;37;90;10;13;64;58;52;53;55;53;25;37;51;19;17;59;18;11;5;10;3;4;4;1;7;3;5;1;2;4;4;3;4;4;9;4;1;0;7;2;5;2;2;3;2;1;1;94;78;26;73;45;83;67;48;52;42;44;53;26;12;24;31;23;6;2;46;14;15;25;17;6;16;2;2;4;1;3;4;2;4;1;0;1;0;1;1;1;0;17;11;11;;10;69.0;26;8;16;5;24;85;11;3;77;7;16;24.0;2.0;2.0;3;20;17;15;13;10;8;83;17;26;5;22;19;17;15;12;9;3;2;3;2;;4;71;9;20;17.0;3.0;4.0;1;3;3;2;2;2;1
6;20 tot 50 werkzame personen;82;68;86;81;78;47;87;13;8;7;6;5;5;54;86;43;30;17;21;98;2;17;34;28;17;95;88;41;94;13;17;75;68;63;61;63;57;33;44;59;26;25;68;22;14;6;12;4;6;6;2;9;4;6;1;4;5;6;4;5;5;13;5;1;1;9;2;7;3;3;4;3;2;1;96;84;33;82;54;90;80;62;67;55;57;65;40;23;34;46;35;8;3;44;16;23;17;22;8;20;2;3;5;1;3;4;2;4;1;0;1;0;1;1;1;1;2;2;2;;8;46.0;35;15;21;8;26;79;16;5;77;7;16;32.0;4.0;3.0;4;20;18;16;14;11;8;83;17;29;5;24;22;20;17;14;10;3;2;5;3;;7;76;6;18;27.0;2.0;2.0;1;6;6;5;5;3;2
7;50 tot 100 werkzame personen;80;82;92;89;86;52;93;22;14;12;11;8;8;66;89;56;46;29;35;99;1;12;35;30;21;95;93;43;96;15;18;79;72;68;64;68;58;40;48;66;32;32;72;28;16;8;16;5;8;8;3;10;7;10;2;7;7;7;6;8;7;16;8;2;1;13;2;10;5;5;6;5;2;1;98;91;40;90;65;94;90;75;81;70;72;77;54;36;42;62;50;9;3;40;17;35;8;28;10;25;4;5;7;2;4;6;2;5;1;1;2;1;1;2;1;1;11;11;11;;24;;36;26;29;13;24;83;13;4;74;7;19;22.0;4.0;5.0;4;18;17;14;12;8;6;85;15;30;6;24;23;20;17;12;9;2;2;5;3;;11;77;3;21;23.0;2.0;5.0;2;9;8;7;5;4;3
8;100 tot 250 werkzame personen;79;90;95;93;92;56;96;39;25;22;20;16;14;80;90;71;70;50;49;100;1;9;35;30;24;96;96;46;97;20;24;86;79;76;69;74;61;46;55;73;40;42;78;35;19;10;17;7;12;12;4;10;8;10;3;10;7;9;8;10;9;20;12;2;1;18;3;14;7;7;9;7;4;2;99;95;45;94;77;95;91;82;86;78;77;84;69;49;50;74;61;11;3;27;19;49;6;33;10;30;4;7;6;2;5;6;2;5;1;0;1;1;1;1;1;1;9;7;7;;29;58.0;42;36;41;23;25;80;14;6;70;9;21;28.0;9.0;4.0;5;18;17;14;12;9;6;85;15;36;6;29;27;25;22;18;13;2;2;4;2;;19;75;6;19;32.0;3.0;5.0;3;16;15;14;12;9;6
9;250 tot 500 werkzame personen;83;96;96;96;95;64;97;58;39;35;34;28;23;88;90;79;82;67;64;99;1;8;30;27;33;97;97;52;97;26;29;91;84;84;75;82;66;51;61;79;51;52;85;46;26;17;23;12;18;18;7;16;14;17;6;18;9;15;10;15;14;29;21;2;1;19;5;14;7;7;10;8;3;2;98;97;52;96;87;97;92;86;90;85;84;88;80;59;55;85;71;12;2;18;20;58;4;38;13;34;4;10;7;2;8;8;4;7;1;1;2;1;2;2;2;2;9;5;9;;37;68.0;44;49;53;31;26;77;17;6;68;10;22;29.0;6.0;3.0;4;18;17;15;12;9;6;86;14;39;8;32;30;27;24;20;15;2;1;5;2;;22;77;5;18;31.0;3.0;1.0;4;18;17;15;13;11;9
