ID;GeboortelandGroep;Geslacht;JaarVanVestigingInNederland;Perioden;TotaalNietNederlandseImmigranten_1;WerknemersZelfstandigen_2;WerkloosheidsOfBijstandsuitkering_3;ArbeidsongeschiktheidsOverigeUitkering_4;OverigeNietNederlandseImmigranten_5
0;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;1999;100.0;51.0;15.0;5.0;29.0
1;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;2000;100.0;54.0;14.0;6.0;26.0
2;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;2001;100.0;54.0;14.0;7.0;25.0
3;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;2002;100.0;54.0;14.0;8.0;25.0
4;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;2003;100.0;52.0;15.0;8.0;25.0
5;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;1999;100.0;52.0;15.0;4.0;29.0
6;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;2000;100.0;54.0;14.0;5.0;27.0
7;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;2001;100.0;55.0;13.0;6.0;26.0
8;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;2002;100.0;55.0;14.0;6.0;25.0
9;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;2003;100.0;53.0;15.0;7.0;25.0
10;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;1999;100.0;52.0;15.0;4.0;30.0
11;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;2000;100.0;54.0;14.0;4.0;27.0
12;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;2001;100.0;55.0;14.0;5.0;26.0
13;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;2002;100.0;55.0;14.0;6.0;26.0
14;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;2003;100.0;53.0;16.0;6.0;25.0
15;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;1999;100.0;48.0;22.0;3.0;27.0
16;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;2000;100.0;51.0;19.0;3.0;26.0
17;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;2001;100.0;53.0;18.0;4.0;25.0
18;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;2002;100.0;53.0;18.0;4.0;25.0
19;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;2003;100.0;51.0;19.0;5.0;25.0
20;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;1999;100.0;46.0;23.0;2.0;29.0
21;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;2000;100.0;50.0;20.0;3.0;27.0
22;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;2001;100.0;52.0;19.0;3.0;26.0
23;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;2002;100.0;51.0;19.0;4.0;26.0
24;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;2003;100.0;49.0;20.0;4.0;26.0
25;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;1999;100.0;45.0;21.0;2.0;33.0
26;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;2000;100.0;49.0;19.0;2.0;29.0
27;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;2001;100.0;51.0;18.0;3.0;28.0
28;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;2002;100.0;51.0;18.0;4.0;27.0
29;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;2003;100.0;50.0;19.0;4.0;27.0
30;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1996;1999;100.0;42.0;20.0;1.0;36.0
31;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1996;2000;100.0;47.0;19.0;2.0;32.0
