ID;Periods;TotalRegisteredUnemployed_1;ChangeComparedToThePreviousYear_2
0;1952 January;139;
1;1952 February;136;
2;1952 March;114;
3;1952 April;101;
4;1952 May;87;
5;1952 June;81;
6;1952 July;88;
7;1952 August;90;
8;1952 September;84;
9;1952 October;93;
10;1952 November;108;
11;1952 December;144;
12;1953 January;145;6.0
13;1953 February;124;-12.0
14;1953 March;87;-27.0
15;1953 April;75;-26.0
16;1953 May;60;-27.0
17;1953 June;54;-27.0
18;1953 July;53;-35.0
19;1953 August;52;-38.0
20;1953 September;51;-33.0
21;1953 October;55;-38.0
22;1953 November;66;-42.0
23;1953 December;91;-53.0
24;1954 January;101;-44.0
25;1954 February;100;-24.0
26;1954 March;60;-27.0
27;1954 April;51;-24.0
28;1954 May;39;-21.0
29;1954 June;33;-21.0
30;1954 July;37;-16.0
31;1954 August;34;-18.0
32;1954 September;30;-21.0
33;1954 October;31;-24.0
34;1954 November;42;-24.0
35;1954 December;64;-27.0
36;1955 January;74;-27.0
37;1955 February;61;-39.0
38;1955 March;42;-18.0
39;1955 April;26;-25.0
40;1955 May;21;-18.0
41;1955 June;18;-15.0
42;1955 July;22;-15.0
43;1955 August;20;-14.0
44;1955 September;19;-11.0
45;1955 October;21;-10.0
46;1955 November;28;-14.0
47;1955 December;44;-20.0
48;1956 January;46;-28.0
49;1956 February;52;-9.0
50;1956 March;25;-17.0
51;1956 April;17;-9.0
52;1956 May;12;-9.0
53;1956 June;12;-6.0
54;1956 July;15;-7.0
55;1956 August;15;-5.0
56;1956 September;14;-5.0
57;1956 October;16;-5.0
58;1956 November;23;-5.0
59;1956 December;37;-7.0
60;1957 January;36;-10.0
61;1957 February;33;-19.0
62;1957 March;24;-1.0
63;1957 April;22;5.0
64;1957 May;19;7.0
65;1957 June;17;5.0
66;1957 July;24;9.0
67;1957 August;25;10.0
68;1957 September;28;14.0
69;1957 October;34;18.0
70;1957 November;49;26.0
71;1957 December;87;50.0
72;1958 January;100;64.0
73;1958 February;96;63.0
74;1958 March;86;62.0
75;1958 April;70;48.0
76;1958 May;58;39.0
77;1958 June;51;34.0
78;1958 July;58;34.0
79;1958 August;54;29.0
80;1958 September;49;21.0
81;1958 October;53;19.0
82;1958 November;62;13.0
83;1958 December;91;4.0
84;1959 January;99;-1.0
85;1959 February;90;-6.0
86;1959 March;57;-29.0
87;1959 April;44;-26.0
88;1959 May;31;-27.0
89;1959 June;31;-20.0
90;1959 July;35;-23.0
91;1959 August;33;-21.0
92;1959 September;31;-18.0
93;1959 October;32;-21.0
94;1959 November;38;-24.0
95;1959 December;61;-30.0
96;1960 January;60;-39.0
97;1960 February;47;-43.0
98;1960 March;33;-24.0
99;1960 April;28;-16.0
100;1960 May;20;-11.0
101;1960 June;17;-14.0
102;1960 July;22;-13.0
103;1960 August;19;-14.0
104;1960 September;18;-13.0
105;1960 October;19;-13.0
106;1960 November;24;-14.0
107;1960 December;37;-24.0
108;1961 January;43;-17.0
109;1961 February;31;-16.0
110;1961 March;20;-13.0
111;1961 April;16;-12.0
112;1961 May;12;-8.0
113;1961 June;12;-5.0
114;1961 July;17;-5.0
115;1961 August;16;-3.0
116;1961 September;16;-2.0
117;1961 October;17;-2.0
118;1961 November;19;-5.0
119;1961 December;35;-2.0
120;1962 January;32;-11.0
121;1962 February;27;-4.0
122;1962 March;20;0.0
123;1962 April;16;0.0
124;1962 May;13;1.0
125;1962 June;12;0.0
126;1962 July;18;1.0
127;1962 August;18;2.0
128;1962 September;18;2.0
129;1962 October;19;2.0
130;1962 November;24;5.0
131;1962 December;38;3.0
132;1963 January;47;15.0
133;1963 February;46;19.0
134;1963 March;28;8.0
135;1963 April;17;1.0
136;1963 May;13;0.0
137;1963 June;12;0.0
138;1963 July;17;-1.0
139;1963 August;16;-2.0
140;1963 September;16;-2.0
141;1963 October;17;-2.0
142;1963 November;20;-4.0
143;1963 December;33;-5.0
144;1964 January;33;-14.0
145;1964 February;28;-18.0
146;1964 March;21;-7.0
147;1964 April;15;-2.0
148;1964 May;12;-1.0
149;1964 June;11;-1.0
150;1964 July;17;0.0
151;1964 August;16;0.0
152;1964 September;17;1.0
153;1964 October;18;1.0
154;1964 November;22;2.0
155;1964 December;37;4.0
156;1965 January;40;7.0
157;1965 February;36;8.0
158;1965 March;26;5.0
159;1965 April;20;5.0
160;1965 May;17;5.0
161;1965 June;15;4.0
162;1965 July;21;4.0
163;1965 August;19;3.0
164;1965 September;19;2.0
165;1965 October;20;2.0
166;1965 November;28;6.0
167;1965 December;41;4.0
168;1966 January;48;8.0
169;1966 February;48;12.0
170;1966 March;27;1.0
171;1966 April;24;4.0
172;1966 May;19;2.0
173;1966 June;19;4.0
174;1966 July;25;4.0
175;1966 August;25;6.0
176;1966 September;28;9.0
177;1966 October;34;14.0
178;1966 November;51;23.0
179;1966 December;79;38.0
180;1967 January;97;49.0
181;1967 February;94;46.0
182;1967 March;79;52.0
183;1967 April;70;46.0
184;1967 May;59;40.0
185;1967 June;56;37.0
186;1967 July;66;41.0
187;1967 August;63;38.0
188;1967 September;64;36.0
189;1967 October;69;35.0
190;1967 November;80;29.0
191;1967 December;102;23.0
192;1968 January;112;15.0
193;1968 February;101;7.0
194;1968 March;84;5.0
195;1968 April;68;-2.0
196;1968 May;56;-3.0
197;1968 June;52;-4.0
198;1968 July;59;-7.0
199;1968 August;54;-9.0
200;1968 September;52;-12.0
201;1968 October;54;-15.0
202;1968 November;57;-23.0
203;1968 December;69;-33.0
204;1969 January;73;-39.0
205;1969 February;71;-30.0
206;1969 March;58;-26.0
207;1969 April;45;-23.0
208;1969 May;38;-18.0
209;1969 June;35;-17.0
210;1969 July;41;-18.0
211;1969 August;40;-14.0
212;1969 September;39;-13.0
213;1969 October;41;-13.0
214;1969 November;47;-10.0
215;1969 December;63;-6.0
216;1970 January;67;-6.0
217;1970 February;61;-10.0
218;1970 March;48;-10.0
219;1970 April;38;-7.0
220;1970 May;33;-5.0
221;1970 June;31;-4.0
222;1970 July;37;-4.0
223;1970 August;35;-5.0
224;1970 September;37;-2.0
225;1970 October;42;1.0
226;1970 November;47;0.0
227;1970 December;59;-4.0
228;1971 January;71;4.0
229;1971 February;65;4.0
230;1971 March;56;8.0
231;1971 April;47;9.0
232;1971 May;44;11.0
233;1971 June;45;14.0
234;1971 July;51;14.0
235;1971 August;52;17.0
236;1971 September;56;19.0
237;1971 October;66;24.0
238;1971 November;84;37.0
239;1971 December;108;49.0
240;1972 January;128;57.0
241;1972 February;130;65.0
242;1972 March;112;56.0
243;1972 April;100;53.0
244;1972 May;91;47.0
245;1972 June;91;46.0
246;1972 July;99;48.0
247;1972 August;98;46.0
248;1972 September;100;44.0
249;1972 October;105;39.0
250;1972 November;115;31.0
251;1972 December;127;19.0
252;1973 January;136;8.0
253;1973 February;135;5.0
254;1973 March;121;9.0
255;1973 April;107;7.0
256;1973 May;95;4.0
257;1973 June;93;2.0
258;1973 July;98;-1.0
259;1973 August;96;-2.0
260;1973 September;96;-4.0
261;1973 October;101;-4.0
262;1973 November;110;-5.0
263;1973 December;131;4.0
264;1974 January;150;14.0
265;1974 February;145;10.0
266;1974 March;133;12.0
267;1974 April;118;11.0
268;1974 May;110;15.0
269;1974 June;110;17.0
270;1974 July;123;25.0
271;1974 August;126;30.0
272;1974 September;129;33.0
273;1974 October;140;39.0
274;1974 November;154;44.0
275;1974 December;181;50.0
276;1975 January;198;48.0
277;1975 February;200;55.0
278;1975 March;190;57.0
279;1975 April;183;65.0
280;1975 May;173;63.0
281;1975 June;177;67.0
282;1975 July;191;68.0
283;1975 August;194;68.0
284;1975 September;195;66.0
285;1975 October;201;61.0
286;1975 November;211;57.0
287;1975 December;229;48.0
288;1976 January;237;39.0
289;1976 February;238;38.0
290;1976 March;216;26.0
291;1976 April;200;17.0
292;1976 May;189;16.0
293;1976 June;194;17.0
294;1976 July;207;16.0
295;1976 August;213;19.0
296;1976 September;207;12.0
297;1976 October;205;4.0
298;1976 November;206;-5.0
299;1976 December;218;-11.0
300;1977 January;226;-11.0
301;1977 February;219;-19.0
302;1977 March;202;-14.0
303;1977 April;188;-12.0
304;1977 May;180;-9.0
305;1977 June;187;-7.0
306;1977 July;201;-6.0
307;1977 August;209;-4.0
308;1977 September;205;-2.0
309;1977 October;204;-1.0
310;1977 November;207;1.0
311;1977 December;216;-2.0
312;1978 January;224;-2.0
313;1978 February;218;-1.0
314;1978 March;202;0.0
315;1978 April;189;1.0
316;1978 May;178;-2.0
317;1978 June;183;-4.0
318;1978 July;198;-3.0
319;1978 August;208;-1.0
320;1978 September;204;-1.0
321;1978 October;201;-3.0
322;1978 November;200;-7.0
323;1978 December;210;-6.0
324;1979 January;218;-6.0
325;1979 February;214;-4.0
326;1979 March;198;-4.0
327;1979 April;181;-8.0
328;1979 May;175;-3.0
329;1979 June;184;1.0
330;1979 July;195;-3.0
331;1979 August;200;-8.0
332;1979 September;194;-10.0
333;1979 October;189;-12.0
334;1979 November;190;-10.0
335;1979 December;195;-15.0
336;1980 January;209;-9.0
337;1980 February;204;-10.0
338;1980 March;188;-10.0
339;1980 April;179;-2.0
340;1980 May;181;6.0
341;1980 June;195;11.0
342;1980 July;217;22.0
343;1980 August;227;27.0
344;1980 September;233;39.0
345;1980 October;239;50.0
346;1980 November;254;64.0
347;1980 December;275;80.0
348;1981 January;289;80.0
349;1981 February;290;86.0
350;1981 March;285;97.0
351;1981 April;273;94.0
352;1981 May;272;91.0
353;1981 June;289;94.0
354;1981 July;318;101.0
355;1981 August;330;103.0
356;1981 September;337;104.0
357;1981 October;352;113.0
358;1981 November;369;115.0
359;1981 December;398;123.0
360;1982 January;413;124.0
361;1982 February;418;128.0
362;1982 March;414;129.0
363;1982 April;413;140.0
364;1982 May;417;145.0
365;1982 June;449;160.0
366;1982 July;476;158.0
367;1982 August;490;160.0
368;1982 September;505;168.0
369;1982 October;518;166.0
370;1982 November;538;169.0
371;1982 December;569;171.0
372;1983 January;583;170.0
373;1983 February;591;173.0
374;1983 March;587;173.0
375;1983 April;583;170.0
376;1983 May;585;168.0
377;1983 June;619;170.0
378;1983 July;632;156.0
379;1983 August;639;149.0
380;1983 September;633;128.0
381;1983 October;625;107.0
382;1983 November;629;91.0
383;1983 December;639;70.0
384;1984 January;639;56.0
385;1984 February;633;42.0
386;1984 March;613;26.0
387;1984 April;594;11.0
388;1984 May;585;0.0
389;1984 June;587;-32.0
390;1984 July;586;-46.0
391;1984 August;597;-42.0
392;1984 September;581;-52.0
393;1984 October;565;-60.0
394;1984 November;558;-71.0
395;1984 December;555;-84.0
396;1985 January;558;-81.0
397;1985 February;552;-81.0
398;1985 March;528;-85.0
399;1985 April;506;-88.0
400;1985 May;494;-91.0
401;1985 June;489;-98.0
402;1985 July;503;-83.0
403;1985 August;514;-83.0
404;1985 September;502;-79.0
405;1985 October;494;-71.0
406;1985 November;495;-63.0
407;1985 December;501;-54.0
408;1986 January;510;-48.0
409;1986 February;502;-50.0
410;1986 March;485;-43.0
