ID;Bedrijfstype;RegioS;Perioden;TotaalMestproductie_1;DunneMestInDeStal_2;DunneMestInDeWei_3;VasteMestInDeStal_4;Stikstofuitscheiding_5;TotaalGasvormigeStikstofverliezen_6;TotaalVerliezenInStalEnOpslag_7;AmmoniakUitgedruktInN_8;OverigeStikstofverliezen_9;AmmoniakverliesTijdensBeweidingN_10;StikstofInGeproduceerdeMestN_11;FosfaatuitscheidingP205_12;PlaatsingsruimteStikstofN_13;PlaatsingsruimteFosfaatP205_14;AandeelBedrijvenZonderOverproductie_15;ResterendePlaatsingsruimteStikstof_16;ResterendePlaatsingsruimteFosfaat_17;AandeelBedrijvenMetOverproductie_18;Stikstofoverschot_19;Fosfaatoverschot_20;SaldoPlaatsingsruimteStikstof_21;SaldoPlaatsingsruimteStikstofPerHa_22;SaldoPlaatsingsruimteFosfaat_23;SaldoPlaatsingsruimteFosfaatPerHa_24
14;Totaal landbouwbedrijven ;Nederland;2007;69236.0;52121.0;13616.0;3499.0;479600.0;65600.0;63200.0;54300.0;8900.0;2300.0;416400.0;169400.0;400000.0;178800.0;66.0;141300.0;75800.0;34.0;158400.0;78200.0;-17100.0;-9.0;-2500.0;-1.0
15;Totaal landbouwbedrijven ;Nederland;2008;71277.0;53123.0;14683.0;3471.0;491300.0;67100.0;64700.0;55600.0;9100.0;2400.0;426600.0;175900.0;402700.0;175000.0;65.0;142400.0;73400.0;35.0;167300.0;82800.0;-24900.0;-13.0;-9400.0;-5.0
16;Totaal landbouwbedrijven ;Nederland;2009;72703.0;58739.0;10671.0;3292.0;484200.0;67000.0;64900.0;55700.0;9200.0;2000.0;419300.0;174800.0;397200.0;172500.0;67.0;141900.0;73800.0;33.0;165300.0;84200.0;-23400.0;-13.0;-10400.0;-6.0
17;Totaal landbouwbedrijven ;Nederland;2010;72172.0;58788.0;10113.0;3271.0;489700.0;64300.0;62200.0;52900.0;9300.0;2100.0;427500.0;178900.0;386900.0;154300.0;64.0;136400.0;61000.0;36.0;180000.0;89000.0;-43600.0;-24.0;-27900.0;-15.0
18;Totaal landbouwbedrijven ;Nederland;2011;71434.0;59454.0;8857.0;3124.0;477400.0;60500.0;58800.0;49400.0;9300.0;1700.0;418600.0;169700.0;382700.0;149400.0;67.0;140500.0;60700.0;33.0;178800.0;84900.0;-38300.0;-21.0;-24200.0;-14.0
19;Totaal landbouwbedrijven ;Nederland;2012;71207.0;59394.0;8763.0;3050.0;460900.0;57500.0;55900.0;46800.0;9100.0;1600.0;405000.0;160600.0;379800.0;141000.0;67.0;142700.0;56700.0;33.0;173400.0;78800.0;-30700.0;-17.0;-22100.0;-12.0
20;Totaal landbouwbedrijven ;Nederland;2013;73155.0;61590.0;8584.0;2981.0;472700.0;54500.0;52800.0;43500.0;9300.0;1700.0;419900.0;165600.0;379600.0;134900.0;65.0;139900.0;51000.0;35.0;188200.0;84300.0;-48400.0;-27.0;-33200.0;-19.0
21;Totaal landbouwbedrijven ;Nederland;2014;74089.0;62069.0;8978.0;3041.0;486700.0;56600.0;54900.0;45300.0;9700.0;1700.0;431700.0;171700.0;363800.0;136700.0;61.0;131600.0;50000.0;39.0;204300.0;91100.0;-72700.0;-41.0;-41000.0;-23.0
22;Totaal landbouwbedrijven ;Nederland;2015;76326.0;64683.0;8686.0;2957.0;497500.0;57000.0;55500.0;45500.0;10000.0;1500.0;442000.0;180100.0;377000.0;134300.0;60.0;135800.0;47500.0;40.0;213400.0;95700.0;-77600.0;-44.0;-48200.0;-27.0
23;Totaal landbouwbedrijven ;Nederland;2016;78211.0;67406.0;8075.0;2730.0;504300.0;56300.0;55100.0;44700.0;10300.0;1300.0;449200.0;175200.0;367300.0;130200.0;59.0;127900.0;46000.0;41.0;217700.0;96100.0;-89800.0;-52.0;-50100.0;-29.0
24;Totaal landbouwbedrijven ;Nederland;2017;76198.0;65738.0;7765.0;2695.0;500000.0;57000.0;55600.0;45400.0;10200.0;1300.0;444300.0;167900.0;385100.0;135400.0;60.0;133600.0;49400.0;40.0;203400.0;88300.0;-69800.0;-39.0;-38900.0;-22.0
25;Totaal landbouwbedrijven ;Noord-Nederland (LD);1990;17941.0;11662.0;5868.0;410.0;138330.0;16280.0;12280.0;10180.0;2110.0;4000.0;126050.0;38200.0;;116130.0;94.0;;82650.0;6.0;7980.0;4720.0;;;77920.0;140.0
26;Totaal landbouwbedrijven ;Noord-Nederland (LD);1994;16723.0;10711.0;5498.0;514.0;136370.0;15290.0;12380.0;10250.0;2140.0;2910.0;123980.0;38940.0;;93200.0;94.0;;59070.0;6.0;8530.0;4810.0;;;54260.0;99.0
27;Totaal landbouwbedrijven ;Noord-Nederland (LD);1995;16840.0;10765.0;5537.0;537.0;137260.0;16010.0;12400.0;10260.0;2140.0;3610.0;124860.0;38460.0;;72720.0;92.0;;39270.0;8.0;9990.0;5010.0;;;34260.0;63.0
28;Totaal landbouwbedrijven ;Noord-Nederland (LD);1996;16629.0;10604.0;5476.0;548.0;134350.0;16180.0;11810.0;9790.0;2020.0;4370.0;122530.0;34480.0;;68850.0;92.0;;39090.0;8.0;9470.0;4710.0;;;34370.0;62.0
29;Totaal landbouwbedrijven ;Noord-Nederland (LD);1997;15966.0;10191.0;5243.0;532.0;133060.0;15030.0;11900.0;9850.0;2050.0;3130.0;121160.0;35090.0;;68160.0;92.0;;38140.0;8.0;9880.0;5080.0;;;33070.0;60.0
30;Totaal landbouwbedrijven ;Noord-Nederland (LD);1998;15992.0;10210.0;5214.0;568.0;126890.0;13270.0;11610.0;9610.0;2000.0;1660.0;115280.0;36230.0;;62490.0;89.0;;31540.0;11.0;10030.0;5290.0;;;26260.0;48.0
31;Totaal landbouwbedrijven ;Noord-Nederland (LD);1999;16068.0;10198.0;5240.0;630.0;123540.0;13310.0;11590.0;9630.0;1960.0;1720.0;111950.0;38900.0;;62160.0;88.0;;29430.0;12.0;11490.0;6170.0;;;23250.0;43.0
32;Totaal landbouwbedrijven ;Noord-Nederland (LD);2000;16419.0;10703.0;5080.0;636.0;118090.0;12120.0;10880.0;9000.0;1890.0;1240.0;107200.0;37230.0;;58930.0;87.0;;27870.0;13.0;11340.0;6180.0;;;21690.0;40.0
33;Totaal landbouwbedrijven ;Noord-Nederland (LD);2001;16870.0;11062.0;5173.0;634.0;120980.0;12640.0;10860.0;8920.0;1940.0;1780.0;110120.0;37960.0;;56690.0;80.0;;24570.0;20.0;12400.0;5840.0;;;18730.0;35.0
34;Totaal landbouwbedrijven ;Noord-Nederland (LD);2002;16502.0;11271.0;4594.0;638.0;115760.0;12340.0;11100.0;9190.0;1900.0;1240.0;104660.0;36050.0;;55070.0;84.0;;24610.0;16.0;11860.0;5590.0;;;19020.0;35.0
35;Totaal landbouwbedrijven ;Noord-Nederland (LD);2003;16309.0;11175.0;4548.0;586.0;112790.0;11760.0;10830.0;8950.0;1870.0;940.0;101960.0;36180.0;;50090.0;71.0;;20910.0;29.0;15560.0;7000.0;;;13910.0;26.0
36;Totaal landbouwbedrijven ;Noord-Nederland (LD);2004;16645.0;11295.0;4753.0;597.0;107330.0;11410.0;10560.0;8770.0;1790.0;850.0;96760.0;34370.0;;51340.0;81.0;;22600.0;19.0;11860.0;5630.0;;;16970.0;32.0
37;Totaal landbouwbedrijven ;Noord-Nederland (LD);2005;16468.0;11128.0;4710.0;629.0;108620.0;11550.0;10700.0;8900.0;1800.0;850.0;97930.0;35210.0;;49040.0;77.0;;20570.0;23.0;14540.0;6730.0;;;13840.0;26.0
38;Totaal landbouwbedrijven ;Noord-Nederland (LD);2006;16290.0;11244.0;4431.0;614.0;106100.0;11340.0;10510.0;8760.0;1760.0;830.0;95590.0;34630.0;117140.0;53240.0;68.0;39090.0;21950.0;32.0;17650.0;7850.0;21440.0;40.0;14100.0;26.0
39;Totaal landbouwbedrijven ;Noord-Nederland (LD);2007;16305.0;11581.0;4089.0;634.0;106740.0;11710.0;10980.0;9140.0;1830.0;730.0;95760.0;34560.0;117310.0;51690.0;68.0;39380.0;21350.0;32.0;17930.0;7830.0;21450.0;40.0;13520.0;25.0
40;Totaal landbouwbedrijven ;Noord-Nederland (LD);2008;16938.0;11836.0;4486.0;615.0;109340.0;11940.0;11170.0;9310.0;1860.0;760.0;98170.0;36050.0;119210.0;50910.0;68.0;39950.0;20630.0;32.0;19050.0;8300.0;20900.0;38.0;12330.0;23.0
41;Totaal landbouwbedrijven ;Noord-Nederland (LD);2009;17275.0;13409.0;3282.0;584.0;107610.0;11870.0;11230.0;9320.0;1910.0;640.0;96370.0;35360.0;117890.0;50310.0;70.0;39790.0;20810.0;30.0;18420.0;8210.0;21370.0;40.0;12600.0;23.0
42;Totaal landbouwbedrijven ;Noord-Nederland (LD);2010;17235.0;13711.0;2947.0;577.0;108760.0;11610.0;10960.0;9020.0;1940.0;650.0;97800.0;36490.0;114910.0;45310.0;65.0;38120.0;16960.0;35.0;21410.0;9230.0;16710.0;32.0;7740.0;15.0
43;Totaal landbouwbedrijven ;Noord-Nederland (LD);2011;17002.0;13851.0;2595.0;555.0;104440.0;10990.0;10450.0;8540.0;1920.0;540.0;93990.0;34210.0;113460.0;43970.0;69.0;39060.0;16920.0;31.0;19870.0;8430.0;19190.0;37.0;8480.0;16.0
44;Totaal landbouwbedrijven ;Noord-Nederland (LD);2012;17301.0;14136.0;2622.0;543.0;102960.0;10730.0;10220.0;8310.0;1910.0;500.0;92730.0;33540.0;113660.0;42220.0;69.0;39420.0;15740.0;31.0;19430.0;7980.0;19990.0;39.0;7760.0;15.0
45;Totaal landbouwbedrijven ;Noord-Nederland (LD);2013;17923.0;14916.0;2491.0;516.0;107410.0;10870.0;10330.0;8330.0;1990.0;550.0;97080.0;34800.0;114370.0;41030.0;66.0;38420.0;14140.0;34.0;22350.0;8950.0;16080.0;31.0;5180.0;10.0
46;Totaal landbouwbedrijven ;Noord-Nederland (LD);2014;18225.0;14988.0;2711.0;525.0;111820.0;11570.0;11020.0;8910.0;2110.0;550.0;100800.0;36620.0;112130.0;41480.0;61.0;36400.0;13620.0;39.0;26090.0;10500.0;10310.0;20.0;3110.0;6.0
47;Totaal landbouwbedrijven ;Noord-Nederland (LD);2015;19263.0;16046.0;2712.0;505.0;114570.0;11630.0;11120.0;8920.0;2190.0;510.0;103450.0;39020.0;116590.0;40910.0;59.0;37840.0;12730.0;41.0;28280.0;11450.0;9560.0;18.0;1280.0;2.0
48;Totaal landbouwbedrijven ;Noord-Nederland (LD);2016;19981.0;16945.0;2579.0;457.0;116860.0;11260.0;10840.0;8540.0;2290.0;420.0;106020.0;37190.0;113920.0;39750.0;55.0;35290.0;12340.0;45.0;29150.0;11330.0;6140.0;12.0;1000.0;2.0
49;Totaal landbouwbedrijven ;Noord-Nederland (LD);2017;19165.0;16249.0;2475.0;441.0;115850.0;11690.0;11260.0;8990.0;2270.0;430.0;104590.0;35380.0;119950.0;41290.0;58.0;37260.0;13310.0;42.0;24940.0;9570.0;12320.0;23.0;3740.0;7.0
50;Totaal landbouwbedrijven ;Oost-Nederland (LD);1990;30695.0;22344.0;7549.0;803.0;233040.0;36830.0;32140.0;28160.0;3990.0;4690.0;200900.0;78880.0;;133050.0;79.0;;76350.0;21.0;34290.0;22180.0;;;54170.0;96.0
51;Totaal landbouwbedrijven ;Oost-Nederland (LD);1994;29194.0;21115.0;7134.0;946.0;227930.0;35370.0;32070.0;28070.0;4000.0;3300.0;195850.0;77080.0;;97270.0;74.0;;46510.0;26.0;42880.0;26310.0;;;20190.0;36.0
52;Totaal landbouwbedrijven ;Oost-Nederland (LD);1995;29053.0;20948.0;7142.0;963.0;229750.0;35780.0;31560.0;27560.0;3990.0;4220.0;198190.0;73750.0;;74630.0;67.0;;29120.0;33.0;51240.0;28240.0;;;880.0;2.0
53;Totaal landbouwbedrijven ;Oost-Nederland (LD);1996;28472.0;20488.0;7004.0;980.0;225790.0;35900.0;30520.0;26710.0;3810.0;5370.0;195270.0;67310.0;;70250.0;68.0;;29700.0;32.0;49760.0;26750.0;;;2950.0;5.0
54;Totaal landbouwbedrijven ;Oost-Nederland (LD);1997;28124.0;20368.0;6757.0;999.0;222760.0;34840.0;31210.0;27350.0;3860.0;3640.0;191550.0;69800.0;;68940.0;66.0;;28170.0;34.0;54020.0;29030.0;;;-860.0;-2.0
55;Totaal landbouwbedrijven ;Oost-Nederland (LD);1998;27383.0;19706.0;6594.0;1083.0;201770.0;30590.0;28940.0;25320.0;3620.0;1650.0;172830.0;67400.0;;63320.0;64.0;;24720.0;36.0;50830.0;28790.0;;;-4070.0;-7.0
56;Totaal landbouwbedrijven ;Oost-Nederland (LD);1999;26276.0;18676.0;6454.0;1145.0;192740.0;28820.0;26930.0;23550.0;3380.0;1890.0;165810.0;66250.0;;62800.0;66.0;;23870.0;34.0;48640.0;27310.0;;;-3440.0;-6.0
57;Totaal landbouwbedrijven ;Oost-Nederland (LD);2000;26398.0;18979.0;6233.0;1186.0;180370.0;25710.0;24400.0;21210.0;3190.0;1310.0;155970.0;63440.0;;59990.0;66.0;;23240.0;34.0;46750.0;26690.0;;;-3450.0;-6.0
58;Totaal landbouwbedrijven ;Oost-Nederland (LD);2001;25795.0;18418.0;6168.0;1209.0;176080.0;24450.0;22600.0;19500.0;3100.0;1850.0;153480.0;60850.0;;57310.0;63.0;;20810.0;37.0;45780.0;24350.0;;;-3540.0;-7.0
59;Totaal landbouwbedrijven ;Oost-Nederland (LD);2002;24669.0;18548.0;4932.0;1189.0;163320.0;22960.0;21790.0;18810.0;2980.0;1170.0;141530.0;56970.0;;55900.0;68.0;;21020.0;32.0;39700.0;22090.0;;;-1070.0;-2.0
60;Totaal landbouwbedrijven ;Oost-Nederland (LD);2003;23894.0;18188.0;4729.0;976.0;155750.0;21640.0;20800.0;17860.0;2950.0;830.0;134950.0;54590.0;;50870.0;61.0;;17680.0;39.0;40060.0;21400.0;;;-3720.0;-7.0
61;Totaal landbouwbedrijven ;Oost-Nederland (LD);2004;24247.0;18359.0;4793.0;1095.0;153010.0;21800.0;21040.0;18170.0;2870.0;760.0;131970.0;53610.0;;52310.0;68.0;;19640.0;32.0;38040.0;20950.0;;;-1300.0;-2.0
62;Totaal landbouwbedrijven ;Oost-Nederland (LD);2005;24139.0;18225.0;4747.0;1166.0;156040.0;21490.0;20680.0;17790.0;2890.0;810.0;135360.0;56020.0;;48860.0;64.0;;16930.0;36.0;44170.0;24100.0;;;-7170.0;-13.0
63;Totaal landbouwbedrijven ;Oost-Nederland (LD);2006;23880.0;18284.0;4460.0;1136.0;153790.0;21440.0;20700.0;17820.0;2880.0;740.0;133090.0;56070.0;117800.0;53310.0;61.0;33610.0;19390.0;39.0;49170.0;25730.0;-15550.0;-29.0;-6340.0;-12.0
64;Totaal landbouwbedrijven ;Oost-Nederland (LD);2007;23823.0;18478.0;4175.0;1169.0;157890.0;22060.0;21390.0;18360.0;3030.0;660.0;136500.0;56370.0;117860.0;51620.0;59.0;33090.0;18130.0;41.0;51970.0;26210.0;-18880.0;-35.0;-8080.0;-15.0
65;Totaal landbouwbedrijven ;Oost-Nederland (LD);2008;24522.0;18828.0;4525.0;1169.0;162620.0;22640.0;21920.0;18850.0;3080.0;710.0;140700.0;58770.0;118050.0;50060.0;58.0;32730.0;16960.0;42.0;55660.0;28010.0;-22940.0;-43.0;-11050.0;-21.0
66;Totaal landbouwbedrijven ;Oost-Nederland (LD);2009;24993.0;20725.0;3158.0;1111.0;158700.0;22270.0;21670.0;18590.0;3080.0;600.0;137020.0;57740.0;117670.0;49820.0;61.0;33940.0;17720.0;39.0;53680.0;27840.0;-19740.0;-37.0;-10120.0;-19.0
67;Totaal landbouwbedrijven ;Oost-Nederland (LD);2010;24836.0;20554.0;3178.0;1104.0;161020.0;21540.0;20920.0;17800.0;3120.0;610.0;140100.0;59200.0;115430.0;45170.0;59.0;32600.0;14550.0;41.0;58320.0;29370.0;-25710.0;-49.0;-14820.0;-28.0
68;Totaal landbouwbedrijven ;Oost-Nederland (LD);2011;24473.0;20683.0;2733.0;1058.0;157340.0;20560.0;20080.0;16940.0;3140.0;480.0;137260.0;56380.0;114040.0;43930.0;62.0;34240.0;14920.0;38.0;58260.0;28330.0;-24020.0;-47.0;-13410.0;-26.0
69;Totaal landbouwbedrijven ;Oost-Nederland (LD);2012;24145.0;20454.0;2676.0;1016.0;148770.0;19090.0;18660.0;15660.0;3000.0;430.0;130110.0;52280.0;112970.0;41510.0;64.0;35830.0;14250.0;36.0;54660.0;25590.0;-18830.0;-37.0;-11340.0;-22.0
70;Totaal landbouwbedrijven ;Oost-Nederland (LD);2013;24884.0;21166.0;2721.0;997.0;152800.0;18230.0;17760.0;14710.0;3060.0;460.0;135030.0;54220.0;112740.0;40020.0;61.0;34460.0;12820.0;39.0;59660.0;27490.0;-25210.0;-50.0;-14670.0;-29.0
71;Totaal landbouwbedrijven ;Oost-Nederland (LD);2014;25199.0;21427.0;2745.0;1026.0;158640.0;19100.0;18640.0;15420.0;3220.0;460.0;140000.0;56490.0;104800.0;40600.0;55.0;30460.0;12300.0;45.0;66950.0;30450.0;-36490.0;-72.0;-18150.0;-36.0
72;Totaal landbouwbedrijven ;Oost-Nederland (LD);2015;25839.0;22310.0;2546.0;983.0;161730.0;19170.0;18750.0;15430.0;3320.0;430.0;142980.0;58650.0;108850.0;39910.0;54.0;31320.0;11730.0;46.0;68700.0;31270.0;-37370.0;-73.0;-19540.0;-38.0
73;Totaal landbouwbedrijven ;Oost-Nederland (LD);2016;26428.0;23176.0;2335.0;917.0;164300.0;19290.0;18930.0;15490.0;3430.0;370.0;145370.0;57580.0;105830.0;38660.0;51.0;28940.0;11270.0;49.0;70780.0;31850.0;-41850.0;-84.0;-20570.0;-41.0
74;Totaal landbouwbedrijven ;Oost-Nederland (LD);2017;25899.0;22778.0;2218.0;904.0;162380.0;19480.0;19110.0;15710.0;3400.0;380.0;143270.0;55190.0;110670.0;40380.0;53.0;30970.0;12310.0;47.0;65720.0;29220.0;-34750.0;-68.0;-16910.0;-33.0
75;Totaal landbouwbedrijven ;West-Nederland (LD);1990;13177.0;8485.0;4292.0;400.0;101690.0;12680.0;9730.0;8150.0;1580.0;2960.0;91970.0;28760.0;;92340.0;95.0;;66970.0;5.0;5680.0;3400.0;;;63570.0;132.0
76;Totaal landbouwbedrijven ;West-Nederland (LD);1994;12430.0;7886.0;4087.0;457.0;100410.0;11850.0;9660.0;8050.0;1610.0;2180.0;90750.0;29090.0;;77390.0;95.0;;52110.0;5.0;6570.0;3810.0;;;48300.0;101.0
77;Totaal landbouwbedrijven ;West-Nederland (LD);1995;12372.0;7824.0;4086.0;461.0;99680.0;12180.0;9480.0;7890.0;1590.0;2700.0;90200.0;28310.0;;61580.0;92.0;;37640.0;8.0;8670.0;4370.0;;;33270.0;70.0
78;Totaal landbouwbedrijven ;West-Nederland (LD);1996;12199.0;7694.0;4042.0;463.0;97750.0;12300.0;9020.0;7520.0;1510.0;3270.0;88720.0;25420.0;;58360.0;92.0;;37130.0;8.0;8460.0;4190.0;;;32940.0;69.0
79;Totaal landbouwbedrijven ;West-Nederland (LD);1997;11841.0;7486.0;3882.0;473.0;97580.0;11660.0;9310.0;7760.0;1550.0;2350.0;88260.0;26090.0;;58060.0;92.0;;36540.0;8.0;9270.0;4570.0;;;31970.0;67.0
80;Totaal landbouwbedrijven ;West-Nederland (LD);1998;11831.0;7479.0;3847.0;505.0;93650.0;10420.0;9170.0;7650.0;1520.0;1260.0;84480.0;27160.0;;53530.0;89.0;;31530.0;11.0;10370.0;5160.0;;;26370.0;55.0
81;Totaal landbouwbedrijven ;West-Nederland (LD);1999;11562.0;7268.0;3788.0;506.0;87030.0;9730.0;8470.0;7040.0;1420.0;1270.0;78560.0;27380.0;;53040.0;89.0;;30720.0;11.0;10150.0;5060.0;;;25670.0;54.0
82;Totaal landbouwbedrijven ;West-Nederland (LD);2000;11580.0;7438.0;3637.0;505.0;81790.0;8550.0;7640.0;6290.0;1340.0;910.0;74150.0;25690.0;;49850.0;89.0;;28900.0;11.0;9490.0;4730.0;;;24160.0;52.0
83;Totaal landbouwbedrijven ;West-Nederland (LD);2001;11635.0;7507.0;3633.0;495.0;82130.0;8750.0;7470.0;6120.0;1350.0;1280.0;74660.0;25780.0;;48130.0;86.0;;27090.0;14.0;10340.0;4740.0;;;22350.0;49.0
84;Totaal landbouwbedrijven ;West-Nederland (LD);2002;11265.0;7511.0;3250.0;505.0;77210.0;8230.0;7330.0;6030.0;1300.0;900.0;69880.0;24250.0;;46630.0;88.0;;26570.0;12.0;8730.0;4190.0;;;22370.0;48.0
85;Totaal landbouwbedrijven ;West-Nederland (LD);2003;10995.0;7328.0;3198.0;468.0;74660.0;7750.0;7070.0;5800.0;1270.0;680.0;67590.0;23880.0;;42960.0;83.0;;23990.0;17.0;10960.0;4900.0;;;19090.0;42.0
86;Totaal landbouwbedrijven ;West-Nederland (LD);2004;11139.0;7350.0;3313.0;477.0;69860.0;7380.0;6790.0;5590.0;1200.0;590.0;63070.0;22570.0;;43320.0;88.0;;24760.0;12.0;8410.0;4010.0;;;20750.0;45.0
87;Totaal landbouwbedrijven ;West-Nederland (LD);2005;11094.0;7280.0;3314.0;500.0;70610.0;7430.0;6820.0;5610.0;1210.0;600.0;63790.0;23070.0;;41030.0;85.0;;22600.0;15.0;9910.0;4640.0;;;17960.0;40.0
88;Totaal landbouwbedrijven ;West-Nederland (LD);2006;10983.0;7336.0;3149.0;499.0;69210.0;7340.0;6760.0;5580.0;1180.0;580.0;62450.0;22800.0;95180.0;44380.0;80.0;44540.0;23990.0;20.0;11840.0;5370.0;32690.0;72.0;18620.0;41.0
89;Totaal landbouwbedrijven ;West-Nederland (LD);2007;10971.0;7436.0;3003.0;532.0;69830.0;7560.0;7010.0;5780.0;1230.0;540.0;62820.0;22790.0;94640.0;43000.0;79.0;44170.0;23150.0;21.0;12390.0;5440.0;31770.0;70.0;17710.0;39.0
90;Totaal landbouwbedrijven ;West-Nederland (LD);2008;11125.0;7439.0;3164.0;522.0;70150.0;7590.0;7040.0;5810.0;1230.0;550.0;63110.0;23250.0;95310.0;42140.0;79.0;44630.0;22740.0;21.0;12490.0;5560.0;32140.0;70.0;17180.0;38.0
91;Totaal landbouwbedrijven ;West-Nederland (LD);2009;11290.0;8373.0;2448.0;470.0;68220.0;7400.0;6930.0;5680.0;1250.0;470.0;61290.0;22520.0;93390.0;41210.0;80.0;43800.0;22440.0;20.0;11760.0;5340.0;32040.0;72.0;17100.0;38.0
92;Totaal landbouwbedrijven ;West-Nederland (LD);2010;11213.0;8550.0;2192.0;472.0;69240.0;7310.0;6830.0;5570.0;1270.0;480.0;62410.0;23400.0;90010.0;36310.0;76.0;41700.0;18600.0;24.0;14310.0;6310.0;27390.0;64.0;12290.0;29.0
93;Totaal landbouwbedrijven ;West-Nederland (LD);2011;11076.0;8649.0;1972.0;454.0;66340.0;6950.0;6550.0;5300.0;1250.0;400.0;59780.0;21860.0;89060.0;35100.0;78.0;42470.0;18160.0;22.0;13340.0;5730.0;29120.0;68.0;12440.0;29.0
94;Totaal landbouwbedrijven ;West-Nederland (LD);2012;10977.0;8596.0;1941.0;441.0;64250.0;6690.0;6320.0;5090.0;1230.0;370.0;57930.0;21190.0;88040.0;32840.0;78.0;42310.0;16730.0;22.0;13250.0;5560.0;29050.0;69.0;11170.0;26.0
