ID;Countries;Periods;TotalMenAndWomen_1;Men_2;Women_3;Unknown_4;AllAges_5;YoungerThan15Years_6;k_15To17Years_7;k_18YearsOrOlder_8
0;Total countries;1998 1st quarter;8910.0;5940.0;2950.0;10.0;8910.0;2240.0;900.0;5760.0
1;Total countries;1998 2nd quarter;9570.0;6220.0;3320.0;30.0;9570.0;2440.0;1010.0;6120.0
2;Total countries;1998 3rd quarter;13130.0;8390.0;4720.0;20.0;13130.0;3540.0;1450.0;8140.0
3;Total countries;1998 4th quarter;13610.0;9010.0;4580.0;30.0;13610.0;3270.0;1600.0;8750.0
4;Total countries;1998;45220.0;29560.0;15570.0;80.0;45220.0;11490.0;4960.0;28770.0
5;Total countries;1999 1st quarter;8840.0;5720.0;3090.0;30.0;8840.0;2290.0;1100.0;5450.0
6;Total countries;1999 2nd quarter;8580.0;5460.0;3060.0;70.0;8580.0;2230.0;1100.0;5250.0
7;Total countries;1999 3rd quarter;10170.0;6310.0;3820.0;40.0;10170.0;2870.0;1340.0;5960.0
8;Total countries;1999 4th quarter;11700.0;7460.0;4160.0;80.0;11700.0;2970.0;1870.0;6870.0
9;Total countries;1999;39300.0;24950.0;14130.0;220.0;39300.0;10360.0;5410.0;23530.0
10;Total countries;2000 1st quarter;11540.0;7390.0;4050.0;110.0;11540.0;3010.0;1740.0;6780.0
11;Total countries;2000 2nd quarter;9530.0;5970.0;3390.0;170.0;9530.0;2560.0;1350.0;5620.0
12;Total countries;2000 3rd quarter;10920.0;6840.0;3940.0;140.0;10920.0;2870.0;1600.0;6450.0
13;Total countries;2000 4th quarter;11580.0;7510.0;3950.0;110.0;11580.0;2670.0;1920.0;6990.0
14;Total countries;2000;43560.0;27710.0;15330.0;520.0;43560.0;11100.0;6610.0;25840.0
15;Total countries;2001 1st quarter;9590.0;6130.0;3100.0;350.0;9590.0;2240.0;1570.0;5780.0
16;Total countries;2001 2nd quarter;7550.0;5050.0;2390.0;110.0;7550.0;1480.0;1270.0;4810.0
17;Total countries;2001 3rd quarter;7490.0;5000.0;2370.0;120.0;7490.0;1680.0;1270.0;4540.0
18;Total countries;2001 4th quarter;7950.0;5380.0;2420.0;160.0;7950.0;1640.0;1450.0;4860.0
19;Total countries;2001;32580.0;21560.0;10280.0;740.0;32580.0;7030.0;5560.0;19990.0
20;Total countries;2002 1st quarter;6300.0;4270.0;1920.0;110.0;6300.0;1260.0;1160.0;3880.0
21;Total countries;2002 2nd quarter;4840.0;3200.0;1510.0;130.0;4840.0;920.0;840.0;3080.0
22;Total countries;2002 3rd quarter;4200.0;2710.0;1360.0;130.0;4200.0;850.0;610.0;2740.0
23;Total countries;2002 4th quarter;3330.0;2170.0;1040.0;120.0;3330.0;530.0;460.0;2340.0
24;Total countries;2002;18670.0;12350.0;5830.0;490.0;18670.0;3560.0;3070.0;12040.0
25;Total countries;2003 1st quarter;3670.0;2380.0;1100.0;200.0;3670.0;730.0;380.0;2560.0
26;Total countries;2003 2nd quarter;3790.0;2590.0;1080.0;120.0;3790.0;770.0;310.0;2710.0
27;Total countries;2003 3rd quarter;3220.0;2160.0;970.0;90.0;3220.0;640.0;380.0;2200.0
28;Total countries;2003 4th quarter;2720.0;1800.0;830.0;90.0;2720.0;610.0;310.0;1800.0
29;Total countries;2003;13400.0;8920.0;3980.0;500.0;13400.0;2760.0;1380.0;9270.0
30;Total countries;2004 1st quarter;2750.0;1650.0;950.0;150.0;2750.0;780.0;290.0;1690.0
31;Total countries;2004 2nd quarter;2080.0;1220.0;790.0;70.0;2080.0;610.0;140.0;1330.0
32;Total countries;2004 3rd quarter;2310.0;1350.0;940.0;20.0;2310.0;690.0;200.0;1430.0
33;Total countries;2004 4th quarter;2640.0;1580.0;1030.0;30.0;2640.0;770.0;230.0;1640.0
34;Total countries;2004;9780.0;5800.0;3700.0;280.0;9780.0;2840.0;850.0;6080.0
35;Total countries;2005 1st quarter;2700.0;1650.0;1030.0;20.0;2700.0;770.0;260.0;1660.0
36;Total countries;2005 2nd quarter;2590.0;1560.0;1020.0;10.0;2590.0;700.0;230.0;1660.0
37;Total countries;2005 3rd quarter;2990.0;1800.0;1180.0;10.0;2990.0;870.0;200.0;1920.0
38;Total countries;2005 4th quarter;4080.0;2480.0;1600.0;0.0;4080.0;1080.0;250.0;2750.0
39;Total countries;2005;12350.0;7490.0;4830.0;40.0;12350.0;3420.0;930.0;7990.0
40;Total countries;2006 1st quarter;5170.0;3310.0;1860.0;10.0;5170.0;1260.0;290.0;3630.0
41;Total countries;2006 2nd quarter;3840.0;2280.0;1560.0;0.0;3840.0;1050.0;270.0;2520.0
42;Total countries;2006 3rd quarter;2960.0;1790.0;1180.0;0.0;2960.0;720.0;200.0;2040.0
