ID;GoederenindelingSITC;Perioden;Invoerwaarde_1;Uitvoerwaarde_2;Handelsbalans_3;Invoerwaarde_4;Uitvoerwaarde_5
0;Totaal goederen;2011 3e kwartaal;38683.0;4330.0;-34353.0;;
1;Totaal goederen;2011 4e kwartaal;49131.0;2134.0;-46997.0;;
2;Totaal goederen;2011;;;;;
3;Totaal goederen;2012 1e kwartaal;39025.0;2361.0;-36664.0;;
4;Totaal goederen;2012 2e kwartaal;43353.0;2054.0;-41299.0;;
5;Totaal goederen;2012 3e kwartaal;39676.0;3631.0;-36045.0;2.6;-16.1
6;Totaal goederen;2012 4e kwartaal;46678.0;3511.0;-43167.0;-5.0;64.5
7;Totaal goederen;2012;168732.0;11557.0;-157175.0;;
8;Totaal goederen;2013 1e kwartaal;41207.0;6038.0;-35169.0;5.6;155.7
9;Totaal goederen;2013 2e kwartaal;35212.0;1493.0;-33719.0;-18.8;-27.3
10;Totaal goederen;2013 3e kwartaal;40399.0;2682.0;-37717.0;1.8;-26.1
11;Totaal goederen;2013 4e kwartaal;48468.0;3811.0;-44657.0;3.8;8.5
12;Totaal goederen;2013;165286.0;14024.0;-151262.0;-2.0;21.3
13;Totaal goederen;2014 1e kwartaal;38150.0;3176.0;-34974.0;-7.4;-47.4
14;Totaal goederen;2014 2e kwartaal;35885.0;2081.0;-33804.0;1.9;39.4
15;Totaal goederen;2014 3e kwartaal;42489.0;3141.0;-39348.0;5.2;17.1
16;Totaal goederen;2014 4e kwartaal;47249.0;5435.0;-41814.0;-2.5;42.6
17;Totaal goederen;2014;163774.0;13834.0;-149940.0;-0.9;-1.4
18;Totaal goederen;2015 1e kwartaal;47686.0;3063.0;-44623.0;25.0;-3.6
19;Totaal goederen;2015 2e kwartaal;46430.0;2118.0;-44312.0;29.4;1.8
20;Totaal goederen;2015 3e kwartaal;46909.0;2194.0;-44715.0;10.4;-30.1
21;Totaal goederen;2015 4e kwartaal;52907.0;2120.0;-50787.0;12.0;-61.0
22;Totaal goederen;2015;193932.0;9496.0;-184436.0;18.4;-31.4
23;Totaal goederen;2016 1e kwartaal;44253.0;2902.0;-41351.0;-7.2;-5.3
24;Totaal goederen;2016 2e kwartaal;49611.0;2010.0;-47601.0;6.9;-5.1
25;Totaal goederen;2016 3e kwartaal;49829.0;1731.0;-48098.0;6.2;-21.1
26;Totaal goederen;2016 4e kwartaal;56940.0;2061.0;-54879.0;7.6;-2.8
27;Totaal goederen;2016;200633.0;8704.0;-191929.0;3.5;-8.3
28;Totaal goederen;2017 1e kwartaal;46603.0;2627.0;-43976.0;5.3;-9.5
29;Totaal goederen;2017 2e kwartaal;51934.0;4558.0;-47376.0;4.7;126.8
30;Totaal goederen;2017 3e kwartaal;54213.0;2119.0;-52094.0;8.8;22.4
31;Totaal goederen;2017 4e kwartaal;60078.0;1611.0;-58467.0;5.5;-21.8
32;Totaal goederen;2017;212827.0;10914.0;-201913.0;6.1;25.4
33;Totaal goederen;2018 1e kwartaal;54716.0;1810.0;-52906.0;17.4;-31.1
34;Totaal goederen;2018 2e kwartaal;54925.0;3354.0;-51571.0;5.8;-26.4
35;Totaal goederen;2018 3e kwartaal;51552.0;1992.0;-49560.0;-4.9;-6.0
36;Totaal goederen;2018 4e kwartaal;62005.0;2146.0;-59859.0;3.2;33.2
37;Totaal goederen;2018;223198.0;9302.0;-213896.0;4.9;-14.8
38;Totaal goederen;2019 1e kwartaal;59611.0;2927.0;-56684.0;8.9;61.7
39;Totaal goederen;2019 2e kwartaal;60932.0;2068.0;-58864.0;10.9;-38.3
40;Totaal goederen;2019 3e kwartaal;66112.0;4271.0;-61841.0;28.2;114.4
41;Totaal goederen;2019 4e kwartaal;65910.0;2700.0;-63210.0;6.3;25.8
42;Totaal goederen;2019;252566.0;11966.0;-240600.0;13.2;28.6
43;Totaal goederen;2020 1e kwartaal;62145.0;2295.0;-59850.0;4.3;-21.6
44;Totaal goederen;2020 2e kwartaal;52929.0;1421.0;-51508.0;-13.1;-31.3
45;Totaal goederen;2020 3e kwartaal;62423.0;2287.0;-60136.0;-5.6;-46.5
46;Totaal goederen;2020 4e kwartaal;66321.0;2041.0;-64280.0;0.6;-24.4
47;Totaal goederen;2020;243818.0;8044.0;-235774.0;-3.5;-32.8
48;Totaal goederen;2021 1e kwartaal;65836.0;2206.0;-63630.0;5.9;-3.9
49;Totaal goederen;2021 2e kwartaal;66474.0;2194.0;-64280.0;25.6;54.4
50;Totaal goederen;2021 3e kwartaal;71694.0;2570.0;-69124.0;14.9;12.4
51;Totaal goederen;2021 4e kwartaal;87500.0;2704.0;-84796.0;31.9;32.5
52;Totaal goederen;2021;291505.0;9673.0;-281832.0;19.6;20.3
53;Totaal goederen;2022 1e kwartaal;77251.0;3456.0;-73795.0;17.3;56.7
54;Totaal goederen;2022 2e kwartaal;84759.0;2053.0;-82706.0;27.5;-6.4
55;Totaal goederen;2022 3e kwartaal;102853.0;2290.0;-100563.0;43.5;-10.9
56;0 Voeding en levende dieren;2011 3e kwartaal;6202.0;3.0;-6199.0;;
57;0 Voeding en levende dieren;2011 4e kwartaal;8573.0;0.0;-8573.0;;
58;0 Voeding en levende dieren;2011;;;;;
59;0 Voeding en levende dieren;2012 1e kwartaal;6960.0;2.0;-6958.0;;
60;0 Voeding en levende dieren;2012 2e kwartaal;7058.0;1.0;-7057.0;;
61;0 Voeding en levende dieren;2012 3e kwartaal;7084.0;0.0;-7084.0;14.2;-100.0
62;0 Voeding en levende dieren;2012 4e kwartaal;7664.0;0.0;-7664.0;-10.6;0.0
63;0 Voeding en levende dieren;2012;28766.0;3.0;-28763.0;;
64;0 Voeding en levende dieren;2013 1e kwartaal;7293.0;1.0;-7292.0;4.8;-50.0
65;0 Voeding en levende dieren;2013 2e kwartaal;7520.0;1.0;-7519.0;6.5;0.0
66;0 Voeding en levende dieren;2013 3e kwartaal;6765.0;1.0;-6764.0;-4.5;100.0
67;0 Voeding en levende dieren;2013 4e kwartaal;8024.0;17.0;-8007.0;4.7;100.0
68;0 Voeding en levende dieren;2013;29602.0;20.0;-29582.0;2.9;566.7
69;0 Voeding en levende dieren;2014 1e kwartaal;7790.0;1.0;-7789.0;6.8;0.0
70;0 Voeding en levende dieren;2014 2e kwartaal;7655.0;0.0;-7655.0;1.8;-100.0
71;0 Voeding en levende dieren;2014 3e kwartaal;7785.0;5.0;-7780.0;15.1;400.0
72;0 Voeding en levende dieren;2014 4e kwartaal;9165.0;13.0;-9152.0;14.2;-23.5
73;0 Voeding en levende dieren;2014;32395.0;19.0;-32376.0;9.4;-5.0
74;0 Voeding en levende dieren;2015 1e kwartaal;8378.0;11.0;-8367.0;7.5;1000.0
75;0 Voeding en levende dieren;2015 2e kwartaal;8392.0;13.0;-8379.0;9.6;100.0
76;0 Voeding en levende dieren;2015 3e kwartaal;8085.0;6.0;-8079.0;3.9;20.0
77;0 Voeding en levende dieren;2015 4e kwartaal;8989.0;89.0;-8900.0;-1.9;584.6
78;0 Voeding en levende dieren;2015;33844.0;118.0;-33726.0;4.5;521.1
79;0 Voeding en levende dieren;2016 1e kwartaal;8413.0;8.0;-8405.0;0.4;-27.3
80;0 Voeding en levende dieren;2016 2e kwartaal;7966.0;4.0;-7962.0;-5.1;-69.2
81;0 Voeding en levende dieren;2016 3e kwartaal;8669.0;0.0;-8669.0;7.2;-100.0
