ID;GemeentelijkeHeffingenVanaf2017;Regiokenmerken;Perioden;GemeentelijkeHeffingenInMlnEuro_1;GemeentelijkeHeffingenEuroInwoner_2
0;Totaal gemeentelijke heffingen;Nederland;2017;9475.0;554.0
1;Totaal gemeentelijke heffingen;Nederland;2018;9746.0;567.0
2;Totaal gemeentelijke heffingen;Nederland;2019;10165.0;588.0
3;Totaal gemeentelijke heffingen;Nederland;2020;10824.0;622.0
4;Totaal gemeentelijke heffingen;Nederland;2021;11312.0;647.0
5;Totaal gemeentelijke heffingen;Nederland;2022;11544.0;656.0
6;Totaal gemeentelijke heffingen;Nederland;2023;12250.0;688.0
7;Totaal gemeentelijke heffingen;Nederland;2024;13296.0;741.0
8;Totaal gemeentelijke heffingen;Nederland;2025;14356.0;796.0
9;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2017;919.0;534.0
10;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2018;928.0;539.0
11;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2019;956.0;555.0
12;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2020;1007.0;582.0
13;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2021;1057.0;610.0
14;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2022;1075.0;617.0
15;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2023;1115.0;634.0
16;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2024;1188.0;672.0
17;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2025;1242.0;700.0
18;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2017;1847.0;513.0
19;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2018;1893.0;522.0
20;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2019;1947.0;534.0
21;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2020;2041.0;556.0
22;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2021;2137.0;579.0
23;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2022;2136.0;575.0
24;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2023;2222.0;591.0
25;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2024;2386.0;630.0
26;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2025;2577.0;676.0
27;Totaal gemeentelijke heffingen;West-Nederland (LD);2017;4872.0;599.0
28;Totaal gemeentelijke heffingen;West-Nederland (LD);2018;5055.0;617.0
29;Totaal gemeentelijke heffingen;West-Nederland (LD);2019;5331.0;646.0
30;Totaal gemeentelijke heffingen;West-Nederland (LD);2020;5739.0;689.0
31;Totaal gemeentelijke heffingen;West-Nederland (LD);2021;5992.0;717.0
32;Totaal gemeentelijke heffingen;West-Nederland (LD);2022;6130.0;728.0
33;Totaal gemeentelijke heffingen;West-Nederland (LD);2023;6630.0;776.0
34;Totaal gemeentelijke heffingen;West-Nederland (LD);2024;7273.0;844.0
35;Totaal gemeentelijke heffingen;West-Nederland (LD);2025;7928.0;916.0
36;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2017;1836.0;506.0
37;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2018;1871.0;513.0
38;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2019;1931.0;527.0
39;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2020;2038.0;554.0
40;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2021;2127.0;576.0
41;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2022;2204.0;594.0
42;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2023;2283.0;608.0
43;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2024;2449.0;648.0
44;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2025;2609.0;687.0
45;Totaal gemeentelijke heffingen;Groningen (PV);2017;333.0;571.0
46;Totaal gemeentelijke heffingen;Groningen (PV);2018;337.0;577.0
47;Totaal gemeentelijke heffingen;Groningen (PV);2019;354.0;607.0
48;Totaal gemeentelijke heffingen;Groningen (PV);2020;378.0;645.0
49;Totaal gemeentelijke heffingen;Groningen (PV);2021;399.0;679.0
50;Totaal gemeentelijke heffingen;Groningen (PV);2022;418.0;708.0
51;Totaal gemeentelijke heffingen;Groningen (PV);2023;441.0;740.0
52;Totaal gemeentelijke heffingen;Groningen (PV);2024;474.0;789.0
53;Totaal gemeentelijke heffingen;Groningen (PV);2025;496.0;821.0
54;Totaal gemeentelijke heffingen;Fryslân (PV);2017;344.0;531.0
55;Totaal gemeentelijke heffingen;Fryslân (PV);2018;346.0;534.0
56;Totaal gemeentelijke heffingen;Fryslân (PV);2019;355.0;548.0
57;Totaal gemeentelijke heffingen;Fryslân (PV);2020;375.0;577.0
58;Totaal gemeentelijke heffingen;Fryslân (PV);2021;389.0;597.0
59;Totaal gemeentelijke heffingen;Fryslân (PV);2022;383.0;586.0
60;Totaal gemeentelijke heffingen;Fryslân (PV);2023;392.0;594.0
61;Totaal gemeentelijke heffingen;Fryslân (PV);2024;416.0;628.0
62;Totaal gemeentelijke heffingen;Fryslân (PV);2025;438.0;659.0
63;Totaal gemeentelijke heffingen;Drenthe (PV);2017;242.0;492.0
64;Totaal gemeentelijke heffingen;Drenthe (PV);2018;246.0;499.0
65;Totaal gemeentelijke heffingen;Drenthe (PV);2019;247.0;501.0
66;Totaal gemeentelijke heffingen;Drenthe (PV);2020;254.0;515.0
67;Totaal gemeentelijke heffingen;Drenthe (PV);2021;269.0;543.0
68;Totaal gemeentelijke heffingen;Drenthe (PV);2022;274.0;550.0
69;Totaal gemeentelijke heffingen;Drenthe (PV);2023;282.0;562.0
70;Totaal gemeentelijke heffingen;Drenthe (PV);2024;298.0;591.0
71;Totaal gemeentelijke heffingen;Drenthe (PV);2025;309.0;610.0
72;Totaal gemeentelijke heffingen;Overijssel (PV);2017;583.0;508.0
73;Totaal gemeentelijke heffingen;Overijssel (PV);2018;593.0;515.0
74;Totaal gemeentelijke heffingen;Overijssel (PV);2019;610.0;527.0
75;Totaal gemeentelijke heffingen;Overijssel (PV);2020;643.0;553.0
76;Totaal gemeentelijke heffingen;Overijssel (PV);2021;672.0;576.0
77;Totaal gemeentelijke heffingen;Overijssel (PV);2022;692.0;590.0
78;Totaal gemeentelijke heffingen;Overijssel (PV);2023;712.0;601.0
79;Totaal gemeentelijke heffingen;Overijssel (PV);2024;761.0;640.0
80;Totaal gemeentelijke heffingen;Overijssel (PV);2025;812.0;679.0
81;Totaal gemeentelijke heffingen;Flevoland (PV);2017;210.0;515.0
82;Totaal gemeentelijke heffingen;Flevoland (PV);2018;219.0;531.0
83;Totaal gemeentelijke heffingen;Flevoland (PV);2019;230.0;552.0
84;Totaal gemeentelijke heffingen;Flevoland (PV);2020;236.0;559.0
85;Totaal gemeentelijke heffingen;Flevoland (PV);2021;247.0;576.0
86;Totaal gemeentelijke heffingen;Flevoland (PV);2022;255.0;585.0
