ID;Watergebruikers;Perioden;TotaalLeidingwater_1;Drinkwater_2;TotaalIndustriewater_3;IndustriewaterVoorKoeling_4;OverigIndustriewater_5;TotaalGrondwater_6;GrondwaterVoorKoeling_7;OverigGrondwater_8;TotaalOppervlaktewater_9;TotaalZoetOppervlaktewater_10;ZoetOppervlaktewaterVoorKoeling_11;OverigZoetOppervlaktewater_12;TotaalZoutOppervlaktewater_13;ZoutOppervlaktewaterVoorKoeling_14;OverigZoutOppervlaktewater_15
230;14 Kledingindustrie;2023;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
231;15 Leer- en schoenenindustrie;2003;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
232;15 Leer- en schoenenindustrie;2004;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
233;15 Leer- en schoenenindustrie;2005;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
234;15 Leer- en schoenenindustrie;2006;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
235;15 Leer- en schoenenindustrie;2007;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
236;15 Leer- en schoenenindustrie;2008;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
237;15 Leer- en schoenenindustrie;2009;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
238;15 Leer- en schoenenindustrie;2010;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
239;15 Leer- en schoenenindustrie;2011;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
240;15 Leer- en schoenenindustrie;2012;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
241;15 Leer- en schoenenindustrie;2013;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
242;15 Leer- en schoenenindustrie;2014;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
243;15 Leer- en schoenenindustrie;2015;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
244;15 Leer- en schoenenindustrie;2016;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
245;15 Leer- en schoenenindustrie;2017;0.2;0.2;0.0;;;0.8;0.0;0.8;0.0;0.0;;;0.0;;
246;15 Leer- en schoenenindustrie;2018;0.6;0.6;0.0;;;0.6;0.0;0.6;0.0;0.0;;;0.0;;
247;15 Leer- en schoenenindustrie;2019;0.7;0.7;0.0;;;0.5;0.0;0.5;0.0;0.0;;;0.0;;
248;15 Leer- en schoenenindustrie;2020;0.0;0.0;0.0;;;0.6;0.0;0.6;0.0;0.0;;;0.0;;
249;15 Leer- en schoenenindustrie;2021;0.1;0.1;0.0;;;0.8;0.0;0.8;0.0;0.0;;;0.0;;
250;15 Leer- en schoenenindustrie;2022;;;;;;0.6;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
251;15 Leer- en schoenenindustrie;2023;;;;;;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
252;16 Houtindustrie;2003;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
253;16 Houtindustrie;2004;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
254;16 Houtindustrie;2005;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
255;16 Houtindustrie;2006;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
256;16 Houtindustrie;2007;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
257;16 Houtindustrie;2008;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
258;16 Houtindustrie;2009;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
259;16 Houtindustrie;2010;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
260;16 Houtindustrie;2011;0.3;0.3;0.0;;;0.2;0.1;0.1;0.0;0.0;;;0.0;;
261;16 Houtindustrie;2012;0.3;0.3;0.0;;;0.1;0.1;0.1;0.0;0.0;;;0.0;;
262;16 Houtindustrie;2013;0.2;0.2;0.0;;;0.1;0.1;0.1;0.0;0.0;;;0.0;;
263;16 Houtindustrie;2014;0.2;0.2;0.0;;;0.1;0.1;0.1;0.0;0.0;;;0.0;;
264;16 Houtindustrie;2015;0.2;0.2;0.0;;;0.1;0.1;0.1;0.0;0.0;;;0.0;;
265;16 Houtindustrie;2016;0.2;0.2;0.0;;;0.2;0.1;0.1;0.0;0.0;;;0.0;;
266;16 Houtindustrie;2017;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
267;16 Houtindustrie;2018;0.3;0.3;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
268;16 Houtindustrie;2019;0.2;0.2;0.0;;;0.1;0.1;0.0;0.0;0.0;;;0.0;;
269;16 Houtindustrie;2020;0.2;0.2;0.0;;;0.1;0.1;0.0;0.0;0.0;;;0.0;;
270;16 Houtindustrie;2021;0.2;0.2;0.0;;;0.1;0.1;0.0;0.0;0.0;;;0.0;;
271;16 Houtindustrie;2022;;;;;;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
272;16 Houtindustrie;2023;;;;;;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
273;17 Papierindustrie;2003;3.1;3.1;0.0;;;35.4;0.2;35.3;98.2;98.2;;;0.0;;
274;17 Papierindustrie;2004;2.5;2.5;0.0;;;33.0;0.1;33.0;109.8;109.8;;;0.0;;
275;17 Papierindustrie;2005;3.8;3.8;0.0;;;23.1;1.4;21.7;115.7;115.7;;;0.0;;
276;17 Papierindustrie;2006;3.4;3.4;0.0;;;21.8;2.2;19.7;107.6;107.6;;;0.0;;
277;17 Papierindustrie;2007;3.4;3.4;0.0;;;20.7;1.9;18.8;110.7;110.7;;;0.0;;
278;17 Papierindustrie;2008;4.8;4.8;0.0;;;18.9;2.4;16.5;109.4;109.4;;;0.0;;
279;17 Papierindustrie;2009;3.3;3.3;0.0;;;21.9;1.7;20.2;84.6;84.6;;;0.0;;
280;17 Papierindustrie;2010;1.8;1.8;0.0;;;11.9;0.8;11.2;76.0;76.0;;;0.0;;
281;17 Papierindustrie;2011;1.8;1.8;0.0;;;14.8;0.6;14.2;73.0;73.0;;;0.0;;
282;17 Papierindustrie;2012;1.9;1.9;0.0;;;14.7;1.6;13.1;78.7;78.7;;;0.0;;
283;17 Papierindustrie;2013;3.9;3.9;0.0;;;14.4;1.5;12.9;82.7;82.7;;;0.0;;
284;17 Papierindustrie;2014;5.6;5.6;0.0;;;13.8;0.8;13.1;55.6;55.6;;;0.0;;
285;17 Papierindustrie;2015;5.3;5.3;0.0;;;14.4;0.9;13.4;51.0;51.0;;;0.0;;
286;17 Papierindustrie;2016;6.9;6.9;0.0;;;15.8;2.0;13.7;55.2;55.2;;;0.0;;
287;17 Papierindustrie;2017;4.7;4.7;0.0;;;14.0;0.7;13.3;48.0;48.0;;;0.0;;
288;17 Papierindustrie;2018;4.6;4.6;0.0;;;14.5;0.7;13.8;47.3;47.3;;;0.0;;
289;17 Papierindustrie;2019;6.1;6.1;0.0;;;15.2;1.3;13.9;53.9;53.9;;;0.0;;
290;17 Papierindustrie;2020;6.6;6.6;0.0;;;14.1;0.4;13.7;50.1;50.1;;;0.0;;
291;17 Papierindustrie;2021;7.1;7.1;0.0;;;11.5;0.0;11.5;47.6;47.6;;;0.0;;
292;17 Papierindustrie;2022;;;;;;16.2;0.0;16.2;42.0;42.0;10.7;31.3;0.0;0.0;0.0
293;17 Papierindustrie;2023;;;;;;13.3;0.0;13.3;33.9;33.9;19.8;14.1;0.0;0.0;0.0
294;18 Grafische industrie;2003;1.0;1.0;0.0;;;0.5;0.1;0.4;0.2;0.2;;;0.0;;
295;18 Grafische industrie;2004;0.9;0.9;0.0;;;0.4;0.0;0.4;0.2;0.2;;;0.0;;
296;18 Grafische industrie;2005;0.9;0.9;0.0;;;0.4;0.0;0.4;0.1;0.1;;;0.0;;
297;18 Grafische industrie;2006;0.9;0.9;0.0;;;0.4;0.0;0.4;0.1;0.1;;;0.0;;
298;18 Grafische industrie;2007;0.9;0.9;0.0;;;0.4;0.0;0.4;0.1;0.1;;;0.0;;
299;18 Grafische industrie;2008;0.9;0.9;0.0;;;0.4;0.0;0.3;0.1;0.1;;;0.0;;
300;18 Grafische industrie;2009;0.9;0.9;0.0;;;0.4;0.0;0.3;0.1;0.1;;;0.0;;
301;18 Grafische industrie;2010;0.9;0.9;0.0;;;0.3;0.0;0.3;0.1;0.1;;;0.0;;
302;18 Grafische industrie;2011;0.8;0.8;0.0;;;0.3;0.0;0.3;0.1;0.1;;;0.0;;
303;18 Grafische industrie;2012;0.7;0.7;0.0;;;0.3;0.0;0.3;0.1;0.1;;;0.0;;
304;18 Grafische industrie;2013;0.7;0.7;0.0;;;0.3;0.0;0.3;0.1;0.1;;;0.0;;
305;18 Grafische industrie;2014;0.5;0.5;0.0;;;0.3;0.0;0.2;0.1;0.1;;;0.0;;
306;18 Grafische industrie;2015;0.5;0.5;0.0;;;0.3;0.0;0.2;0.1;0.1;;;0.0;;
307;18 Grafische industrie;2016;0.4;0.4;0.0;;;0.2;0.0;0.2;0.1;0.1;;;0.0;;
308;18 Grafische industrie;2017;0.5;0.5;0.0;;;0.2;0.0;0.2;0.1;0.1;;;0.0;;
309;18 Grafische industrie;2018;0.4;0.4;0.0;;;0.2;0.0;0.2;0.1;0.1;;;0.0;;
310;18 Grafische industrie;2019;0.5;0.5;0.0;;;0.3;0.0;0.3;0.1;0.1;;;0.0;;
311;18 Grafische industrie;2020;0.5;0.5;0.0;;;0.3;0.0;0.3;0.1;0.1;;;0.0;;
312;18 Grafische industrie;2021;0.5;0.5;0.0;;;0.3;0.0;0.3;0.1;0.1;;;0.0;;
313;18 Grafische industrie;2022;;;;;;0.3;0.0;0.3;0.1;0.1;;;0.0;0.0;0.0
314;18 Grafische industrie;2023;;;;;;0.3;0.0;0.3;0.1;0.1;;;0.0;0.0;0.0
315;19 Aardolie-industrie;2003;25.4;16.2;9.2;;;0.1;0.0;0.1;297.4;294.5;;;2.9;;
316;19 Aardolie-industrie;2004;25.7;16.7;9.0;;;0.1;0.0;0.1;301.0;298.3;;;2.6;;
317;19 Aardolie-industrie;2005;25.8;16.2;9.6;;;0.0;0.0;0.0;281.2;281.2;;;0.0;;
318;19 Aardolie-industrie;2006;26.4;16.9;9.5;;;0.0;0.0;0.0;317.7;317.7;;;0.0;;
319;19 Aardolie-industrie;2007;27.3;17.8;9.5;;;0.0;0.0;0.0;322.8;322.8;;;0.0;;
320;19 Aardolie-industrie;2008;24.9;15.1;9.8;;;0.0;0.0;0.0;776.9;776.9;;;0.0;;
321;19 Aardolie-industrie;2009;24.3;12.7;11.6;;;0.0;0.0;0.0;828.8;828.8;;;0.0;;
322;19 Aardolie-industrie;2010;25.2;13.4;11.8;;;0.0;0.0;0.0;741.4;741.4;;;0.0;;
323;19 Aardolie-industrie;2011;24.9;12.6;12.3;;;0.1;0.0;0.1;805.6;805.6;;;0.0;;
324;19 Aardolie-industrie;2012;22.2;10.9;11.3;;;0.0;0.0;0.0;743.3;743.3;;;0.0;;
325;19 Aardolie-industrie;2013;21.5;9.9;11.6;;;0.2;0.0;0.2;712.8;712.8;;;0.0;;
326;19 Aardolie-industrie;2014;21.5;9.8;11.7;;;0.1;0.0;0.1;667.9;667.9;;;0.0;;
327;19 Aardolie-industrie;2015;20.4;8.7;11.7;;;0.1;0.0;0.1;559.6;559.6;;;0.0;;
328;19 Aardolie-industrie;2016;20.7;7.8;12.9;;;0.0;0.0;0.0;507.9;507.9;;;0.0;;
329;19 Aardolie-industrie;2017;20.0;8.8;11.2;;;0.1;0.0;0.1;464.7;442.0;;;22.7;;
330;19 Aardolie-industrie;2018;19.1;7.8;11.3;;;0.0;0.0;0.0;526.7;503.7;;;23.0;;
331;19 Aardolie-industrie;2019;21.2;10.0;11.2;;;0.0;0.0;0.0;488.0;464.9;;;23.1;;
332;19 Aardolie-industrie;2020;20.5;10.7;9.8;;;0.0;0.0;0.0;479.6;471.2;;;8.3;;
333;19 Aardolie-industrie;2021;20.1;10.2;9.9;;;0.0;0.0;0.0;498.0;487.1;;;10.9;;
334;19 Aardolie-industrie;2022;;;;;;0.1;0.0;0.1;464.1;456.4;368.4;88.0;7.7;7.7;0.0
335;19 Aardolie-industrie;2023;;;;;;0.0;0.0;0.0;454.8;444.2;358.6;85.6;10.6;10.6;0.0
336;20 Chemische industrie;2003;51.1;24.6;26.5;;;17.5;9.6;7.9;2914.4;2297.6;;;616.8;;
337;20 Chemische industrie;2004;55.3;28.4;26.9;;;21.8;10.4;11.5;2758.1;2168.4;;;589.7;;
338;20 Chemische industrie;2005;48.9;22.7;26.2;;;14.0;5.8;8.2;2364.1;1853.5;;;510.6;;
339;20 Chemische industrie;2006;49.4;24.3;25.1;;;18.1;8.1;10.1;2396.9;1880.6;;;516.3;;
340;20 Chemische industrie;2007;49.0;23.5;25.5;;;16.8;7.0;9.8;2349.7;1865.3;;;484.4;;
341;20 Chemische industrie;2008;45.9;21.9;24.0;;;14.2;5.0;9.2;2018.3;1612.5;;;405.8;;
342;20 Chemische industrie;2009;49.1;24.7;24.4;;;13.5;5.5;7.9;2351.0;1940.1;;;411.0;;
343;20 Chemische industrie;2010;51.0;25.1;25.9;;;14.0;4.6;9.5;2140.2;1710.5;;;429.7;;
344;20 Chemische industrie;2011;47.8;22.1;25.7;;;12.1;3.9;8.2;2109.8;1696.7;;;413.1;;
345;20 Chemische industrie;2012;50.1;26.2;23.9;;;14.9;5.1;9.8;2206.8;1779.1;;;427.7;;
346;20 Chemische industrie;2013;55.5;28.1;27.4;;;14.9;5.9;9.0;2094.9;1657.3;;;437.6;;
347;20 Chemische industrie;2014;54.6;28.2;26.4;;;14.7;5.8;9.0;1903.5;1457.2;;;446.3;;
348;20 Chemische industrie;2015;56.6;33.6;23.0;;;13.3;5.0;8.3;1715.6;1287.0;;;428.6;;
349;20 Chemische industrie;2016;57.8;32.6;25.2;;;11.2;3.8;7.4;2075.5;1646.0;;;429.5;;
350;20 Chemische industrie;2017;63.4;39.6;23.8;;;11.8;4.2;7.5;2136.9;1723.4;;;413.5;;
351;20 Chemische industrie;2018;57.9;33.9;24.0;;;12.9;5.1;7.8;2033.4;1577.4;;;456.0;;
352;20 Chemische industrie;2019;62.4;41.0;21.4;;;8.5;2.9;5.6;1992.9;1580.8;;;412.1;;
353;20 Chemische industrie;2020;57.5;33.9;23.7;;;7.8;3.0;4.8;2095.9;1612.3;;;483.6;;
354;20 Chemische industrie;2021;63.1;39.1;24.0;;;7.2;2.6;4.6;2327.0;1777.0;;;550.0;;
355;20 Chemische industrie;2022;;;;;;5.3;1.7;3.6;2046.0;1546.5;1316.0;230.5;499.5;498.9;0.6
356;20 Chemische industrie;2023;;;;;;3.7;1.4;2.3;1932.2;1391.2;1199.6;191.6;541.0;540.4;0.6
357;21 Farmaceutische industrie;2003;12.1;12.1;0.0;;;17.2;15.6;1.6;11.6;11.6;;;0.0;;
358;21 Farmaceutische industrie;2004;14.0;14.0;0.0;;;17.3;14.9;2.4;27.2;27.2;;;0.0;;
359;21 Farmaceutische industrie;2005;15.5;15.5;0.0;;;15.0;12.6;2.5;24.6;24.6;;;0.0;;
360;21 Farmaceutische industrie;2006;10.3;10.3;0.0;;;11.5;10.5;1.0;12.1;12.1;;;0.0;;
361;21 Farmaceutische industrie;2007;10.1;10.1;0.0;;;13.2;5.7;7.5;11.4;11.4;;;0.0;;
362;21 Farmaceutische industrie;2008;9.1;9.1;0.0;;;11.3;4.8;6.4;9.8;9.8;;;0.0;;
363;21 Farmaceutische industrie;2009;8.6;8.6;0.0;;;10.8;5.1;5.7;8.4;8.4;;;0.0;;
364;21 Farmaceutische industrie;2010;9.2;8.4;0.8;;;5.1;4.4;0.7;6.3;6.3;;;0.0;;
365;21 Farmaceutische industrie;2011;7.7;6.5;1.2;;;5.4;5.0;0.4;2.4;2.4;;;0.0;;
366;21 Farmaceutische industrie;2012;6.5;5.4;1.1;;;4.0;3.9;0.1;0.0;0.0;;;0.0;;
367;21 Farmaceutische industrie;2013;4.6;4.6;0.0;;;3.9;3.9;0.0;0.0;0.0;;;0.0;;
368;21 Farmaceutische industrie;2014;5.4;5.4;0.0;;;5.1;4.6;0.5;0.0;0.0;;;0.0;;
369;21 Farmaceutische industrie;2015;5.8;5.8;0.0;;;5.5;4.3;1.2;0.0;0.0;;;0.0;;
370;21 Farmaceutische industrie;2016;6.5;6.5;0.0;;;5.6;4.1;1.5;0.0;0.0;;;0.0;;
371;21 Farmaceutische industrie;2017;4.8;4.8;0.0;;;4.5;4.1;0.4;0.0;0.0;;;0.0;;
372;21 Farmaceutische industrie;2018;4.8;4.8;0.0;;;5.3;4.8;0.4;0.0;0.0;;;0.0;;
373;21 Farmaceutische industrie;2019;6.4;6.4;0.0;;;6.0;4.7;1.3;0.0;0.0;;;0.0;;
374;21 Farmaceutische industrie;2020;6.4;6.4;0.0;;;5.8;4.6;1.3;0.0;0.0;;;0.0;;
375;21 Farmaceutische industrie;2021;6.4;6.4;0.0;;;6.0;4.7;1.3;0.0;0.0;;;0.0;;
376;21 Farmaceutische industrie;2022;;;;;;5.8;4.5;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
377;21 Farmaceutische industrie;2023;;;;;;5.3;4.1;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
378;22 Rubber- en kunststofproductindustrie;2003;4.9;4.9;0.0;;;25.8;24.6;1.2;13.3;13.3;;;0.0;;
379;22 Rubber- en kunststofproductindustrie;2004;4.4;4.4;0.0;;;40.3;39.2;1.2;25.9;25.9;;;0.0;;
380;22 Rubber- en kunststofproductindustrie;2005;4.0;4.0;0.0;;;33.3;32.4;0.9;12.4;12.4;;;0.0;;
381;22 Rubber- en kunststofproductindustrie;2006;4.2;4.2;0.0;;;34.0;32.9;1.1;17.7;17.7;;;0.0;;
382;22 Rubber- en kunststofproductindustrie;2007;4.3;4.3;0.0;;;32.8;31.6;1.2;16.9;16.9;;;0.0;;
383;22 Rubber- en kunststofproductindustrie;2008;4.7;4.7;0.0;;;36.0;34.4;1.5;18.4;18.4;;;0.0;;
384;22 Rubber- en kunststofproductindustrie;2009;4.7;4.7;0.0;;;33.4;32.4;1.0;16.1;16.1;;;0.0;;
385;22 Rubber- en kunststofproductindustrie;2010;4.6;4.6;0.0;;;10.0;9.2;0.8;4.1;4.1;;;0.0;;
386;22 Rubber- en kunststofproductindustrie;2011;4.1;4.1;0.0;;;10.2;9.4;0.8;4.1;4.1;;;0.0;;
387;22 Rubber- en kunststofproductindustrie;2012;3.8;3.8;0.0;;;10.4;9.6;0.8;4.2;4.2;;;0.0;;
388;22 Rubber- en kunststofproductindustrie;2013;4.0;4.0;0.0;;;18.1;17.2;0.9;10.1;10.1;;;0.0;;
389;22 Rubber- en kunststofproductindustrie;2014;3.6;3.6;0.0;;;16.0;15.1;0.9;4.4;4.4;;;0.0;;
390;22 Rubber- en kunststofproductindustrie;2015;3.2;3.2;0.0;;;17.3;16.4;0.9;4.5;4.5;;;0.0;;
391;22 Rubber- en kunststofproductindustrie;2016;3.2;3.2;0.0;;;19.8;18.9;0.9;4.7;4.7;;;0.0;;
392;22 Rubber- en kunststofproductindustrie;2017;3.2;3.2;0.0;;;18.9;18.0;0.9;4.7;4.7;;;0.0;;
393;22 Rubber- en kunststofproductindustrie;2018;4.0;4.0;0.0;;;22.7;21.7;1.1;4.9;4.9;;;0.0;;
394;22 Rubber- en kunststofproductindustrie;2019;3.2;3.2;0.0;;;15.0;15.0;0.0;4.5;4.5;;;0.0;;
395;22 Rubber- en kunststofproductindustrie;2020;3.2;3.2;0.0;;;11.6;11.5;0.1;4.3;4.3;;;0.0;;
396;22 Rubber- en kunststofproductindustrie;2021;3.5;3.5;0.0;;;12.0;12.0;0.0;4.8;4.8;;;0.0;;
397;22 Rubber- en kunststofproductindustrie;2022;;;;;;24.8;23.6;1.2;4.1;4.1;;;0.0;0.0;0.0
398;22 Rubber- en kunststofproductindustrie;2023;;;;;;8.6;8.1;0.5;3.9;3.9;;;0.0;0.0;0.0
399;23 Bouwmaterialenindustrie;2003;4.0;4.0;0.0;;;7.6;4.0;3.7;3.2;3.2;;;0.0;;
400;23 Bouwmaterialenindustrie;2004;3.7;3.7;0.0;;;7.1;3.6;3.5;3.0;3.0;;;0.0;;
401;23 Bouwmaterialenindustrie;2005;3.4;3.4;0.0;;;6.0;2.9;3.2;2.8;2.8;;;0.0;;
402;23 Bouwmaterialenindustrie;2006;3.5;3.5;0.0;;;6.3;3.0;3.4;2.9;2.9;;;0.0;;
403;23 Bouwmaterialenindustrie;2007;3.9;3.9;0.0;;;6.3;2.7;3.6;3.1;3.1;;;0.0;;
404;23 Bouwmaterialenindustrie;2008;4.3;4.3;0.0;;;6.4;2.8;3.6;3.3;3.3;;;0.0;;
405;23 Bouwmaterialenindustrie;2009;4.0;3.9;0.1;;;5.9;2.6;3.2;2.8;2.8;;;0.0;;
406;23 Bouwmaterialenindustrie;2010;4.4;4.3;0.1;;;6.0;2.8;3.2;2.6;2.6;;;0.0;;
407;23 Bouwmaterialenindustrie;2011;4.4;4.3;0.1;;;6.3;2.9;3.4;2.7;2.7;;;0.0;;
408;23 Bouwmaterialenindustrie;2012;3.8;3.7;0.1;;;6.3;3.1;3.2;2.4;2.4;;;0.0;;
409;23 Bouwmaterialenindustrie;2013;4.0;3.9;0.1;;;6.3;2.9;3.4;2.4;2.4;;;0.0;;
410;23 Bouwmaterialenindustrie;2014;3.2;3.1;0.1;;;6.1;2.9;3.2;2.1;2.1;;;0.0;;
411;23 Bouwmaterialenindustrie;2015;3.1;3.0;0.1;;;5.9;2.7;3.2;2.1;2.1;;;0.0;;
412;23 Bouwmaterialenindustrie;2016;3.0;2.9;0.1;;;6.1;3.0;3.2;2.3;2.3;;;0.0;;
413;23 Bouwmaterialenindustrie;2017;3.1;3.0;0.1;;;6.2;2.9;3.3;2.5;2.5;;;0.0;;
414;23 Bouwmaterialenindustrie;2018;3.3;3.2;0.1;;;6.5;3.0;3.4;2.9;2.9;;;0.0;;
415;23 Bouwmaterialenindustrie;2019;3.1;3.0;0.1;;;5.9;2.7;3.2;2.1;2.1;;;0.0;;
416;23 Bouwmaterialenindustrie;2020;3.2;3.1;0.1;;;5.9;2.7;3.2;2.1;2.1;;;0.0;;
417;23 Bouwmaterialenindustrie;2021;3.2;3.1;0.1;;;6.0;2.8;3.3;2.2;2.2;;;0.0;;
418;23 Bouwmaterialenindustrie;2022;;;;;;5.9;2.7;3.2;2.1;2.1;;;0.0;0.0;0.0
419;23 Bouwmaterialenindustrie;2023;;;;;;4.6;2.1;2.5;1.7;1.7;;;0.0;0.0;0.0
420;24 Basismetaalindustrie;2003;35.5;1.6;33.9;;;19.1;16.2;2.9;213.1;28.3;;;184.8;;
421;24 Basismetaalindustrie;2004;35.2;1.7;33.5;;;19.7;16.9;2.8;248.2;44.1;;;204.1;;
422;24 Basismetaalindustrie;2005;36.5;1.7;34.8;;;18.1;15.8;2.3;228.1;29.3;;;198.8;;
423;24 Basismetaalindustrie;2006;36.1;1.7;34.4;;;17.4;15.3;2.1;212.3;28.5;;;183.9;;
424;24 Basismetaalindustrie;2007;36.2;1.9;34.3;;;17.9;15.1;2.8;232.2;32.0;;;200.2;;
425;24 Basismetaalindustrie;2008;36.9;3.1;33.8;;;17.5;15.3;2.3;227.0;30.3;;;196.6;;
426;24 Basismetaalindustrie;2009;31.5;1.5;30.0;;;17.9;13.3;4.6;202.2;23.2;;;178.9;;
427;24 Basismetaalindustrie;2010;33.2;2.0;31.2;;;19.5;14.7;4.8;214.6;23.8;;;190.8;;
428;24 Basismetaalindustrie;2011;33.5;2.0;31.5;;;18.6;13.9;4.7;220.1;25.2;;;194.9;;
429;24 Basismetaalindustrie;2012;32.8;1.4;31.4;;;17.7;13.0;4.7;198.3;20.3;;;178.0;;
430;24 Basismetaalindustrie;2013;32.6;1.4;31.2;;;18.7;13.8;5.0;190.3;20.7;;;169.6;;
431;24 Basismetaalindustrie;2014;33.4;1.2;32.2;;;17.3;12.5;4.8;196.8;21.3;;;175.5;;
432;24 Basismetaalindustrie;2015;32.6;1.3;31.3;;;18.0;13.0;5.0;198.3;21.3;;;177.0;;
433;24 Basismetaalindustrie;2016;33.7;1.4;32.3;;;19.0;13.7;5.3;200.1;28.4;;;171.7;;
434;24 Basismetaalindustrie;2017;33.8;1.0;32.8;;;18.2;13.1;5.0;173.5;11.1;;;162.4;;
435;24 Basismetaalindustrie;2018;34.5;1.0;33.5;;;13.7;11.9;1.8;177.8;12.9;;;164.9;;
436;24 Basismetaalindustrie;2019;34.8;1.3;33.5;;;17.1;11.6;5.5;187.9;11.7;;;176.2;;
437;24 Basismetaalindustrie;2020;34.6;1.1;33.5;;;17.5;13.0;4.5;177.0;10.5;;;166.5;;
438;24 Basismetaalindustrie;2021;33.6;1.1;32.5;;;16.0;11.0;5.0;199.2;11.2;;;188.0;;
439;24 Basismetaalindustrie;2022;;;;;;18.5;14.0;4.5;191.6;8.8;4.6;4.2;182.8;182.8;0.0
440;24 Basismetaalindustrie;2023;;;;;;16.4;12.3;4.1;164.1;7.4;4.7;2.7;156.7;156.7;0.0
441;25 Metaalproductenindustrie;2003;3.2;3.1;0.1;;;1.9;1.4;0.5;1.6;1.6;;;0.0;;
442;25 Metaalproductenindustrie;2004;2.9;2.8;0.1;;;1.8;1.3;0.5;1.5;1.5;;;0.0;;
443;25 Metaalproductenindustrie;2005;2.8;2.7;0.1;;;1.7;1.1;0.5;1.4;1.4;;;0.0;;
444;25 Metaalproductenindustrie;2006;2.7;2.6;0.1;;;1.5;1.0;0.5;1.4;1.4;;;0.0;;
445;25 Metaalproductenindustrie;2007;2.6;2.5;0.1;;;1.4;0.9;0.5;1.3;1.3;;;0.0;;
446;25 Metaalproductenindustrie;2008;2.6;2.5;0.1;;;1.3;0.8;0.5;1.2;1.2;;;0.0;;
447;25 Metaalproductenindustrie;2009;2.5;2.4;0.1;;;1.2;0.7;0.5;1.2;1.2;;;0.0;;
448;25 Metaalproductenindustrie;2010;2.7;2.6;0.1;;;0.9;0.5;0.4;1.2;1.2;;;0.0;;
449;25 Metaalproductenindustrie;2011;2.0;1.9;0.1;;;0.8;0.4;0.3;0.7;0.7;;;0.0;;
450;25 Metaalproductenindustrie;2012;2.0;1.9;0.1;;;1.6;0.7;0.8;1.4;1.4;;;0.0;;
451;25 Metaalproductenindustrie;2013;3.6;3.5;0.1;;;1.8;0.8;1.1;1.4;1.4;;;0.0;;
452;25 Metaalproductenindustrie;2014;1.4;1.3;0.1;;;0.4;0.1;0.3;0.9;0.9;;;0.0;;
453;25 Metaalproductenindustrie;2015;2.3;2.2;0.1;;;0.6;0.1;0.5;0.8;0.8;;;0.0;;
454;25 Metaalproductenindustrie;2016;2.2;2.1;0.1;;;0.8;0.3;0.5;0.7;0.7;;;0.0;;
455;25 Metaalproductenindustrie;2017;3.8;3.7;0.1;;;2.5;1.7;0.8;1.0;1.0;;;0.0;;
456;25 Metaalproductenindustrie;2018;4.0;3.9;0.1;;;2.8;1.6;1.2;0.7;0.7;;;0.0;;
457;25 Metaalproductenindustrie;2019;4.0;3.9;0.1;;;4.0;2.5;1.5;0.9;0.9;;;0.0;;
