ID;SoortGezin;AantalKinderen;Regio;Gezinnen_1
0;Totaal aantal gezinnen;Totaal aantal gezinnen;Nederland;15574
1;Totaal aantal gezinnen;Totaal aantal gezinnen;Groningen (provincie);2607
2;Totaal aantal gezinnen;Totaal aantal gezinnen;Friesland;1576
3;Totaal aantal gezinnen;Totaal aantal gezinnen;Drenthe;645
4;Totaal aantal gezinnen;Totaal aantal gezinnen;Overijssel;938
5;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland;1251
6;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht (provincie);329
7;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland;1855
8;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland;4024
9;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeeland;403
10;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Brabant;1604
11;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg;342
12;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met meer dan 100000 inwoners;5169
13;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 50001 - 100000 inwoners;758
14;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 20001 - 50000 inwoners;1574
15;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 10001 - 20000 inwoners;2804
16;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 5001 - 10000 inwoners;1958
17;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 2001 - 5000 inwoners;2522
18;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 1001 - 2000 inwoners;650
19;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 501 - 1000 inwoners;132
20;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 500 of minder inwoners;7
21;Totaal aantal gezinnen;Totaal aantal gezinnen;Groningen, gem. 100001 en meer inw.;966
22;Totaal aantal gezinnen;Totaal aantal gezinnen;Groningen;966
23;Totaal aantal gezinnen;Totaal aantal gezinnen;Groningen, gem. 10001 - 20000 inw.;823
24;Totaal aantal gezinnen;Totaal aantal gezinnen;Groningen, gem. 5001 - 10000 inw.;455
25;Totaal aantal gezinnen;Totaal aantal gezinnen;Groningen, gem. 2001 - 5000 inw.;316
26;Totaal aantal gezinnen;Totaal aantal gezinnen;Groningen, gem. 1001 - 2000 inw.;47
27;Totaal aantal gezinnen;Totaal aantal gezinnen;Friesland, gem. 20001 - 50000 inw.;343
28;Totaal aantal gezinnen;Totaal aantal gezinnen;Leeuwarden;343
29;Totaal aantal gezinnen;Totaal aantal gezinnen;Friesland, gem. 10001 - 20000 inw.;727
30;Totaal aantal gezinnen;Totaal aantal gezinnen;Friesland, gem. 5001 - 10000 inw.;423
31;Totaal aantal gezinnen;Totaal aantal gezinnen;Friesland, gem. 2001 - 5000 inw.;49
32;Totaal aantal gezinnen;Totaal aantal gezinnen;Friesland, gem. 1001 - 2000 inw.;3
33;Totaal aantal gezinnen;Totaal aantal gezinnen;Friesland, gem. 501 - 1000 inw.;31
34;Totaal aantal gezinnen;Totaal aantal gezinnen;Drenthe, gem. 20001 - 50000 inw.;85
35;Totaal aantal gezinnen;Totaal aantal gezinnen;Emmen;85
36;Totaal aantal gezinnen;Totaal aantal gezinnen;Drenthe, gem. 10001 - 20000 inw.;417
37;Totaal aantal gezinnen;Totaal aantal gezinnen;Drenthe, gem. 5001 - 10000 inw.;101
38;Totaal aantal gezinnen;Totaal aantal gezinnen;Drenthe, gem. 2001 - 5000 inw.;42
39;Totaal aantal gezinnen;Totaal aantal gezinnen;Drenthe, gem. 1001 - 2000 inw.;0
40;Totaal aantal gezinnen;Totaal aantal gezinnen;Overijssel, gem. 50001 - 100000 inw.;86
41;Totaal aantal gezinnen;Totaal aantal gezinnen;Enschede;86
42;Totaal aantal gezinnen;Totaal aantal gezinnen;Overijssel, gem. 20001 - 50000 inw.;397
43;Totaal aantal gezinnen;Totaal aantal gezinnen;Almelo;58
44;Totaal aantal gezinnen;Totaal aantal gezinnen;Deventer;86
45;Totaal aantal gezinnen;Totaal aantal gezinnen;Hengelo (O.);18
46;Totaal aantal gezinnen;Totaal aantal gezinnen;Lonneker;3
47;Totaal aantal gezinnen;Totaal aantal gezinnen;Zwolle;232
48;Totaal aantal gezinnen;Totaal aantal gezinnen;Overijssel, gem. 10001 - 20000 inw.;128
49;Totaal aantal gezinnen;Totaal aantal gezinnen;Overijssel, gem. 5001 - 10000 inw.;6
50;Totaal aantal gezinnen;Totaal aantal gezinnen;Overijssel, gem. 2001 - 5000 inw.;297
51;Totaal aantal gezinnen;Totaal aantal gezinnen;Overijssel, gem. 1001 - 2000 inw.;2
52;Totaal aantal gezinnen;Totaal aantal gezinnen;Overijssel, gem. 501 - 1000 inw.;22
53;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland, gem. 50001 - 100000 inw.;183
54;Totaal aantal gezinnen;Totaal aantal gezinnen;Apeldoorn;31
55;Totaal aantal gezinnen;Totaal aantal gezinnen;Arnhem;74
56;Totaal aantal gezinnen;Totaal aantal gezinnen;Nijmegen;78
57;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland, gem. 20001 - 50000 inw.;15
58;Totaal aantal gezinnen;Totaal aantal gezinnen;Ede;5
59;Totaal aantal gezinnen;Totaal aantal gezinnen;Rheden;10
60;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland, gem. 10001 - 20000 inw.;160
61;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland, gem. 5001 - 10000 inw.;303
62;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland, gem. 2001 - 5000 inw.;493
63;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland, gem. 1001 - 2000 inw.;89
64;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland, gem. 501 - 1000 inw.;8
65;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland, gem. 500 en minder inw.;0
66;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht, gem. 100001 en meer inw.;87
67;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht;87
68;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht, gem. 20001 - 50000 inw.;45
69;Totaal aantal gezinnen;Totaal aantal gezinnen;Amersfoort;41
70;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeist;4
71;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht, gem. 10001 - 20000 inw.;7
72;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht, gem. 5001 - 10000 inw.;7
73;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht, gem. 2001 - 5000 inw.;154
74;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht, gem. 1001 - 2000 inw.;18
75;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht, gem. 501 - 1000 inw.;11
76;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht, gem. 500 en minder inw.;0
77;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland, gem. 100001 en meer inw.;1384
78;Totaal aantal gezinnen;Totaal aantal gezinnen;Amsterdam;1270
79;Totaal aantal gezinnen;Totaal aantal gezinnen;Haarlem;114
80;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland, gem. 50001 - 100000 inw.;23
81;Totaal aantal gezinnen;Totaal aantal gezinnen;Hilversum;23
82;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland, gem. 20001 - 50000 inw.;188
83;Totaal aantal gezinnen;Totaal aantal gezinnen;Alkmaar;35
84;Totaal aantal gezinnen;Totaal aantal gezinnen;Bussum;22
85;Totaal aantal gezinnen;Totaal aantal gezinnen;Haarlemmermeer;14
86;Totaal aantal gezinnen;Totaal aantal gezinnen;Helder (Den);14
87;Totaal aantal gezinnen;Totaal aantal gezinnen;Velsen;28
88;Totaal aantal gezinnen;Totaal aantal gezinnen;Zaandam;75
89;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland, gem. 10001 - 20000 inw.;19
90;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland, gem. 5001 - 10000 inw.;100
