ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenPeriodeEerder_4
330;"59 Film- en tv-productie; geluidsopname";2014 1e kwartaal;87.1;5.2;93.3;4.0
331;"59 Film- en tv-productie; geluidsopname";2014 2e kwartaal;88.7;1.4;91.8;-1.6
332;"59 Film- en tv-productie; geluidsopname";2014 3e kwartaal;84.5;3.4;93.0;1.3
333;"59 Film- en tv-productie; geluidsopname";2014 4e kwartaal;112.2;4.6;94.0;1.0
334;"59 Film- en tv-productie; geluidsopname";2014;93.1;3.7;93.0;3.6
335;"59 Film- en tv-productie; geluidsopname";2015 1e kwartaal;89.5;2.8;96.1;2.3
336;"59 Film- en tv-productie; geluidsopname";2015 2e kwartaal;97.8;10.3;101.2;5.3
337;"59 Film- en tv-productie; geluidsopname";2015 3e kwartaal;91.7;8.5;101.1;-0.1
338;"59 Film- en tv-productie; geluidsopname";2015 4e kwartaal;120.9;7.8;101.2;0.1
339;"59 Film- en tv-productie; geluidsopname";2015;100.0;7.4;99.9;7.4
340;"59 Film- en tv-productie; geluidsopname";2016 1e kwartaal;96.1;7.3;103.2;1.9
341;"59 Film- en tv-productie; geluidsopname";2016 2e kwartaal;101.5;3.8;105.2;2.0
342;"59 Film- en tv-productie; geluidsopname";2016 3e kwartaal;108.0;17.8;117.1;11.3
343;"59 Film- en tv-productie; geluidsopname";2016 4e kwartaal;127.6;5.5;107.3;-8.3
344;"59 Film- en tv-productie; geluidsopname";2016;108.3;8.3;108.2;8.3
345;"59 Film- en tv-productie; geluidsopname";2017 1e kwartaal;99.8;3.9;107.9;0.6
346;"59 Film- en tv-productie; geluidsopname";2017 2e kwartaal;113.8;12.1;119.6;10.8
347;"59 Film- en tv-productie; geluidsopname";2017 3e kwartaal;102.9;-4.7;111.3;-7.0
348;"59 Film- en tv-productie; geluidsopname";2017 4e kwartaal;142.9;12.0;118.3;6.3
349;"59 Film- en tv-productie; geluidsopname";2017;114.9;6.0;114.3;5.6
350;"59 Film- en tv-productie; geluidsopname";2018 1e kwartaal;124.6;24.8;135.3;14.4
351;"59 Film- en tv-productie; geluidsopname";2018 2e kwartaal;117.5;3.3;124.4;-8.0
352;"59 Film- en tv-productie; geluidsopname";2018 3e kwartaal;118.3;15.0;128.1;2.9
353;"59 Film- en tv-productie; geluidsopname";2018 4e kwartaal;164.8;15.3;135.3;5.6
354;"59 Film- en tv-productie; geluidsopname";2018;131.3;14.3;130.8;14.4
355;"59 Film- en tv-productie; geluidsopname";2019 1e kwartaal;120.9;-2.9;132.0;-2.4
356;"59 Film- en tv-productie; geluidsopname";2019 2e kwartaal;125.4;6.7;133.6;1.3
357;"59 Film- en tv-productie; geluidsopname";2019 3e kwartaal;128.4;8.6;138.8;3.8
358;"59 Film- en tv-productie; geluidsopname";2019 4e kwartaal;169.5;2.9;138.4;-0.3
359;"59 Film- en tv-productie; geluidsopname";2019;136.1;3.6;135.7;3.8
360;"59 Film- en tv-productie; geluidsopname";2020 1e kwartaal;106.0;-12.4;115.9;-16.3
361;"59 Film- en tv-productie; geluidsopname";2020 2e kwartaal;80.3;-36.0;85.5;-26.3
362;"59 Film- en tv-productie; geluidsopname";2020 3e kwartaal;85.2;-33.6;91.7;7.3
363;"59 Film- en tv-productie; geluidsopname";2020 4e kwartaal;100.9;-40.5;82.2;-10.3
364;"59 Film- en tv-productie; geluidsopname";2020;93.1;-31.6;93.8;-30.9
365;"59 Film- en tv-productie; geluidsopname";2021 1e kwartaal;73.2;-31.0;82.0;-0.3
366;"59 Film- en tv-productie; geluidsopname";2021 2e kwartaal;78.6;-2.1;84.2;2.8
367;"59 Film- en tv-productie; geluidsopname";2021 3e kwartaal;97.5;14.4;104.0;23.4
368;"59 Film- en tv-productie; geluidsopname";2021 4e kwartaal;105.3;4.4;86.1;-17.2
369;"59 Film- en tv-productie; geluidsopname";2021;88.6;-4.8;89.1;-5.1
370;"59 Film- en tv-productie; geluidsopname";2022 1e kwartaal;77.6;6.1;89.0;3.4
371;"59 Film- en tv-productie; geluidsopname";2022 2e kwartaal;87.4;11.2;93.4;5.0
372;"59 Film- en tv-productie; geluidsopname";2022 3e kwartaal;88.8;-8.9;91.4;-2.2
373;"59 Film- en tv-productie; geluidsopname";2022 4e kwartaal;100.5;-4.5;84.5;-7.5
374;"59 Film- en tv-productie; geluidsopname";2022;88.6;0.0;89.6;0.6
375;"59 Film- en tv-productie; geluidsopname";2023 1e kwartaal;90.1;16.0;95.6;13.1
376;"59 Film- en tv-productie; geluidsopname";2023 2e kwartaal;92.2;5.5;96.9;1.4
377;"59 Film- en tv-productie; geluidsopname";2023 3e kwartaal;97.2;9.4;99.3;2.5
378;"59 Film- en tv-productie; geluidsopname";2023 4e kwartaal;107.4;6.9;96.1;-3.2
379;"59 Film- en tv-productie; geluidsopname";2023;96.7;9.2;97.0;8.2
380;60 Radio- en televisieomroepen;2005 1e kwartaal;66.9;;;
381;60 Radio- en televisieomroepen;2005 2e kwartaal;74.2;;;
382;60 Radio- en televisieomroepen;2005 3e kwartaal;64.4;;;
383;60 Radio- en televisieomroepen;2005 4e kwartaal;88.4;;;
384;60 Radio- en televisieomroepen;2005;73.5;;;
385;60 Radio- en televisieomroepen;2006 1e kwartaal;70.6;5.6;;
386;60 Radio- en televisieomroepen;2006 2e kwartaal;78.3;5.6;;
387;60 Radio- en televisieomroepen;2006 3e kwartaal;68.0;5.6;;
388;60 Radio- en televisieomroepen;2006 4e kwartaal;93.3;5.6;;
389;60 Radio- en televisieomroepen;2006;77.6;5.6;;
390;60 Radio- en televisieomroepen;2007 1e kwartaal;74.5;5.5;;
391;60 Radio- en televisieomroepen;2007 2e kwartaal;82.6;5.5;;
392;60 Radio- en televisieomroepen;2007 3e kwartaal;71.8;5.5;;
393;60 Radio- en televisieomroepen;2007 4e kwartaal;98.5;5.5;;
394;60 Radio- en televisieomroepen;2007;81.9;5.5;;
395;60 Radio- en televisieomroepen;2008 1e kwartaal;75.7;1.5;;
396;60 Radio- en televisieomroepen;2008 2e kwartaal;83.9;1.5;;
397;60 Radio- en televisieomroepen;2008 3e kwartaal;72.9;1.5;;
398;60 Radio- en televisieomroepen;2008 4e kwartaal;100.0;1.5;;
399;60 Radio- en televisieomroepen;2008;83.1;1.5;;
400;60 Radio- en televisieomroepen;2009 1e kwartaal;90.0;18.9;;
401;60 Radio- en televisieomroepen;2009 2e kwartaal;93.1;10.9;;
402;60 Radio- en televisieomroepen;2009 3e kwartaal;76.4;4.8;;
403;60 Radio- en televisieomroepen;2009 4e kwartaal;111.8;11.7;;
404;60 Radio- en televisieomroepen;2009;92.8;11.6;;
405;60 Radio- en televisieomroepen;2010 1e kwartaal;93.0;3.3;;
406;60 Radio- en televisieomroepen;2010 2e kwartaal;103.4;11.1;;
407;60 Radio- en televisieomroepen;2010 3e kwartaal;92.5;21.0;;
408;60 Radio- en televisieomroepen;2010 4e kwartaal;122.4;9.5;;
409;60 Radio- en televisieomroepen;2010;102.8;10.8;;
410;60 Radio- en televisieomroepen;2011 1e kwartaal;96.2;3.4;;
411;60 Radio- en televisieomroepen;2011 2e kwartaal;106.3;2.8;;
412;60 Radio- en televisieomroepen;2011 3e kwartaal;89.7;-3.0;;
413;60 Radio- en televisieomroepen;2011 4e kwartaal;120.4;-1.6;;
414;60 Radio- en televisieomroepen;2011;103.2;0.3;;
415;60 Radio- en televisieomroepen;2012 1e kwartaal;89.8;-6.6;;
416;60 Radio- en televisieomroepen;2012 2e kwartaal;99.6;-6.3;;
417;60 Radio- en televisieomroepen;2012 3e kwartaal;88.9;-0.9;;
418;60 Radio- en televisieomroepen;2012 4e kwartaal;106.4;-11.6;;
419;60 Radio- en televisieomroepen;2012;96.2;-6.8;;
420;60 Radio- en televisieomroepen;2013 1e kwartaal;87.6;-2.5;94.4;
421;60 Radio- en televisieomroepen;2013 2e kwartaal;101.1;1.5;98.5;4.3
422;60 Radio- en televisieomroepen;2013 3e kwartaal;81.4;-8.4;91.3;-7.3
423;60 Radio- en televisieomroepen;2013 4e kwartaal;109.1;2.5;94.8;3.9
424;60 Radio- en televisieomroepen;2013;94.8;-1.5;94.8;
425;60 Radio- en televisieomroepen;2014 1e kwartaal;91.1;4.0;97.7;3.0
426;60 Radio- en televisieomroepen;2014 2e kwartaal;103.5;2.4;101.0;3.4
427;60 Radio- en televisieomroepen;2014 3e kwartaal;95.2;16.9;106.5;5.5
428;60 Radio- en televisieomroepen;2014 4e kwartaal;117.3;7.5;102.5;-3.8
429;60 Radio- en televisieomroepen;2014;101.8;7.4;101.9;7.5
430;60 Radio- en televisieomroepen;2015 1e kwartaal;96.7;6.2;102.9;0.4
431;60 Radio- en televisieomroepen;2015 2e kwartaal;104.7;1.1;102.6;-0.3
432;60 Radio- en televisieomroepen;2015 3e kwartaal;88.2;-7.3;98.5;-4.0
433;60 Radio- en televisieomroepen;2015 4e kwartaal;110.3;-5.9;96.8;-1.7
434;60 Radio- en televisieomroepen;2015;100.0;-1.7;100.2;-1.7
435;60 Radio- en televisieomroepen;2016 1e kwartaal;91.6;-5.4;96.5;-0.3
436;60 Radio- en televisieomroepen;2016 2e kwartaal;98.6;-5.9;97.0;0.4
437;60 Radio- en televisieomroepen;2016 3e kwartaal;98.0;11.0;109.4;12.9
438;60 Radio- en televisieomroepen;2016 4e kwartaal;116.2;5.4;102.3;-6.5
439;60 Radio- en televisieomroepen;2016;101.1;1.1;101.3;1.1
440;60 Radio- en televisieomroepen;2017 1e kwartaal;93.8;2.5;98.2;-3.9
441;60 Radio- en televisieomroepen;2017 2e kwartaal;100.8;2.2;99.5;1.3
442;60 Radio- en televisieomroepen;2017 3e kwartaal;84.9;-13.4;94.8;-4.7
443;60 Radio- en televisieomroepen;2017 4e kwartaal;110.9;-4.6;97.8;3.1
444;60 Radio- en televisieomroepen;2017;97.6;-3.5;97.6;-3.7
445;60 Radio- en televisieomroepen;2018 1e kwartaal;96.7;3.0;100.7;3.0
446;60 Radio- en televisieomroepen;2018 2e kwartaal;101.5;0.7;100.3;-0.4
447;60 Radio- en televisieomroepen;2018 3e kwartaal;92.7;9.2;103.6;3.3
448;60 Radio- en televisieomroepen;2018 4e kwartaal;119.2;7.5;105.4;1.8
449;60 Radio- en televisieomroepen;2018;102.5;5.0;102.5;5.1
450;60 Radio- en televisieomroepen;2019 1e kwartaal;101.2;4.7;104.9;-0.5
451;60 Radio- en televisieomroepen;2019 2e kwartaal;106.3;4.7;105.1;0.1
452;60 Radio- en televisieomroepen;2019 3e kwartaal;93.5;1.0;104.6;-0.5
453;60 Radio- en televisieomroepen;2019 4e kwartaal;111.6;-6.3;99.1;-5.2
454;60 Radio- en televisieomroepen;2019;103.2;0.6;103.4;0.9
455;60 Radio- en televisieomroepen;2020 1e kwartaal;104.9;3.7;108.5;9.5
456;60 Radio- en televisieomroepen;2020 2e kwartaal;93.8;-11.8;92.5;-14.8
457;60 Radio- en televisieomroepen;2020 3e kwartaal;93.0;-0.6;103.9;12.3
458;60 Radio- en televisieomroepen;2020 4e kwartaal;116.6;4.5;104.0;0.1
459;60 Radio- en televisieomroepen;2020;102.1;-1.1;102.2;-1.1
460;60 Radio- en televisieomroepen;2021 1e kwartaal;99.4;-5.3;103.4;-0.6
461;60 Radio- en televisieomroepen;2021 2e kwartaal;114.3;21.9;113.3;9.6
462;60 Radio- en televisieomroepen;2021 3e kwartaal;114.3;22.9;126.1;11.3
463;60 Radio- en televisieomroepen;2021 4e kwartaal;140.6;20.5;123.9;-1.8
464;60 Radio- en televisieomroepen;2021;117.1;14.8;116.7;14.1
465;60 Radio- en televisieomroepen;2022 1e kwartaal;115.3;16.0;123.1;-0.6
466;60 Radio- en televisieomroepen;2022 2e kwartaal;127.9;11.9;126.1;2.4
467;60 Radio- en televisieomroepen;2022 3e kwartaal;114.3;0.0;125.3;-0.6
468;60 Radio- en televisieomroepen;2022 4e kwartaal;147.7;5.1;129.5;3.3
469;60 Radio- en televisieomroepen;2022;126.3;7.8;126.0;8.0
470;60 Radio- en televisieomroepen;2023 1e kwartaal;120.2;4.2;128.5;-0.8
471;60 Radio- en televisieomroepen;2023 2e kwartaal;127.8;-0.1;127.3;-0.9
472;60 Radio- en televisieomroepen;2023 3e kwartaal;125.5;9.8;136.4;7.1
473;60 Radio- en televisieomroepen;2023 4e kwartaal;151.5;2.6;132.7;-2.7
474;60 Radio- en televisieomroepen;2023;131.3;3.9;131.2;4.1
475;61 Telecommunicatie;2005 1e kwartaal;112.6;;;
476;61 Telecommunicatie;2005 2e kwartaal;116.0;;;
477;61 Telecommunicatie;2005 3e kwartaal;114.3;;;
478;61 Telecommunicatie;2005 4e kwartaal;116.0;;;
479;61 Telecommunicatie;2005;114.7;;;
480;61 Telecommunicatie;2006 1e kwartaal;115.4;2.5;;
481;61 Telecommunicatie;2006 2e kwartaal;116.6;0.5;;
482;61 Telecommunicatie;2006 3e kwartaal;117.5;2.8;;
483;61 Telecommunicatie;2006 4e kwartaal;123.1;6.1;;
484;61 Telecommunicatie;2006;118.1;3.0;;
485;61 Telecommunicatie;2007 1e kwartaal;118.7;2.9;;
486;61 Telecommunicatie;2007 2e kwartaal;122.1;4.7;;
487;61 Telecommunicatie;2007 3e kwartaal;117.9;0.4;;
488;61 Telecommunicatie;2007 4e kwartaal;119.3;-3.1;;
489;61 Telecommunicatie;2007;119.5;1.2;;
490;61 Telecommunicatie;2008 1e kwartaal;113.1;-4.7;;
491;61 Telecommunicatie;2008 2e kwartaal;116.5;-4.6;;
492;61 Telecommunicatie;2008 3e kwartaal;113.0;-4.2;;
493;61 Telecommunicatie;2008 4e kwartaal;120.2;0.8;;
494;61 Telecommunicatie;2008;115.7;-3.2;;
495;61 Telecommunicatie;2009 1e kwartaal;111.7;-1.2;;
496;61 Telecommunicatie;2009 2e kwartaal;111.4;-4.4;;
497;61 Telecommunicatie;2009 3e kwartaal;107.0;-5.3;;
498;61 Telecommunicatie;2009 4e kwartaal;109.9;-8.5;;
499;61 Telecommunicatie;2009;110.0;-4.9;;
500;61 Telecommunicatie;2010 1e kwartaal;110.2;-1.4;;
501;61 Telecommunicatie;2010 2e kwartaal;110.5;-0.8;;
502;61 Telecommunicatie;2010 3e kwartaal;111.4;4.1;;
503;61 Telecommunicatie;2010 4e kwartaal;110.5;0.5;;
504;61 Telecommunicatie;2010;110.6;0.6;;
505;61 Telecommunicatie;2011 1e kwartaal;107.1;-2.8;;
506;61 Telecommunicatie;2011 2e kwartaal;110.7;0.1;;
507;61 Telecommunicatie;2011 3e kwartaal;109.5;-1.7;;
508;61 Telecommunicatie;2011 4e kwartaal;111.6;1.0;;
509;61 Telecommunicatie;2011;109.7;-0.8;;
510;61 Telecommunicatie;2012 1e kwartaal;108.1;0.9;;
511;61 Telecommunicatie;2012 2e kwartaal;108.6;-1.9;;
512;61 Telecommunicatie;2012 3e kwartaal;104.9;-4.2;;
513;61 Telecommunicatie;2012 4e kwartaal;108.6;-2.7;;
514;61 Telecommunicatie;2012;107.5;-2.0;;
515;61 Telecommunicatie;2013 1e kwartaal;104.0;-3.8;104.9;
516;61 Telecommunicatie;2013 2e kwartaal;102.8;-5.3;103.1;-1.7
517;61 Telecommunicatie;2013 3e kwartaal;101.3;-3.4;102.5;-0.6
518;61 Telecommunicatie;2013 4e kwartaal;103.8;-4.4;101.3;-1.2
519;61 Telecommunicatie;2013;103.0;-4.2;103.0;
520;61 Telecommunicatie;2014 1e kwartaal;99.8;-4.0;100.6;-0.7
521;61 Telecommunicatie;2014 2e kwartaal;99.8;-2.9;100.7;0.1
522;61 Telecommunicatie;2014 3e kwartaal;100.4;-1.0;101.4;0.7
523;61 Telecommunicatie;2014 4e kwartaal;104.8;0.9;102.0;0.6
524;61 Telecommunicatie;2014;101.2;-1.7;101.2;-1.7
525;61 Telecommunicatie;2015 1e kwartaal;100.3;0.4;100.8;-1.2
526;61 Telecommunicatie;2015 2e kwartaal;98.3;-1.6;99.5;-1.3
527;61 Telecommunicatie;2015 3e kwartaal;101.3;1.0;102.2;2.7
528;61 Telecommunicatie;2015 4e kwartaal;100.2;-4.4;97.6;-4.5
529;61 Telecommunicatie;2015;100.0;-1.2;100.0;-1.1
530;61 Telecommunicatie;2016 1e kwartaal;98.3;-1.9;98.7;1.1
531;61 Telecommunicatie;2016 2e kwartaal;96.3;-2.0;97.9;-0.8
532;61 Telecommunicatie;2016 3e kwartaal;97.8;-3.4;98.6;0.8
533;61 Telecommunicatie;2016 4e kwartaal;100.7;0.5;98.0;-0.6
534;61 Telecommunicatie;2016;98.3;-1.7;98.3;-1.7
535;61 Telecommunicatie;2017 1e kwartaal;98.6;0.2;98.8;0.8
536;61 Telecommunicatie;2017 2e kwartaal;94.4;-2.0;96.1;-2.7
537;61 Telecommunicatie;2017 3e kwartaal;92.3;-5.6;93.1;-3.1
538;61 Telecommunicatie;2017 4e kwartaal;94.7;-6.0;92.0;-1.2
539;61 Telecommunicatie;2017;95.0;-3.4;95.0;-3.4
540;61 Telecommunicatie;2018 1e kwartaal;90.9;-7.8;91.2;-0.9
541;61 Telecommunicatie;2018 2e kwartaal;90.3;-4.3;92.0;0.9
542;61 Telecommunicatie;2018 3e kwartaal;91.8;-0.6;92.6;0.6
543;61 Telecommunicatie;2018 4e kwartaal;95.6;1.0;92.7;0.2
544;61 Telecommunicatie;2018;92.2;-3.0;92.1;-3.0
545;61 Telecommunicatie;2019 1e kwartaal;90.3;-0.7;90.7;-2.2
546;61 Telecommunicatie;2019 2e kwartaal;89.5;-0.9;91.3;0.7
547;61 Telecommunicatie;2019 3e kwartaal;92.1;0.3;92.8;1.7
548;61 Telecommunicatie;2019 4e kwartaal;94.7;-0.9;91.7;-1.2
549;61 Telecommunicatie;2019;91.7;-0.5;91.6;-0.5
550;61 Telecommunicatie;2020 1e kwartaal;90.6;0.4;91.1;-0.7
551;61 Telecommunicatie;2020 2e kwartaal;88.8;-0.8;90.6;-0.5
552;61 Telecommunicatie;2020 3e kwartaal;89.6;-2.7;90.3;-0.3
553;61 Telecommunicatie;2020 4e kwartaal;94.2;-0.5;91.3;1.0
554;61 Telecommunicatie;2020;90.8;-0.9;90.8;-0.9
555;61 Telecommunicatie;2021 1e kwartaal;91.0;0.4;91.9;0.7
556;61 Telecommunicatie;2021 2e kwartaal;91.7;3.3;93.6;1.9
557;61 Telecommunicatie;2021 3e kwartaal;94.3;5.2;94.9;1.4
558;61 Telecommunicatie;2021 4e kwartaal;98.8;4.8;95.3;0.4
559;61 Telecommunicatie;2021;94.0;3.5;93.9;3.4
560;61 Telecommunicatie;2022 1e kwartaal;94.2;3.5;95.1;-0.2
561;61 Telecommunicatie;2022 2e kwartaal;92.7;1.1;94.7;-0.5
562;61 Telecommunicatie;2022 3e kwartaal;94.0;-0.3;94.5;-0.2
563;61 Telecommunicatie;2022 4e kwartaal;97.3;-1.5;94.0;-0.5
564;61 Telecommunicatie;2022;94.6;0.6;94.6;0.7
565;61 Telecommunicatie;2023 1e kwartaal;93.5;-0.8;94.4;0.4
566;61 Telecommunicatie;2023 2e kwartaal;92.4;-0.3;94.3;-0.1
567;61 Telecommunicatie;2023 3e kwartaal;93.9;-0.2;94.2;-0.1
568;61 Telecommunicatie;2023 4e kwartaal;96.4;-0.9;93.2;-1.1
569;61 Telecommunicatie;2023;94.0;-0.5;94.1;-0.5
570;62-63 IT- en informatiedienstverlening;2005 1e kwartaal;63.4;;;
571;62-63 IT- en informatiedienstverlening;2005 2e kwartaal;61.5;;;
572;62-63 IT- en informatiedienstverlening;2005 3e kwartaal;60.2;;;
573;62-63 IT- en informatiedienstverlening;2005 4e kwartaal;79.4;;;
574;62-63 IT- en informatiedienstverlening;2005;66.1;;;
575;62-63 IT- en informatiedienstverlening;2006 1e kwartaal;71.0;12.0;;
576;62-63 IT- en informatiedienstverlening;2006 2e kwartaal;67.6;9.9;;
577;62-63 IT- en informatiedienstverlening;2006 3e kwartaal;66.8;11.0;;
578;62-63 IT- en informatiedienstverlening;2006 4e kwartaal;89.2;12.4;;
579;62-63 IT- en informatiedienstverlening;2006;73.7;11.4;;
580;62-63 IT- en informatiedienstverlening;2007 1e kwartaal;79.9;12.5;;
581;62-63 IT- en informatiedienstverlening;2007 2e kwartaal;76.4;13.0;;
582;62-63 IT- en informatiedienstverlening;2007 3e kwartaal;75.9;13.6;;
583;62-63 IT- en informatiedienstverlening;2007 4e kwartaal;96.6;8.4;;
584;62-63 IT- en informatiedienstverlening;2007;82.2;11.6;;
585;62-63 IT- en informatiedienstverlening;2008 1e kwartaal;85.0;6.4;;
586;62-63 IT- en informatiedienstverlening;2008 2e kwartaal;83.2;8.9;;
587;62-63 IT- en informatiedienstverlening;2008 3e kwartaal;81.9;7.8;;
588;62-63 IT- en informatiedienstverlening;2008 4e kwartaal;101.2;4.7;;
589;62-63 IT- en informatiedienstverlening;2008;87.8;6.8;;
590;62-63 IT- en informatiedienstverlening;2009 1e kwartaal;89.4;5.2;;
591;62-63 IT- en informatiedienstverlening;2009 2e kwartaal;82.8;-0.5;;
592;62-63 IT- en informatiedienstverlening;2009 3e kwartaal;76.9;-6.1;;
593;62-63 IT- en informatiedienstverlening;2009 4e kwartaal;96.9;-4.2;;
594;62-63 IT- en informatiedienstverlening;2009;86.5;-1.5;;
595;62-63 IT- en informatiedienstverlening;2010 1e kwartaal;86.1;-3.7;;
596;62-63 IT- en informatiedienstverlening;2010 2e kwartaal;79.9;-3.4;;
597;62-63 IT- en informatiedienstverlening;2010 3e kwartaal;78.0;1.4;;
598;62-63 IT- en informatiedienstverlening;2010 4e kwartaal;99.5;2.6;;
599;62-63 IT- en informatiedienstverlening;2010;85.9;-0.7;;
600;62-63 IT- en informatiedienstverlening;2011 1e kwartaal;87.5;1.6;;
601;62-63 IT- en informatiedienstverlening;2011 2e kwartaal;82.8;3.6;;
602;62-63 IT- en informatiedienstverlening;2011 3e kwartaal;82.8;6.2;;
603;62-63 IT- en informatiedienstverlening;2011 4e kwartaal;101.8;2.3;;
604;62-63 IT- en informatiedienstverlening;2011;88.7;3.3;;
605;62-63 IT- en informatiedienstverlening;2012 1e kwartaal;87.3;-0.3;;
606;62-63 IT- en informatiedienstverlening;2012 2e kwartaal;81.2;-2.0;;
607;62-63 IT- en informatiedienstverlening;2012 3e kwartaal;80.4;-2.9;;
608;62-63 IT- en informatiedienstverlening;2012 4e kwartaal;94.0;-7.6;;
609;62-63 IT- en informatiedienstverlening;2012;85.7;-3.4;;
610;62-63 IT- en informatiedienstverlening;2013 1e kwartaal;82.9;-5.0;83.5;
611;62-63 IT- en informatiedienstverlening;2013 2e kwartaal;80.8;-0.5;85.4;2.3
612;62-63 IT- en informatiedienstverlening;2013 3e kwartaal;80.0;-0.5;86.7;1.5
613;62-63 IT- en informatiedienstverlening;2013 4e kwartaal;97.5;3.7;85.6;-1.3
614;62-63 IT- en informatiedienstverlening;2013;85.3;-0.5;85.3;
615;62-63 IT- en informatiedienstverlening;2014 1e kwartaal;88.9;7.2;89.6;4.7
616;62-63 IT- en informatiedienstverlening;2014 2e kwartaal;86.8;7.5;91.3;2.0
617;62-63 IT- en informatiedienstverlening;2014 3e kwartaal;85.0;6.3;91.7;0.4
618;62-63 IT- en informatiedienstverlening;2014 4e kwartaal;104.7;7.4;92.7;1.0
619;62-63 IT- en informatiedienstverlening;2014;91.4;7.1;91.3;7.1
620;62-63 IT- en informatiedienstverlening;2015 1e kwartaal;94.3;6.1;95.0;2.4
621;62-63 IT- en informatiedienstverlening;2015 2e kwartaal;96.0;10.6;100.6;6.0
622;62-63 IT- en informatiedienstverlening;2015 3e kwartaal;93.3;9.7;100.2;-0.4
623;62-63 IT- en informatiedienstverlening;2015 4e kwartaal;116.4;11.2;104.1;3.9
624;62-63 IT- en informatiedienstverlening;2015;100.0;9.5;100.0;9.5
625;62-63 IT- en informatiedienstverlening;2016 1e kwartaal;100.0;6.1;100.6;-3.4
626;62-63 IT- en informatiedienstverlening;2016 2e kwartaal;97.3;1.4;102.2;1.6
627;62-63 IT- en informatiedienstverlening;2016 3e kwartaal;96.2;3.1;103.3;1.1
628;62-63 IT- en informatiedienstverlening;2016 4e kwartaal;117.8;1.3;105.2;1.9
629;62-63 IT- en informatiedienstverlening;2016;102.8;2.8;102.8;2.8
630;62-63 IT- en informatiedienstverlening;2017 1e kwartaal;106.4;6.4;106.9;1.6
631;62-63 IT- en informatiedienstverlening;2017 2e kwartaal;102.9;5.7;108.1;1.2
632;62-63 IT- en informatiedienstverlening;2017 3e kwartaal;102.7;6.8;110.0;1.7
633;62-63 IT- en informatiedienstverlening;2017 4e kwartaal;124.9;6.0;111.8;1.6
634;62-63 IT- en informatiedienstverlening;2017;109.2;6.2;109.2;6.2
635;62-63 IT- en informatiedienstverlening;2018 1e kwartaal;114.3;7.4;114.7;2.7
636;62-63 IT- en informatiedienstverlening;2018 2e kwartaal;110.5;7.4;116.1;1.2
637;62-63 IT- en informatiedienstverlening;2018 3e kwartaal;111.8;8.9;119.3;2.7
638;62-63 IT- en informatiedienstverlening;2018 4e kwartaal;135.6;8.5;121.9;2.2
639;62-63 IT- en informatiedienstverlening;2018;118.1;8.1;118.0;8.1
640;62-63 IT- en informatiedienstverlening;2019 1e kwartaal;123.8;8.3;124.2;1.9
641;62-63 IT- en informatiedienstverlening;2019 2e kwartaal;118.5;7.2;124.3;0.1
642;62-63 IT- en informatiedienstverlening;2019 3e kwartaal;118.9;6.3;126.4;1.6
643;62-63 IT- en informatiedienstverlening;2019 4e kwartaal;143.6;5.9;129.6;2.5
644;62-63 IT- en informatiedienstverlening;2019;126.2;6.9;126.1;6.9
645;62-63 IT- en informatiedienstverlening;2020 1e kwartaal;126.9;2.5;127.4;-1.7
646;62-63 IT- en informatiedienstverlening;2020 2e kwartaal;118.1;-0.3;124.2;-2.5
647;62-63 IT- en informatiedienstverlening;2020 3e kwartaal;122.1;2.8;129.7;4.5
648;62-63 IT- en informatiedienstverlening;2020 4e kwartaal;147.9;3.0;133.6;3.0
649;62-63 IT- en informatiedienstverlening;2020;128.8;2.0;128.7;2.1
650;62-63 IT- en informatiedienstverlening;2021 1e kwartaal;131.5;3.6;132.9;-0.5
651;62-63 IT- en informatiedienstverlening;2021 2e kwartaal;128.9;9.1;135.3;1.8
652;62-63 IT- en informatiedienstverlening;2021 3e kwartaal;132.1;8.2;139.9;3.4
653;62-63 IT- en informatiedienstverlening;2021 4e kwartaal;159.1;7.5;143.2;2.3
654;62-63 IT- en informatiedienstverlening;2021;137.9;7.1;137.8;7.1
655;62-63 IT- en informatiedienstverlening;2022 1e kwartaal;143.1;8.9;145.2;1.4
656;62-63 IT- en informatiedienstverlening;2022 2e kwartaal;144.1;11.8;150.6;3.7
657;62-63 IT- en informatiedienstverlening;2022 3e kwartaal;145.6;10.2;153.2;1.7
658;62-63 IT- en informatiedienstverlening;2022 4e kwartaal;173.2;8.9;157.1;2.5
659;62-63 IT- en informatiedienstverlening;2022;151.5;9.9;151.5;10.0
660;62-63 IT- en informatiedienstverlening;2023 1e kwartaal;158.9;11.0;160.6;2.3
661;62-63 IT- en informatiedienstverlening;2023 2e kwartaal;153.3;6.4;160.0;-0.4
662;62-63 IT- en informatiedienstverlening;2023 3e kwartaal;152.4;4.7;161.2;0.7
663;62-63 IT- en informatiedienstverlening;2023 4e kwartaal;184.8;6.7;167.7;4.1
664;62-63 IT- en informatiedienstverlening;2023;162.4;7.2;162.4;7.1
665;62 IT-dienstverlening;2005 1e kwartaal;65.1;;;
666;62 IT-dienstverlening;2005 2e kwartaal;62.8;;;
667;62 IT-dienstverlening;2005 3e kwartaal;61.6;;;
668;62 IT-dienstverlening;2005 4e kwartaal;81.6;;;
