ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;Indelingswijziging_4;AantalInwoners_5;TotaalVermogenVernielingEnGeweld_6;TotaalVermogensmisdrijven_7;TotaalDiefstal_8;Fietsendiefstal_9;DiefstalOverigeVervoermiddelen_10;DiefstalUitVanafVervoermiddelen_11;ZakkenrollerijStraatroofEnBeroving_12;TotaalDiefstalUitWoningSchuurED_13;DiefstalUitNietResidentieleGebouwen_14;OverigeDiefstalInbraak_15;OverigeVermogensmisdrijven_16;TotaalVernielingTegenOpenbareOrde_17;TotaalVernieling_18;VernielingAanAuto_19;OverigeVernieling_20;OverigeVernielingTegenOpenbareOrde_21;TotaalGeweldsEnSeksueleMisdrijven_22;Mishandeling_23;BedreigingEnStalking_24;OverigeGeweldsEnSeksueleMisdrijven_25;TotaalVermogenVernielingEnGeweld_26;TotaalVermogensmisdrijven_27;TotaalDiefstalUitWoningSchuurED_28;VernielingMisdrijfTegenOpenbareOrde_29;GeweldsEnSeksueleMisdrijven_30
21;Verspreide huizen Eexterveen;Aa en Hunze                   ;Buurt   ;BU16800609;1.0;11;;;;;;;;;;;;;;;;;;;;;;;;;
22;Wijk 07 Spijkerboor;Aa en Hunze                   ;Wijk    ;WK168007  ;1.0;144;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;14.0;0.0;0.0;0.0
23;Spijkerboor;Aa en Hunze                   ;Buurt   ;BU16800700;1.0;144;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;14.0;0.0;0.0;0.0
24;Verspreide huizen Spijkerboor;Aa en Hunze                   ;Buurt   ;BU16800709;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
25;Wijk 08 Nieuw-Annerveen;Aa en Hunze                   ;Wijk    ;WK168008  ;1.0;104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;Nieuw-Annerveen;Aa en Hunze                   ;Buurt   ;BU16800800;1.0;97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;Verspreide huizen Nieuw-Annerveen;Aa en Hunze                   ;Buurt   ;BU16800809;1.0;7;;;;;;;;;;;;;;;;;;;;;;;;;
28;Wijk 09 Oud-Annerveen;Aa en Hunze                   ;Wijk    ;WK168009  ;1.0;128;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;8.0;0.0;0.0;0.0
29;Oud-Annerveen;Aa en Hunze                   ;Buurt   ;BU16800900;1.0;124;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;8.0;0.0;0.0;0.0
30;Verspreide huizen Oud-Annerveen;Aa en Hunze                   ;Buurt   ;BU16800909;1.0;4;;;;;;;;;;;;;;;;;;;;;;;;;
31;Wijk 11 Annerveenschekanaal;Aa en Hunze                   ;Wijk    ;WK168011  ;1.0;417;8.0;7.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;19.0;17.0;0.0;2.0;0.0
32;Annerveenschekanaal;Aa en Hunze                   ;Buurt   ;BU16801100;1.0;417;8.0;7.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;19.0;17.0;0.0;2.0;0.0
33;Verspreide huizen Annerveenschekanaal;Aa en Hunze                   ;Buurt   ;BU16801109;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
34;Wijk 12 Eexterveenschekanaal;Aa en Hunze                   ;Wijk    ;WK168012  ;1.0;270;5.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;19.0;11.0;4.0;4.0;4.0
35;Eexterveenschekanaal;Aa en Hunze                   ;Buurt   ;BU16801200;1.0;245;5.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;20.0;12.0;4.0;4.0;4.0
36;Verspreide huizen Eexterveenschekanaal;Aa en Hunze                   ;Buurt   ;BU16801209;1.0;25;;;;;;;;;;;;;;;;;;;;;;;;;
37;Wijk 13 Eexterzandvoort;Aa en Hunze                   ;Wijk    ;WK168013  ;1.0;139;;;;;;;;;;;;;;;;;;;;;;;;;
38;Eexterzandvoort;Aa en Hunze                   ;Buurt   ;BU16801300;1.0;102;;;;;;;;;;;;;;;;;;;;;;;;;
39;Verspreide huizen Eexterzandvoort;Aa en Hunze                   ;Buurt   ;BU16801309;1.0;37;;;;;;;;;;;;;;;;;;;;;;;;;
40;Wijk 14 Gasselte;Aa en Hunze                   ;Wijk    ;WK168014  ;1.0;1857;39.0;26.0;20.0;1.0;1.0;0.0;0.0;8.0;2.0;8.0;6.0;8.0;8.0;0.0;8.0;0.0;5.0;1.0;0.0;4.0;21.0;14.0;4.0;4.0;3.0
41;Gasselte;Aa en Hunze                   ;Buurt   ;BU16801400;1.0;1472;25.0;19.0;14.0;1.0;0.0;0.0;0.0;8.0;0.0;5.0;5.0;5.0;5.0;0.0;5.0;0.0;1.0;1.0;0.0;0.0;17.0;13.0;5.0;3.0;1.0
42;Kostvlies;Aa en Hunze                   ;Buurt   ;BU16801401;1.0;134;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0;7.0
43;Verspreide huizen Gasselte;Aa en Hunze                   ;Buurt   ;BU16801409;1.0;251;13.0;7.0;6.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;1.0;3.0;3.0;0.0;3.0;0.0;3.0;0.0;0.0;3.0;52.0;28.0;0.0;12.0;12.0
44;Wijk 15 Gasselternijveen;Aa en Hunze                   ;Wijk    ;WK168015  ;1.0;1866;37.0;21.0;14.0;1.0;0.0;0.0;0.0;4.0;2.0;7.0;7.0;12.0;11.0;3.0;8.0;1.0;4.0;0.0;3.0;1.0;20.0;11.0;2.0;6.0;2.0
45;Gasselternijveen;Aa en Hunze                   ;Buurt   ;BU16801500;1.0;1820;37.0;21.0;14.0;1.0;0.0;0.0;0.0;4.0;2.0;7.0;7.0;12.0;11.0;3.0;8.0;1.0;4.0;0.0;3.0;1.0;20.0;12.0;2.0;6.0;2.0
46;Gasselterboerveen;Aa en Hunze                   ;Buurt   ;BU16801501;1.0;46;;;;;;;;;;;;;;;;;;;;;;;;;
47;Verspreide huizen Gasselternijveen;Aa en Hunze                   ;Buurt   ;BU16801509;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
48;Wijk 16 Gasselternijveenschemond;Aa en Hunze                   ;Wijk    ;WK168016  ;1.0;662;4.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;3.0;0.0;3.0;0.0
49;Gasselternijveenschemond;Aa en Hunze                   ;Buurt   ;BU16801600;1.0;612;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;0.0;3.0;0.0
50;Gasselterboerveenschemond;Aa en Hunze                   ;Buurt   ;BU16801601;1.0;42;;;;;;;;;;;;;;;;;;;;;;;;;
51;Verspr.h. Gasselternijveenschemond;Aa en Hunze                   ;Buurt   ;BU16801609;1.0;8;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
52;Wijk 17 Gieten;Aa en Hunze                   ;Wijk    ;WK168017  ;1.0;5066;86.0;58.0;42.0;14.0;0.0;0.0;1.0;11.0;7.0;9.0;16.0;20.0;18.0;3.0;15.0;2.0;8.0;2.0;5.0;1.0;17.0;11.0;2.0;4.0;2.0
53;Gieten;Aa en Hunze                   ;Buurt   ;BU16801700;1.0;4893;81.0;54.0;39.0;14.0;0.0;0.0;1.0;10.0;7.0;7.0;15.0;19.0;17.0;3.0;14.0;2.0;8.0;2.0;5.0;1.0;17.0;11.0;2.0;3.0;2.0
54;Verspreide huizen Gieten;Aa en Hunze                   ;Buurt   ;BU16801709;1.0;173;5.0;4.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;29.0;23.0;6.0;6.0;0.0
55;Wijk 18 Gieterveen;Aa en Hunze                   ;Wijk    ;WK168018  ;1.0;1214;16.0;10.0;7.0;2.0;1.0;0.0;0.0;0.0;1.0;3.0;3.0;2.0;2.0;0.0;2.0;0.0;4.0;2.0;1.0;1.0;13.0;8.0;0.0;2.0;3.0
56;Gieterveen;Aa en Hunze                   ;Buurt   ;BU16801800;1.0;683;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;1.0;1.0;4.0;0.0;0.0;1.0;3.0
57;Bonnerveen;Aa en Hunze                   ;Buurt   ;BU16801801;1.0;93;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;32.0;22.0;0.0;0.0;11.0
58;Nieuwediep;Aa en Hunze                   ;Buurt   ;BU16801802;1.0;244;7.0;5.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;29.0;20.0;0.0;4.0;4.0
59;Verspreide huizen Gieterveen;Aa en Hunze                   ;Buurt   ;BU16801809;1.0;194;3.0;3.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;15.0;0.0;0.0;0.0
60;Wijk 19 Rolde;Aa en Hunze                   ;Wijk    ;WK168019  ;1.0;4634;98.0;65.0;50.0;4.0;1.0;2.0;2.0;19.0;4.0;18.0;15.0;18.0;17.0;5.0;12.0;1.0;15.0;7.0;3.0;5.0;21.0;14.0;4.0;4.0;3.0
61;Rolde;Aa en Hunze                   ;Buurt   ;BU16801900;1.0;3748;77.0;47.0;33.0;3.0;0.0;2.0;2.0;12.0;4.0;10.0;14.0;17.0;16.0;5.0;11.0;1.0;13.0;6.0;3.0;4.0;21.0;13.0;3.0;4.0;3.0
62;Ballo;Aa en Hunze                   ;Buurt   ;BU16801901;1.0;147;4.0;4.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;27.0;14.0;0.0;0.0
63;Nijlande;Aa en Hunze                   ;Buurt   ;BU16801902;1.0;55;3.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;55.0;36.0;36.0;18.0;0.0
64;Deurze;Aa en Hunze                   ;Buurt   ;BU16801903;1.0;89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65;Verspreide huizen Nooitgedacht;Aa en Hunze                   ;Buurt   ;BU16801908;1.0;443;8.0;6.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;18.0;14.0;0.0;0.0;5.0
66;Verspreide huizen Rolde;Aa en Hunze                   ;Buurt   ;BU16801909;1.0;152;6.0;6.0;5.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;39.0;20.0;0.0;0.0
67;Wijk 20 Grolloo;Aa en Hunze                   ;Wijk    ;WK168020  ;1.0;1166;19.0;13.0;10.0;0.0;2.0;0.0;0.0;4.0;0.0;4.0;3.0;1.0;1.0;0.0;1.0;0.0;5.0;2.0;2.0;1.0;16.0;11.0;3.0;1.0;4.0
68;Grolloo;Aa en Hunze                   ;Buurt   ;BU16802000;1.0;647;8.0;6.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;12.0;9.0;0.0;2.0;2.0
69;Schoonloo;Aa en Hunze                   ;Buurt   ;BU16802001;1.0;180;2.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;11.0;11.0;0.0;0.0
70;Verspreide huizen Papenvoort;Aa en Hunze                   ;Buurt   ;BU16802008;1.0;61;;;;;;;;;;;;;;;;;;;;;;;;;
71;Verspreide huizen Grolloo;Aa en Hunze                   ;Buurt   ;BU16802009;1.0;278;9.0;5.0;5.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;2.0;1.0;32.0;18.0;7.0;0.0;14.0
72;Wijk 21 Ekehaar;Aa en Hunze                   ;Wijk    ;WK168021  ;1.0;494;8.0;6.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;16.0;12.0;2.0;0.0;4.0
73;Ekehaar;Aa en Hunze                   ;Buurt   ;BU16802100;1.0;259;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;12.0;8.0;0.0;0.0;4.0
74;Amen;Aa en Hunze                   ;Buurt   ;BU16802101;1.0;85;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;12.0;0.0;0.0;0.0
75;Verspreide huizen Ekehaar;Aa en Hunze                   ;Buurt   ;BU16802109;1.0;150;4.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;27.0;20.0;7.0;0.0;7.0
76;Aalburg;Aalburg                       ;Gemeente;GM0738    ;;13067;221.0;153.0;114.0;14.0;8.0;28.0;0.0;17.0;15.0;32.0;39.0;34.0;24.0;9.0;15.0;10.0;34.0;21.0;8.0;5.0;17.0;12.0;1.0;2.0;3.0
77;Wijk 00 Wijk en Aalburg;Aalburg                       ;Wijk    ;WK073800  ;1.0;6257;101.0;81.0;67.0;10.0;4.0;13.0;0.0;8.0;12.0;20.0;14.0;8.0;5.0;2.0;3.0;3.0;12.0;6.0;4.0;2.0;16.0;13.0;1.0;1.0;2.0
78;Wijk en Aalburg;Aalburg                       ;Buurt   ;BU07380000;1.0;5191;81.0;67.0;58.0;5.0;4.0;13.0;0.0;7.0;10.0;19.0;9.0;6.0;4.0;2.0;2.0;2.0;8.0;4.0;2.0;2.0;16.0;13.0;1.0;1.0;2.0
79;Spijk;Aalburg                       ;Buurt   ;BU07380001;1.0;840;11.0;6.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;4.0;1.0;0.0;0.0;0.0;1.0;4.0;2.0;2.0;0.0;13.0;7.0;1.0;0.0;5.0
80;Verspreide huizen Wijk en Aalburg;Aalburg                       ;Buurt   ;BU07380009;1.0;226;9.0;8.0;7.0;5.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;40.0;35.0;0.0;4.0;0.0
81;Wijk 01 Veen;Aalburg                       ;Wijk    ;WK073801  ;1.0;2731;50.0;31.0;22.0;3.0;3.0;8.0;0.0;2.0;1.0;5.0;9.0;8.0;6.0;2.0;4.0;2.0;11.0;7.0;2.0;2.0;18.0;11.0;1.0;2.0;4.0
82;Veen;Aalburg                       ;Buurt   ;BU07380100;1.0;2638;40.0;26.0;17.0;3.0;2.0;5.0;0.0;2.0;1.0;4.0;9.0;8.0;6.0;2.0;4.0;2.0;6.0;4.0;1.0;1.0;15.0;10.0;1.0;2.0;2.0
83;Verspreide huizen Veen;Aalburg                       ;Buurt   ;BU07380109;1.0;93;10.0;5.0;5.0;0.0;1.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;3.0;1.0;1.0;108.0;54.0;0.0;0.0;54.0
84;Wijk 02 Genderen;Aalburg                       ;Wijk    ;WK073802  ;1.0;1724;30.0;17.0;10.0;0.0;1.0;3.0;0.0;3.0;1.0;2.0;7.0;10.0;8.0;0.0;8.0;2.0;3.0;2.0;1.0;0.0;17.0;10.0;2.0;5.0;2.0
85;Genderen;Aalburg                       ;Buurt   ;BU07380200;1.0;1640;27.0;16.0;9.0;0.0;1.0;3.0;0.0;3.0;0.0;2.0;7.0;8.0;7.0;0.0;7.0;1.0;3.0;2.0;1.0;0.0;16.0;10.0;2.0;4.0;2.0
86;Verspreide huizen Genderen;Aalburg                       ;Buurt   ;BU07380209;1.0;84;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;36.0;12.0;0.0;12.0;0.0
87;Wijk 03 Eethen;Aalburg                       ;Wijk    ;WK073803  ;1.0;805;26.0;14.0;10.0;1.0;0.0;2.0;0.0;2.0;1.0;4.0;4.0;5.0;2.0;2.0;0.0;3.0;7.0;6.0;1.0;0.0;32.0;17.0;2.0;2.0;9.0
88;Eethen;Aalburg                       ;Buurt   ;BU07380300;1.0;666;14.0;10.0;8.0;0.0;0.0;2.0;0.0;2.0;1.0;3.0;2.0;2.0;1.0;1.0;0.0;1.0;2.0;2.0;0.0;0.0;21.0;15.0;3.0;2.0;3.0
89;Verspreide huizen Eethen;Aalburg                       ;Buurt   ;BU07380309;1.0;139;12.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;1.0;1.0;0.0;2.0;5.0;4.0;1.0;0.0;86.0;29.0;0.0;7.0;36.0
90;Wijk 04 Meeuwen;Aalburg                       ;Wijk    ;WK073804  ;1.0;735;8.0;5.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;7.0;0.0;4.0;0.0
91;Meeuwen;Aalburg                       ;Buurt   ;BU07380400;1.0;656;8.0;5.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;8.0;0.0;5.0;0.0
92;Verspreide huizen Meeuwen;Aalburg                       ;Buurt   ;BU07380409;1.0;79;;;;;;;;;;;;;;;;;;;;;;;;;
93;Wijk 05 Drongelen;Aalburg                       ;Wijk    ;WK073805  ;1.0;396;5.0;5.0;4.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;13.0;5.0;0.0;0.0
94;Drongelen;Aalburg                       ;Buurt   ;BU07380500;1.0;235;2.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;9.0;4.0;0.0;0.0
95;Verspreide huizen Drongelen;Aalburg                       ;Buurt   ;BU07380509;1.0;161;3.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;19.0;6.0;0.0;0.0
96;Wijk 06 Babyloniënbroek;Aalburg                       ;Wijk    ;WK073806  ;1.0;419;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;2.0
