ID;Gemeenten;Code_1;Naam_2;AfkortingNaam_3;SorteringNaam_4;Code_5;Naam_6;Code_7;Naam_8;Code_9;Naam_10;Code_11;Naam_12;Code_13;Naam_14;Code_15;Naam_16;Code_17;Naam_18;Code_19;Naam_20;Code_21;Naam_22;Code_23;Naam_24;Code_25;Naam_26;Code_27;Naam_28;Code_29;Naam_30;Code_31;Naam_32;Code_33;Naam_34;Code_35;Naam_36;Code_37;Naam_38;Code_39;Naam_40;Code_41;Naam_42;Code_43;Naam_44;Code_45;Naam_46;Code_47;Naam_48;Code_49;Naam_50;Code_51;Naam_52;Code_53;Naam_54;Code_55;Naam_56;Code_57;Code_58;Naam_59;Code_60;Naam_61;Code_62;Omschrijving_63;Code_64;Omschrijving_65;InwonertalVoorlopig_66;Omgevingsadressendichtheid_67
10;361;361;Alkmaar                    ;AKR;15;14;Alkmaar         ;22;Noord-Kennemerland            ;25;Alkmaar                            ;19;Alkmaar en omgeving                ;55;Noord-Kennemerland                      ;4;Amsterdam       ;11;Alkmaar           ;12;Alkmaar          ;29;GGD Noord-Kennemerland                  ;46;Alkmaar            ;11;Den Helder      ;3;West-Nederland ;2708;Kennemerland                            ;7;Westelijk Holland             ;38;Alkmaar               ;14;Noord-Noord-Holland             ;10;Noord-Holland-Noord      ;27;Noord-Holland             ;9;Noord-Holland Noord                ;17;Overig Nederland                        ;22;Alkmaar en omgeving                     ;7;West-Nederland 3  ;24;Noord-Kennemerland                      ;18;Kop Noord-Holland/West-Friesland        ;25;Noord-Kennemerlanden                    ;- ;Niet van toepassing  ;nvt ;-  ;nvt                           ;09;Alkmaar                   ;5;50 000 - < 100 000 inwoners ;2;Sterk stedelijk     ;92832;2000
11;141;141;Almelo                     ;AMO;16;8;Almelo          ;17;Almelo                        ;12;Almelo                             ;12;Twente                             ;24;Overige gemeenten in Twente             ;2;Arnhem          ;4;Twente            ;5;Twente           ;11;GGD Regio Twente                        ;26;Almelo             ;4;Zwolle          ;2;Oost-Nederland ;2303;Twente                                  ;4;Oostelijk Veehouderijgebied   ;21;Almelo                ;6;Twente                          ;5;Twente                   ;23;Overijssel                ;4;IJssel-Vecht/Twente                ;11;Twente, Salland en Vechtstreek          ;15;Twente                                  ;2;Oost-Nederland    ;12;Twente                                  ;7;Twente                                  ;7;Almelo                                  ;- ;Niet van toepassing  ;12.1;-  ;nvt                           ;04;Enschede/Hengelo/Almelo   ;5;50 000 - < 100 000 inwoners ;3;Matig stedelijk     ;65108;1420
12;34;34;Almere                     ;AME;17;7;Zwolle          ;65;Flevoland                     ;50;Lelystad                           ;40;Flevoland                          ;129;Zuidelijke IJsselmeerpolders            ;2;Arnhem          ;10;Het Gooi/Flevoland;10;Flevoland        ;22;GGD Flevoland                           ;63;Lelystad           ;5;Lelystad        ;2;Oost-Nederland ;2402;Zuidelijke IJsselmeerpolders            ;6;IJsselmeerpolders             ;28;Harderwijk            ;10;Harderwijk-Amersfoort           ;25;Flevoland                ;24;Flevoland                 ;7;Flevoland                          ;3;Ijsselmeerkust                          ;54;Flevoland                               ;2;Oost-Nederland    ;18;Flevoland                               ;31;Flevoland                               ;46;Flevoland                               ;- ;Niet van toepassing  ;nvt ;-  ;nvt                           ;11;Amsterdam                 ;6;100 000 - < 150 000 inwoners;3;Matig stedelijk     ;118585;1385
13;Alphen-Chaam;1723;Alphen-Chaam               ;ACM;18;2;Breda           ;1;Midden-Brabant                ;42;Tilburg                            ;34;Midden-Noord-Brabant               ;108;Gebied om Tilburg                       ;1;'s-Hertogenbosch;21;Tilburg           ;23;Tilburg          ;53;GGD Midden Brabant                      ;6;Tilburg            ;17;Tilburg         ;4;Zuid-Nederland ;3007;De Kempen                               ;13;Zuidelijk veehouderijgebied   ;68;Tilburg               ;21;Tilburg en omstreken            ;20;Midden- en West-Brabant  ;30;Noord-Brabant             ;15;Midden- en West-Brabant            ;13;West- en Midden-Brabant                 ;48;Midden-Noord-Brabant                    ;3;Zuid-Nederland    ;34;West-Brabant                            ;26;Midden-Brabant/Waalwijk                 ;36;Midden-Brabant                          ;- ;Niet van toepassing  ;nvt ;-  ;nvt                           ;18;Tilburg                   ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;9429;229
14;484;484;Alphen aan den Rijn        ;ARN;19;9;'s-Gravenhage   ;12;Rijnland                      ;31;Leiden-Alphen aan den Rijn         ;28;Oost-Zuid-Holland                  ;73;Rijnstreek Zuid-Holland                 ;3;'s-Gravenhage   ;14;Leiden            ;15;Leiden           ;40;GGD Rijnstreek                          ;31;Alphen aan den Rijn;15;Leiden          ;3;West-Nederland ;2806;Krimpenerwaard en Oostelijk Rijnland    ;9;Hollands/Utrechts weidegebied ;47;Alphen aan den Rijn   ;16;Noord-Zuid-Holland              ;16;Hollands Midden          ;28;Zuid-Holland              ;11;Rijnstreek                         ;17;Overig Nederland                        ;33;Oost-Zuid-Holland                       ;7;West-Nederland 3  ;27;Zuid-Holland-Oost                       ;21;Rijstreek/Midden-Holland/Alblasserwaard ;29;Rijnstreek/Midden-Holland/Alblasserwaard;- ;Niet van toepassing  ;31.2;-  ;nvt                           ;- ;Niet van toepassing       ;5;50 000 - < 100 000 inwoners ;2;Sterk stedelijk     ;67878;1973
15;142;142;Ambt Delden                ;ADN;20;8;Almelo          ;18;Midden-Twente                 ;10;Enschede-Hengelo                   ;12;Twente                             ;24;Overige gemeenten in Twente             ;2;Arnhem          ;4;Twente            ;5;Twente           ;11;GGD Regio Twente                        ;26;Almelo             ;4;Zwolle          ;2;Oost-Nederland ;2303;Twente                                  ;4;Oostelijk Veehouderijgebied   ;22;Enschede              ;6;Twente                          ;5;Twente                   ;23;Overijssel                ;4;IJssel-Vecht/Twente                ;11;Twente, Salland en Vechtstreek          ;15;Twente                                  ;2;Oost-Nederland    ;12;Twente                                  ;7;Twente                                  ;8;Hengelo/Enschede                        ;- ;Niet van toepassing  ;nvt ;-  ;nvt                           ;04;Enschede/Hengelo/Almelo   ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;5408;82
16;Ambt Montfort;1679;Ambt Montfort              ;AMT;21;4;Roermond        ;30;Midden-Limburg                ;47;Roermond-Weert                     ;38;Midden-Limburg                     ;122;Overig Midden-Limburg ten oosten v. Maas;1;'s-Hertogenbosch;24;Noord-Limburg     ;26;Noord-Limburg    ;60;GGD Midden-Limburg                      ;12;Roermond           ;19;Maastricht      ;4;Zuid-Nederland ;3101;Noord-Limburg                           ;13;Zuidelijk veehouderijgebied   ;77;Roermond              ;24;Roermond en omstreken           ;23;Limburg-Noord            ;31;Limburg                   ;18;Limburg                            ;14;Oost-Brabant, Noord- en Midden-Limburg  ;52;Midden-Limburg                          ;3;Zuid-Nederland    ;39;Midden-Limburg                          ;29;Noord-Limburg                           ;42;Midden-Limburg                          ;- ;Niet van toepassing  ;47.1;-  ;nvt                           ;- ;Niet van toepassing       ;3;10 000 - < 20 000 inwoners  ;5;Niet stedelijk      ;11110;296
17;60;60;Ameland                    ;ALD;22;17;Leeuwarden      ;23;Noord-Friesland               ;3;Leeuwarden-Franeker-Dokkum         ;4;Noord-Friesland                    ;13;Friese Waddeneilanden                   ;5;Leeuwarden      ;2;Friesland         ;2;Friesland        ;4;GGD Noord-Friesland                     ;53;Leeuwarden         ;2;Leeuwarden      ;1;Noord-Nederland;2104;Eilanden                                ;3;Noordelijk Weidegebied        ;10;Leeuwarden            ;3;Friesland                       ;2;Friesland                ;21;Friesland                 ;2;Friesland                          ;1;Waddeneilanden                          ;6;Noord-Friesland (exclusief Harlingen)   ;1;Noord-Nederland   ;4;Friesland-noord                         ;3;Noord-Friesland/Waddeneilanden          ;3;Noord-Friesland/Waddeneilanden          ;- ;Niet van toepassing  ;nvt ;-  ;nvt                           ;- ;Niet van toepassing       ;1;minder dan 5 000 inwoners   ;5;Niet stedelijk      ;3431;172
18;306;306;Amerongen                  ;AON;23;16;Utrecht         ;37;Utrecht                       ;19;Utrecht-Zeist-Woerden              ;17;Utrecht                            ;44;Utrechtse Heuvelrug                     ;4;Amsterdam       ;8;Amersfoort        ;9;Utrecht          ;26;GGD Zuid-Oost Utrecht                   ;51;Utrecht            ;8;Utrecht         ;3;West-Nederland ;2605;Zandgebied in Utrecht                   ;5;Centraal Veehouderijgebied    ;34;Veenendaal            ;13;Utrecht en omstreken            ;9;Utrecht                  ;26;Utrecht                   ;8;Midden-Nederland                   ;7;Utrechtse Heuvelrug en 't Gooi          ;20;Utrecht                                 ;7;West-Nederland 3  ;19;Utrecht                                 ;13;Oost-Utrecht                            ;16;Oost-Utrecht                            ;- ;Niet van toepassing  ;19.1;-  ;nvt                           ;- ;Niet van toepassing       ;2;5 000 - < 10 000 inwoners   ;4;Weinig stedelijk    ;7427;501
19;307;307;Amersfoort                 ;AFT;24;16;Utrecht         ;50;Eemland                       ;20;Amersfoort                         ;17;Utrecht                            ;43;Utrechtse Vallei en Eemgebied           ;4;Amsterdam       ;8;Amersfoort        ;9;Utrecht          ;23;GGD Eemland                             ;52;Amersfoort         ;8;Utrecht         ;3;West-Nederland ;2604;Eemland                                 ;9;Hollands/Utrechts weidegebied ;35;Amersfoort            ;10;Harderwijk-Amersfoort           ;9;Utrecht                  ;26;Utrecht                   ;8;Midden-Nederland                   ;7;Utrechtse Heuvelrug en 't Gooi          ;20;Utrecht                                 ;7;West-Nederland 3  ;16;Eem en Vallei                           ;13;Oost-Utrecht                            ;16;Oost-Utrecht                            ;- ;Niet van toepassing  ;20.1;-  ;nvt                           ;08;Amersfoort                ;6;100 000 - < 150 000 inwoners;2;Sterk stedelijk     ;117837;1980
20;198;198;Ammerzoden                 ;AZN;26;5;Arnhem          ;72;Noord-Oost Noord-Brabant      ;41;'s-Hertogenbosch                   ;16;Zuidwest-Gelderland                ;42;Bommelerwaard                           ;2;Arnhem          ;22;'s-Hertogenbosch  ;24;'s-Hertogenbosch ;54;Stadsgewest 's-Hertogenbosch            ;16;Tiel               ;6;Nijmegen        ;2;Oost-Nederland ;2506;Bommelerwaard                           ;10;Rivierengebied                ;69;'s-Hertogenbosch      ;12;Noord-Noord-Brabant             ;8;Gelderland-Zuid          ;25;Gelderland                ;6;Arnhem-Oost Gld./Nijm. Rivierenland;9;Gelders Rivierengebied                  ;19;Zuidwest-Gelderland                     ;2;Oost-Nederland    ;15;Rivierenland                            ;12;Nijmegen e.o. en Betuwe                 ;15;Betuwe                                  ;15;'s-Hertogenbosch     ;41.1;-  ;nvt                           ;- ;Niet van toepassing       ;1;minder dan 5 000 inwoners   ;5;Niet stedelijk      ;4444;307
21;362;362;Amstelveen                 ;AVN;27;13;Amsterdam       ;51;Amsterdam e.o                 ;21;Amsterdam-Purmerend                ;23;Groot-Amsterdam                    ;64;Zuidelijk randgebied Amsterdam          ;4;Amsterdam       ;13;Amsterdam         ;14;Amsterdam        ;35;GGD Amstelland - De Meerlanden          ;44;Amsterdam          ;10;Haarlem         ;3;West-Nederland ;2703;Amstelland en Aalsmeer                  ;7;Westelijk Holland             ;44;Amsterdam             ;15;Zuid-Noord-Holland              ;13;Amsterdam-Amstelland     ;27;Noord-Holland             ;10;Zuidelijk Noord-Holland            ;17;Overig Nederland                        ;27;Groot-Amsterdam (exclusief Amsterdam)   ;7;West-Nederland 3  ;21;ROA                                     ;16;Zaanstreek/Waterland/Amstelland/Meerland;23;Amstelland/Meerlanden                   ;02;Amsterdam            ;21.1;232;Overig Groot-Amsterdam        ;11;Amsterdam                 ;5;50 000 - < 100 000 inwoners ;2;Sterk stedelijk     ;76723;1977
22;363;363;Amsterdam                  ;ADM;29;13;Amsterdam       ;51;Amsterdam e.o                 ;21;Amsterdam-Purmerend                ;23;Groot-Amsterdam                    ;63;Amsterdam                               ;4;Amsterdam       ;13;Amsterdam         ;14;Amsterdam        ;34;GG en GD Amsterdam                      ;44;Amsterdam          ;9;Amsterdam       ;3;West-Nederland ;2706;Waterland en Noordhollandse Droogmakerij;8;Waterland en Droogmakerijen   ;44;Amsterdam             ;15;Zuid-Noord-Holland              ;13;Amsterdam-Amstelland     ;27;Noord-Holland             ;10;Zuidelijk Noord-Holland            ;16;Amsterdam, Rotterdam, 's-Gravenhage,Utr.;28;Amsterdam                               ;6;West-Nederland 2  ;21;ROA                                     ;15;Amsterdam                               ;19;Amsterdam                               ;02;Amsterdam            ;21.1;231;Amsterdam                     ;11;Amsterdam                 ;8;250 000 inwoners of meer    ;1;Zeer sterk stedelijk;713755;5926
23;364;364;Andijk                     ;ADK;30;14;Alkmaar         ;24;Westfriesland                 ;26;Enkhuizen-Hoorn                    ;18;Kop van Noord-Holland              ;54;Midden- en Oostelijk West-Friesland     ;4;Amsterdam       ;11;Alkmaar           ;12;Alkmaar          ;28;GGD West-Friesland                      ;47;Hoorn              ;11;Den Helder      ;3;West-Nederland ;2705;West-Friesland en omgeving              ;7;Westelijk Holland             ;39;Enkhuizen             ;14;Noord-Noord-Holland             ;10;Noord-Holland-Noord      ;27;Noord-Holland             ;9;Noord-Holland Noord                ;3;Ijsselmeerkust                          ;21;Kop van Noord-Holland                   ;7;West-Nederland 3  ;22;Westfriesland                           ;18;Kop Noord-Holland/West-Friesland        ;24;Kop Noord-Holland/West-Friesland        ;- ;Niet van toepassing  ;26.2;-  ;nvt                           ;- ;Niet van toepassing       ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;6285;259
24;199;199;Angerlo                    ;AGO;31;5;Arnhem          ;45;Arnhem                        ;14;Arnhem-Doetinchem                  ;15;Arnhem/Nijmegen                    ;26;De Lijmers                              ;2;Arnhem          ;6;Arnhem            ;7;Arnhem           ;19;Dienst Welzijn en Volksgezondheid Arnhem;14;Arnhem             ;7;Arnhem          ;2;Oost-Nederland ;2502;IJsselstreek                            ;4;Oostelijk Veehouderijgebied   ;26;Arnhem                ;9;Arnhem en omstreken             ;7;Gelderland-Midden        ;25;Gelderland                ;6;Arnhem-Oost Gld./Nijm. Rivierenland;10;Achterhoek                              ;18;Agglomeraties Arnhem en Nijmegen        ;2;Oost-Nederland    ;14;Arnhem/Nijmegen                         ;10;Arnhem e.o.                             ;13;Arnhem e.o.                             ;- ;Niet van toepassing  ;14.1;-  ;nvt                           ;- ;Niet van toepassing       ;1;minder dan 5 000 inwoners   ;5;Niet stedelijk      ;4648;256
25;105;105;Anloo                      ;ALO;32;19;Assen           ;71;Zuid-Oost Drenthe             ;7;Assen-Hoogeveen                    ;7;Noord-Drenthe                      ;16;Overige gemeenten Drentse Veenkolonien  ;5;Leeuwarden      ;1;Groningen-Drenthe ;3;Drenthe          ;7;GGD Noord- en Midden Drenthe            ;60;Assen              ;3;Assen           ;1;Noord-Nederland;2205;Drentse Veenkolonien en Hondsrug        ;2;Veenkolonien en Oldambt       ;11;Assen                 ;4;Assen-Hoogeveen-Emmen           ;3;Drenthe                  ;22;Drenthe                   ;3;Drenthe                            ;12;Groningse, Friese en Drentse zandgronden;10;Noord-Drenthe                           ;1;Noord-Nederland   ;7;Noord- en midden-Drenthe                ;5;Noord- en Midden0Drenthe                ;5;Noord- en Midden-Drenthe                ;- ;Niet van toepassing  ;7.1 ;-  ;nvt                           ;- ;Niet van toepassing       ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;8090;177
26;366;366;Anna Paulowna              ;APA;33;14;Alkmaar         ;6;Kop van Noord-Holland         ;27;Den Helder-Schagen                 ;18;Kop van Noord-Holland              ;52;Overige gemeenten Kop van Noord-Holland ;4;Amsterdam       ;11;Alkmaar           ;12;Alkmaar          ;27;GGD Kop Van Noord-Holland               ;48;Den Helder         ;11;Den Helder      ;3;West-Nederland ;2704;Texel en Land van Zijpe                 ;7;Westelijk Holland             ;37;Den Helder            ;14;Noord-Noord-Holland             ;10;Noord-Holland-Noord      ;27;Noord-Holland             ;9;Noord-Holland Noord                ;17;Overig Nederland                        ;21;Kop van Noord-Holland                   ;7;West-Nederland 3  ;23;Kop van Noord-Holland                   ;18;Kop Noord-Holland/West-Friesland        ;24;Kop Noord-Holland/West-Friesland        ;- ;Niet van toepassing  ;nvt ;-  ;nvt                           ;- ;Niet van toepassing       ;3;10 000 - < 20 000 inwoners  ;5;Niet stedelijk      ;13532;382
27;200;200;Apeldoorn                  ;APN;34;6;Zutphen         ;8;Oost-Veluwe                   ;17;Apeldoorn                          ;13;Veluwe                             ;33;Apeldoorn                               ;2;Arnhem          ;5;Stedendriehoek    ;6;Stedendriehoek   ;17;GGD Oost-Veluwe                         ;20;Apeldoorn          ;7;Arnhem          ;2;Oost-Nederland ;2501;Oostelijke Veluwe                       ;5;Centraal Veehouderijgebied    ;27;Apeldoorn             ;7;Apeldoorn en midden-IJsselgebied;6;Noord- en Oost-Gelderland;25;Gelderland                ;5;IJssel/Veluwe                      ;8;Veluwe en Veluwerand                    ;16;Veluwe                                  ;2;Oost-Nederland    ;11;Stedendriehoek                          ;9;Veluwe                                  ;11;Oost-Veluwe                             ;- ;Niet van toepassing  ;nvt ;-  ;nvt                           ;26;Apeldoorn/Deventer/Zutphen;7;150 000 - < 250 000 inwoners;3;Matig stedelijk     ;151718;1484
