ID;Beleggingen;Perioden;BeleggingenNaConsolidatie_1;BeleggingenNaConsolidatieRelatief_2;BeleggingenVoorConsolidatie_3;BeleggingenVoorConsolidatieRelatief_4
0;Totaal beleggingen;2008;695.1;100.0;695.1;100.0
1;Totaal beleggingen;2009;729.5;100.0;729.5;100.0
2;Totaal beleggingen;2010;777.4;100.0;777.4;100.0
3;Totaal beleggingen;2011;848.1;100.0;848.1;100.0
4;Totaal beleggingen;2012;984.5;100.0;984.5;100.0
5;Totaal beleggingen;2013;1000.6;100.0;1000.6;100.0
6;Totaal beleggingen;2014;1221.4;100.0;1221.4;100.0
7;Totaal beleggingen;2015;1239.5;100.0;1239.5;100.0
8;Totaal beleggingen;2016;1356.4;100.0;1356.4;100.0
9;Direct vastgoed;2008;19.1;2.7;16.4;2.4
10;Direct vastgoed;2009;18.9;2.6;15.8;2.2
11;Direct vastgoed;2010;19.5;2.5;9.5;1.2
12;Direct vastgoed;2011;24.5;2.9;9.3;1.1
13;Direct vastgoed;2012;24.8;2.5;8.8;0.9
14;Direct vastgoed;2013;24.1;2.4;8.5;0.9
15;Direct vastgoed;2014;22.4;1.8;7.7;0.6
16;Direct vastgoed;2015;22.9;1.8;7.5;0.6
17;Direct vastgoed;2016;25.1;1.9;8.0;0.6
18;Aandelen en overige deelnemingen;2008;271.5;39.1;319.1;45.9
19;Aandelen en overige deelnemingen;2009;317.9;43.6;482.0;66.1
20;Aandelen en overige deelnemingen;2010;364.6;46.9;527.7;67.9
21;Aandelen en overige deelnemingen;2011;369.3;43.5;552.4;65.1
22;Aandelen en overige deelnemingen;2012;417.7;42.4;641.5;65.2
23;Aandelen en overige deelnemingen;2013;452.3;45.2;688.9;68.9
24;Aandelen en overige deelnemingen;2014;548.8;44.9;805.0;65.9
25;Aandelen en overige deelnemingen;2015;562.0;45.3;836.8;67.5
26;Aandelen en overige deelnemingen;2016;635.3;46.8;928.9;68.5
27;Schuldbewijzen;2008;290.6;41.8;251.0;36.1
28;Schuldbewijzen;2009;292.2;40.1;175.7;24.1
29;Schuldbewijzen;2010;294.7;37.9;176.4;22.7
30;Schuldbewijzen;2011;334.2;39.4;200.5;23.6
31;Schuldbewijzen;2012;395.1;40.1;234.4;23.8
32;Schuldbewijzen;2013;402.4;40.2;242.2;24.2
33;Schuldbewijzen;2014;485.8;39.8;303.0;24.8
34;Schuldbewijzen;2015;520.7;42.0;318.3;25.7
35;Schuldbewijzen;2016;552.4;40.7;340.0;25.1
36;Financiële derivaten;2008;38.4;5.5;35.8;5.1
37;Financiële derivaten;2009;9.5;1.3;8.1;1.1
38;Financiële derivaten;2010;15.0;1.9;11.1;1.4
39;Financiële derivaten;2011;47.4;5.6;44.4;5.2
40;Financiële derivaten;2012;57.7;5.9;53.6;5.4
41;Financiële derivaten;2013;25.8;2.6;24.1;2.4
42;Financiële derivaten;2014;63.4;5.2;61.7;5.0
43;Financiële derivaten;2015;42.4;3.4;40.6;3.3
44;Financiële derivaten;2016;43.3;3.2;42.0;3.1
45;Langlopende leningen;2008;24.4;3.5;24.2;3.5
46;Langlopende leningen;2009;22.2;3.0;21.5;2.9
47;Langlopende leningen;2010;22.8;2.9;20.7;2.7
48;Langlopende leningen;2011;20.5;2.4;18.1;2.1
49;Langlopende leningen;2012;27.5;2.8;17.6;1.8
50;Langlopende leningen;2013;26.7;2.7;15.7;1.6
51;Langlopende leningen;2014;29.5;2.4;15.5;1.3
52;Langlopende leningen;2015;34.2;2.8;15.5;1.2
53;Langlopende leningen;2016;40.7;3.0;16.0;1.2
54;Overige beleggingen;2008;51.1;7.4;48.7;7.0
55;Overige beleggingen;2009;68.8;9.4;26.5;3.6
56;Overige beleggingen;2010;61.0;7.8;32.1;4.1
57;Overige beleggingen;2011;52.1;6.1;23.5;2.8
58;Overige beleggingen;2012;61.9;6.3;28.7;2.9
59;Overige beleggingen;2013;69.3;6.9;21.2;2.1
60;Overige beleggingen;2014;71.6;5.9;28.5;2.3
61;Overige beleggingen;2015;57.3;4.6;20.9;1.7
62;Overige beleggingen;2016;59.6;4.4;21.5;1.6
